path	size_bytes
zz-figures/chapter01/fig_01_early_plateau.png	139499
zz-figures/chapter01/fig_02_logistic_calibration.png	86100
zz-figures/chapter01/fig_03_relative_error_timeline.png	147364
zz-figures/chapter01/fig_04_P_vs_T_evolution.png	179830
zz-figures/chapter01/fig_05_I1_vs_T.png	184707
zz-figures/chapter01/fig_06_P_derivative_comparison.png	142306
zz-figures/chapter02/fig_00_spectrum.png	159549
zz-figures/chapter02/fig_01_P_vs_T_evolution.png	226947
zz-figures/chapter02/fig_02_calibration.png	129000
zz-figures/chapter02/fig_03_relative_errors.png	243417
zz-figures/chapter02/fig_04_pipeline_diagram.png	114450
zz-figures/chapter02/fig_05_FG_series.png	141373
zz-figures/chapter02/fig_06_fit_alpha.png	194065
zz-figures/chapter03/fig_01_fR_stability_domain.png	156062
zz-figures/chapter03/fig_02_fR_fRR_vs_R.png	149686
zz-figures/chapter03/fig_03_ms2_R0_vs_R.png	106335
zz-figures/chapter03/fig_04_fR_fRR_vs_R.png	125044
zz-figures/chapter03/fig_05_interpolated_milestones.png	175918
zz-figures/chapter03/fig_06_grid_quality.png	148123
zz-figures/chapter03/fig_07_ricci_fR_vs_z.png	157336
zz-figures/chapter03/fig_08_ricci_fR_vs_T.png	131638
zz-figures/chapter04/fig_01_invariants_schematic.png	223196
zz-figures/chapter04/fig_02_invariants_histogram.png	89610
zz-figures/chapter04/fig_03_invariants_vs_T.png	335362
zz-figures/chapter04/fig_04_relative_deviations.png	123480
zz-figures/chapter05/fig_01_bbn_reaction_network.png	105903
zz-figures/chapter05/fig_02_dh_model_vs_obs.png	155105
zz-figures/chapter05/fig_03_yp_model_vs_obs.png	105279
zz-figures/chapter05/fig_04_chi2_vs_T.png	248424
zz-figures/chapter06/fig_01_cmb_dataflow_diagram.png	160812
zz-figures/chapter06/fig_02_cls_lcdm_vs_mcgt.png	472389
zz-figures/chapter06/fig_03_delta_cls_relative.png	287171
zz-figures/chapter06/fig_04_delta_rs_vs_params.png	160906
zz-figures/chapter06/fig_05_delta_chi2_heatmap.png	383702
zz-figures/chapter07/fig_00_loglog_sampling_test.png	55159
zz-figures/chapter07/fig_01_cs2_heatmap_k_a.png	78571
zz-figures/chapter07/fig_02_delta_phi_heatmap_k_a.png	85425
zz-figures/chapter07/fig_03_invariant_I1.png	213681
zz-figures/chapter07/fig_04_dcs2_dk_vs_k.png	144345
zz-figures/chapter07/fig_05_ddelta_phi_dk_vs_k.png	111276
zz-figures/chapter07/fig_06_comparison.png	584719
zz-figures/chapter07/fig_07_invariant_I2.png	260207
zz-figures/chapter08/fig_01_chi2_total_vs_q0.png	190989
zz-figures/chapter08/fig_02_dv_vs_z.png	152884
zz-figures/chapter08/fig_03_mu_vs_z.png	178950
zz-figures/chapter08/fig_04_chi2_heatmap.png	229498
zz-figures/chapter08/fig_05_residuals.png	367132
zz-figures/chapter08/fig_06_pulls.png	202558
zz-figures/chapter08/fig_07_chi2_profile.png	122853
zz-figures/chapter09/fig_01_phase_overlay.png	420082
zz-figures/chapter09/fig_02_residual_phase.png	582426
zz-figures/chapter09/fig_03_hist_absdphi_20_300.png	341922
zz-figures/chapter09/fig_04_absdphi_milestones_vs_f.png	482346
zz-figures/chapter09/fig_05_scatter_phi_at_fpeak.png	206304
zz-figures/chapter09/p95_check_control.png	38788
zz-figures/chapter09/p95_methods/fig03_raw_bins30.png	39294
zz-figures/chapter09/p95_methods/fig03_raw_bins50.png	45180
zz-figures/chapter09/p95_methods/fig03_raw_bins80.png	39781
zz-figures/chapter09/p95_methods/fig03_rebranch_k_bins30.png	40646
zz-figures/chapter09/p95_methods/fig03_rebranch_k_bins50.png	46178
zz-figures/chapter09/p95_methods/fig03_rebranch_k_bins80.png	40376
zz-figures/chapter09/p95_methods/fig03_unwrap_bins30.png	40168
zz-figures/chapter09/p95_methods/fig03_unwrap_bins50.png	45751
zz-figures/chapter09/p95_methods/fig03_unwrap_bins80.png	40270
zz-figures/chapter10/fig_01_iso_p95_maps.png	1838732
zz-figures/chapter10/fig_02_scatter_phi_at_fpeak.png	1629247
zz-figures/chapter10/fig_03_convergence_p95_vs_n.png	199736
zz-figures/chapter10/fig_03b_coverage_bootstrap_vs_n_hires.png	388364
zz-figures/chapter10/fig_04_scatter_p95_recalc_vs_orig.png	380197
zz-figures/chapter10/fig_05_hist_cdf_metrics.png	155634
zz-figures/chapter10/fig_06_heatmap_absdp95_m1m2.png	861897
zz-figures/chapter10/fig_07_summary_comparison.png	558127
