R_over_R0,f_R,f_RR
0.1,0.9999991,9.9e-07
0.2,0.9999992,9.9e-07
0.3,0.9999993,9.9e-07
0.4,0.9999994,9.9e-07
0.5,0.9999995,1e-06
0.6,0.9999996,1e-06
0.7,0.9999997,1e-06
0.8,0.9999998,1e-06
0.9,0.9999999,1e-06
1.0,1.0,1e-06
1.1,1.0000001,1e-06
1.2,1.0000002,1e-06
1.3,1.0000003,1e-06
1.4,1.0000004,1e-06
1.5,1.0000005,1e-06
1.6,1.0000006,1.01e-06
1.7,1.0000007,1.01e-06
1.8,1.0000008,1.01e-06
1.9,1.0000009,1.01e-06
2.0,1.000001,1.01e-06
2.1,1.00000111,1.01e-06
2.2,1.00000121,1.01e-06
2.3,1.00000131,1.01e-06
2.4,1.00000141,1.01e-06
2.5,1.00000151,1.02e-06
2.6,1.00000161,1.02e-06
2.7,1.00000171,1.02e-06
2.8,1.00000182,1.02e-06
2.9,1.00000192,1.02e-06
3.0,1.00000202,1.02e-06
3.1,1.00000212,1.02e-06
3.2,1.00000222,1.02e-06
3.3,1.00000233,1.02e-06
3.4,1.00000243,1.02e-06
3.5,1.00000253,1.02e-06
3.6,1.00000263,1.03e-06
3.7,1.00000274,1.03e-06
3.8,1.00000284,1.03e-06
3.9,1.00000294,1.03e-06
4.0,1.00000304,1.03e-06
4.1,1.00000315,1.03e-06
4.2,1.00000325,1.03e-06
4.3,1.00000335,1.03e-06
4.4,1.00000346,1.03e-06
4.5,1.00000356,1.04e-06
4.6,1.00000366,1.04e-06
4.7,1.00000377,1.04e-06
4.8,1.00000387,1.04e-06
4.9,1.00000398,1.04e-06
5.0,1.00000408,1.04e-06
5.1,1.00000418,1.04e-06
5.2,1.00000429,1.04e-06
5.3,1.00000439,1.04e-06
5.4,1.0000045,1.04e-06
5.5,1.0000046,1.04e-06
5.6,1.00000471,1.05e-06
5.7,1.00000481,1.05e-06
5.8,1.00000492,1.05e-06
5.9,1.00000502,1.05e-06
6.0,1.00000512,1.05e-06
6.1,1.00000523,1.05e-06
6.2,1.00000534,1.05e-06
6.3,1.00000544,1.05e-06
6.4,1.00000555,1.05e-06
6.5,1.00000565,1.06e-06
6.6,1.00000576,1.06e-06
6.7,1.00000586,1.06e-06
6.8,1.00000597,1.06e-06
6.9,1.00000607,1.06e-06
7.0,1.00000618,1.06e-06
7.1,1.00000629,1.06e-06
7.2,1.00000639,1.06e-06
7.3,1.0000065,1.06e-06
7.4,1.0000066,1.06e-06
7.5,1.00000671,1.06e-06
7.6,1.00000682,1.07e-06
7.7,1.00000692,1.07e-06
7.8,1.00000703,1.07e-06
7.9,1.00000714,1.07e-06
8.0,1.00000725,1.07e-06
8.1,1.00000735,1.07e-06
8.2,1.00000746,1.07e-06
8.3,1.00000757,1.07e-06
8.4,1.00000767,1.07e-06
8.5,1.00000778,1.07e-06
8.6,1.00000789,1.08e-06
8.7,1.000008,1.08e-06
8.8,1.0000081,1.08e-06
8.9,1.00000821,1.08e-06
9.0,1.00000832,1.08e-06
9.1,1.00000843,1.08e-06
9.2,1.00000854,1.08e-06
9.3,1.00000864,1.08e-06
9.4,1.00000875,1.08e-06
9.5,1.00000886,1.08e-06
9.6,1.00000897,1.09e-06
9.7,1.00000908,1.09e-06
9.8,1.00000919,1.09e-06
9.9,1.0000093,1.09e-06
10.0,1.0000094,1.09e-06
