milestone,z,obs,sigma_obs,category
BAO_z=0.106,0.106,457.0,27.0,order2
BAO_z=0.150,0.15,664.0,25.0,order2
BAO_z=0.380,0.38,1477.0,16.0,order2
BAO_z=0.510,0.51,1975.0,20.0,order2
BAO_z=0.610,0.61,2306.0,29.0,order2
BAO_z=1.520,1.52,3843.0,147.0,order2
SN0,0.00122,28.9987,1.51645,order2
SN1,0.00122,29.0559,1.51747,order2
SN2,0.00256,30.7233,0.782372,order2
SN3,0.00256,30.7449,0.799068,order2
SN4,0.00299,30.7757,0.881212,order2
SN5,0.00317,30.7946,0.614535,order2
SN6,0.00331,30.4604,0.594683,order2
SN7,0.00331,30.5528,0.580251,order2
SN8,0.00331,30.4013,0.578445,order2
SN9,0.00331,30.5107,0.578546,order2
SN10,0.00333,31.5011,0.591006,order2
SN11,0.00349,31.7933,0.55272,order2
SN12,0.00349,31.4967,0.545492,order2
SN13,0.00359,31.6969,0.550993,order2
SN14,0.00384,30.9999,0.566505,order2
SN15,0.00407,31.3933,0.476404,order2
SN16,0.00407,31.3779,0.479276,order2
SN17,0.00432,31.499,0.514259,order2
SN18,0.00432,31.5611,0.530838,order2
SN19,0.00465,31.9309,0.442017,order2
SN20,0.00465,32.033,0.420403,order2
SN21,0.00482,31.2476,0.558603,order2
SN22,0.00483,31.1331,0.446882,order2
SN23,0.00483,31.6525,0.564724,order2
SN24,0.00483,31.2234,0.410577,order2
SN25,0.00483,31.34,0.562589,order2
SN26,0.00483,31.7635,0.574442,order2
SN27,0.00488,31.4473,0.448264,order2
SN28,0.00488,31.539,0.407028,order2
SN29,0.00538,31.6512,0.514401,order2
SN30,0.00548,31.7282,0.501431,order2
SN31,0.0057,31.9117,0.469628,order2
SN32,0.0057,31.8985,0.483668,order2
SN33,0.00571,31.6799,0.375913,order2
SN34,0.00571,31.6292,0.385756,order2
SN35,0.00587,31.7403,0.491367,order2
SN36,0.00588,32.1822,0.339643,order2
SN37,0.00592,32.4685,0.487055,order2
SN38,0.00602,31.9404,0.344335,order2
SN39,0.00602,32.0666,0.343707,order2
SN40,0.00602,31.9102,0.350249,order2
SN41,0.00616,30.9079,0.524992,order2
SN42,0.00616,31.1857,0.452235,order2
SN43,0.00625,32.0667,0.32593,order2
SN44,0.00625,32.0023,0.36156,order2
SN45,0.00625,32.0999,0.322811,order2
SN46,0.00625,32.0337,0.339166,order2
SN47,0.0063,32.0754,0.533991,order2
SN48,0.0063,32.0843,0.537335,order2
SN49,0.0063,32.0203,0.538159,order2
SN50,0.00631,32.8333,0.562902,order2
SN51,0.00634,32.4001,0.482567,order2
SN52,0.00648,32.4608,0.318474,primary
SN53,0.00648,32.4338,0.32229,primary
SN54,0.00665,31.7321,0.531169,order2
SN55,0.00668,31.2217,0.420706,order2
SN56,0.00673,32.3593,0.359446,order2
SN57,0.00676,31.9733,0.415464,order2
SN58,0.00677,32.1951,0.34053,order2
SN59,0.00677,32.1729,0.371125,order2
SN60,0.00677,32.2048,0.34795,order2
