z,a,rho_m_over_rho_m0,Omega_m_z,tau_gyr
1100.00000000,9.082652134423e-04,1.334633301000e+09,9.999999983706e-01,1.010247495252e+00
1098.62327910,9.094023553407e-04,1.329632971407e+09,9.999999983645e-01,1.010247495255e+00
1097.24655820,9.105423481964e-04,1.324645146909e+09,9.999999983584e-01,1.010247495258e+00
1095.86983730,9.116852027444e-04,1.319669811849e+09,9.999999983522e-01,1.010247495261e+00
1094.49311640,9.128309297737e-04,1.314706950571e+09,9.999999983459e-01,1.010247495264e+00
1093.11639549,9.139795401276e-04,1.309756547420e+09,9.999999983397e-01,1.010247495268e+00
1091.73967459,9.151310447040e-04,1.304818586737e+09,9.999999983334e-01,1.010247495271e+00
1090.36295369,9.162854544558e-04,1.299893052869e+09,9.999999983271e-01,1.010247495274e+00
1088.98623279,9.174427803913e-04,1.294979930157e+09,9.999999983207e-01,1.010247495277e+00
1087.60951189,9.186030335744e-04,1.290079202946e+09,9.999999983144e-01,1.010247495280e+00
1086.23279099,9.197662251252e-04,1.285190855579e+09,9.999999983080e-01,1.010247495284e+00
1084.85607009,9.209323662199e-04,1.280314872400e+09,9.999999983015e-01,1.010247495287e+00
1083.47934919,9.221014680917e-04,1.275451237754e+09,9.999999982950e-01,1.010247495290e+00
1082.10262829,9.232735420309e-04,1.270599935982e+09,9.999999982885e-01,1.010247495293e+00
1080.72590738,9.244485993852e-04,1.265760951430e+09,9.999999982820e-01,1.010247495297e+00
1079.34918648,9.256266515601e-04,1.260934268441e+09,9.999999982754e-01,1.010247495300e+00
1077.97246558,9.268077100194e-04,1.256119871359e+09,9.999999982688e-01,1.010247495303e+00
1076.59574468,9.279917862855e-04,1.251317744527e+09,9.999999982621e-01,1.010247495307e+00
1075.21902378,9.291788919396e-04,1.246527872289e+09,9.999999982555e-01,1.010247495310e+00
1073.84230288,9.303690386225e-04,1.241750238989e+09,9.999999982488e-01,1.010247495314e+00
1072.46558198,9.315622380346e-04,1.236984828970e+09,9.999999982420e-01,1.010247495317e+00
1071.08886108,9.327585019361e-04,1.232231626577e+09,9.999999982352e-01,1.010247495320e+00
1069.71214018,9.339578421483e-04,1.227490616152e+09,9.999999982284e-01,1.010247495324e+00
1068.33541927,9.351602705528e-04,1.222761782040e+09,9.999999982216e-01,1.010247495327e+00
1066.95869837,9.363657990927e-04,1.218045108584e+09,9.999999982147e-01,1.010247495331e+00
1065.58197747,9.375744397729e-04,1.213340580129e+09,9.999999982078e-01,1.010247495334e+00
1064.20525657,9.387862046601e-04,1.208648181017e+09,9.999999982008e-01,1.010247495338e+00
1062.82853567,9.400011058837e-04,1.203967895592e+09,9.999999981938e-01,1.010247495341e+00
1061.45181477,9.412191556357e-04,1.199299708199e+09,9.999999981868e-01,1.010247495345e+00
1060.07509387,9.424403661717e-04,1.194643603180e+09,9.999999981797e-01,1.010247495348e+00
1058.69837297,9.436647498107e-04,1.189999564880e+09,9.999999981726e-01,1.010247495352e+00
1057.32165207,9.448923189360e-04,1.185367577642e+09,9.999999981655e-01,1.010247495356e+00
1055.94493116,9.461230859954e-04,1.180747625810e+09,9.999999981583e-01,1.010247495359e+00
1054.56821026,9.473570635014e-04,1.176139693728e+09,9.999999981511e-01,1.010247495363e+00
1053.19148936,9.485942640321e-04,1.171543765739e+09,9.999999981438e-01,1.010247495367e+00
1051.81476846,9.498347002315e-04,1.166959826187e+09,9.999999981365e-01,1.010247495370e+00
1050.43804756,9.510783848094e-04,1.162387859416e+09,9.999999981292e-01,1.010247495374e+00
1049.06132666,9.523253305427e-04,1.157827849770e+09,9.999999981218e-01,1.010247495378e+00
1047.68460576,9.535755502752e-04,1.153279781591e+09,9.999999981144e-01,1.010247495381e+00
1046.30788486,9.548290569181e-04,1.148743639225e+09,9.999999981070e-01,1.010247495385e+00
1044.93116395,9.560858634508e-04,1.144219407014e+09,9.999999980995e-01,1.010247495389e+00
1043.55444305,9.573459829211e-04,1.139707069302e+09,9.999999980920e-01,1.010247495393e+00
1042.17772215,9.586094284456e-04,1.135206610434e+09,9.999999980844e-01,1.010247495397e+00
1040.80100125,9.598762132103e-04,1.130718014752e+09,9.999999980768e-01,1.010247495400e+00
1039.42428035,9.611463504708e-04,1.126241266601e+09,9.999999980691e-01,1.010247495404e+00
1038.04755945,9.624198535532e-04,1.121776350323e+09,9.999999980615e-01,1.010247495408e+00
1036.67083855,9.636967358542e-04,1.117323250264e+09,9.999999980537e-01,1.010247495412e+00
1035.29411765,9.649770108418e-04,1.112881950766e+09,9.999999980460e-01,1.010247495416e+00
1033.91739675,9.662606920555e-04,1.108452436173e+09,9.999999980382e-01,1.010247495420e+00
1032.54067584,9.675477931070e-04,1.104034690830e+09,9.999999980303e-01,1.010247495424e+00
1031.16395494,9.688383276808e-04,1.099628699078e+09,9.999999980224e-01,1.010247495428e+00
