T,I1
1e-06,1000000.0
1.0233132151630174e-06,977217.908634842
1.047169936327272e-06,954954.8409566544
1.0715828343651132e-06,933198.9725203798
1.096564875547663e-06,911938.7482665491
1.1221293284315132e-06,891162.8763841128
1.1482897709059693e-06,870860.3223130929
1.1750600974045922e-06,851020.302883865
1.2024545262848618e-06,831632.2805899603
1.230487607379885e-06,812685.9579913452
1.2591742297261588e-06,794171.2722452054
1.2885296294714914e-06,776078.3897613314
1.3185693979672835e-06,758397.700979264
1.349309490049465e-06,741119.8152644286
1.3807662325124898e-06,724235.5559205454
1.4129563327808825e-06,707735.9553156674
1.4458968877829511e-06,691612.2501192586
1.4796053930313724e-06,675855.8766477791
1.514099751915474e-06,660458.4663163105
1.5493982852101507e-06,645411.8411938001
1.585519740806465e-06,630708.0096595682
1.622483303669098e-06,616339.1621587669
1.660308606025939e-06,602297.667054541
1.6990157377952313e-06,588576.0665746828
1.7386252572558044e-06,575167.0728506332
1.7791582019660656e-06,562063.5640467195
1.8206360999375477e-06,549258.5805775808
1.8630809810689488e-06,536745.3214117653
1.9065153888467348e-06,524517.1404595415
1.9509623923185225e-06,512567.54304300074
1.9964455983455997e-06,500890.1824465805
2.0429891641410897e-06,489478.8565461719
2.090617810100424e-06,478327.5045150239
2.139356832930932e-06,467430.2036046946
2.189232119087522e-06,456781.16599933803
2.240270158521598e-06,446374.7357416577
2.2924980587504996e-06,436205.385728893
2.3459435592549497e-06,426267.7147772434
2.4006350462121553e-06,416556.4447531711
2.4566015675723797e-06,407066.41777005896
2.5138728484870007e-06,397792.59344873385
2.5724793070962458e-06,388730.0462404016
2.6324520706849902e-06,379873.9628105708
2.6938229922152005e-06,371219.6394825757
2.756624667243797e-06,362762.4797393426
2.820890451234933e-06,354497.9917820697
2.886654477275874e-06,346421.7861445255
2.9539516742058945e-06,338529.5733616997
3.022817785167812e-06,330817.1616915655
3.093289386592025e-06,323280.454888746
3.1654039076231233e-06,315915.45002890076
3.2391996499993974e-06,308718.23538267735
3.3147158083958045e-06,301684.9883380988
3.3919924912411912e-06,294811.9733702836
3.4710707420208367e-06,288095.5400574193
3.551992561075623e-06,281532.12114193663
3.6348009279094165e-06,275118.2306358543
3.719539824016504e-06,268850.46196928766
3.806254256241213e-06,262725.4861811384
3.894990280682115e-06,256740.05015100416
3.9857950271535195e-06,250890.9748713687
4.078716724217234e-06,245175.15375915566
4.173804724797909e-06,239589.55100574787
4.2711095323955414e-06,234131.19996459773
4.370682827909093e-06,228797.2015755702
4.472577497085444e-06,223584.72282518307
4.576847658608267e-06,218490.99524192623
4.6835486928417536e-06,213513.31342586037
4.792737271244443e-06,208649.0336117148
4.904471386468777e-06,203895.5722647208
5.018810383162387e-06,199250.40470843474
5.135814989487438e-06,194711.06378382246
5.255547349374808e-06,190275.13853889232
5.3780710555302095e-06,185940.27294818117
5.503451183209782e-06,181704.1646614133
5.631754324783114e-06,177564.56378066726
5.763048625102037e-06,173519.27166540167
5.897403817693973e-06,169566.13976470483
6.034891261799073e-06,165703.06847614815
6.175583980270809e-06,161928.0060306375
6.3195566983601456e-06,158238.9474026697
6.466885883403904e-06,154633.93324541562
6.61764978543838e-06,151111.04885006484
6.771928478759801e-06,147668.4231288778
6.929803904453694e-06,144304.2276214069
7.091359913915741e-06,141016.67552335744
7.256682313387256e-06,137804.02073757348
7.4258589095289164e-06,134664.55694664395
7.5989795560569735e-06,131596.616706637
7.7761362014667e-06,128598.57056148071
7.957422937868423e-06,125668.82617752033
8.142936050962081e-06,122805.82749779189
8.332774071176851e-06,120008.05391556337
8.52703782600301e-06,117274.01946670418
8.725830493543807e-06,114602.27204045442
8.929257657315812e-06,111991.3926081741
9.137427362326838e-06,109439.99446966339
9.350450172461225e-06,106946.72251665291
9.568439229202887e-06,104510.25251307433
9.79151031172755e-06,102129.29039172574
1.001978189839574e-05,99802.57156694365
1.0253375229679547e-05,97528.86026002307
1.049241437255622e-05,95306.9488468539
1.073702628640316e-05,93135.65721770318
1.098734089042905e-05,91013.83214820123
1.1243491132677042e-05,88940.34668683694
1.1505613060636621e-05,86914.09955640724
1.1773845893501692e-05,84934.01456910251
1.2048332096113105e-05,82999.04005491857
1.232921745462528e-05,81108.14830308875
1.261665115393659e-05,79260.33501624319
1.2910785856925046e-05,77454.6187770026
1.3211777785531182e-05,75690.04052672429
1.3519786803731245e-05,73965.66305612343
1.3834976502444755e-05,72280.57050749911
1.4157514286421541e-05,70633.86788830068
1.4487571463154379e-05,69024.680595776
1.4825323333864489e-05,67452.1539524493
1.5170949286608175e-05,65915.45275218185
1.5524632891554098e-05,64413.76081657412
1.5886561998481755e-05,62946.280561474276
1.6256928836552978e-05,61512.2325733623
1.66359301164094e-05,60110.85519538514
1.7023767134650176e-05,58741.404122822736
1.742064588074538e-05,57403.1520077702
1.782677714644193e-05,56095.388072826165
1.8242376637720096e-05,54817.417733582144
1.8667665089360067e-05,53568.562229712334
1.9102868382179465e-05,52348.158264467995
1.954821766300402e-05,51155.557652384836
2.000394946743513e-05,49990.126975016494
2.0470305845479573e-05,48851.24724451096
2.0947534490108014e-05,47738.313574851556
2.143588886881063e-05,46650.7348605877
2.1935628358219744e-05,45587.933462884816
2.244701838187091e-05,44549.34490272673
2.2970330551175673e-05,43534.41756110754
2.3505842809680864e-05,42542.61238605373
2.4053839580691023e-05,41573.40260632093
2.461461191833238e-05,40626.27345161331
2.5188457662138635e-05,39700.72187917691
2.577568159524063e-05,38796.25630662171
2.63765956062439e-05,37912.39635083069
2.6991518854880165e-05,37048.67257281697
2.762077794152063e-05,36204.62622839371
2.8264707080641226e-05,35379.80902452424
2.892364827833188e-05,34573.782881223
2.959795151394407e-05,33786.119698881
3.0287974925973207e-05,33016.40113089194
3.09940850022745e-05,32264.21836145851
3.1716656774713376e-05,31529.17188846062
3.245607401835385e-05,30810.871311270417
3.321272945529055e-05,30108.935123401323
3.398702496323283e-05,29422.990509880874
3.4779371788951514e-05,28752.67314923995
3.5590190766701924e-05,28097.627020013
3.641991254173888e-05,27457.50421164666
3.726897779904272e-05,26831.964739716244
3.8137837497377524e-05,26220.67636535199
3.902695310880608e-05,25623.314418779137
3.993679686378867e-05,25039.56162687818
4.08678520019959e-05,24469.107944673597
4.182061302896878e-05,23911.65039066165
4.279558597876242e-05,23366.89288588976
4.379328868271272e-05,22834.546096701994
4.481425104446894e-05,22314.327281067126
4.5859015321438124e-05,21805.960138407652
4.692813641279092e-05,21309.174662850066
4.8022182154181755e-05,20823.706999818332
4.914173361933981e-05,20349.29930589451
5.028738542869117e-05,19885.699611872038
5.1459746065175835e-05,19432.66168892891
5.265943819742752e-05,18989.944917849753
5.388709901048777e-05,18557.314161227292
5.51433805442301e-05,18134.539638575305
5.642895003967388e-05,17721.396804286782
5.7744490293371964e-05,17317.666228372454
5.909070002006012e-05,16923.133479916367
6.0468294223761095e-05,16537.589013186524
6.187800457754028e-05,16160.828056340217
6.332057981211466e-05,15792.650502664874
6.479678611352151e-05,15432.860804296644
6.630740753005805e-05,15081.26786836032
6.785324638870819e-05,14737.684955475392
6.943512372127738e-05,14401.929580574364
7.105387970046225e-05,14073.82341598061
7.271037408608629e-05,13753.192196694352
7.440548668173871e-05,13439.865627836381
7.614011780205911e-05,13133.677294200452
7.791518875091601e-05,12834.464571866207
7.973164231073323e-05,12542.068541825798
8.15904432432241e-05,12256.33390557823
8.349257880179936e-05,11977.10890264667
8.54390592559209e-05,11704.245229974862
8.743091842767997e-05,11437.597963159886
8.946921424088471e-05,11177.02547947936
9.155502928294856e-05,10922.389382672298
9.36894713798783e-05,10673.554429433558
9.587367418466677e-05,10430.388457582947
9.810879777940294e-05,10192.76231587075
0.00010039602929141914,9960.54979538246
0.00010273658352380259,9733.627562506234
0.0001051317036006063,9511.875093427509
0.00010758266162710182,9295.174610115933
0.00011009075936542456,9083.4110177707
0.00011265732892597068,8876.47184369096
0.00011528373347491266,8674.247177538913
0.00011797136795820926,8476.629612963832
0.00012072165984249448,8283.514190556016
0.00012353606987323916,8094.79834210036
0.00012641609285058756,7910.38183609995
0.0001293632584232813,7730.16672454076
0.00013237913190109228,7554.057290869123
0.0001354653150861959,7381.959999154424
0.0001386234471239265,7213.783444409941
0.00014185520537336578,7049.438304045528
0.00014516230629822908,6888.837290426225
0.00014854650637851954,6731.895104511768
0.00015200960304343652,6578.528390552238
0.000155553435626033,6428.655691815851
0.00015917988634012932,6282.197407325362
0.0001628908812800014,6139.075749580108
0.0001666883914433756,5999.214703241217
0.0001705744337782723,5862.5399847580675
0.00017455107225425505,5728.979002914539
0.0001786204189586539,5598.460820274096
0.0001827846352183453,5470.916115503239
0.00018704593274768426,5346.2771465533015
0.00019140657482319832,5224.477714681049
0.00019586887748566773,5105.453129288954
0.00020043521077022983,4989.14017356649
0.00020510799996516094,4875.477070914192
0.00020988972690000492,4764.403452132633
0.00021478293126373172,4655.860323358918
0.00021979021195362667,4549.790034733652
0.00022491422845562678,4446.136249781719
0.00023015770225683687,4344.843915490663
0.00023552341829097623,4245.859233070717
0.0002410142264175231,4149.129629380999
0.000246633042935343,4054.603729006666
0.0002523828521316044,3962.2313269722167
0.0002582667078668045,3871.9633620764407
0.0002642877351967475,3783.751890834849
0.0002704491320323359,3697.550062015754
0.000276754170838057,3613.3120917564743
0.00028320620037006715,3530.993239246432
0.00028980864745479514,3450.549782964256
0.00029656501880901185,3371.938997456238
0.0003034789029023307,3295.1191306438386
0.0003105539718631292,3220.0493816481617
0.000317793983428904,3146.689879119645
0.0003252027829420944,3075.001660061437
0.00033278430539243555,3004.9466491352287
0.0003405425775069247,2936.487638438536
0.0003484817198885122,2869.5882677427007
0.0003566059492046515,2804.2130051811096
0.00036491958042687156,2740.3271283773797
0.0003734270291225613,2677.8967060034756
0.00038213281380018195,2616.888579078178
0.0003910415583091549,2557.27032943849
0.00040015799429569786,2499.0102874654012
0.000409486963715915,2442.0775116217173
0.0004190334214074748,2386.44176522905
0.00042880243772124265,2332.07350041162
0.00043879920121426435,2278.9438424057907
0.0004490290214055327,2227.024574226996
0.00045949733159599904,2176.2881216859314
0.000470209691754329,2126.7075387460463
0.00048117179146993377,2078.2564932145683
0.0004923894529748468,2030.9092527594555
0.0005038686342360499,1984.6406712448643
0.0005156154321198907,1939.4261753778708
0.000527636085630274,1895.2417516593528
0.0005399369792223449,1852.0639336321153
0.000552524646193425,1809.8697894194804
0.0005654057721530025,1768.6369095477269
0.0005785871985736175,1728.3433950459205
0.0005920759264245317,1688.9678458168087
0.0006058791198901097,1650.489349272608
0.0006200041101748875,1612.887469229657
0.0006344583993973498,1576.1422350560285
0.000649249664574484,1540.2341310663455
0.0006643857616992258,1505.1440861581718
0.000679874729912965,1470.853463684467
0.0006957247957753244,1437.3440515567383
0.000711944377633481,1404.5980525736293
0.0007285420900933508,1372.5980749698085
0.0007455267485950115,1341.3271231801486
0.0007629073740947919,1310.7685888142823
0.0007806931978565164,1280.9062418367498
0.0007988936663544495,1251.7242219480524
0.0008175184462905427,1223.2070301620377
0.0008365774297286498,1195.33952057514
0.000856080739348438,1168.1068923231157
0.0008760387338217832,1141.4946817209873
0.0008964620133145078,1115.488754582041
0.0009173614251163808,1090.075298711786
0.0009387480694023712,1065.2408165728941
0.000960633305128216,1040.972118117229
0.0009830287560634316,1017.2563137811535
0.0010059463169649718,994.0808002222507
0.0010293981598948213,971.4331176702865
0.0010533967406848635,949.3011896369885
0.001077954805552471,927.6732762528065
0.0011030853978703243,906.5379047446532
0.001128801865094058,885.883863362375
0.0011551178658514112,865.700195443248
0.0011820473771966507,845.9761936113683
0.0012096047020341166,826.7013941088702
0.0012378044767148357,807.8655712559796
0.0012666616788102349,789.4587320369764
0.0012961916350670867,771.4711108092042
0.0013264100295479091,753.8931641323352
0.001357332911961144,736.7155657151562
0.001388976706185539,719.9292014772083
0.0014213582189932618,703.5251647226689
0.001454494648976375,687.4947514239308
0.0014884035956814188,671.8294556123802
0.0015231030689569485,656.5209648739451
0.001558611498518994,641.561155947029
0.0015949477437395205,626.9420904205067
0.0016321311036630892,612.6560105295091
0.0016701813272570398,598.6953350467734
0.0017091186239006372,585.0526552673906
0.0017489636741187533,571.7207310848255
0.0017897376405657853,558.6924871561391
0.0018314621792656467,545.961009154383
0.0018741594511137954,533.519540106188
0.0019178521336474142,521.3614768126108
0.0019625634330899884,509.4803663513474
0.0020083170966766857,497.86990265846237
0.0020551374252670757,486.52392318783103
0.002103049286251897,475.43640564652617
0.0021520781267607174,464.6014648044245
0.0022022499871775137,454.01334937634647
0.002253591514971335,443.66643897508203
0.0023061299788494126,433.55524113368995
0.002359893283240214,423.67438839549936
0.002414909983114153,414.0186354702715
0.002471209299149812,404.58285645502247
0.002528821133253741,395.3620421180339
0.002587776084442071,386.3512972446183
0.00264810546509238,377.5458380432345
0.002709841317574441,368.9409896105819
0.002773016431268689,360.5321834543339
0.0028376643599814385,352.31495507220006
0.0029038194397661117,344.28494158603655
0.002971516807159932,336.43787942975536
0.003040792417845774,328.76960208980785
0.003111683065749085,321.2760378970489
0.003184226402580011,313.95320786881416
0.00325846095783112,306.7972236000679
0.0033344261592413286,299.8042852025081
0.003412162353736916,292.9706792905367
0.0034917108288607325,286.29277701303226
0.0035731138347010007,279.7670321298817
0.00365641460633134,273.38997913225535
0.003741657386773942,267.1582314056306
0.0038288874504980967,261.0684794345923
0.003918151127466536,255.1174890484609
0.0040094958277423825,249.30209970681963
0.004102970066669762,243.6192228240344
0.004198623490641454,238.0658401318798
0.004296506903467278,232.63900207940515
0.0043966722933572,227.3358262691939
0.004499172860533514,222.15349592918938
0.0046040630454867405,217.08925841927825
0.004711398557890271,212.14042377184163
0.004821236406189097,207.30436326550165
0.004933634927878356,202.5785080313087
0.005048653820487762,197.9603476906324
0.005166354173288383,193.44742902403488
0.005286798499738609,189.03735467042262
0.005410050770686533,184.72778185578815
0.005536176448346397,180.51642115086898
0.005665242521067126,176.40103525706644
0.0057973175389114395,172.37943781998177
0.005932471650064416,168.44949226994208
0.006070776638090869,164.60911068890155
0.006212305960061302,160.85625270311928
0.006357134785566707,157.18892440102732
0.006505340036642926,153.6051772757158
0.006657000428625774,150.1031071914758
0.006812196511958626,146.68085337385338
0.006971010714974675,143.33659742267906
0.007133527387676587,140.06856234755142
0.0072998328465367695,136.87501162526425
0.007470015420342143,133.7542482786766
0.007644165497107638,130.70461397654094
0.007822375572083422,127.72448815381044
0.008004740296881335,124.81228715196107
0.008191356529746606,121.96646337887282
0.008382323387001577,119.18550448782534
0.008577742295688737,116.46793257517355
0.008777717047441045,113.81230339627815
0.008982353853608124,111.21720559927628
0.009191761401667648,108.68125997628614
0.009406050912951845,106.20311873164944
0.009625336201719788,103.78146476682424
0.009849733735606863,101.41501098154927
0.010079362697483487,99.10249959091
0.010314345048756012,96.8427014579441
0.010554805594143265,94.6344154414345
0.010800872047963348,92.47646775854238
0.011052675101965738,90.36771136194456
0.011310348494744792,88.30702533114417
0.011574029082771487,86.29331427763293
0.01184385691308116,84.32550776358967
0.012119975297655813,82.40255973380731
0.01240253088954052,80.5234479605473
0.01269167376073435,78.68717350102781
0.012987557481897172,76.89276016725795
0.013290339203914698,75.13925400793725
0.013600179741365046,73.42572280214631
0.013917243657931202,71.75125556455993
0.014241699353804692,70.11496206192103
0.014573719155126947,68.51597234051893
0.01491347940551581,66.95343626442175
0.015261160559725831,65.42652306421853
0.015616947279492074,63.93442089603156
0.015981028531608373,62.47633641056569
0.01635359768829208,61.05149433196611
0.01673485262988866,59.65913704626144
0.017124995849970643,58.29852419917427
0.01752423456288679,56.96893230308572
0.017932780813818557,55.66965435294618
0.018350851591402338,54.399999450928355
0.01877866894297734,53.15929243962376
0.019216460092520045,51.94687354358905
0.019664457561328504,50.76209801905037
0.02012289929151978,49.6042973499169
0.020592028772406713,48.47212248703561
0.021072095169820875,47.36475615408582
0.021563353458450493,46.2816918043593
0.022066064557263544,45.222432040462536
0.022580495468088064,44.186488485690965
0.02310691941742314,43.17338165608282
0.023645616001556034,42.18264083318879
0.024196871335062396,41.21380393759218
0.024760978202768555,40.266417403212614
0.025338236215256486,39.34003605242485
0.02592895196799412,38.4342229720226
0.026533439204175512,37.54854939005576
0.027152018981357297,36.68259455356811
0.027785019841980015,35.83594560726099
0.028432777987864807,35.00819747310716
0.029095637458778204,34.19895273093758
0.02977395031515985,33.40782150002258
0.030468076825110164,32.63442132166775
0.031178385655737304,31.878377042843304
0.03190525406896504,31.139320700864715
0.032649068121905565,30.416891409141208
0.03341022287190357,29.710735244007395
0.034189122586360615,29.020505132652367
0.03498618095745122,28.345860742159335
0.03580182132184455,27.686468369668102
0.036636476885548615,27.042000833671246
0.037490590953996324,26.412137366454242
0.03836461716749552,25.7965635076886
0.03925901974216814,25.19497099918626
0.04017427371650645,24.60705768082247
0.04111086520367732,24.032527387633603
0.04206929164970846,23.47108984809548
0.043050062097693846,22.922460583586968
0.044053697458158646,22.38636080904271
0.04508073078572718,21.862517334798333
0.0461317075622409,21.35066246963046
0.047207185986476816,20.85053392499331
0.048307737270620134,20.361874720452974
0.04943394594364862,19.88443309031969
0.05058641016178988,19.41796239147791
0.05176574202621634,18.962221012413337
0.05297256790814677,18.516972283435358
0.05420752878152695,18.081984388093005
0.055471280563466153,17.657030275781757
0.056764494462610345,17.24188757553818
0.058087857335637094,16.83633851101873
0.059442072052061465,16.44016981665878
0.06082785786754676,16.053172655007163
0.06224595080591832,15.675142535231416
0.06369710405008329,15.305879232788245
0.065182088342064,14.94518671025346
0.06670169239235735,14.592873039305168
0.06825672329883778,14.248750323853688
0.06984800697542613,13.912634624311334
0.07147638859075219,13.584345882994795
0.07314273301704384,13.263707850652592
0.07484792528948132,12.950548014109817
0.07659287107626045,12.644697525021966
0.07837849715961458,12.345991129729569
0.08020575192805061,12.054267100204916
0.08207560588006087,11.769367166082052
0.08398905213957775,11.491136447760947
0.08594710698344561,11.219423390576521
0.08795081038118956,10.954079700023053
0.09000122654736799,10.694960278024281
0.09209944450680226,10.44192316023937
0.09424657867298372,10.194829454394712
0.09644376943996524,9.953543279631441
0.0986921837880516,9.717931706858353
0.10099301590361051,9.487864700099847
0.10334748781333343,9.26321505882835
0.10575685003328299,9.043858361270628
0.10822238223307189,8.82967290867722
0.1107453939155258,8.620539670544284
0.11332722511219159,8.41634223077689
0.11596924709505983,8.216966734782913
0.1186728631048801,8.022301837486461
0.12143950909645548,7.832238652249883
0.12427065450131236,7.646670700693209
0.12716780300815045,7.465493863399978
0.1301324933614877,7.288606331498276
0.133166300178924,7.115908559105897
0.13627083478745822,6.947303216628407
0.13944774607930224,6.782695144899018
0.14269872138764683,6.621991310149078
0.14602548738284454,6.465100759798062
0.14942981098948527,6.31193457905192
0.15291350032485218,6.162405848298686
0.1564784056592556,6.01642960129028
0.16012642039875574,5.87392278409944
0.16385948209079573,5.7348042148407865
0.16767957345327905,5.598994544145067
0.17158872342763834,5.466416216375629
0.17558900825645438,5.336993431576289
0.17968255258619795,5.210652108139761
0.18387153059568018,5.087319846185892
0.1881581671508106,4.966925891639027
0.19254473898627647,4.849401100993861
0.19703357591477055,4.734677906759223
0.20162706206441033,4.62269028356932
0.20632763714500502,4.513373714952019
0.2111377977438435,4.406665160743836
0.2160600986516914,4.302503025141393
0.22109715421970105,4.2008271253791625
0.2262516397479558,4.101578661023431
0.2315262929063854,4.0047001838724805
0.2369239151888078,3.91013556845308
0.24244737340086894,3.8178299831034965
0.24809960118267185,3.727729861633277
0.2538836005669023,3.6397828755502104
0.2598024435732801,3.553937906844916
0.26585927384018165,3.4701450213236558
0.27205730829430136,3.388355442480017
0.2783998388592378,3.308521525896262
0.28489023420391263,3.2305967341652027
0.2915319415317509,3.1545356123235813
0.2983284884115728,3.080293763788039
0.30528348465116956,3.0078278267848564
0.312400624214558,2.937095451264751
0.319683687183933,2.8680552762941343
0.32713654176735874,2.8006669079143207
0.33476314635326665,2.7348908974602937
0.342567551612849,2.670688720330759
0.35055390265146746,2.6080227552012794
0.35872644121021663,2.5468562636724394
0.36708950791881395,2.487153370345063
0.37564754460101146,2.4288790433146272
0.384405096633754,2.3719990750771247
0.3933668153613372,2.316480063838718
0.40253746056584705,2.262289395221664
0.4119219029951933,2.20939522435906
0.4215251269500799,2.1577664583710985
0.43135223293128533,2.1073727392156036
0.4414084403486604,2.0581844269057328
0.4516990902932807,2.0101725830878454
0.4622296483742272,1.9633089549726195
0.47300570762150146,1.9175659596126258
0.4840329914566168,1.8729166685196563
0.4953173567324439,1.8293347926152144
0.5068647968439245,1.7867946675076758
0.518681444911306,1.745271239089726
0.5307735770375881,1.7047400494497855
0.5431476156419098,1.6651772230912358
0.5558101328706495,1.6265594534533507
0.5687678540880483,1.5888639897279417
0.5820276614482107,1.5520686239658288
0.5955965975503807,1.5161516784673295
0.6094818691794339,1.4810919934510718
0.623690851133572,1.4468689149955234
0.6382310901412546,1.4134622832477184
0.6531103088694448,1.3808524208937758
0.668336410025303,1.349020121885866
0.6839174805535015,1.317946640420405
0.6998617959313941,1.2876136801623221
0.7161778245643184,1.2580033837103488
0.7328742322833682,1.2290983222983616
0.7499598869480216,1.2008814857278982
0.767443863156073,1.173336272527056
0.785335447063368,1.1464464803310588
0.8036441413159008,1.1201962964798777
0.8223796700968967,1.0945702888283573
0.841551984291557,1.069553396764392
0.8611712667722103,1.0451309224307792
0.8812479378066792,1.0212885221464463
0.9017926605927318,0.9980186734673785
0.9228163469215601,0.9762807070403041
0.9443301629732922,0.9566501725093757
0.9663455352476179,0.938970626233872
0.9888741566326669,0.923101085547806
1.0119279926153917,0.9089142608970644
1.0355192876367145,0.896294996210777
1.059660571594844,0.8851388894927394
1.0843646665002007,0.8753510695836365
1.1096446932854935,0.8668451084171832
1.1355140787745586,0.8595420509681367
1.1619865628136654,0.8533695475466093
1.1890762055690756,0.848261075197369
1.216797394994732,0.8441552367702009
1.2451648544740432,0.8409951277843335
1.274193650639824,0.8387277625553755
1.3038992013765407,0.8373035522199347
1.3342972840091187,0.8366758283087103
1.3654040436826531,0.8368004064066308
1.3972360019374808,0.8376351852181646
1.4298100654841637,0.8391397770438367
1.463143535183044,0.8412751662841592
1.4972541152331444,0.8440033931313847
1.532159922575288,0.8472872600975299
1.5678794965144378,0.8510900594672038
1.6044318085663625,0.8553753201626735
1.6418362725338593,0.8601065728718464
1.6801127548178876,0.8652471326218885
1.719281584969087,0.8707598982854684
1.7593635664852851,0.8766071687857554
1.8003799878607303,0.8827504760220443
1.8423526338929184,0.8891504347713989
1.8853037972530158,0.8957666100333713
1.9292562903260293,0.9025574024745857
1.9742334573270048,0.9094799527970513
2.0202591866996973,0.9164900659973848
2.06735792380429,0.9235421566020854
2.1155546839009083,0.9305892160547365
2.1648750654358198,0.9375828034922816
2.2153452636373765,0.9444730611769558
2.266992084428926,0.9512087558455318
2.319842958666075,0.9577373471956488
2.373925956705868,0.9640050846477195
2.4292698033156244,0.9699571333978604
2.4859038929293424,0.9755377306105144
2.543858305259787,0.9806903723872865
2.6031638212745376,0.9853580318900012
2.6638519395444935,0.989483408690723
2.725954892973516,0.9930092090699865
2.7895056659180875,0.9958784565881434
2.854538011706092,0.9980348318161263
2.921086470564008,0.9994230396347198
2.989186387962046,0.9999892020006536
3.0588739333869683,1.0
3.1301861195525644,1.0
3.203160822057984,1.0
3.2778367995043696,1.0
3.3542537140804716,1.0
3.43245215262818,1.0
3.512473648199163,1.0
3.5943607021140593,1.0
3.678156806535939,1.0
3.7639064675700284,1.0
3.8516552289019614,1.0
3.941449695987114,1.0
4.033337560803871,1.0
4.127367627183972,1.0
4.223589836733384,1.0
4.322055295357484,1.0
4.422816300404612,1.0
4.525926368442446,1.0
4.6314402636819185,1.0
4.739414027063797,1.0
4.849905006023358,1.0
4.962971884948977,1.0
5.078674716350799,1.0
5.197074952756061,1.0
5.318235479347992,1.0
5.442220647365626,1.0
5.569096308282276,1.0
5.6989298487808275,1.0
5.831790226544397,1.0
5.9677480068814095,1.0
6.106875400204504,1.0
6.24924630038321,1.0
6.394936323990734,1.0
6.544022850465726,1.0
6.696585063210337,1.0
6.8527039916464085,1.0
7.01246255425213,1.0
7.175945602602012,1.0
7.343239966433583,1.0
7.514434499764717,1.0
7.689620128086133,1.0
7.868889896654076,1.0
8.052339019908866,1.0
8.240064932045563,1.0
8.432167338763575,1.0
8.62874827022274,1.0
8.829912135233958,1.0
9.035765776713205,1.0
9.24641852842835,1.0
9.46198227306891,1.0
9.682571501669624,1.0
9.908303374419349,1.0
10.139297782887638,1.0
10.375677413702004,1.0
