alpha,A_s,n_s
-0.5,1.05e-09,0.9698
-0.475,1.1025e-09,0.969555
-0.45,1.1550000000000003e-09,0.96931
-0.425,1.2075e-09,0.969065
-0.4,1.26e-09,0.96882
-0.375,1.3125000000000002e-09,0.968575
-0.35,1.3650000000000001e-09,0.96833
-0.325,1.4175000000000003e-09,0.968085
-0.3,1.47e-09,0.96784
-0.275,1.5225e-09,0.967595
-0.25,1.575e-09,0.96735
-0.225,1.6275000000000002e-09,0.967105
-0.2,1.6800000000000002e-09,0.96686
-0.175,1.7325e-09,0.966615
-0.15,1.7850000000000004e-09,0.96637
-0.125,1.8375000000000001e-09,0.966125
-0.1,1.8900000000000003e-09,0.96588
-0.075,1.9425000000000003e-09,0.965635
-0.05,1.9950000000000002e-09,0.96539
-0.025,2.0475000000000002e-09,0.965145
0.0,2.1e-09,0.9649
0.025,2.1525e-09,0.964655
0.05,2.205e-09,0.96441
0.075,2.2575000000000005e-09,0.964165
0.1,2.3100000000000005e-09,0.96392
0.125,2.3625e-09,0.963675
0.15,2.415e-09,0.96343
0.175,2.4675000000000004e-09,0.963185
0.2,2.520000000000001e-09,0.96294
0.225,2.5725000000000004e-09,0.962695
0.25,2.6250000000000003e-09,0.96245
0.275,2.6775e-09,0.962205
0.3,2.7300000000000003e-09,0.96196
0.325,2.7825000000000007e-09,0.961715
0.35,2.8350000000000007e-09,0.96147
0.375,2.8875000000000002e-09,0.961225
0.4,2.94e-09,0.96098
0.425,2.9925000000000006e-09,0.960735
0.45,3.0450000000000005e-09,0.96049
0.475,3.0975000000000005e-09,0.960245
0.5,3.15e-09,0.96
