alpha,k,P_R
-0.5,0.0001,1.386721659903745e-09
-0.5,0.00011497569953977356,1.3808897184378303e-09
-0.5,0.00013219411484660288,1.3750823035530206e-09
-0.5,0.0001519911082952933,1.369299312101302e-09
-0.5,0.0001747528400007683,1.3635406413684555e-09
-0.5,0.00020092330025650479,1.3578061890722329e-09
-0.5,0.00023101297000831605,1.3520958533605402e-09
-0.5,0.00026560877829466864,1.3464095328096286e-09
-0.5,0.0003053855508833416,1.3407471264222933e-09
-0.5,0.0003511191734215131,1.3351085336260784e-09
-0.5,0.0004037017258596554,1.3294936542714925e-09
-0.5,0.0004641588833612782,1.3239023886302287e-09
-0.5,0.0005336699231206312,1.3183346373933927e-09
-0.5,0.0006135907273413176,1.3127903016697409e-09
-0.5,0.0007054802310718645,1.3072692829839218e-09
-0.5,0.0008111308307896872,1.3017714832747288e-09
-0.5,0.0009326033468832199,1.2962968048933569e-09
-0.5,0.0010722672220103231,1.290845150601669e-09
-0.5,0.0012328467394420659,1.28541642357047e-09
-0.5,0.0014174741629268048,1.2800105273777844e-09
-0.5,0.0016297508346206436,1.2746273660071457e-09
-0.5,0.001873817422860383,1.2692668438458903e-09
-0.5,0.0021544346900318843,1.2639288656834596e-09
-0.5,0.0024770763559917113,1.2586133367097093e-09
-0.5,0.002848035868435802,1.2533201625132231e-09
-0.5,0.0032745491628777285,1.2480492490796398e-09
-0.5,0.0037649358067924675,1.2428005027899793e-09
-0.5,0.004328761281083062,1.2375738304189833e-09
-0.5,0.004977023564332114,1.2323691391334572e-09
-0.5,0.00572236765935022,1.2271863364906217e-09
-0.5,0.006579332246575682,1.2220253304364722e-09
-0.5,0.007564633275546291,1.2168860293041418e-09
-0.5,0.008697490026177835,1.2117683418122742e-09
-0.5,0.01,1.206672177063403e-09
-0.5,0.011497569953977356,1.2015974445423358e-09
-0.5,0.013219411484660288,1.1965440541145479e-09
-0.5,0.01519911082952933,1.1915119160245808e-09
-0.5,0.01747528400007685,1.186500940894447e-09
-0.5,0.02009233002565048,1.1815110397220448e-09
-0.5,0.023101297000831605,1.1765421238795754e-09
-0.5,0.026560877829466867,1.17159410511197e-09
-0.5,0.030538555088334154,1.1666668955353215e-09
-0.5,0.03511191734215131,1.1617604076353238e-09
-0.5,0.040370172585965536,1.1568745542657176e-09
-0.5,0.04641588833612782,1.1520092486467427e-09
-0.5,0.05336699231206313,1.147164404363596e-09
-0.5,0.061359072734131756,1.1423399353648975e-09
-0.5,0.07054802310718646,1.1375357559611611e-09
-0.5,0.08111308307896872,1.132751780823273e-09
-0.5,0.093260334688322,1.127987924980976e-09
-0.5,0.10722672220103231,1.1232441038213612e-09
-0.5,0.12328467394420659,1.1185202330873635e-09
-0.5,0.14174741629268048,1.1138162288762662e-09
-0.5,0.16297508346206452,1.109132007638211e-09
-0.5,0.1873817422860385,1.1044674861747132e-09
-0.5,0.21544346900318845,1.099822581637184e-09
-0.5,0.24770763559917114,1.0951972115254599e-09
-0.5,0.2848035868435802,1.0905912936863364e-09
-0.5,0.32745491628777285,1.0860047463121096e-09
-0.5,0.37649358067924676,1.0814374879391224e-09
-0.5,0.43287612810830617,1.0768894374463189e-09
-0.5,0.49770235643321137,1.0723605140538013e-09
-0.5,0.572236765935022,1.0678506373213976e-09
-0.5,0.6579332246575682,1.0633597271472315e-09
-0.5,0.7564633275546291,1.0588877037663e-09
-0.5,0.8697490026177834,1.0544344877490565e-09
-0.5,1.0,1.05e-09
-0.5,1.1497569953977356,1.045584161756271e-09
-0.5,1.3219411484660286,1.0411868945862512e-09
-0.5,1.5199110829529332,1.0368081203881716e-09
-0.5,1.747528400007683,1.032447761388725e-09
-0.5,2.009233002565046,1.0281057401416842e-09
-0.5,2.310129700083158,1.0237819795265269e-09
-0.5,2.6560877829466896,1.019476402747066e-09
-0.5,3.0538555088334185,1.015188933330085e-09
-0.5,3.5111917342151346,1.0109194951239807e-09
-0.5,4.037017258596558,1.0066680122974096e-09
-0.5,4.641588833612782,1.0024344093379412e-09
-0.5,5.336699231206313,9.98218611050718e-10
-0.5,6.135907273413176,9.940205425571182e-10
-0.5,7.054802310718645,9.898401292934266e-10
-0.5,8.111308307896872,9.856772970095107e-10
-0.5,9.326033468832199,9.81531971767501e-10
-0.5,10.722672220103231,9.774040799404783e-10
-0.5,12.32846739442066,9.732935482111658e-10
-0.5,14.174741629268048,9.692003035706273e-10
-0.5,16.297508346206435,9.65124273316969e-10
-0.5,18.73817422860383,9.610653850540508e-10
-0.5,21.544346900318867,9.570235666901973e-10
-0.5,24.77076355991714,9.529987464369205e-10
-0.5,28.48035868435805,9.489908528076424e-10
-0.5,32.745491628777316,9.44999814616426e-10
-0.5,37.649358067924716,9.410255609767118e-10
-0.5,43.287612810830616,9.370680213000568e-10
-0.5,49.770235643321136,9.331271252948832e-10
-0.5,57.223676593502205,9.292028029652278e-10
-0.5,65.79332246575683,9.252949846095e-10
-0.5,75.64633275546291,9.214036008192435e-10
-0.5,86.97490026177834,9.175285824779032e-10
-0.5,100.0,9.13669860759598e-10
-0.475,0.0001,1.4593470956866378e-09
-0.475,0.00011497569953977356,1.4531600393305757e-09
-0.475,0.00013219411484660288,1.4469992136542921e-09
-0.475,0.0001519911082952933,1.4408645074500464e-09
-0.475,0.0001747528400007683,1.4347558099815742e-09
-0.475,0.00020092330025650479,1.4286730109820894e-09
-0.475,0.00023101297000831605,1.4226160006522935e-09
-0.475,0.00026560877829466864,1.4165846696583943e-09
-0.475,0.0003053855508833416,1.4105789091301313e-09
-0.475,0.0003511191734215131,1.4045986106588106e-09
-0.475,0.0004037017258596554,1.3986436662953493e-09
-0.475,0.0004641588833612782,1.3927139685483255e-09
-0.475,0.0005336699231206312,1.3868094103820387e-09
-0.475,0.0006135907273413176,1.3809298852145772e-09
-0.475,0.0007054802310718645,1.3750752869158956e-09
-0.475,0.0008111308307896872,1.3692455098058968e-09
-0.475,0.0009326033468832199,1.3634404486525264e-09
-0.475,0.0010722672220103231,1.3576599986698727e-09
-0.475,0.0012328467394420659,1.3519040555162736e-09
-0.475,0.0014174741629268048,1.3461725152924363e-09
-0.475,0.0016297508346206436,1.3404652745395586e-09
-0.475,0.001873817422860383,1.3347822302374637e-09
-0.475,0.0021544346900318843,1.3291232798027393e-09
-0.475,0.0024770763559917113,1.3234883210868865e-09
-0.475,0.002848035868435802,1.3178772523744759e-09
-0.475,0.0032745491628777285,1.312289972381311e-09
-0.475,0.0037649358067924675,1.3067263802526004e-09
-0.475,0.004328761281083062,1.301186375561138e-09
-0.475,0.004977023564332114,1.2956698583054886e-09
-0.475,0.00572236765935022,1.2901767289081841e-09
-0.475,0.006579332246575682,1.2847068882139254e-09
-0.475,0.007564633275546291,1.279260237487793e-09
-0.475,0.008697490026177835,1.2738366784134642e-09
-0.475,0.01,1.2684361130914391e-09
-0.475,0.011497569953977356,1.263058444037273e-09
-0.475,0.013219411484660288,1.2577035741798167e-09
-0.475,0.01519911082952933,1.2523714068594642e-09
-0.475,0.01747528400007685,1.247061845826409e-09
-0.475,0.02009233002565048,1.2417747952389043e-09
-0.475,0.023101297000831605,1.2365101596615363e-09
-0.475,0.026560877829466867,1.2312678440634982e-09
-0.475,0.030538555088334154,1.2260477538168775e-09
-0.475,0.03511191734215131,1.220849794694946e-09
-0.475,0.040370172585965536,1.2156738728704601e-09
-0.475,0.04641588833612782,1.2105198949139663e-09
-0.475,0.05336699231206313,1.2053877677921159e-09
-0.475,0.061359072734131756,1.2002773988659839e-09
-0.475,0.07054802310718646,1.1951886958893986e-09
-0.475,0.08111308307896872,1.1901215670072756e-09
-0.475,0.093260334688322,1.1850759207539592e-09
-0.475,0.10722672220103231,1.1800516660515734e-09
-0.475,0.12328467394420659,1.1750487122083746e-09
-0.475,0.14174741629268048,1.170066968917118e-09
-0.475,0.16297508346206452,1.1651063462534252e-09
-0.475,0.1873817422860385,1.1601667546741622e-09
-0.475,0.21544346900318845,1.155248105015822e-09
-0.475,0.24770763559917114,1.150350308492916e-09
-0.475,0.2848035868435802,1.1454732766963712e-09
-0.475,0.32745491628777285,1.1406169215919338e-09
-0.475,0.37649358067924676,1.1357811555185807e-09
-0.475,0.43287612810830617,1.1309658911869378e-09
-0.475,0.49770235643321137,1.1261710416777017e-09
-0.475,0.572236765935022,1.1213965204400746e-09
-0.475,0.6579332246575682,1.116642241290199e-09
-0.475,0.7564633275546291,1.1119081184096024e-09
-0.475,0.8697490026177834,1.10719406634365e-09
-0.475,1.0,1.1025e-09
-0.475,1.1497569953977356,1.0978258346470694e-09
-0.475,1.3219411484660286,1.0931714859125028e-09
-0.475,1.5199110829529332,1.088536869781651e-09
-0.475,1.747528400007683,1.0839219025960537e-09
-0.475,2.009233002565046,1.079326501051929e-09
-0.475,2.310129700083158,1.0747505821986712e-09
-0.475,2.6560877829466896,1.0701940634373512e-09
-0.475,3.0538555088334185,1.0656568625192279e-09
-0.475,3.5111917342151346,1.0611388975442614e-09
-0.475,4.037017258596558,1.056640086959637e-09
-0.475,4.641588833612782,1.0521603495582904e-09
-0.475,5.336699231206313,1.0476996044774444e-09
-0.475,6.135907273413176,1.0432577711971472e-09
-0.475,7.054802310718645,1.03883476953882e-09
-0.475,8.111308307896872,1.0344305196638104e-09
-0.475,9.326033468832199,1.0300449420719495e-09
-0.475,10.722672220103231,1.025677957600118e-09
-0.475,12.32846739442066,1.021329487420817e-09
-0.475,14.174741629268048,1.0169994530407454e-09
-0.475,16.297508346206435,1.0126877762993825e-09
-0.475,18.73817422860383,1.0083943793675776e-09
-0.475,21.544346900318867,1.0041191847461443e-09
-0.475,24.77076355991714,9.99862115264463e-10
-0.475,28.48035868435805,9.95623094079087e-10
-0.475,32.745491628777316,9.914020446723548e-10
-0.475,37.649358067924716,9.871988908510103e-10
-0.475,43.287612810830616,9.830135567448266e-10
-0.475,49.770235643321136,9.788459668052366e-10
-0.475,57.223676593502205,9.746960458039695e-10
-0.475,65.79332246575683,9.705637188316924e-10
-0.475,75.64633275546291,9.664489112966586e-10
-0.475,86.97490026177834,9.623515489233611e-10
-0.475,100.0,9.582715577511916e-10
-0.45,0.0001,1.5322935879320079e-09
-0.45,0.00011497569953977356,1.5257451012430816e-09
-0.45,0.00013219411484660288,1.5192246004951345e-09
-0.45,0.0001519911082952933,1.5127319660860468e-09
-0.45,0.0001747528400007683,1.5062670789248354e-09
-0.45,0.00020092330025650479,1.4998298204294711e-09
-0.45,0.00023101297000831605,1.4934200725247028e-09
-0.45,0.00026560877829466864,1.4870377176398912e-09
-0.45,0.0003053855508833416,1.4806826387068527e-09
-0.45,0.0003511191734215131,1.4743547191577131e-09
-0.45,0.0004037017258596554,1.4680538429227675e-09
-0.45,0.0004641588833612782,1.461779894428353e-09
-0.45,0.0005336699231206312,1.4555327585947278e-09
-0.45,0.0006135907273413176,1.4493123208339602e-09
-0.45,0.0007054802310718645,1.4431184670478285e-09
-0.45,0.0008111308307896872,1.4369510836257253e-09
-0.45,0.0009326033468832199,1.4308100574425768e-09
-0.45,0.0010722672220103231,1.4246952758567645e-09
-0.45,0.0012328467394420659,1.4186066267080619e-09
-0.45,0.0014174741629268048,1.4125439983155761e-09
-0.45,0.0016297508346206436,1.4065072794756986e-09
-0.45,0.001873817422860383,1.4004963594600667e-09
-0.45,0.0021544346900318843,1.394511128013532e-09
-0.45,0.0024770763559917113,1.3885514753521378e-09
-0.45,0.002848035868435802,1.3826172921611056e-09
-0.45,0.0032745491628777285,1.37670846959283e-09
-0.45,0.0037649358067924675,1.3708248992648825e-09
-0.45,0.004328761281083062,1.364966473258023e-09
-0.45,0.004977023564332114,1.3591330841142205e-09
-0.45,0.00572236765935022,1.3533246248346814e-09
-0.45,0.006579332246575682,1.347540988877889e-09
-0.45,0.007564633275546291,1.3417820701576462e-09
-0.45,0.008697490026177835,1.3360477630411321e-09
-0.45,0.01,1.330337962346963e-09
-0.45,0.011497569953977356,1.324652563343264e-09
-0.45,0.013219411484660288,1.3189914617457482e-09
-0.45,0.01519911082952933,1.3133545537158014e-09
-0.45,0.01747528400007685,1.307741735858581e-09
-0.45,0.02009233002565048,1.3021529052211177e-09
-0.45,0.023101297000831605,1.2965879592904258e-09
-0.45,0.026560877829466867,1.2910467959916255e-09
-0.45,0.030538555088334154,1.2855293136860695e-09
-0.45,0.03511191734215131,1.2800354111694767e-09
-0.45,0.040370172585965536,1.2745649876700805e-09
