R_over_R0,f_R,f_RR,m_s2_over_R0,z,T_Gyr,hamiltonian_energy_proxy
93649719557482.95,0.009883156297600356,1.0553321717104431e-16,333333.0003963513,67760.0294221588,1e-06,-330070.85851239023
90020018779985.14,0.010065219895898618,1.1181090517974545e-16,333332.9996843034,66873.03597615735,1.0199612933803441e-06,-330011.3627500787
86530998912119.8,0.010250143574923685,1.1845631721965272e-16,333332.9977832444,65997.65329492673,1.0403210399941043e-06,-329950.95314086764
83177207405716.03,0.010437962565046649,1.2549065741823412e-16,333332.9979636671,65133.72939328691,1.0610871934831714e-06,-329889.6224341026
79953403043917.48,0.010628712357243886,1.329363331598213e-16,333333.00004701875,64281.11427554741,1.082267866254415e-06,-329827.3599109758
76854547750346.97,0.010822428702107036,1.4081702225931445e-16,333332.99830307654,63439.65990946481,1.1038713326488384e-06,-329764.14930867247
73875798715733.55,0.011019147608794905,1.4915774382403435e-16,333332.99909634324,62609.220200541204,1.1259060321739932e-06,-329699.9862808964
71012500829697.95,0.011218905343926654,1.5798493300281082e-16,333332.99905096105,61789.65096665901,1.1483805728009174e-06,-329634.8567945245
68260179405869.14,0.011421738430415789,1.6732651983196184e-16,333332.9998428493,60980.80991304793,1.1713037343268843e-06,-329568.7517653469
65614533188962.52,0.011627683646244554,1.772120123989344e-16,333333.00055822154,60182.556607579536,1.1946844718052758e-06,-329501.6595006356
63071427632891.49,0.011836778023178073,1.876725845560668e-16,333332.99971025536,59394.75245638518,1.2185319190439224e-06,-329433.5676960536
60626888439408.03,0.012049058845417994,1.9874116842923817e-16,333333.0002912528,58617.26067979316,1.2428553921732718e-06,-329364.46842955524
58277095347174.41,0.012264563648194844,2.104525519791054e-16,333332.9996691495,57849.94628858088,1.2676643932857852e-06,-329294.34817694256
56018376161559.41,0.012483330216299143,2.2284348188625503e-16,333333.0006395125,57092.676060537786,1.2929686141479788e-06,-329223.1987348392
53847201015829.58,0.012705396582550266,2.3595277204589884e-16,333333.0013132021,56345.31851733514,1.3187779399865635e-06,-329151.007230789
51760176854766.66,0.012930801026203066,2.49821417972823e-16,333332.99876427406,55607.74390169858,1.345102453350161e-06,-329077.7597310433
49754042132090.3,0.0131595820712917,2.6449271743313486e-16,333333.0013104008,54879.824154879476,1.3719524380481043e-06,-329003.45336411725
47825661713399.84,0.013391778484910086,2.800123976360132e-16,333333.0000425729,54161.43289442119,1.3993383831678609e-06,-328928.06821556075
45972021976668.76,0.013627429275428862,2.964287493362041e-16,333332.99811334675,53452.44539221635,1.427270987172651e-06,-328851.59624342754
44190226102635.89,0.013866573690648335,3.13792768216426e-16,333332.9993657269,52752.738552851435,1.4557611620808576e-06,-328774.0300504608
42477489547732.63,0.01410925121588706,3.321583039382376e-16,333333.0012258443,52062.1908922347,1.4848200377288643e-06,-328695.3558762903
40831135692471.78,0.01435550157200553,3.515822172702987e-16,333333.00034407974,51380.68251650401,1.5144589661189839e-06,-328615.55916786
39248591658497.27,0.014605364713365128,3.7212454572440465e-16,333332.99990107235,50708.09510121067,1.5446895258541775e-06,-328534.63178291183
37727384287757.69,0.014858880825721338,3.9384867815218964e-16,333332.9996138466,50044.311870775724,1.5755235266612973e-06,-328452.56213616254
36265136277520.195,0.015116090324051415,4.1682153877911553e-16,333332.9992514027,49389.217578215284,1.606973014004618e-06,-328369.33866844146
34859562465184.543,0.015377033850316031,4.4111378117726717e-16,333333.0001781821,48742.698485131135,1.63905027379146e-06,-328284.95136844023
33508466257091.3,0.01564175227115451,4.667999927046725e-16,333333.0001512579,48104.64234196334,1.6717678371717445e-06,-328199.38664973783
