T_Gyr,I1,I2,I3
1e-06,200215.26286503006,1e-47,1.0
1.0232929922807537e-06,197999.77502574862,1.0471285480508988e-47,1.0
1.0471285480508985e-06,195798.65635019128,1.096478196143183e-47,1.0
1.0715193052376049e-06,193611.98963050926,1.1481536214968793e-47,1.0
1.0964781961431828e-06,191439.85397562257,1.202264434617408e-47,1.0
1.1220184543019607e-06,189282.3248430904,1.258925411794161e-47,1.0
1.1481536214968793e-06,187139.47407162495,1.3182567385563994e-47,1.0
1.1748975549395255e-06,185011.36991422588,1.3803842646028755e-47,1.0
1.202264434617408e-06,182898.07707191602,1.445439770745916e-47,1.0
1.230268770812376e-06,180799.656728055,1.5135612484361946e-47,1.0
1.258925411794161e-06,178716.16658321072,1.584893192461098e-47,1.0
1.288249551693127e-06,176647.66089056648,1.6595869074375423e-47,1.0
1.3182567385563993e-06,174594.19049184283,1.737800828749355e-47,1.0
1.348962882591645e-06,172555.8028537139,1.8197008586099603e-47,1.0
1.3803842646028753e-06,170532.54210469613,1.9054607179632209e-47,1.0
1.412537544622744e-06,168524.44907248914,1.9952623149688505e-47,1.0
1.445439770745916e-06,166531.56132174877,2.0892961308540062e-47,1.0
1.479108388168195e-06,164553.9131922704,2.1877616239495158e-47,1.0
1.5135612484361947e-06,162591.5358375636,2.290867652767732e-47,1.0
1.548816618912467e-06,160644.4572637971,2.398832919019446e-47,1.0
1.584893192461098e-06,158712.70236909486,2.5118864315095313e-47,1.0
1.6218100973589132e-06,156796.2929831622,2.6302679918953275e-47,1.0
1.6595869074375427e-06,154895.247907224,2.754228703338107e-47,1.0
1.6982436524617251e-06,153009.58295425453,2.8840315031265404e-47,1.0
1.737800828749355e-06,151139.3109894795,3.019951720401945e-47,1.0
1.7782794100389009e-06,149284.44197113215,3.1622776601683014e-47,1.0
1.8197008586099601e-06,147444.9829914446,3.311311214825826e-47,1.0
1.8620871366628427e-06,145620.93831785416,3.467368504525224e-47,1.0
1.905460717963221e-06,143812.30943440905,3.6307805477009134e-47,1.0
1.9498445997580175e-06,142019.095083353,3.8018939632055035e-47,1.0
1.9952623149688503e-06,140241.29130687195,3.9810717055348555e-47,1.0
2.041737944669498e-06,138478.891488985,4.1686938347032265e-47,1.0
2.0892961308540068e-06,136731.88639756225,4.365158322401523e-47,1.0
2.1379620895021975e-06,135000.2642264522,4.570881896148602e-47,1.0
2.187761623949516e-06,133284.01063770178,4.786300923226224e-47,1.0
2.238721138568301e-06,131583.10880385267,5.01187233627255e-47,1.0
2.2908676527677324e-06,129897.53945029686,5.24807460249754e-47,1.0
2.3442288153198794e-06,128227.28089767604,5.495408738576046e-47,1.0
2.3988329190194456e-06,126572.30910430847,5.754399373371354e-47,1.0
2.4547089156849835e-06,124932.5977086275,6.025595860743347e-47,1.0
2.5118864315095306e-06,123308.11807161706,6.309573444801684e-47,1.0
2.570395782768812e-06,121698.8393192285,6.606934480075694e-47,1.0
2.630267991895328e-06,120104.72838476393,6.91830970918908e-47,1.0
2.6915348039268587e-06,118525.75005121194,7.244359600749594e-47,1.0
2.754228703338107e-06,116961.86699352099,7.585775750291511e-47,1.0
2.8183829312643916e-06,115413.03982079688,7.943282347242464e-47,1.0
2.8840315031265407e-06,113879.22711841013,8.317637711026334e-47,1.0
2.9512092266663176e-06,112360.38549000023,8.709635899560405e-47,1.0
3.019951720401945e-06,110856.46959936369,9.120108393558669e-47,1.0
3.090295432513516e-06,109367.43221221254,9.549925860213899e-47,1.0
3.1622776601683017e-06,107893.22423779103,9.999999999999508e-47,1.0
3.2359365692962017e-06,106433.79477033846,1.0471285480508473e-46,1.0
3.3113112148258264e-06,104989.09113038584,1.096478196143129e-46,1.0
3.3884415613919373e-06,103559.05890587447,1.148153621496823e-46,1.0
3.4673685045252245e-06,102143.64199308559,1.2022644346173492e-46,1.0
3.548133892335659e-06,100742.7826373695,1.2589254117940992e-46,1.0
3.6307805477009137e-06,99356.42147366353,1.3182567385563347e-46,1.0
3.7153522909716213e-06,97984.49756678814,1.3803842646028075e-46,1.0
3.8018939632055035e-06,96626.94845151088,1.445439770745845e-46,1.0
3.890451449942693e-06,95283.71017236856,1.5135612484361204e-46,1.0
3.981071705534856e-06,93954.71732323733,1.5848931924610203e-46,1.0
4.073802778041005e-06,92639.90308664175,1.6595869074374613e-46,1.0
4.168693834703227e-06,91339.19927279338,1.7378008287492696e-46,1.0
4.265795188015794e-06,90052.53635835036,1.819700858609871e-46,1.0
4.365158322401523e-06,88779.84352488907,1.9054607179631278e-46,1.0
4.466835921509489e-06,87521.04869707972,1.9952623149687524e-46,1.0
4.570881896148602e-06,86276.07858055794,2.0892961308539037e-46,1.0
4.677351412871828e-06,85044.85869948434,2.1877616239494085e-46,1.0
4.786300923226223e-06,83827.31343378506,2.2908676527676197e-46,1.0
4.897788193684296e-06,82623.36605606551,2.3988329190193276e-46,1.0
5.0118723362725505e-06,81432.93876819081,2.5118864315094074e-46,1.0
5.12861383991347e-06,80255.95273752617,2.630267991895199e-46,1.0
5.24807460249754e-06,79092.3281328308,2.7542287033379713e-46,1.0
5.370317963702335e-06,77941.98415979893,2.8840315031263996e-46,1.0
5.495408738576046e-06,76804.83909624294,3.0199517204017967e-46,1.0
5.623413251903284e-06,75680.81032691167,3.1622776601681463e-46,1.0
5.754399373371355e-06,74569.81437793998,3.3113112148256644e-46,1.0
5.888436553555667e-06,73471.76695092332,3.4673685045250543e-46,1.0
6.025595860743347e-06,72386.58295661319,3.630780547700736e-46,1.0
6.165950018614582e-06,71314.17654822851,3.801893963205317e-46,1.0
6.309573444801685e-06,70254.4611543788,3.98107170553466e-46,1.0
6.456542290346298e-06,69207.34951159485,4.168693834703022e-46,1.0
6.606934480075694e-06,68172.75369646314,4.365158322401308e-46,1.0
6.760829753919542e-06,67150.58515736047,4.5708818961483774e-46,1.0
6.91830970918908e-06,66140.75474578509,4.786300923225989e-46,1.0
7.079457843841084e-06,65143.17274728163,5.011872336272305e-46,1.0
7.244359600749595e-06,64157.748911956434,5.248074602497283e-46,1.0
7.413102413008859e-06,63184.39248458092,5.495408738575776e-46,1.0
7.58577575029151e-06,62223.01223428038,5.754399373371073e-46,1.0
7.762471166286579e-06,61273.51648380577,6.025595860743052e-46,1.0
7.943282347242464e-06,60335.81313838676,6.309573444801375e-46,1.0
8.128305161640629e-06,59409.80971416401,6.6069344800753684e-46,1.0
8.317637711026335e-06,58495.413366198925,6.918309709188741e-46,1.0
8.511380382023377e-06,57592.53091605974,7.24435960074924e-46,1.0
8.709635899560404e-06,56701.06887898246,7.585775750291136e-46,1.0
8.91250938133704e-06,55820.93349060572,7.943282347242074e-46,1.0
9.120108393558668e-06,54952.03073327872,8.317637711025925e-46,1.0
9.332543007969465e-06,54094.26636194153,8.709635899559976e-46,1.0
9.5499258602139e-06,53247.545929577405,9.120108393558218e-46,1.0
9.772372209557632e-06,52411.77481223658,9.54992586021343e-46,1.0
9.99999999999951e-06,51586.85823363185,9.99999999999902e-46,1.0
1.0232929922807033e-05,50772.701289305565,1.0471285480507957e-45,1.0
1.047128548050847e-05,49969.20897036847,1.0964781961430752e-45,1.0
1.0715193052375523e-05,49176.286186810925,1.1481536214967667e-45,1.0
1.0964781961431291e-05,48393.837790386824,1.2022644346172904e-45,1.0
1.1220184543019056e-05,47621.76859707105,1.2589254117940374e-45,1.0
1.148153621496823e-05,46859.98340909141,1.3182567385562696e-45,1.0
1.1748975549394679e-05,46108.387036536005,1.3803842646027401e-45,1.0
1.2022644346173491e-05,45366.88431853724,1.4454397707457744e-45,1.0
1.2302687708123157e-05,44635.380144033756,1.513561248436046e-45,1.0
1.2589254117940992e-05,43913.779472111884,1.5848931924609422e-45,1.0
1.2882495516930637e-05,43201.987351928095,1.6595869074373795e-45,1.0
1.3182567385563346e-05,42499.90894221422,1.7378008287491842e-45,1.0
1.3489628825915788e-05,41807.44953036734,1.8197008586097817e-45,1.0
1.3803842646028076e-05,41124.514551126405,1.905460717963034e-45,1.0
1.4125375446226745e-05,40451.009604837454,1.9952623149686544e-45,1.0
1.4454397707458452e-05,39786.840475310004,2.0892961308538017e-45,1.0
1.4791083881681225e-05,39131.91314726673,2.1877616239493014e-45,1.0
1.5135612484361206e-05,38486.133823388955,2.290867652767508e-45,1.0
1.548816618912391e-05,37849.40894096063,2.3988329190192106e-45,1.0
1.5848931924610203e-05,37221.64518811326,2.5118864315092846e-45,1.0
1.6218100973588336e-05,36602.74951967481,2.630267991895069e-45,1.0
1.6595869074374612e-05,35992.62917262526,2.7542287033378364e-45,1.0
1.698243652461642e-05,35391.191681161916,2.884031503126258e-45,1.0
1.7378008287492697e-05,34798.344891377485,3.0199517204016485e-45,1.0
1.7782794100388138e-05,34213.99697555399,3.162277660167992e-45,1.0
1.819700858609871e-05,33638.056446076,3.311311214825501e-45,1.0
