T_Gyr,dchi2_smooth
1e-06,41925.85229871286
1.023280232644729e-06,41037.76826475908
1.047102434521453e-06,40154.151879682075
1.0714792227999746e-06,39276.23003627664
1.0964235083807514e-06,38405.22962733757
1.1219485027330053e-06,37542.377545659634
1.1480677248920374e-06,36688.90068403763
1.174795008619429e-06,35846.025935266334
1.2021445097299555e-06,35014.980192140545
1.2301307135890526e-06,34196.99034745504
1.258768442784835e-06,33393.28329400403
1.2880728649787091e-06,32589.79040675451
1.3180595009387761e-06,31832.125365013926
1.3487442327602263e-06,31091.899966754663
1.380143312277124e-06,30368.716909961626
1.412273369670002e-06,29662.187844172902
1.4451514222738753e-06,28971.9331739026
1.478794883591272e-06,28297.581860932372
1.513221572515115e-06,27638.77123408805
1.5484497227662896e-06,26995.14680535635
1.584497992550955e-06,26366.36208453572
1.6213854744426474e-06,25752.07840088186
1.65913170549446e-06,25151.96473116321
1.697756677586617e-06,24565.69752802142
1.7372808480149756e-06,23992.960549728672
1.7777251503259964e-06,23433.44470230269
1.8191110054039753e-06,22886.847878031695
1.8614603328163667e-06,22352.874797927052
1.9047955624232666e-06,21831.236859234927
1.9491396462571276e-06,21321.65198747815
1.9945160706790627e-06,20823.844492860302
2.040948868818122e-06,20337.544921278975
2.0884626333002044e-06,19862.489918511055
2.1370825292732565e-06,19398.422096484646
2.1868343077357286e-06,18945.089894175533
2.237744319175291e-06,18502.247448973263
2.2898395275251126e-06,18069.654471431513
2.343147524444994e-06,17647.076118742152
2.3976965439349992e-06,17234.282871316595
2.4535154772892685e-06,16831.05041576963
2.5106338883980062e-06,16437.159527302545
2.5690820294056526e-06,16052.395954158255
2.628890856733614e-06,15676.550308493712
2.6900920474759736e-06,15309.417955801446
2.75271801617695e-06,14950.798907850529
2.8168019319988862e-06,14600.497720239
2.882377736289948e-06,14258.323387882636
2.949480160560766e-06,13924.089246370859
3.018144744879633e-06,13597.612874965607
3.0884078566958973e-06,13278.71600037661
3.160306710101593e-06,12967.224404569484
3.2338793855414566e-06,12662.96783154862
3.309164849981855e-06,12365.779900177842
3.3862029775491996e-06,12075.498017150721
3.465034570648819e-06,11791.963288724588
3.545701381575552e-06,11515.020440674623
3.628246134627368e-06,11244.517736085696
3.7127125487338323e-06,10980.306894194784
3.7991453606113685e-06,10722.243014230453
3.887590348457544e-06,10470.184498278584
3.978094356197039e-06,10223.992976566846
4.070705318291998e-06,9983.533235499624
4.165472285129972e-06,9748.673145831232
4.262445449002968e-06,9519.28359340017
4.3616761706912245e-06,9295.238410980375
4.4632170066658864e-06,9076.414311275885
4.567121736924989e-06,8862.690822460172
4.673445393477402e-06,8653.950224823993
4.782244289489993e-06,8450.077487878838
4.893576049113257e-06,8250.960209378387
5.007499638001287e-06,8056.488557009866
5.124075394542354e-06,7866.555209635587
5.243365061816431e-06,7681.055300124541
5.365431820296762e-06,7499.886359793844
5.490340321312714e-06,7322.948265307608
5.6181567212916104e-06,7150.143184793283
5.748948716797827e-06,6981.375525301994
5.882785580387509e-06,6816.551882897628
6.0197381972979876e-06,6655.580993225668
6.159879102991447e-06,6498.373682572212
6.3032825215724925e-06,6344.842820090264
6.450024405100167e-06,6194.903272852169
6.600182473815079e-06,6048.471858914867
6.7538362573031575e-06,5905.467303865352
6.911067136617581e-06,5765.810197882839
7.071958387381394e-06,5629.422952377266
7.236595223893475e-06,5496.229759948511
7.405064844261451e-06,5366.156552999315
7.577456476585162e-06,5239.130964113183
7.753861426215389e-06,5115.082287747121
7.934373124112674e-06,4993.94144306512
8.119087176332103e-06,4875.640936464948
8.30810141465995e-06,4760.1148246142075
8.501515948429253e-06,4647.29868027674
8.69943321754156e-06,4537.1295583157635
8.901958046723212e-06,4429.54596028668
9.109197701044546e-06,4324.487802544138
9.321261942731712e-06,4221.896384242249
9.538263089300966e-06,4121.714355553565
9.760316073046525e-06,4023.885686679639
9.987538501913135e-06,3928.3556377409445
1.0220050721785882e-05,3835.0707299846836
1.0457975880229988e-05,3743.9787162395432
1.0701439991714708e-05,3655.0285533211195
1.0950572004355433e-05,3568.1703746531152
1.1205503868209707e-05,3483.3554630126737
1.146637060516304e-05,3400.536224780559
1.1733310380441918e-05,3319.666164057105
1.2006464575791445e-05,3240.6998570531628
1.2285977864356568e-05,3163.5929285875736
1.2571998287306781e-05,3088.302027847259
1.2864677332244417e-05,3014.7848044177817
1.316417001343844e-05,2942.9998859428965
1.347063495392608e-05,2872.9068557210817
1.3784234469525698e-05,2804.4662308071215
1.410513465480575e-05,2737.639440420582
1.4433505471054887e-05,2672.3888054002837
1.4769520836300013e-05,2608.677517873788
1.511335871742025e-05,2546.469620927987
1.5465201224405037e-05,2485.7299892239275
1.5825234706806736e-05,2426.424310262903
1.619364985243867e-05,2368.5190654998037
1.6570641788370724e-05,2311.9815121749325
1.6956410184276463e-05,2256.779665616761
1.735115935818591e-05,2202.8822818681847
1.7755098384700244e-05,2150.2588405896986
1.8168441205726118e-05,2098.879528582338
1.85914067437875e-05,2048.715223551586
1.902421901797566e-05,1999.737478123063
1.9467107262598453e-05,1951.9185045085508
1.9920306048591637e-05,1905.2311592758795
2.0384055407757053e-05,1859.6489287087215
2.085860095989273e-05,1815.1459141643782
2.13441940428826e-05,1771.6968179614337
2.1841091845815146e-05,1729.2769296870708
2.2349557545200616e-05,1687.862112588012
2.2869860444359647e-05,1647.428790466096
2.3402276116056872e-05,1607.953934692093
2.394708654845486e-05,1569.4150516219024
2.4504580294466353e-05,1531.7901704890012
2.5075052624583025e-05,1495.0578311803574
2.5658805683262142e-05,1459.1970723991087
2.625614864895438e-05,1424.187420479894
2.6867397897856623e-05,1390.0088779251919
2.7492877171477232e-05,1356.6419123834296
