q0star,delta_rs_rel
-0.1,0.0
-0.095,-2.1311750744813206e-06
-0.09000000000000001,-4.2332694458317675e-06
-0.085,-6.458243748757884e-06
-0.08,-8.476639456406974e-06
-0.07500000000000001,-1.04702699935077e-05
-0.07,-1.206188742746037e-05
-0.065,-1.3518995611673206e-05
-0.060000000000000005,-1.7062885296100073e-05
-0.05500000000000001,-1.907904373654188e-05
-0.05,-2.1299747834796808e-05
-0.045000000000000005,-2.331690695227125e-05
-0.04000000000000001,-2.549326780544173e-05
-0.035,-2.7638996945185184e-05
-0.03,-2.965442824854739e-05
-0.02500000000000001,-3.177133699162415e-05
-0.020000000000000004,-3.3913364413767945e-05
-0.015,-3.6106349780939655e-05
-0.010000000000000009,-3.823027353550028e-05
-0.0050000000000000044,-3.8881018848691524e-05
0.0,-4.110450326228455e-05
0.0049999999999999906,-4.3442618933410723e-05
0.009999999999999995,-4.589818839995605e-05
0.015,-4.869036024273909e-05
0.01999999999999999,-5.093529398058193e-05
0.024999999999999994,-5.166207199551386e-05
0.03,-5.4549737776942026e-05
0.035,-5.7282448155673214e-05
0.04000000000000001,-5.836548545564554e-05
0.044999999999999984,-6.151577557054254e-05
0.04999999999999999,-6.354486621930517e-05
0.05499999999999999,-6.575077725311293e-05
0.06,-6.77539238713903e-05
0.065,-6.998227850158396e-05
0.07,-7.197640858892982e-05
0.07500000000000001,-7.409752559614452e-05
0.07999999999999999,-7.624729959025097e-05
0.08499999999999999,-7.845187876899346e-05
0.09,-8.055275844845856e-05
0.095,-8.260348531071452e-05
0.1,-8.470438852084719e-05
