jalon,z,obs,sigma_obs,classe
BAO_z=0.106,0.106,457.0,27.0,ordre2
BAO_z=0.150,0.15,664.0,25.0,ordre2
BAO_z=0.380,0.38,1477.0,16.0,ordre2
BAO_z=0.510,0.51,1975.0,20.0,ordre2
BAO_z=0.610,0.61,2306.0,29.0,ordre2
BAO_z=1.520,1.52,3843.0,147.0,ordre2
SN0,0.00122,28.9987,1.51645,ordre2
SN1,0.00122,29.0559,1.51747,ordre2
SN2,0.00256,30.7233,0.782372,ordre2
SN3,0.00256,30.7449,0.799068,ordre2
SN4,0.00299,30.7757,0.881212,ordre2
SN5,0.00317,30.7946,0.614535,ordre2
SN6,0.00331,30.4604,0.594683,ordre2
SN7,0.00331,30.5528,0.580251,ordre2
SN8,0.00331,30.4013,0.578445,ordre2
SN9,0.00331,30.5107,0.578546,ordre2
SN10,0.00333,31.5011,0.591006,ordre2
SN11,0.00349,31.7933,0.55272,ordre2
SN12,0.00349,31.4967,0.545492,ordre2
SN13,0.00359,31.6969,0.550993,ordre2
SN14,0.00384,30.9999,0.566505,ordre2
SN15,0.00407,31.3933,0.476404,ordre2
SN16,0.00407,31.3779,0.479276,ordre2
SN17,0.00432,31.499,0.514259,ordre2
SN18,0.00432,31.5611,0.530838,ordre2
SN19,0.00465,31.9309,0.442017,ordre2
SN20,0.00465,32.033,0.420403,ordre2
SN21,0.00482,31.2476,0.558603,ordre2
SN22,0.00483,31.1331,0.446882,ordre2
SN23,0.00483,31.6525,0.564724,ordre2
SN24,0.00483,31.2234,0.410577,ordre2
SN25,0.00483,31.34,0.562589,ordre2
SN26,0.00483,31.7635,0.574442,ordre2
SN27,0.00488,31.4473,0.448264,ordre2
SN28,0.00488,31.539,0.407028,ordre2
SN29,0.00538,31.6512,0.514401,ordre2
SN30,0.00548,31.7282,0.501431,ordre2
SN31,0.0057,31.9117,0.469628,ordre2
SN32,0.0057,31.8985,0.483668,ordre2
SN33,0.00571,31.6799,0.375913,ordre2
SN34,0.00571,31.6292,0.385756,ordre2
SN35,0.00587,31.7403,0.491367,ordre2
SN36,0.00588,32.1822,0.339643,ordre2
SN37,0.00592,32.4685,0.487055,ordre2
SN38,0.00602,31.9404,0.344335,ordre2
SN39,0.00602,32.0666,0.343707,ordre2
SN40,0.00602,31.9102,0.350249,ordre2
SN41,0.00616,30.9079,0.524992,ordre2
SN42,0.00616,31.1857,0.452235,ordre2
SN43,0.00625,32.0667,0.32593,ordre2
SN44,0.00625,32.0023,0.36156,ordre2
SN45,0.00625,32.0999,0.322811,ordre2
SN46,0.00625,32.0337,0.339166,ordre2
SN47,0.0063,32.0754,0.533991,ordre2
SN48,0.0063,32.0843,0.537335,ordre2
SN49,0.0063,32.0203,0.538159,ordre2
SN50,0.00631,32.8333,0.562902,ordre2
SN51,0.00634,32.4001,0.482567,ordre2
SN52,0.00648,32.4608,0.318474,primaire
SN53,0.00648,32.4338,0.32229,primaire
SN54,0.00665,31.7321,0.531169,ordre2
SN55,0.00668,31.2217,0.420706,ordre2
SN56,0.00673,32.3593,0.359446,ordre2
SN57,0.00676,31.9733,0.415464,ordre2
SN58,0.00677,32.1951,0.34053,ordre2
SN59,0.00677,32.1729,0.371125,ordre2
SN60,0.00677,32.2048,0.34795,ordre2
SN61,0.00692,32.4405,0.439634,ordre2
SN62,0.0071,32.3193,0.325586,ordre2
SN63,0.0071,32.3327,0.348317,ordre2
SN64,0.0071,32.3221,0.322655,primaire
SN65,0.00719,32.4423,0.300309,primaire
SN66,0.00719,32.4642,0.300269,primaire
SN67,0.00747,32.7943,0.289134,primaire
SN68,0.00747,32.7423,0.294759,primaire
SN69,0.00747,32.7685,0.292411,primaire
SN70,0.0075,32.3312,0.373843,ordre2
SN71,0.0075,32.2998,0.396652,ordre2
SN72,0.00795,32.6418,0.362719,ordre2
SN73,0.00814,32.7164,0.317031,primaire
SN74,0.00814,32.6151,0.317457,primaire
SN75,0.00814,32.7092,0.367554,ordre2
SN76,0.00815,32.3711,0.371926,ordre2
SN77,0.00815,32.7434,0.280148,primaire
SN78,0.00815,32.6707,0.286975,primaire
SN79,0.00817,32.4455,0.490787,ordre2
SN80,0.00818,32.484,0.342662,ordre2
SN81,0.00821,33.2138,0.462834,ordre2
