bin_index,alpha_lo,alpha_hi,alpha_mean,n_total,n_survivors,survival_fraction_pct,q0_abs_max_survivor
0,-0.9,-0.72,-0.8100020694,10000,8,0.08,1e-06
1,-0.72,-0.54,-0.6299862770722928,10001,27,0.26997300269973,4e-06
2,-0.54,-0.36,-0.4499924486448645,9999,73,0.7300730073007301,9e-06
3,-0.36,-0.18,-0.2700122559255926,9999,185,1.8501850185018502,2.6e-05
4,-0.18,-1.11e-16,-0.0900071208879112,10001,436,4.359564043595641,6.4e-05
5,-1.11e-16,0.18,0.09000977762223777,10001,1029,10.288971102889711,0.000145
6,0.18,0.36,0.2699990310062012,9998,2413,24.134826965393078,0.000354
7,0.36,0.54,0.44999579354129177,10002,5518,55.16896620675865,0.000805
8,0.54,0.72,0.6300156879687968,9999,9745,97.45974597459745,0.001
9,0.72,0.9,0.8099978793,10000,10000,100.0,0.001
