n_screen,s8,q0eff_early,q0eff_today,ligo_safe
0.000000000000000000e+00,7.725252954181950349e-01,-2.000000000000000042e-03,-2.000000000000000042e-03,0.000000000000000000e+00
5.000000000000000278e-02,8.005871799957172685e-01,-7.535319493223872943e-04,-2.123741584132647804e-03,0.000000000000000000e+00
1.000000000000000056e-01,8.142390314190227629e-01,-2.839051993247984607e-04,-2.255139158087124743e-03,0.000000000000000000e+00
1.500000000000000222e-01,8.210029295717641284e-01,-1.069658191349881412e-04,-2.394666404017758207e-03,0.000000000000000000e+00
2.000000000000000111e-01,8.244790828074431976e-01,-4.030108110182677807e-05,-2.542826311168952785e-03,0.000000000000000000e+00
2.500000000000000000e-01,8.263535728879350950e-01,-1.518407610122958367e-05,-2.700152989128064979e-03,0.000000000000000000e+00
3.000000000000000444e-01,8.274215902572473746e-01,-5.720843231609497110e-06,-2.867213593265670931e-03,0.000000000000000000e+00
3.500000000000000333e-01,8.280663734620864469e-01,-2.155419076041245737e-06,-3.044610369304348932e-03,0.000000000000000000e+00
4.000000000000000222e-01,8.284783676996801960e-01,-8.120885689880096779e-07,-3.232982824386552208e-03,1.000000000000000000e+00
4.500000000000000111e-01,8.287557672075520632e-01,-3.059673412059816001e-07,-3.433010032468169440e-03,1.000000000000000000e+00
5.000000000000000000e-01,8.289513380649181640e-01,-1.152780835239656923e-07,-3.645413082348611996e-03,1.000000000000000000e+00
5.500000000000000444e-01,8.290947058244388934e-01,-4.343285949598138694e-08,-3.870957677162460177e-03,1.000000000000000000e+00
6.000000000000000888e-01,8.292032612052641083e-01,-1.636402364032609486e-08,-4.110456894703720145e-03,1.000000000000000000e+00
6.500000000000000222e-01,8.292876683289456263e-01,-6.165407316226284344e-09,-4.364774118533521624e-03,1.000000000000000000e+00
7.000000000000000666e-01,8.293547366539777421e-01,-2.322915696681248349e-09,-4.634826150437781900e-03,1.000000000000000000e+00
7.500000000000000000e-01,8.294089827345816346e-01,-8.751955965158975588e-10,-4.921586515455078290e-03,1.000000000000000000e+00
8.000000000000000444e-01,8.294534988632175088e-01,-3.297439219404966777e-10,-5.226088971389224527e-03,1.000000000000000000e+00
8.500000000000000888e-01,8.294904683712830407e-01,-1.242362901385157035e-10,-5.549431235458156079e-03,1.000000000000000000e+00
9.000000000000000222e-01,8.295214726813783246e-01,-4.680800694232877148e-11,-5.892778941513550708e-03,1.000000000000000000e+00
9.500000000000000666e-01,8.295476828867648367e-01,-1.763566435757440531e-11,-6.257369842096749575e-03,1.000000000000000000e+00
1.000000000000000000e+00,8.295699823840185783e-01,-6.644518270479204162e-12,-6.644518270479203570e-03,1.000000000000000000e+00
1.050000000000000044e+00,8.295890494865408860e-01,-2.503428402331204035e-12,-7.055619878772913765e-03,1.000000000000000000e+00
1.100000000000000089e+00,8.296054127637196851e-01,-9.432066419988302270e-13,-7.492156669191494568e-03,1.000000000000000000e+00
1.150000000000000133e+00,8.296194895241155720e-01,-3.553681697796005865e-13,-7.955702336599364960e-03,1.000000000000000000e+00
1.200000000000000178e+00,8.296316130669777467e-01,-1.338906348505756748e-13,-8.447927941608673885e-03,1.000000000000000000e+00
1.250000000000000000e+00,8.296420523329552932e-01,-5.044543553748330056e-14,-8.970607934675231543e-03,1.000000000000000000e+00
1.300000000000000044e+00,8.296510263077957470e-01,-1.900612368748829667e-14,-9.525626552910039513e-03,1.000000000000000000e+00
1.350000000000000089e+00,8.296587147372925797e-01,-7.160860715647722681e-15,-1.011498461266659155e-02,1.000000000000000000e+00
1.400000000000000133e+00,8.296652662056267502e-01,-2.697968666944065049e-15,-1.074080672239095292e-02,1.000000000000000000e+00
1.450000000000000178e+00,8.296708043004823452e-01,-1.016502794406541263e-15,-1.140534894173657852e-02,1.000000000000000000e+00
1.500000000000000000e+00,8.296754323705982648e-01,-3.829836660804088028e-16,-1.211100691455462876e-02,1.000000000000000000e+00
1.550000000000000044e+00,8.296792372346133426e-01,-1.442952142301022722e-16,-1.286032450507885137e-02,1.000000000000000000e+00
1.600000000000000089e+00,8.296822920994317840e-01,-5.436552702835017876e-17,-1.365600296843803851e-02,1.000000000000000000e+00
1.650000000000000133e+00,8.296846588763417962e-01,-2.048308077880580581e-17,-1.450091068855537298e-02,1.000000000000000000e+00
1.700000000000000178e+00,8.296863900337245745e-01,-7.717327893690725459e-18,-1.539809351853931724e-02,1.000000000000000000e+00
1.750000000000000000e+00,8.296875300898538530e-01,-2.907626565646413389e-18,-1.635078576084267321e-02,1.000000000000000000e+00
1.800000000000000044e+00,8.296881168237976167e-01,-1.095494756956549409e-18,-1.736242182677278159e-02,1.000000000000000000e+00
1.850000000000000089e+00,8.296881822636993364e-01,-4.127451498409614315e-19,-1.843664861738484803e-02,1.000000000000000000e+00
1.900000000000000133e+00,8.296877534979633095e-01,-1.555083286665101486e-19,-1.957733867039094730e-02,1.000000000000000000e+00
1.950000000000000178e+00,8.296868533445157512e-01,-5.859024701797089153e-20,-2.078860412047870906e-02,1.000000000000000000e+00
2.000000000000000000e+00,8.296855009056063324e-01,-2.207481152336597759e-20,-2.207481152336597183e-02,1.000000000000000000e+00
2.050000000000000266e+00,8.296837120296824963e-01,-8.317037879063088009e-21,-2.344059759703144910e-02,1.000000000000000000e+00
2.100000000000000089e+00,8.296814996973825851e-01,-3.133576882799282877e-21,-2.489088593686775153e-02,1.000000000000000000e+00
2.149999999999999911e+00,8.296788743452125914e-01,-1.180625148423661007e-21,-2.643090476501427574e-02,1.000000000000000000e+00
2.200000000000000178e+00,8.296758441377639626e-01,-4.448193847553548023e-22,-2.806620577785529785e-02,1.000000000000000000e+00
2.250000000000000000e+00,8.296724151972174610e-01,-1.675928090455443699e-22,-2.980268415962764039e-02,1.000000000000000000e+00
2.300000000000000266e+00,8.296685917972300706e-01,-6.314326804625151733e-23,-3.164659983428629725e-02,1.000000000000000000e+00
2.350000000000000089e+00,8.296643765269590132e-01,-2.379023492873904197e-23,-3.360460003223958436e-02,1.000000000000000000e+00
2.400000000000000355e+00,8.296597704299700782e-01,-8.963351050345092688e-24,-3.568374325330627567e-02,1.000000000000000000e+00
2.450000000000000178e+00,8.296547731218923971e-01,-3.377085694713714284e-24,-3.789152471227967556e-02,1.000000000000000000e+00
2.500000000000000000e+00,8.296493828900541878e-01,-1.272370983283191559e-24,-4.023590335882910179e-02,1.000000000000000000e+00
2.550000000000000266e+00,8.296435967777577858e-01,-4.793860936473105618e-25,-4.272533056914393917e-02,1.000000000000000000e+00
2.600000000000000089e+00,8.296374106554285088e-01,-1.806163688120518897e-25,-4.536878061275238794e-02,1.000000000000000000e+00
2.650000000000000355e+00,8.296308192805088577e-01,-6.805010223523800296e-26,-4.817578300434667560e-02,1.000000000000000000e+00
2.700000000000000178e+00,8.296238163476737926e-01,-2.563896309445341060e-26,-5.115645685724094782e-02,1.000000000000000000e+00
2.750000000000000000e+00,8.296163945307103438e-01,-9.659888919584146687e-27,-5.432154736230516978e-02,1.000000000000000000e+00
2.800000000000000266e+00,8.296085455172071965e-01,-3.639517463905966996e-27,-5.768246452387933848e-02,1.000000000000000000e+00
2.850000000000000089e+00,8.296002600370246949e-01,-1.371246344584972598e-27,-6.125132429230938091e-02,1.000000000000000000e+00
2.900000000000000355e+00,8.295915278854129049e-01,-5.166389655181535970e-28,-6.504099224138584767e-02,1.000000000000000000e+00
2.950000000000000178e+00,8.295823379415065979e-01,-1.946519833913986255e-28,-6.906512994814001383e-02,1.000000000000000000e+00
3.000000000000000000e+00,8.295726781828813845e-01,-7.333824424219505539e-29,-7.333824424219502480e-02,1.000000000000000000e+00
3.050000000000000266e+00,8.295625356965967701e-01,-2.763135507185114710e-29,-7.787573950221318708e-02,1.000000000000000000e+00
3.100000000000000089e+00,8.295518966875725653e-01,-1.041055442485555355e-29,-8.269397318796581353e-02,1.000000000000000000e+00
3.150000000000000355e+00,8.295407464844470891e-01,-3.922342684644085187e-30,-8.781031480821664681e-02,1.000000000000000000e+00
3.200000000000000178e+00,8.295290695446085882e-01,-1.477805264535137025e-30,-9.324320853699424871e-02,1.000000000000000000e+00
3.250000000000000000e+00,8.295168494588045505e-01,-5.567867408520259486e-31,-9.901223970398349838e-02,1.000000000000000000e+00
3.300000000000000266e+00,8.295040689396988576e-01,-2.097782990955419509e-31,-1.051382053987297283e-01,1.000000000000000000e+00
3.350000000000000089e+00,8.294907098367433340e-01,-7.903732532149954369e-32,-1.116431894431809679e-01,1.000000000000000000e+00
3.400000000000000355e+00,8.294767531312637887e-01,-2.977857490936846256e-32,-1.185506420028412805e-01,1.000000000000000000e+00
3.450000000000000178e+00,8.294621789364990949e-01,-1.121955379974961527e-32,-1.258854641235282734e-01,1.000000000000000000e+00
3.500000000000000000e+00,8.294469664979741141e-01,-4.227146122626378565e-33,-1.336740974984877706e-01,1.000000000000000000e+00
3.550000000000000266e+00,8.294310941945703952e-01,-1.592644828926605012e-33,-1.419446197894702333e-01,1.000000000000000000e+00
3.600000000000000089e+00,8.294145395406721244e-01,-6.000543812596444626e-34,-1.507268458453979443e-01,1.000000000000000000e+00
