a,D_gr,delta_percent_q0star_minus_3p000000eminus_03,delta_percent_q0star_minus_2p900000eminus_03,delta_percent_q0star_minus_2p800000eminus_03,delta_percent_q0star_minus_2p700000eminus_03,delta_percent_q0star_minus_2p600000eminus_03,delta_percent_q0star_minus_2p500000eminus_03,delta_percent_q0star_minus_2p400000eminus_03,delta_percent_q0star_minus_2p300000eminus_03,delta_percent_q0star_minus_2p200000eminus_03,delta_percent_q0star_minus_2p100000eminus_03,delta_percent_q0star_minus_2p000000eminus_03,delta_percent_q0star_minus_1p900000eminus_03,delta_percent_q0star_minus_1p800000eminus_03,delta_percent_q0star_minus_1p700000eminus_03,delta_percent_q0star_minus_1p600000eminus_03,delta_percent_q0star_minus_1p500000eminus_03,delta_percent_q0star_minus_1p400000eminus_03,delta_percent_q0star_minus_1p300000eminus_03,delta_percent_q0star_minus_1p200000eminus_03,delta_percent_q0star_minus_1p100000eminus_03,delta_percent_q0star_minus_1p000000eminus_03
1.000000000000000021e-02,9.999995792682923879e-03,-6.523128622929259990e+00,-6.317112322398953594e+00,-6.110340695714605808e+00,-5.902810331792998966e+00,-5.694517857433218033e+00,-5.485459902027288948e+00,-5.275633088806505278e+00,-5.065034058388244276e+00,-4.853659425382304882e+00,-4.641505717791776675e+00,-4.428569351841993296e+00,-4.214846855354175581e+00,-4.000334749971060866e+00,-3.785029614259721953e+00,-3.568927963549663129e+00,-3.352026082412448371e+00,-3.134320341217332384e+00,-2.915807228006781937e+00,-2.696483308771777221e+00,-2.476344796611232635e+00,-2.255387885359500189e+00
1.248120300751879783e-02,1.248119279589552690e-02,-6.957142935956238894e+00,-6.737702180260601637e+00,-6.517437905817738297e+00,-6.296346380413743837e+00,-6.074423889276337363e+00,-5.851666711779889063e+00,-5.628071076728691224e+00,-5.403633102298178947e+00,-5.178348883992510920e+00,-4.952214592834716100e+00,-4.725226404509912825e+00,-4.497380516062302824e+00,-4.268673016890221383e+00,-4.039099804714561870e+00,-3.808656926827326927e+00,-3.577340499277257280e+00,-3.345146665411530051e+00,-3.112071243756849181e+00,-2.878110074402472573e+00,-2.643259281522710502e+00,-2.407514909628308608e+00
1.496240601503759371e-02,1.496238487347747136e-02,-7.277971342096305030e+00,-7.048639785751596776e+00,-6.818432363757592540e+00,-6.587344952238379570e+00,-6.355373480978742329e+00,-6.122513878157266554e+00,-5.888762085972968130e+00,-5.654114044992616606e+00,-5.418565617226101416e+00,-5.182112508040356502e+00,-4.944750500131736004e+00,-4.706475415393768458e+00,-4.467283127253338648e+00,-4.227169418036791804e+00,-3.986129812387601223e+00,-3.744159987643136844e+00,-3.501255752099873941e+00,-3.257412878230039777e+00,-3.012626708933024755e+00,-2.766892870659587889e+00,-2.520207235991313688e+00
1.744360902255639306e-02,1.744356995922097600e-02,-7.527407742914566491e+00,-7.290406095822591581e+00,-7.052486589014124618e+00,-6.813644902926471403e+00,-6.573876627647321946e+00,-6.333177445397458527e+00,-6.091543018569258727e+00,-5.848969037889587774e+00,-5.605451149704531844e+00,-5.360984840935160811e+00,-5.115565559614961622e+00,-4.869188864140892470e+00,-4.621850360940283231e+00,-4.373545600368192510e+00,-4.124269844698175369e+00,-3.874018470633458833e+00,-3.622787027464912324e+00,-3.370571015442046736e+00,-3.117365481463986399e+00,-2.863165821200690075e+00,-2.607967621115474088e+00
1.992481203007518895e-02,1.992474554828756531e-02,-7.728453168512680271e+00,-7.485282403781269522e+00,-7.241159101507308016e+00,-6.996078701719528503e+00,-6.750036608801075921e+00,-6.503028301953420076e+00,-6.255049252086429590e+00,-6.006094941505637053e+00,-5.756160760834565515e+00,-5.505241920030842451e+00,-5.253333731495058778e+00,-5.000431560930122643e+00,-4.746530811284215723e+00,-4.491626687256714767e+00,-4.235714227738768045e+00,-3.978788706245044882e+00,-3.720845492801257315e+00,-3.461879611029934356e+00,-3.201885998509403475e+00,-2.940860014910465114e+00,-2.678796702369724336e+00
2.240601503759398483e-02,2.240590868566188359e-02,-7.894931825267473613e+00,-7.646661539372780148e+00,-7.397409374086315381e+00,-7.147170583971113267e+00,-6.895940493079462996e+00,-6.643714416640540854e+00,-6.390487677609199224e+00,-6.136255508142653525e+00,-5.881012964257889664e+00,-5.624755197993387412e+00,-5.367477410199171572e+00,-5.109174836720378643e+00,-4.849842536105679613e+00,-4.589475378215202461e+00,-4.328068459383977995e+00,-4.065616969156478966e+00,-3.802115824137882960e+00,-3.537559756001258826e+00,-3.271943893162802208e+00,-3.005263239009634102e+00,-2.737512305288338332e+00
2.488721804511278418e-02,2.488705610767324300e-02,-8.035712768921866811e+00,-7.783136368231842184e+00,-7.529552880419517535e+00,-7.274957494606782760e+00,-7.019345419182320356e+00,-6.762711824656118864e+00,-6.505051744891158449e+00,-6.246360126434658433e+00,-5.986632038013733670e+00,-5.725862569617470754e+00,-5.464046792427283528e+00,-5.201179542154475755e+00,-4.937255635983488489e+00,-4.672270058033961782e+00,-4.406217842742943702e+00,-4.139093688423012729e+00,-3.870892264075833644e+00,-3.601608564987589300e+00,-3.331237401377103335e+00,-3.059773178985428110e+00,-2.787210901125323659e+00
2.736842105263158353e-02,2.736818421418121469e-02,-8.156779084336445607e+00,-7.900504239221549874e+00,-7.643200452074835560e+00,-7.384862809338551770e+00,-7.125486286036878170e+00,-6.865065740462561905e+00,-6.603596145761869707e+00,-6.341072480408588063e+00,-6.077489735824480377e+00,-5.812842753505334414e+00,-5.547126203512483755e+00,-5.280334934530577229e+00,-5.012463858841708308e+00,-4.743507789613532033e+00,-4.473461208029857694e+00,-4.202318845501072708e+00,-3.930075588261831676e+00,-3.656725943338741125e+00,-3.382264336631738644e+00,-3.106685666750780062e+00,-2.829984278438559375e+00
2.984962406015037595e-02,2.984928896596504566e-02,-8.262331750410311315e+00,-8.002836143120404699e+00,-7.742292235465230377e+00,-7.480694854551527051e+00,-7.218038914612794343e+00,-6.954319327188097866e+00,-6.689531002432036466e+00,-6.423668717562434516e+00,-6.156727090609481756e+00,-5.888700890713625569e+00,-5.619584929899255066e+00,-5.349373986037684325e+00,-5.078062538351537647e+00,-4.805645147874944456e+00,-4.532116561421156931e+00,-4.257471449209970338e+00,-3.981704052225569779e+00,-3.704808967618957727e+00,-3.426780914094684771e+00,-3.147613969770101328e+00,-2.867302722454890151e+00
3.233082706766917530e-02,3.233036588232932745e-02,-8.355418199483331421e+00,-8.093084804397879140e+00,-7.829685831341227420e+00,-7.565216154881767352e+00,-7.299670602778805417e+00,-7.033043848638772744e+00,-6.765330515743015027e+00,-6.496525329315645969e+00,-6.226623044535318563e+00,-5.955618360882036555e+00,-5.683505722017849315e+00,-5.410279641089449143e+00,-5.135934768839576670e+00,-4.860465749903201349e+00,-4.583866851419263533e+00,-4.306132470143615443e+00,-4.027257254359231986e+00,-3.747235522056462376e+00,-3.466061399539809074e+00,-3.183729542437882198e+00,-2.900234025859990350e+00
3.481203007518797465e-02,3.481141009966526312e-02,-8.438308922739917506e+00,-8.173450891539101093e+00,-7.907511878459228427e+00,-7.640486474009455797e+00,-7.372369367780097882e+00,-7.103155254090511406e+00,-6.832838844637837639e+00,-6.561414733775297492e+00,-6.288877316818701324e+00,-6.015221132893419309e+00,-5.740440782961436561e+00,-5.464530836053863361e+00,-5.187485543094714657e+00,-4.909299254935633350e+00,-4.629966517885316435e+00,-4.349481734253482834e+00,-4.067838929079152344e+00,-3.785032541140404660e+00,-3.501056980721537926e+00,-3.215906095907810514e+00,-2.929574387709262151e+00
3.729323308270676707e-02,3.729241648694266165e-02,-8.512736272722662534e+00,-8.245613038547226381e+00,-7.977394728454851425e+00,-7.708076037225728427e+00,-7.437651596151228617e+00,-7.166115859997396420e+00,-6.893463295540041003e+00,-6.619688446727163722e+00,-6.344785892649061232e+00,-6.068750094006153617e+00,-5.791575264515212318e+00,-5.513255795946551352e+00,-5.233786178177111559e+00,-4.953160767544922294e+00,-4.671373588153828749e+00,-4.388418980068855113e+00,-4.104291377532804930e+00,-3.818984677222994950e+00,-3.532493059371905275e+00,-3.244810908304093910e+00,-2.955931902205546802e+00
3.977443609022556642e-02,3.977337951343520167e-02,-8.580046279986753177e+00,-8.310876068495240077e+00,-8.040598031566290160e+00,-7.769206643889150499e+00,-7.496696444226451206e+00,-7.223061990042470626e+00,-6.948297795178975278e+00,-6.672398166811329467e+00,-6.395357404643658761e+00,-6.117169924771417300e+00,-5.837830183850836185e+00,-5.557332419005717838e+00,-5.275670707865692144e+00,-4.992839372303060408e+00,-4.708832787570824685e+00,-4.423644894171465225e+00,-4.137269762401469819e+00,-3.849701766863501629e+00,-3.560934735235851800e+00,-3.270962661439979158e+00,-2.979779818710321937e+00
