a,D_gr,D_lss,D_gw,q0_lss,q0_gw
1.000000000000000021e-02,9.999995792682923879e-03,9.557139896967055404e-03,9.999765769549936664e-03,-1.999996000800240061e-03,-1.000999197651551907e-06
1.248120300751879783e-02,1.248119279589552690e-02,1.189142931345020700e-02,1.248088618479646639e-02,-1.999996000800240061e-03,-1.000999197651551907e-06
1.496240601503759371e-02,1.496238487347747136e-02,1.422253369565883684e-02,1.496199999552171728e-02,-1.999996000800240061e-03,-1.000999197651551907e-06
1.744360902255639306e-02,1.744356995922097600e-02,1.655123441740696116e-02,1.744310549282948250e-02,-1.999996000800240061e-03,-1.000999197651551907e-06
1.992481203007518895e-02,1.992474554828756531e-02,1.887803418072003109e-02,1.992420045899023773e-02,-1.999996000800240061e-03,-1.000999197651551907e-06
2.240601503759398483e-02,2.240590868566188359e-02,2.120327890834923512e-02,2.240528219456808245e-02,-1.999996000800240061e-03,-1.000999197651551907e-06
2.488721804511278418e-02,2.488705610767324300e-02,2.352721832772441610e-02,2.488634750878113491e-02,-1.999996000800240061e-03,-1.000999197651551907e-06
2.736842105263158353e-02,2.736818421418121469e-02,2.585003941037294570e-02,2.736739284193917890e-02,-1.999996000800240061e-03,-1.000999197651551907e-06
2.984962406015037595e-02,2.984928896596504566e-02,2.817188604060205659e-02,2.984841430668733198e-02,-1.999996000800240061e-03,-1.000999197651551907e-06
3.233082706766917530e-02,3.233036588232932745e-02,3.049287121294110003e-02,3.232940756669602095e-02,-1.999996000800240061e-03,-1.000999197651551907e-06
3.481203007518797465e-02,3.481141009966526312e-02,3.281308555046170278e-02,3.481036783159466991e-02,-1.999996000800240061e-03,-1.000999197651551907e-06
3.729323308270676707e-02,3.729241648694266165e-02,3.513260226044745416e-02,3.729128985896469628e-02,-1.999996000800240061e-03,-1.000999197651551907e-06
3.977443609022556642e-02,3.977337951343520167e-02,3.745148161148181831e-02,3.977216808078497257e-02,-1.999996000800240061e-03,-1.000999197651551907e-06
4.225563909774436577e-02,4.225429321987696218e-02,3.976977318588417742e-02,4.225299664803675026e-02,-1.999996000800240061e-03,-1.000999197651551907e-06
4.473684210526316513e-02,4.473515121846250581e-02,4.208751827312216809e-02,4.473376928663690827e-02,-1.999996000800240061e-03,-1.000999197651551907e-06
4.721804511278195754e-02,4.721594670697578516e-02,4.440475143098489286e-02,4.721447929469038685e-02,-1.999996000800240061e-03,-1.000999197651551907e-06
4.969924812030075689e-02,4.969667259996372877e-02,4.672150129877255392e-02,4.969511954249022229e-02,-1.999996000800240061e-03,-1.000999197651551907e-06
5.218045112781955625e-02,5.217732147300859630e-02,4.903779199102716729e-02,5.217568247781448343e-02,-1.999996000800240061e-03,-1.000999197651551907e-06
5.466165413533834866e-02,5.465788548347996767e-02,5.135364363206113697e-02,5.465616023896550935e-02,-1.999996000800240061e-03,-1.000999197651551907e-06
5.714285714285714801e-02,5.713835636971792420e-02,5.366907271863721046e-02,5.713654465510226849e-02,-1.999996000800240061e-03,-1.000999197651551907e-06
5.962406015037594736e-02,5.961872545103308330e-02,5.598409286728807388e-02,5.961682714241570147e-02,-1.999996000800240061e-03,-1.000999197651551907e-06
6.210526315789473978e-02,6.209898363177755731e-02,5.829871520976849519e-02,6.209699870018144108e-02,-1.999996000800240061e-03,-1.000999197651551907e-06
6.458646616541353913e-02,6.457912150484691749e-02,6.061294853080571171e-02,6.457704991075986778e-02,-1.999996000800240061e-03,-1.000999197651551907e-06
6.706766917293233154e-02,6.705912936132336910e-02,6.292679946273746494e-02,6.705697093959601951e-02,-1.999996000800240061e-03,-1.000999197651551907e-06
6.954887218045112396e-02,6.953899708659554146e-02,6.524027294119810749e-02,6.953675156917542288e-02,-1.999996000800240061e-03,-1.000999197651551907e-06
7.203007518796993025e-02,7.201871415551482081e-02,6.755337233945152287e-02,7.201638131818063893e-02,-1.999996000800240061e-03,-1.000999197651551907e-06
7.451127819548872266e-02,7.449826963239523925e-02,6.986609950780901801e-02,7.449584933649745777e-02,-1.999996000800240061e-03,-1.000999197651551907e-06
7.699248120300751508e-02,7.697765217101364132e-02,7.217845490204280456e-02,7.697514436628490053e-02,-1.999996000800240061e-03,-1.000999197651551907e-06
7.947368421052632137e-02,7.945685001826703620e-02,7.449043771542913916e-02,7.945425474202166827e-02,-1.999996000800240061e-03,-1.000999197651551907e-06
8.195488721804511378e-02,8.193585111218300299e-02,7.680204609784020697e-02,8.193316839050621136e-02,-1.999996000800240061e-03,-1.000999197651551907e-06
8.443609022556390620e-02,8.441464309332709359e-02,7.911327716535858368e-02,8.441187283085672954e-02,-1.999996000800240061e-03,-1.000999197651551907e-06
8.691729323308271249e-02,8.689321320562375106e-02,8.142412700809188719e-02,8.689035518510039580e-02,-1.999996000800240061e-03,-1.000999197651551907e-06
8.939849624060150490e-02,8.937154829173407644e-02,8.373459080077744199e-02,8.936860229332085903e-02,-1.999996000800240061e-03,-1.000999197651551907e-06
9.187969924812029732e-02,9.184963479305589817e-02,8.604466280348185836e-02,9.184660067294080077e-02,-1.999996000800240061e-03,-1.000999197651551907e-06
9.436090225563910361e-02,9.432745874972373046e-02,8.835433650988813725e-02,9.432433644476877210e-02,-1.999996000800240061e-03,-1.000999197651551907e-06
9.684210526315789602e-02,9.680500580060877325e-02,9.066360468389401961e-02,9.680179533216863585e-02,-1.999996000800240061e-03,-1.000999197651551907e-06
9.932330827067668844e-02,9.928226119621848256e-02,9.297245935961205576e-02,9.927896266105959433e-02,-1.999996000800240061e-03,-1.000999197651551907e-06
1.018045112781954947e-01,1.017592099140146172e-01,9.528089184136953604e-02,1.017558233599161754e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
1.042857142857142871e-01,1.042358366067430014e-01,9.758889274314480611e-02,1.042323619597682050e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
1.067669172932330796e-01,1.067121255378983558e-01,9.989645207179694009e-02,1.067085626032942963e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
1.092481203007518858e-01,1.091880605814653515e-01,1.022035591990130415e-01,1.091844091550648183e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
1.117293233082706783e-01,1.116636252219186248e-01,1.045102029410248379e-01,1.116598851681096793e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
1.142105263157894707e-01,1.141388025542227902e-01,1.068163715614309783e-01,1.141349738119027402e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
1.166917293233082770e-01,1.166135752838324546e-01,1.091220527711970756e-01,1.166096578717043808e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
1.191729323308270694e-01,1.190879257270545805e-01,1.114272337286556086e-01,1.190839197485614731e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
1.216541353383458618e-01,1.215618358770386154e-01,1.137319010395060059e-01,1.215577414593074779e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
1.241353383458646681e-01,1.240352874664647775e-01,1.160360407713133535e-01,1.240311046365624170e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
1.266165413533834605e-01,1.265082618642952572e-01,1.183396385646158788e-01,1.265039905287327626e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
1.290977443609022668e-01,1.289807400660152037e-01,1.206426795893852794e-01,1.289763800260558257e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
1.315789473684210731e-01,1.314527026936325727e-01,1.229451485632285235e-01,1.314482537730547740e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
1.340601503759398516e-01,1.339241299956782094e-01,1.252470297592022663e-01,1.339195920812398521e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
1.365413533834586579e-01,1.363950018472059877e-01,1.275483070058128776e-01,1.363903748956405704e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
1.390225563909774642e-01,1.388652977497924768e-01,1.298489636870163721e-01,1.388605817952461852e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
1.415037593984962705e-01,1.413349968315372740e-01,1.321489827422184793e-01,1.413301919930057271e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
