q0_peak,s8,delta_percent_today,q0_early,q0_mid,q0_today
-5.000000000000000000e-01,8.134954341321433136e-01,-1.988501911789953391e+00,-9.999999999999999547e-07,-5.804646615335875247e-03,-4.999999998883186692e-01
-4.936835443037974613e-01,8.136564658403172556e-01,-1.969100501166584749e+00,-9.999999999999999547e-07,-5.731329515257304989e-03,-4.936835441935270019e-01
-4.873670886075949227e-01,8.138185000621855902e-01,-1.949578305760768293e+00,-9.999999999999999547e-07,-5.658012415178735599e-03,-4.873670884987353347e-01
-4.810506329113923840e-01,8.139815433676420575e-01,-1.929934534019010162e+00,-9.999999999999999547e-07,-5.584695315100165341e-03,-4.810506328039436674e-01
-4.747341772151898454e-01,8.141456026448451455e-01,-1.910168356042748705e+00,-9.999999999999999547e-07,-5.511378215021595084e-03,-4.747341771091519447e-01
-4.684177215189873622e-01,8.143106848310507351e-01,-1.890278936017977474e+00,-9.999999999999999547e-07,-5.438061114943026561e-03,-4.684177214143603329e-01
-4.621012658227848235e-01,8.144767969129818042e-01,-1.870265432170868269e+00,-9.999999999999999547e-07,-5.364744014864456303e-03,-4.621012657195686657e-01
-4.557848101265822849e-01,8.146439459271944683e-01,-1.850126996723552741e+00,-9.999999999999999547e-07,-5.291426914785886046e-03,-4.557848100247769985e-01
-4.494683544303797462e-01,8.148121389604551235e-01,-1.829862775848778211e+00,-9.999999999999999547e-07,-5.218109814707316656e-03,-4.494683543299853312e-01
-4.431518987341772076e-01,8.149813831501139250e-01,-1.809471909624833952e+00,-9.999999999999999547e-07,-5.144792714628746398e-03,-4.431518986351936640e-01
-4.368354430379746689e-01,8.151516856844848169e-01,-1.788953531989779577e+00,-9.999999999999999547e-07,-5.071475614550177008e-03,-4.368354429404019967e-01
-4.305189873417721858e-01,8.153230538048876763e-01,-1.768306770495456703e+00,-9.999999999999999547e-07,-4.998158514471607618e-03,-4.305189872456103295e-01
-4.242025316455696471e-01,8.154954948116377444e-01,-1.747530745585798018e+00,-9.999999999999999547e-07,-4.924841414393037360e-03,-4.242025315508186623e-01
-4.178860759493671084e-01,8.156690160359995057e-01,-1.726624573975964472e+00,-9.999999999999999547e-07,-4.851524314314467970e-03,-4.178860758560269950e-01
