a,q0eff_lss,q0eff_gw,geff_over_g_lss,geff_over_g_gw
1.000000000000000021e-02,-1.047846338160183784e-06,-1.000000000000765673e-06,9.999895215915173274e-01,9.999900000499998276e-01
1.248120300751879783e-02,-1.050908217598562419e-06,-1.000000000000814589e-06,9.999905933600362617e-01,9.999910490355394810e-01
1.496240601503759371e-02,-1.054166037943462718e-06,-1.000000000000866681e-06,9.999913820011591126e-01,9.999918248165480250e-01
1.744360902255639306e-02,-1.057632338033831382e-06,-1.000000000000922162e-06,9.999919921706343917e-01,9.999924285303835036e-01
1.992481203007518895e-02,-1.061320459086129382e-06,-1.000000000000981242e-06,9.999924812129102891e-01,9.999929156282078013e-01
2.240601503759398483e-02,-1.065244596038312542e-06,-1.000000000001043923e-06,9.999928835159088703e-01,9.999933193881775928e-01
2.488721804511278418e-02,-1.069419852178648456e-06,-1.000000000001110838e-06,9.999932211098954138e-01,9.999936611504056660e-01
2.736842105263158353e-02,-1.073862297268620329e-06,-1.000000000001181777e-06,9.999935088400034866e-01,9.999939553130209324e-01
2.984962406015037595e-02,-1.078589029383613225e-06,-1.000000000001257587e-06,9.999937571167933914e-01,9.999942119895006698e-01
3.233082706766917530e-02,-1.083618240712827121e-06,-1.000000000001338055e-06,9.999939734801548408e-01,9.999944385199325270e-01
3.481203007518797465e-02,-1.088969287567086385e-06,-1.000000000001423605e-06,9.999941635376403681e-01,9.999946403779997883e-01
3.729323308270676707e-02,-1.094662764865967632e-06,-1.000000000001514661e-06,9.999943315529119525e-01,9.999948217399373673e-01
3.977443609022556642e-02,-1.100720585391210349e-06,-1.000000000001611647e-06,9.999944808286871378e-01,9.999949858549209702e-01
4.225563909774436577e-02,-1.107166064107255226e-06,-1.000000000001714773e-06,9.999946139639138698e-01,9.999951352939141502e-01
4.473684210526316513e-02,-1.114024007881383305e-06,-1.000000000001824464e-06,9.999947330312191074e-01,9.999952721214594442e-01
4.721804511278195754e-02,-1.121320810939829283e-06,-1.000000000001941354e-06,9.999948397022584423e-01,9.999953980171135681e-01
4.969924812030075689e-02,-1.129084556429531472e-06,-1.000000000002065445e-06,9.999949353381054618e-01,9.999955143630899768e-01
5.218045112781955625e-02,-1.137345124481830772e-06,-1.000000000002197793e-06,9.999950210556250996e-01,9.999956223086866602e-01
5.466165413533834866e-02,-1.146134307180541433e-06,-1.000000000002338401e-06,9.999950977770027949e-01,9.999957228184354063e-01
5.714285714285714801e-02,-1.155485930895081512e-06,-1.000000000002487902e-06,9.999951662672345032e-01,9.999958167086172578e-01
5.962406015037594736e-02,-1.165435986427160816e-06,-1.000000000002647144e-06,9.999952271628704814e-01,9.999959046753301717e-01
6.210526315789473978e-02,-1.176022767492772161e-06,-1.000000000002816551e-06,9.999952809943017940e-01,9.999959873163214441e-01
6.458646616541353913e-02,-1.187287018051811068e-06,-1.000000000002996757e-06,9.999953282032167934e-01,9.999960651481625273e-01
6.706766917293233154e-02,-1.199272089069240681e-06,-1.000000000003188610e-06,9.999953691563946423e-01,9.999961386198934488e-01
6.954887218045112396e-02,-1.212024105296719544e-06,-1.000000000003392745e-06,9.999954041566899710e-01,9.999962081239659462e-01
7.203007518796993025e-02,-1.225592142723557824e-06,-1.000000000003609797e-06,9.999954334518381671e-01,9.999962740050936105e-01
7.451127819548872266e-02,-1.240028417372502057e-06,-1.000000000003840826e-06,9.999954572415522547e-01,9.999963365674677807e-01
7.699248120300751508e-02,-1.255388486175807440e-06,-1.000000000004086677e-06,9.999954756832667435e-01,9.999963960806832475e-01
7.947368421052632137e-02,-1.271731460688135306e-06,-1.000000000004348198e-06,9.999954888968006772e-01,9.999964527846381124e-01
8.195488721804511378e-02,-1.289120234472752163e-06,-1.000000000004626237e-06,9.999954969681474903e-01,9.999965068936116364e-01
8.443609022556390620e-02,-1.307621725018593766e-06,-1.000000000004922487e-06,9.999954999525558774e-01,9.999965585996775097e-01
8.691729323308271249e-02,-1.327307131134568667e-06,-1.000000000005237371e-06,9.999954978770251302e-01,9.999966080755776643e-01
8.939849624060150490e-02,-1.348252206790232322e-06,-1.000000000005572585e-06,9.999954907423181938e-01,9.999966554771538840e-01
9.187969924812029732e-02,-1.370537552471318040e-06,-1.000000000005929185e-06,9.999954785245686040e-01,9.999967009454160394e-01
9.436090225563910361e-02,-1.394248925152471276e-06,-1.000000000006308656e-06,9.999954611765463630e-01,9.999967446083088962e-01
9.684210526315789602e-02,-1.419477568089442307e-06,-1.000000000006712267e-06,9.999954386286306063e-01,9.999967865822284585e-01
9.932330827067668844e-02,-1.446320561687388168e-06,-1.000000000007141713e-06,9.999954107895318023e-01,9.999968269733284787e-01
1.018045112781954947e-01,-1.474881196794632346e-06,-1.000000000007598899e-06,9.999953775467940176e-01,9.999968658786511089e-01
1.042857142857142871e-01,-1.505269371850597871e-06,-1.000000000008085096e-06,9.999953387671038918e-01,9.999969033871081159e-01
1.067669172932330796e-01,-1.537602015414327550e-06,-1.000000000008602421e-06,9.999952942964280833e-01,9.999969395803361971e-01
1.092481203007518858e-01,-1.572003535683812405e-06,-1.000000000009152993e-06,9.999952439599940623e-01,9.999969745334451598e-01
1.117293233082706783e-01,-1.608606298741794524e-06,-1.000000000009738716e-06,9.999951875621300168e-01,9.999970083156737299e-01
1.142105263157894707e-01,-1.647551137347527031e-06,-1.000000000010361709e-06,9.999951248859720865e-01,9.999970409909664237e-01
1.166917293233082770e-01,-1.688987892224408212e-06,-1.000000000011024936e-06,9.999950556930491397e-01,9.999970726184835845e-01
1.191729323308270694e-01,-1.733075987923291965e-06,-1.000000000011730302e-06,9.999949797227503101e-01,9.999971032530511339e-01
1.216541353383458618e-01,-1.779985045454512127e-06,-1.000000000012480985e-06,9.999948966916807347e-01,9.999971329455612512e-01
1.241353383458646681e-01,-1.829895534036511508e-06,-1.000000000013279526e-06,9.999948062929071568e-01,9.999971617433273119e-01
1.266165413533834605e-01,-1.882999464449405375e-06,-1.000000000014129311e-06,9.999947081950976147e-01,9.999971896904018553e-01
1.290977443609022668e-01,-1.939501126649430621e-06,-1.000000000015033519e-06,9.999946020415543257e-01,9.999972168278590257e-01
1.315789473684210731e-01,-1.999617874451762189e-06,-1.000000000015995537e-06,9.999944874491407676e-01,9.999972431940495898e-01
1.340601503759398516e-01,-2.063580960284010565e-06,-1.000000000017018964e-06,9.999943640071011774e-01,9.999972688248277564e-01
1.365413533834586579e-01,-2.131636423192544713e-06,-1.000000000018108037e-06,9.999942312757722496e-01,9.999972937537572326e-01
1.390225563909774642e-01,-2.204046033488045140e-06,-1.000000000019266566e-06,9.999940887851822557e-01,9.999973180122954108e-01
1.415037593984962705e-01,-2.281088297629858216e-06,-1.000000000020499423e-06,9.999939360335380334e-01,9.999973416299604567e-01
1.439849624060150490e-01,-2.363059527175133078e-06,-1.000000000021811053e-06,9.999937724855918475e-01,9.999973646344826328e-01
1.464661654135338553e-01,-2.450274975863021149e-06,-1.000000000023206752e-06,9.999935975708881264e-01,9.999973870519406338e-01
