kernel,k_c,q0_lss,q0_gw,s8_lss,s8_gw,target_error,ligo_impact,score
lorentzian,0.0001,-0.0010004999999999999,-1.000000001999e-06,0.8005902952440469,0.8299699214301713,0.030590295244046883,1.9990000848607537e-15,0.030590295244066874
lorentzian,0.00011006941712522093,-0.0010960999324604332,-1.0000000024218438e-06,0.7978501962517482,0.8299699214301588,0.027850196251748227,2.421843802569547e-15,0.027850196251772444
lorentzian,0.00012115276586285888,-0.0011899665316271032,-1.0000000029341308e-06,0.7951714181091987,0.8299699214301435,0.02517141810919865,2.9341308113766057e-15,0.025171418109227992
lorentzian,0.0001333521432163324,-0.001280489934605967,-1.0000000035547804e-06,0.7925989175389496,0.8299699214301246,0.022598917538949603,3.5547804391918014e-15,0.02259891753898515
lorentzian,0.0001467799267622069,-0.0013662889879074351,-1.0000000043067148e-06,0.7901704773520376,0.8299699214301023,0.020170477352037586,4.306714879875493e-15,0.020170477352080652
lorentzian,0.00016155980984398745,-0.0014462845021495638,-1.0000000052177043e-06,0.7879148555642222,0.8299699214300744,0.017914855564222232,5.2177043203616505e-15,0.01791485556427441
lorentzian,0.00017782794100389227,-0.0015197341063692676,-1.000000006321393e-06,0.7858510468693183,0.8299699214300414,0.015851046869318264,6.3213931210734505e-15,0.015851046869381477
lorentzian,0.00019573417814876596,-0.0015862300378253467,-1.0000000076585424e-06,0.7839885782769632,0.8299699214300013,0.013988578276963204,7.658542413256902e-15,0.013988578277039788
lorentzian,0.00021544346900318845,-0.0016456671943035107,-1.000000009278536e-06,0.7823285899042051,0.8299699214299522,0.012328589904205045,9.278536123561061e-15,0.01232858990429783
lorentzian,0.00023713737056616554,-0.0016981918651345646,-1.0000000112412031e-06,0.7808653938310663,0.8299699214298933,0.010865393831066328,1.1241203153665815e-14,0.01086539383117874
lorentzian,0.0002610157215682536,-0.001744141777554419,-1.0000000136190285e-06,0.7795882205769221,0.8299699214298222,0.009588220576922102,1.3619028559790688e-14,0.009588220577058292
lorentzian,0.0002872984833353666,-0.0017839862806087218,-1.0000000164998297e-06,0.7784829074218507,0.8299699214297362,0.00848290742185065,1.649982975329169e-14,0.008482907422015648
lorentzian,0.00031622776601683794,-0.001818272727272727,-1.00000001999e-06,0.7775333817946828,0.82996992142963,0.00753338179468277,1.999000000157459e-14,0.00753338179488267
lorentzian,0.00034807005884284094,-0.0018475823222752102,-1.0000000242184378e-06,0.7767228579881367,0.8299699214295029,0.006722857988136655,2.4218437813937235e-14,0.006722857988378839
lorentzian,0.00038311868495572853,-0.0018724964323377986,-1.0000000293413072e-06,0.7760347361044425,0.8299699214293493,0.006034736104442495,2.934130726673311e-14,0.006034736104735908
lorentzian,0.00042169650342858224,-0.0018935728098111568,-1.0000000355478054e-06,0.7754532200852475,0.8299699214291625,0.005453220085247512,3.55478054507092e-14,0.00545322008560299
lorentzian,0.00046415888336127773,-0.001911330321129341,-1.0000000430671494e-06,0.7749637069794458,0.8299699214289363,0.004963706979445814,4.3067149434029644e-14,0.0049637069798764855
lorentzian,0.0005108969774506924,-0.001926240441387214,-1.0000000521770427e-06,0.7745529917416817,0.8299699214286622,0.004552991741681667,5.217704278010003e-14,0.004552991742203437
lorentzian,0.0005623413251903491,-0.0019387237933666003,-1.0000000632139303e-06,0.7742093385046667,0.8299699214283308,0.004209338504666649,6.321393036370156e-14,0.004209338505298788
lorentzian,0.0006189658188912603,-0.0019491502165503753,-1.0000000765854251e-06,0.7739224597329422,0.829969921427928,0.003922459732942141,7.65854251913602e-14,0.003922459733707995
lorentzian,0.0006812920690579609,-0.0019578411357427444,-1.0000000927853608e-06,0.7736834365244558,0.829969921427441,0.0036834365244557965,9.278536081209414e-14,0.00368343652538365
lorentzian,0.0007498942093324559,-0.001965073289101828,-1.0000001124120309e-06,0.773484605192054,0.8299699214268509,0.003484605192053958,1.1241203090138344e-13,0.003484605193178078
lorentzian,0.0008254041852680181,-0.0019710831341848887,-1.0000001361902845e-06,0.7733194281139135,0.8299699214261363,0.003319428113913503,1.361902845391157e-13,0.0033194281152754057
lorentzian,0.0009085175756516862,-0.001976071462948696,-1.0000001649982966e-06,0.7731823610758377,0.8299699214252695,0.003182361075837692,1.6499829668588394e-13,0.003182361077487675
lorentzian,0.001,-0.001980207920792079,-1.0000001999e-06,0.7730687249257847,0.8299699214242201,0.003068724925784694,1.999000000157459e-13,0.0030687249277836937
lorentzian,0.0011006941712522092,-0.0019836352457033657,-1.000000242184379e-06,0.7729745861505377,0.8299699214229483,0.0029745861505376947,2.421843789864053e-13,0.0029745861529595387
lorentzian,0.0012115276586285877,-0.001986473129038583,-1.0000002934130735e-06,0.7728966487390275,0.8299699214214075,0.0028966487390275075,2.9341307351436405e-13,0.0028966487419616383
lorentzian,0.001333521432163324,-0.001988821657349639,-1.000000355478054e-06,0.7728321581920249,0.829969921419541,0.0028321581920248695,3.554780540835755e-13,0.00283215819557965
lorentzian,0.0014677992676220691,-0.0019907643320946286,-1.0000004306714943e-06,0.7727788175780347,0.8299699214172793,0.0027788175780346647,4.3067149434029644e-13,0.00277881758234138
lorentzian,0.001615598098439873,-0.001992370686812092,-1.0000005217704273e-06,0.772734714962264,0.8299699214145397,0.002734714962263962,5.217704273774838e-13,0.0027347149674816665
lorentzian,0.0017782794100389228,-0.001993698533942663,-1.000000632139304e-06,0.772698261228129,0.8299699214112204,0.0026982612281289953,6.321393040605321e-13,0.0026982612344503883
lorentzian,0.0019573417814876598,-0.0019947958792990495,-1.0000007658542508e-06,0.7726681371793399,0.8299699214071989,0.002668137179339891,7.658542508548108e-13,0.0026681371869984338
lorentzian,0.002154434690031882,-0.001995702543643679,-1.0000009278536074e-06,0.7726432487909747,0.8299699214023272,0.0026432487909746616,9.278536074856667e-13,0.002643248800253198
lorentzian,0.0023713737056616554,-0.001996451529631126,-1.0000011241203083e-06,0.7726226895255235,0.8299699213964244,0.0026226895255234695,1.1241203083785597e-12,0.0026226895367646727
lorentzian,0.0026101572156825357,-0.001997070169666841,-1.0000013619028451e-06,0.7726057087144962,0.8299699213892737,0.002605708714496169,1.3619028451793987e-12,0.0026057087281151975
lorentzian,0.002872984833353663,-0.0019975810867906584,-1.000001649982965e-06,0.7725916851079041,0.8299699213806095,0.002591685107904085,1.6499829649530153e-12,0.0025916851244039145
lorentzian,0.0031622776601683794,-0.0019980029970029975,-1.000001998999998e-06,0.7725801048003279,0.8299699213701132,0.002580104800327887,1.9989999980398767e-12,0.002580104820317887
lorentzian,0.0034807005884284095,-0.001998351377813302,-1.0000024218437866e-06,0.7725705428456384,0.8299699213573961,0.0025705428456384016,2.4218437866876794e-12,0.0025705428698568396
lorentzian,0.003831186849557285,-0.001998639024375852,-1.0000029341307317e-06,0.7725626479686213,0.82996992134199,0.0025626479686212678,2.9341307317555087e-12,0.002562647997962575
lorentzian,0.004216965034285823,-0.0019988765114749706,-1.0000035547805342e-06,0.7725561298685782,0.8299699213233243,0.0025561298685782274,3.5547805342712498e-12,0.0025561299041260326
lorentzian,0.004641588833612777,-0.0019990725768638477,-1.000004306714936e-06,0.7725507486868799,0.8299699213007108,0.002550748686879878,4.306714935991426e-12,0.002550748729947027
lorentzian,0.005108969774506924,-0.001999234439049478,-1.0000052177042604e-06,0.7725463062773702,0.8299699212733134,0.0025463062773701806,5.2177042604340695e-12,0.002546306329547223
lorentzian,0.005623413251903491,-0.0019993680605325382,-1.0000063213930226e-06,0.7725426389763282,0.8299699212401201,0.0025426389763282264,6.3213930226058704e-12,0.0025426390395421566
lorentzian,0.006189658188912603,-0.001999478365727331,-1.0000076585424829e-06,0.7725396116179669,0.8299699211999064,0.002539611617966897,7.658542482925362e-12,0.0025396116945523217
lorentzian,0.006812920690579608,-0.0019995694212708377,-1.0000092785360352e-06,0.7725371125833526,0.8299699211511865,0.002537112583352541,9.278536035257876e-12,0.0025371126761379015
lorentzian,0.007498942093324558,-0.0019996445851486245,-1.0000112412030272e-06,0.7725350497059512,0.8299699210921608,0.002535049705951198,1.1241203027246148e-11,0.002535049818363228
lorentzian,0.008254041852680182,-0.001999706629987231,-1.0000136190283677e-06,0.7725333468867219,0.8299699210206498,0.00253334688672191,1.3619028367725967e-11,0.002533347022912194
lorentzian,0.009085175756516862,-0.001999757844958793,-1.0000164998295273e-06,0.7725319412965717,0.8299699209340111,0.002531941296571638,1.649982952734565e-11,0.0025319414615699335
lorentzian,0.01,-0.0019998001199880012,-1.0000199899998001e-06,0.7725307810647759,0.829969920829047,0.002530781064775889,1.9989999800192507e-11,0.002530781264675887
