T,dP_dT
1e-06,-0.015076791910946175
1.0082653707596288e-06,-0.015181463232675623
1.0165990578730536e-06,-0.01528903544745871
1.0250016260002637e-06,-0.01539932612956363
1.0334736444683805e-06,-0.015512152853258578
1.0420156873102165e-06,-0.01562733319281175
1.0506283333031869e-06,-0.015744684722491332
1.0593121660085085e-06,-0.015864025016565527
1.0680677738107544e-06,-0.015985171649302524
1.0768957499577138e-06,-0.01610794219497052
1.0857966926005827e-06,-0.01623215422783747
1.0947712048345073e-06,-0.016359378598647244
1.10381989473943e-06,-0.016484329971993342
1.1129433754213081e-06,-0.016610229476170583
1.1221422650536379e-06,-0.016737083171016985
1.131417186919358e-06,-0.01686489893821899
1.140768769453063e-06,-0.01699368284735713
1.150197646283598e-06,-0.017123444872320755
1.1597044562769867e-06,-0.017254190422635707
1.1692898435797096e-06,-0.01738592773071858
1.1789544576623666e-06,-0.017518663426343953
1.188698953363663e-06,-0.01765240575410656
1.198523990934799e-06,-0.01778716174809492
1.208430236084185e-06,-0.01792294114594264
1.2184183600225666e-06,-0.018059748960168476
1.2284890395084943e-06,-0.018197593113864517
1.2386429568941723e-06,-0.018336484577091246
1.2488808001717082e-06,-0.018476426857150396
1.2592032630197092e-06,-0.018617430349294684
1.2696110448503041e-06,-0.018759502730617928
1.2801048508565115e-06,-0.01890265108879242
1.2906853920600425e-06,-0.019046885251569955
1.3013533853594555e-06,-0.019192212367513475
1.3121095535787494e-06,-0.01933863981900603
1.3229546255163315e-06,-0.01948617591640429
1.3338893359943898e-06,-0.01963482943283388
1.3449144259087011e-06,-0.01978460971622822
1.35603064227881e-06,-0.019935525415496
1.3672387382986648e-06,-0.020087582807245985
1.3785394733876302e-06,-0.020240791580399275
1.3899336132419625e-06,-0.020395161801399
1.4014219298866805e-06,-0.020550701456663555
1.4130052017278683e-06,-0.020707419852720687
1.4246842136054362e-06,-0.020865324693456137
1.4364597568462753e-06,-0.021024423694933743
1.448332629317899e-06,-0.02118472863340628
1.4603036354824793e-06,-0.021346247587845892
1.4723735864513788e-06,-0.02150898877361983
1.4845433000400836e-06,-0.02167296225229998
1.4968136008236377e-06,-0.021838175342943123
1.5091853201925033e-06,-0.02200463992896957
1.5216592964088833e-06,-0.02217236409909399
1.5342363746635418e-06,-0.02234135781259199
1.5469174071330446e-06,-0.022511630344328192
1.559703253037526e-06,-0.022683190650100202
1.5725947786988804e-06,-0.02285604879635117
1.5855928575994828e-06,-0.023030215141799395
1.5986983704413652e-06,-0.023205700096311323
1.6119122052058774e-06,-0.023382512172400595
1.6252352572138782e-06,-0.023560661543677905
1.6386684291863714e-06,-0.023740160035108544
1.6522126313056986e-06,-0.023921014332486477
1.665868781277182e-06,-0.024103236992682655
1.679637804391329e-06,-0.024286837104236313
1.6935206335865156e-06,-0.024471826287520128
1.7075182095121894e-06,-0.024658213964754126
1.7216314805926287e-06,-0.024846010995177775
1.7358614030911755e-06,-0.025035228311099382
1.750208941175057e-06,-0.025225875473569623
1.7646750669806863e-06,-0.02541796455111643
1.7792607606795578e-06,-0.025611506037635345
1.7939670105446336e-06,-0.025806509846125078
1.8087948130173278e-06,-0.026002988134013874
1.823745172775013e-06,-0.026200951485315472
1.8388191027990821e-06,-0.026400410484043596
1.8540176244436082e-06,-0.026601376630007428
1.8693417675045208e-06,-0.026803861934497644
1.8847925702894092e-06,-0.02700787779624496
1.9003710796878448e-06,-0.027213434129465867
1.9160783512423447e-06,-0.027420543324190944
1.931915449219861e-06,-0.02762921684369498
1.947883446683918e-06,-0.027839465913779195
1.963983425567308e-06,-0.028051303538251977
1.9802164767453875e-06,-0.02826474041194803
1.996583700110018e-06,-0.028479789811465872
2.0130862046440586e-06,-0.028696462615529997
2.02972510849654e-06,-0.02891477247826097
2.0465015390583915e-06,-0.02913473038555085
2.06341663303886e-06,-0.029356348876003392
2.0804715365425156e-06,-0.029579640798764704
2.0976674051468942e-06,-0.02980461844035125
2.115005403980826e-06,-0.0300312948995608
2.132486707803346e-06,-0.030259682092694633
2.150112501083325e-06,-0.030489793409607883
2.1678839780796915e-06,-0.03072164103452069
2.1858023429223788e-06,-0.030955238233071235
2.203868809693902e-06,-0.031190598073611984
2.222084602511604e-06,-0.03142773417372914
2.240450955610629e-06,-0.03166665907324426
2.2589691134275157e-06,-0.03190738643723823
2.2776403306845487e-06,-0.03214992988086159
2.2964658724747398e-06,-0.03239430320680816
2.315447014347578e-06,-0.03264051923864991
2.334585042395441e-06,-0.03288859196662388
2.353881253340723e-06,-0.0331385366328789
2.3733369546237286e-06,-0.03339036586735473
2.392953464491222e-06,-0.033644094378798076
2.4127321120857848e-06,-0.033899735565588784
2.432674237535836e-06,-0.03415730466622226
2.452781192046472e-06,-0.03441681549800605
2.47305433799098e-06,-0.034678283259247725
2.493495049003184e-06,-0.03494172201690649
2.514104710070499e-06,-0.0352071463871753
2.534884717627761e-06,-0.035474572092021386
2.5558364796518766e-06,-0.035744012949970067
2.576961415757184e-06,-0.036015484013191365
2.59826095729168e-06,-0.03628900046659695
2.6197365474339636e-06,-0.03656457864471401
2.6413896412910607e-06,-0.03684223250124517
2.663221705996974e-06,-0.037121979083138315
2.68523422081213e-06,-0.037403832230839394
2.707428677223591e-06,-0.037687808976682585
2.7298065790460955e-06,-0.03797392485387405
2.7523694425239907e-06,-0.03826219571225141
2.7751187964339243e-06,-0.03855263790095564
2.798056182188471e-06,-0.03884526697876702
2.82118315394053e-06,-0.03914009956152757
2.8445012786886677e-06,-0.03943715248428576
2.8680121363832734e-06,-0.03973644188306523
2.8917173200335962e-06,-0.04003798427750079
2.9156184358157196e-06,-0.040341797317357854
2.9397171031813454e-06,-0.04064789763552783
2.964014954967567e-06,-0.0409563021949295
2.9885136375074584e-06,-0.0412670281094905
3.0132148107416645e-06,-0.04158009214971511
3.038120148330855e-06,-0.041895511487986
3.063231337769108e-06,-0.04221330465211181
3.0885500804982897e-06,-0.04253348961823181
3.1140780920232893e-06,-0.04285608266728944
3.1398171020283057e-06,-0.04318110277524856
3.1657688544939927e-06,-0.04350856784030844
3.191935107815671e-06,-0.043838497509447946
3.2183176349224493e-06,-0.04417090863232924
3.244918223397335e-06,-0.04450581923136852
3.2717386755983968e-06,-0.044843248489557876
3.2987808087808343e-06,-0.04518321555822623
3.3260464552201626e-06,-0.04552573884035638
3.3535374623363063e-06,-0.04587083795735313
3.3812556928188275e-06,-0.04621853078914853
3.4092030247530803e-06,-0.04656883823585115
3.43738135174752e-06,-0.0469217788222251
3.4657925830619467e-06,-0.04727737278101734
3.4944386437369255e-06,-0.04763563928852197
3.5233214747241924e-06,-0.047996598330269966
3.55244303301815e-06,-0.04836026989301001
3.5818052917885123e-06,-0.04872667372297278
3.6114102405139446e-06,-0.04909583154350847
3.64125988511692e-06,-0.049467762669133004
3.671356248099575e-06,-0.049842487697328394
3.7017013686807976e-06,-0.050220028015937335
3.7322973029343773e-06,-0.05060040491233298
3.7631461239282924e-06,-0.050983638917017585
3.7942499218652274e-06,-0.05136975089965442
3.825610804224136e-06,-0.05175876207941908
3.857230895903098e-06,-0.05215069492618121
3.889112339363232e-06,-0.0525455711011826
3.9212572947739166e-06,-0.05294341191006357
3.95366794015913e-06,-0.053344239827565
3.986346471545002e-06,-0.05374807677919411
4.019295103108668e-06,-0.054154945253696685
4.0525160673282216e-06,-0.05456486756688903
4.08601161513405e-06,-0.05497786675796842
4.119784016061282e-06,-0.05539396531020046
4.153835558403622e-06,-0.055813186497211474
4.188168549368366e-06,-0.05623555332166436
4.222785315232712e-06,-0.05666108922463469
4.257688201501436e-06,-0.05708981835474758
4.292879573065742e-06,-0.057521763063744756
4.328361814363576e-06,-0.05795694788447131
4.36413732954111e-06,-0.05839539727426789
4.400208542615712e-06,-0.05883713507121719
4.436577897640117e-06,-0.0592821857564072
4.473247858868096e-06,-0.05973057389739072
4.510220910921356e-06,-0.06018232426205067
4.547499558957952e-06,-0.060637462246052744
4.585086328841997e-06,-0.06109601277742238
4.622983767314782e-06,-0.061558000758002
4.6611944421673935e-06,-0.06202345211868611
4.699720942414628e-06,-0.06249239210291373
4.738565878470486e-06,-0.06296484656972844
4.77773188232497e-06,-0.06344084206989158
4.817221607722486e-06,-0.06392040443930824
4.8570377303416165e-06,-0.0644035605398911
4.8971829479763964e-06,-0.06489033681218946
4.937659980719163e-06,-0.06538076031540162
4.978471571144789e-06,-0.06587485765996189
5.019620484496582e-06,-0.06637265641106993
5.061109508873574e-06,-0.06687418322056561
5.1029414554194965e-06,-0.0673794666126765
5.145119158513229e-06,-0.0678885342829083
5.18764547596081e-06,-0.06840141398887513
5.230523289189147e-06,-0.06891813438267497
5.273755503441168e-06,-0.06943872384178885
5.317345047972753e-06,-0.06996321083259817
5.361294876251124e-06,-0.07049162384949403
5.405607966155038e-06,-0.07102399225029705
5.450287320176523e-06,-0.07156034560472732
5.495335965624286e-06,-0.07210071326268964
