T,dP_dT
1e-06,-4.0965572310867137e-10
1.0233132151630174e-06,-6.163241431108644e-10
1.047169936327272e-06,-7.648973423303331e-10
1.0715828343651132e-06,-8.60218895629858e-10
1.096564875547663e-06,-9.0713237787222e-10
1.1221293284315132e-06,-9.104813639201999e-10
1.1482897709059693e-06,-8.751094286365781e-10
1.1750600974045922e-06,-8.058601468841359e-10
1.2024545262848618e-06,-7.075770935256536e-10
1.230487607379885e-06,-5.85103843423912e-10
1.2591742297261588e-06,-4.4328397144167794e-10
1.2885296294714914e-06,-1.9363228422864025e-10
1.3185693979672835e-06,6.819753406796097e-11
1.349309490049465e-06,6.089065541783874e-12
1.3807662325124898e-06,1.5222663854453771e-10
1.4129563327808825e-06,2.983642115472918e-10
1.4458968877829511e-06,4.445017845500465e-10
1.4796053930313724e-06,5.906393575528015e-10
1.514099751915474e-06,6.326539097910987e-10
1.5493982852101507e-06,5.005211875344353e-10
1.585519740806465e-06,6.624903309458169e-10
1.622483303669098e-06,3.0810671641413177e-10
1.660308606025939e-06,1.3761288124425083e-10
1.6990157377952313e-06,2.7887920181358545e-10
1.7386252572558044e-06,4.719025794880563e-10
1.7791582019660656e-06,2.2468651849172857e-10
1.8206360999375477e-06,7.550441271808424e-11
1.8630809810689488e-06,-7.976675859734195e-11
1.9065153888467348e-06,-1.7719180726583783e-10
1.9509623923185225e-06,-2.1677073328741817e-10
1.9964455983455997e-06,-2.6243872485078e-10
2.0429891641410897e-06,-9.407606262052326e-11
2.090617810100424e-06,-1.1082099286042213e-10
2.139356832930932e-06,-1.2452139032943035e-10
2.189232119087522e-06,-1.3517725502754782e-10
2.240270158521598e-06,-1.4278858695477475e-10
2.2924980587504996e-06,-9.529387572888159e-11
2.3459435592549497e-06,-1.2573920343778824e-10
2.4006350462121553e-06,-2.0215697598714291e-10
2.4566015675723797e-06,2.861860804637441e-11
2.5138728484870007e-06,1.3548170830463773e-10
2.5724793070962458e-06,5.4801589876026126e-12
2.6324520706849902e-06,-1.1264771252295292e-11
2.6938229922152005e-06,-7.093761356175043e-11
2.756624667243797e-06,-4.049228585284299e-11
2.820890451234933e-06,-1.7201610155532492e-10
2.886654477275874e-06,-1.473553861111125e-10
2.9539516742058945e-06,-2.5574075275481995e-10
3.022817785167812e-06,-2.2803550453971706e-10
3.093289386592025e-06,-1.1325661907713385e-10
3.1654039076231233e-06,-1.4552866644857305e-10
3.2391996499993974e-06,-8.768254380164949e-11
3.3147158083958045e-06,-1.0777646008952978e-10
3.3919924912411912e-06,-7.276433322428669e-11
3.4710707420208367e-06,-3.470767358815284e-11
3.551992561075623e-06,5.845502920110116e-11
3.6348009279094165e-06,2.161618267332619e-11
3.719539824016504e-06,-1.2178131083562297e-11
3.806254256241213e-06,6.089065541781903e-12
3.894990280682115e-06,1.6044687702594087e-10
3.9857950271535195e-06,1.007740347164822e-10
4.078716724217234e-06,3.820888627467598e-11
4.173804724797909e-06,-3.8817792828857624e-11
4.2711095323955414e-06,-9.986067488521552e-11
4.370682827909093e-06,-3.6382166612142796e-11
4.472577497085444e-06,-4.947365752697191e-11
4.576847658608267e-06,-4.658135139462502e-11
4.6835486928417536e-06,-1.1325661907713294e-10
4.792737271244443e-06,-7.915785204313545e-12
4.904471386468777e-06,-4.171009896120274e-11
5.018810383162387e-06,-2.9531967877640716e-11
5.135814989487438e-06,6.058620214072542e-11
5.255547349374808e-06,9.559832900596839e-11
5.3780710555302095e-06,1.2756592310032073e-10
5.503451183209782e-06,1.564889844237825e-10
5.631754324783114e-06,1.8236751297635366e-10
5.763048625102037e-06,1.2117240428144874e-10
5.897403817693973e-06,2.1600960009469508e-10
6.034891261799073e-06,1.8921771171085823e-10
6.175583980270809e-06,2.0139584279442135e-10
6.3195566983601456e-06,1.265003366305083e-10
6.466885883403904e-06,7.154652011593175e-11
6.61764978543838e-06,-1.7049383516988446e-11
6.771928478759801e-06,-6.241292180326589e-12
6.929803904453694e-06,3.74477530819542e-11
7.091359913915741e-06,7.002425373046641e-12
7.256682313387256e-06,-1.354817083046435e-11
7.4258589095289164e-06,1.7810516709710246e-11
7.5989795560569735e-06,6.058620214072521e-11
7.7761362014667e-06,2.339784325084846e-08
7.957422937868423e-06,3.6782624663362645e-06
8.142936050962081e-06,1.5042130976924372e-05
8.332774071176851e-06,3.1174379746461785e-05
8.52703782600301e-06,4.5756121044570885e-05
8.725830493543807e-06,5.3422507942912575e-05
8.929257657315812e-06,4.97312935013746e-05
9.137427362326838e-06,3.113169844154288e-05
9.350450172461225e-06,-5.065569737533186e-06
9.568439229202887e-06,-6.071779461064827e-05
9.79151031172755e-06,-0.0001368786818151557
1.001978189839574e-05,-0.00023382684583074463
1.0253375229679547e-05,-0.0003510927252475144
1.049241437255622e-05,-0.0004874853196244288
1.073702628640316e-05,-0.0006411182401861968
1.098734089042905e-05,-0.0008094350313545538
1.1243491132677042e-05,-0.000989233881394045
1.1505613060636621e-05,-0.001176691510120598
1.1773845893501692e-05,-0.0013673868420466485
1.2048332096113105e-05,-0.0015563239026376192
1.232921745462528e-05,-0.0017379539386692192
1.261665115393659e-05,-0.00190623492407713
1.2910785856925046e-05,-0.0020604376186716712
1.3211777785531182e-05,-0.0022057824827189745
1.3519786803731245e-05,-0.002345135937429316
1.3834976502444755e-05,-0.0024786567022879397
1.4157514286421541e-05,-0.0026065002958344493
1.4487571463154379e-05,-0.0027288191961096836
1.4825323333864489e-05,-0.0028457626248744546
1.5170949286608175e-05,-0.00295747663886942
1.5524632891554098e-05,-0.0030641042921647917
1.5886561998481755e-05,-0.003165785680762744
1.6256928836552978e-05,-0.003262657841861429
1.66359301164094e-05,-0.0033548548778055227
1.7023767134650176e-05,-0.003442508072806
