R_over_R0,f_R,f_RR,z
1.1,1.0000001,1e-06,0.09736043994110599
1.2,1.0000002,1e-06,0.17996330257476012
1.3,1.0000003,1e-06,0.2523834162614029
1.4,1.0000004,1e-06,0.3172765330560793
1.5,1.0000005,1e-06,0.3763367426615949
1.6,1.0000006,1.01e-06,0.43072198253393107
1.7,1.0000007,1.01e-06,0.4812599704034278
1.8,1.0000008,1.01e-06,0.5285667351886387
1.9,1.0000009,1.01e-06,0.5731134473909352
2.0,1.000001,1.01e-06,0.6152704534905299
2.1,1.00000111,1.01e-06,0.6553350073320134
2.2,1.00000121,1.01e-06,0.6935491284971977
2.3,1.00000131,1.01e-06,0.730111784079797
2.4,1.00000141,1.01e-06,0.7651911704561607
2.5,1.00000151,1.02e-06,0.7989292431441203
2.6,1.00000161,1.02e-06,0.8314472450680549
2.7,1.00000171,1.02e-06,0.8628497758702308
2.8,1.00000182,1.02e-06,0.8932278336436175
2.9,1.00000192,1.02e-06,0.9226611355763307
3.0,1.00000202,1.02e-06,0.951219924188274
3.1,1.00000212,1.02e-06,0.9789664002769466
3.2,1.00000222,1.02e-06,1.0059558801531614
3.3,1.00000233,1.02e-06,1.032237745533144
3.4,1.00000243,1.02e-06,1.0578567302159987
3.5,1.00000253,1.02e-06,1.0828536626596659
3.6,1.00000263,1.03e-06,1.1072646248929894
3.7,1.00000274,1.03e-06,1.1311222616940189
3.8,1.00000284,1.03e-06,1.154457711573266
3.9,1.00000294,1.03e-06,1.177298507675224
4.0,1.00000304,1.03e-06,1.1996693269214695
4.1,1.00000315,1.03e-06,1.221594656900677
4.2,1.00000325,1.03e-06,1.243095391500003
4.3,1.00000335,1.03e-06,1.2641914788858857
4.4,1.00000346,1.03e-06,1.2849020003684384
4.5,1.00000356,1.04e-06,1.3052432156883043
4.6,1.00000366,1.04e-06,1.3252322077275256
4.7,1.00000377,1.04e-06,1.3448827626169584
4.8,1.00000387,1.04e-06,1.364209912052828
4.9,1.00000398,1.04e-06,1.3832256112942922
5.0,1.00000408,1.04e-06,1.4019431195339316
5.1,1.00000418,1.04e-06,1.4203728679174568
5.2,1.00000429,1.04e-06,1.4385266393109126
5.3,1.00000439,1.04e-06,1.4564136066672164
5.4,1.0000045,1.04e-06,1.4740442016435829
5.5,1.0000046,1.04e-06,1.4914267363979206
5.6,1.00000471,1.05e-06,1.508570153657015
5.7,1.00000481,1.05e-06,1.5254825046975808
5.8,1.00000492,1.05e-06,1.5421710626761325
5.9,1.00000502,1.05e-06,1.5586437271492743
6.0,1.00000512,1.05e-06,1.574906603910635
6.1,1.00000523,1.05e-06,1.5909668050395391
6.2,1.00000534,1.05e-06,1.6068303665853183
6.3,1.00000544,1.05e-06,1.6225029413662428
6.4,1.00000555,1.05e-06,1.6379907287982738
6.5,1.00000565,1.06e-06,1.6532985220090985
6.6,1.00000576,1.06e-06,1.6684316594931121
6.7,1.00000586,1.06e-06,1.683395346782135
6.8,1.00000597,1.06e-06,1.69819370521088
6.9,1.00000607,1.06e-06,1.7128315371459657
7.0,1.00000618,1.06e-06,1.727313303284963
7.1,1.00000629,1.06e-06,1.7416426327913215
7.2,1.00000639,1.06e-06,1.7558237630304876
7.3,1.0000065,1.06e-06,1.769860632977213
7.4,1.0000066,1.06e-06,1.783756434017598
7.5,1.00000671,1.06e-06,1.7975148725135108
7.6,1.00000682,1.07e-06,1.81113950635512
7.7,1.00000692,1.07e-06,1.824633174066918
7.8,1.00000703,1.07e-06,1.8379990711021437
7.9,1.00000714,1.07e-06,1.851240410619307
8.0,1.00000725,1.07e-06,1.864359869336847
8.1,1.00000735,1.07e-06,1.877360100312173
8.2,1.00000746,1.07e-06,1.890243965348142
8.3,1.00000757,1.07e-06,1.9030141195564279
8.4,1.00000767,1.07e-06,1.9156727564140283
8.5,1.00000778,1.07e-06,1.9282223771300424
8.6,1.00000789,1.08e-06,1.9406654487901993
8.7,1.000008,1.08e-06,1.9530041417461736
8.8,1.0000081,1.08e-06,1.9652404501360439
8.9,1.00000821,1.08e-06,1.9773765909829628
9.0,1.00000832,1.08e-06,1.989414706977515
9.1,1.00000843,1.08e-06,2.001356630716223
9.2,1.00000854,1.08e-06,2.0132041784286403
9.3,1.00000864,1.08e-06,2.0249592886764565
9.4,1.00000875,1.08e-06,2.036623836622988
9.5,1.00000886,1.08e-06,2.0481994473240963
9.6,1.00000897,1.09e-06,2.0596877189865808
9.7,1.00000908,1.09e-06,2.0710903556999556
9.8,1.00000919,1.09e-06,2.0824090088155054
9.9,1.0000093,1.09e-06,2.093645179470576
10.0,1.0000094,1.09e-06,2.1048002382940942
