q0star,r_s,delta_rs_rel
-0.1,147.10746420925813,0.0
-0.095,147.10715069749713,-2.1311750744813206e-06
-0.09000000000000001,147.10684146372463,-4.2332694458317675e-06
-0.085,147.106514153397,-6.458243748757884e-06
-0.08,147.10621723232268,-8.476639456406974e-06
-0.07500000000000001,147.1059239543898,-1.04702699935077e-05
-0.07,147.1056898155851,-1.206188742746037e-05
-0.065,147.10547546409504,-1.3518995611673206e-05
-0.060000000000000005,147.10495413147012,-1.7062885296100073e-05
-0.05500000000000001,147.1046575395145,-1.907904373654188e-05
-0.05,147.10433085736585,-2.1299747834796808e-05
-0.045000000000000005,147.10403411820317,-2.331690695227125e-05
-0.04000000000000001,147.10371395927686,-2.549326780544173e-05
-0.035,147.10339830650423,-2.7638996945185184e-05
-0.03,147.1031018215159,-2.965442824854739e-05
-0.02500000000000001,147.10279040843875,-3.177133699162415e-05
-0.020000000000000004,147.1024753002164,-3.3913364413767945e-05
-0.015,147.1021526957,-3.6106349780939655e-05
-0.010000000000000009,147.1018402506623,-3.823027353550028e-05
-0.0050000000000000044,147.10174452116942,-3.8881018848691524e-05
0.0,147.10141743001563,-4.110450326228455e-05
0.0049999999999999906,147.10107347574822,-4.3442618933410723e-05
0.009999999999999995,147.1007122431508,-4.589818839995605e-05
0.015,147.10030149383138,-4.869036024273909e-05
0.01999999999999999,147.0999712473219,-5.093529398058193e-05
0.024999999999999994,147.09986433285107,-5.166207199551386e-05
0.03,147.09943953566048,-5.4549737776942026e-05
0.035,147.09903753356625,-5.7282448155673214e-05
0.04000000000000001,147.0988782106954,-5.836548545564554e-05
0.044999999999999984,147.09841477950508,-6.151577557054254e-05
0.04999999999999999,147.0981162851251,-6.354486621930517e-05
0.05499999999999999,147.09779177914663,-6.575077725311293e-05
0.06,147.09749710132718,-6.77539238713903e-05
0.065,147.09716929372817,-6.998227850158396e-05
0.07,147.09687594230772,-7.197640858892982e-05
0.07500000000000001,147.0965639101635,-7.409752559614452e-05
0.07999999999999999,147.0962476623626,-7.624729959025097e-05
0.08499999999999999,147.09592335230997,-7.845187876899346e-05
0.09,147.0956142972277,-8.055275844845856e-05
0.095,147.09531261999922,-8.260348531071452e-05
0.1,147.09500356145543,-8.470438852084719e-05
