alpha,q0star,chi2
0.0,-0.1,1096395.3106602167
0.0,-0.09000000000000001,936203.1423810828
0.0,-0.08,783015.3595173387
0.0,-0.07,637543.3618952718
0.0,-0.060000000000000005,500202.16045585164
0.0,-0.05,372263.3733737002
0.0,-0.04000000000000001,256265.96011363008
0.0,-0.03,155730.53903261654
0.0,-0.020000000000000004,75120.09585950062
0.0,-0.010000000000000009,20487.7092357178
0.0,0.0,0.4394198495391718
0.0,0.009999999999999995,23516.696772230178
0.0,0.01999999999999999,100390.89222032738
0.0,0.03,236530.60641459463
0.0,0.04000000000000001,432138.0451403565
0.0,0.04999999999999999,681135.5284406638
0.0,0.06,973933.5446547117
0.0,0.07,1302605.6342869468
0.0,0.07999999999999999,1666074.0857702806
0.0,0.09,2074184.3303415766
0.0,0.1,2545988.7199171414
0.05,-0.1,1003255.03157795
0.05,-0.09000000000000001,845258.1977155304
0.05,-0.08,695519.5201148824
0.05,-0.07,554851.3071700498
0.05,-0.060000000000000005,423873.82889249263
0.05,-0.05,304092.5682246884
0.05,-0.04000000000000001,198233.09103207497
0.05,-0.03,110035.30943078938
0.05,-0.020000000000000004,44415.650003925686
0.05,-0.010000000000000009,8264.85976818897
0.05,0.0,10916.723912600763
0.05,0.009999999999999995,63404.01726538724
0.05,0.01999999999999999,175953.89396517383
0.05,0.03,354708.21822658
0.05,0.04000000000000001,599392.1036418148
0.05,0.04999999999999999,902947.6005273132
0.05,0.06,1254803.7574807713
0.05,0.07,1646546.3938278174
0.05,0.07999999999999999,2077311.0628381134
0.05,0.09,2558040.3432540284
0.05,0.1,3109515.8750592936
0.1,-0.1,917561.2936733947
0.1,-0.09000000000000001,762680.9461247518
0.1,-0.08,617401.1508509007
0.1,-0.07,482646.0499391452
0.1,-0.060000000000000005,359250.79450891155
0.1,-0.05,248960.63953293028
0.1,-0.04000000000000001,154692.6522762788
0.1,-0.03,80422.05885531244
0.1,-0.020000000000000004,31553.610520646638
0.1,-0.010000000000000009,15860.850085327891
0.1,0.0,43884.3829615075
0.1,0.009999999999999995,127846.7774943021
0.1,0.01999999999999999,278846.62004341296
0.1,0.03,503244.94379957207
0.1,0.04000000000000001,800280.438609787
0.1,0.04999999999999999,1161922.8024468566
0.1,0.06,1576650.1148118614
0.1,0.07,2035601.8326062786
0.1,0.07999999999999999,2538149.942424464
0.1,0.09,3096331.7774570105
0.1,0.1,3732634.094758878
0.15000000000000002,-0.1,839325.5569220104
0.15000000000000002,-0.09000000000000001,688476.8056121521
0.15000000000000002,-0.08,548659.1623358872
0.15000000000000002,-0.07,420920.2046192081
0.15000000000000002,-0.060000000000000005,306319.50503093965
0.15000000000000002,-0.05,206847.38784160413
0.15000000000000002,-0.04000000000000001,125616.91368048104
0.15000000000000002,-0.03,66854.84816918598
0.15000000000000002,-0.020000000000000004,36489.536050837385
0.15000000000000002,-0.010000000000000009,43221.64599640973
0.15000000000000002,0.0,98836.14482028349
0.15000000000000002,0.009999999999999995,216757.08247929782
0.15000000000000002,0.01999999999999999,408949.7569970343
0.15000000000000002,0.03,681978.3445793046
0.15000000000000002,0.04000000000000001,1034588.6671611436
0.15000000000000002,0.04999999999999999,1457792.0884792055
0.15000000000000002,0.06,1939152.8845484739
0.15000000000000002,0.07,2469409.8831917383
0.15000000000000002,0.07999999999999999,3048194.9616623297
0.15000000000000002,0.09,3688633.362262537
0.15000000000000002,0.1,4414884.757361199
0.2,-0.1,768558.8871715129
0.2,-0.09000000000000001,622650.8947832383
0.2,-0.08,489292.18962580734
0.2,-0.07,369666.0541148645
0.2,-0.060000000000000005,265066.02364995255
0.2,-0.05,177732.26171067648
0.2,-0.04000000000000001,110977.88793927825
0.2,-0.03,69297.49138417873
0.2,-0.020000000000000004,59178.51456009823
0.2,-0.010000000000000009,90292.29308065484
0.2,0.0,175703.36136232608
0.2,0.009999999999999995,330045.5462019644
0.2,0.01999999999999999,566143.017968538
0.2,0.03,890746.2091307922
0.2,0.04000000000000001,1302104.2490177474
0.2,0.04999999999999999,1790289.781723657
0.2,0.06,2341996.6120482124
0.2,0.07,2947612.7303646547
0.2,0.07999999999999999,3607053.712369793
0.2,0.09,4334521.869446603
0.2,0.1,5155810.234041515
0.25,-0.1,705271.9385031159
0.25,-0.09000000000000001,565208.007128946
0.25,-0.08,439298.56833432335
0.25,-0.07,328875.53520549147
0.25,-0.060000000000000005,235476.01948361428
0.25,-0.05,161594.34010673477
0.25,-0.04000000000000001,110747.29576582662
0.25,-0.03,87713.50964669371
0.25,-0.020000000000000004,99575.12629819536
0.25,-0.010000000000000009,157016.90965636197
0.25,0.0,274416.03626849863
0.25,0.009999999999999995,467621.3358556209
0.25,0.01999999999999999,750305.166594315
0.25,0.03,1129386.5206830762
0.25,0.04000000000000001,1602616.3788746507
0.25,0.04999999999999999,2159153.399652563
0.25,0.06,2784869.91556067
0.25,0.07,3469856.63026689
0.25,0.07999999999999999,4214337.031154505
0.25,0.09,5033576.090209178
0.25,0.1,5954953.9287427645
0.30000000000000004,-0.1,649474.9374346491
0.30000000000000004,-0.09000000000000001,516152.5878712781
0.30000000000000004,-0.08,398676.31312300207
0.30000000000000004,-0.07,298540.2254793545
0.30000000000000004,-0.060000000000000005,217534.75918071304
0.30000000000000004,-0.05,158412.31670187885
0.30000000000000004,-0.04000000000000001,124896.53448128233
0.30000000000000004,-0.03,122066.08985294696
0.30000000000000004,-0.020000000000000004,157633.41136536165
0.30000000000000004,-0.010000000000000009,243338.68297649268
0.30000000000000004,0.0,394902.854668124
0.30000000000000004,0.009999999999999995,629392.216885536
0.30000000000000004,0.01999999999999999,961314.0428966787
0.30000000000000004,0.03,1397737.4293455444
0.30000000000000004,0.04000000000000001,1935915.8867109711
0.30000000000000004,0.04999999999999999,2564123.490485634
0.30000000000000004,0.06,3267465.293760094
0.30000000000000004,0.07,4035791.7403128757
0.30000000000000004,0.07999999999999999,4869658.896670039
0.30000000000000004,0.09,5785376.815291464
0.30000000000000004,0.1,6811860.318972811
0.35000000000000003,-0.1,601177.6688092144
0.35000000000000003,-0.09000000000000001,475488.71316299087
0.35000000000000003,-0.08,367423.09836774046
0.35000000000000003,-0.07,278651.3316725606
0.35000000000000003,-0.060000000000000005,211227.09954918292
0.35000000000000003,-0.05,168164.48589832959
0.35000000000000003,-0.04000000000000001,153396.6497543447
0.35000000000000003,-0.03,172318.0475323993
0.35000000000000003,-0.020000000000000004,233306.84150074632
0.35000000000000003,-0.010000000000000009,349199.86831662344
0.35000000000000003,0.0,537091.2139703423
0.35000000000000003,0.009999999999999995,815264.598563432
0.35000000000000003,0.01999999999999999,1199046.5908323338
0.35000000000000003,0.03,1695637.2285455668
0.35000000000000003,0.04000000000000001,2301795.145477734
0.35000000000000003,0.04999999999999999,3004943.4797259374
0.35000000000000003,0.06,3789478.944655026
0.35000000000000003,0.07,4645071.959211758
0.35000000000000003,0.07999999999999999,5572636.333555921
0.35000000000000003,0.09,6589506.817942514
0.35000000000000003,0.1,7726074.997227637
0.4,-0.1,560389.4632330283
0.4,-0.09000000000000001,443220.07145272125
0.4,-0.08,345536.24082108994
0.4,-0.07,269199.6792829781
0.4,-0.060000000000000005,216537.4810999779
0.4,-0.05,190828.73041865823
0.4,-0.04000000000000001,196218.31023451465
0.4,-0.03,238431.79366951308
0.4,-0.020000000000000004,326548.2957411576
0.4,-0.010000000000000009,474541.79065074655
0.4,0.0,700907.2556517406
0.4,0.009999999999999995,1025143.579861989
0.4,0.01999999999999999,1463378.887191091
0.4,0.03,2022924.3352688584
0.4,0.04000000000000001,2700047.985648535
0.4,0.04999999999999999,3481359.526236245
0.4,0.06,4350610.595206552
0.4,0.07,5297354.776485901
0.4,0.07999999999999999,6322889.322607265
0.4,0.09,7445550.839461122
0.4,0.1,8697144.712824248
0.45,-0.1,527119.1859373755
0.45,-0.09000000000000001,419349.9468435496
0.45,-0.08,333012.68410782446
0.45,-0.07,270175.70334859577
0.45,-0.060000000000000005,233449.92241657592
0.45,-0.05,226382.5103169752
0.45,-0.04000000000000001,253331.78484832222
0.45,-0.03,320369.3051592733
0.45,-0.020000000000000004,437310.03962849267
0.45,-0.010000000000000009,619304.8486407556
0.45,0.0,886275.8977939037
0.45,0.009999999999999995,1258932.995432691
0.45,0.01999999999999999,1754186.1715705283
0.45,0.03,2379437.2737279143
0.45,0.04000000000000001,3130469.6161437174
0.45,0.04999999999999999,3993120.387272308
0.45,0.06,4950563.3410149515
0.45,0.07,5992301.130910519
0.45,0.07999999999999999,7120040.716756505
0.45,0.09,8353095.577055522
0.45,0.1,9724617.413953548
0.5,-0.1,501375.2269528726
0.5,-0.09000000000000001,403881.2042871123
0.5,-0.08,329848.98490490695
0.5,-0.07,281569.440286846
0.5,-0.060000000000000005,261948.01526961493
0.5,-0.05,274802.8532862144
0.5,-0.04000000000000001,324706.92254750314
0.5,-0.03,418092.0986188575
0.5,-0.020000000000000004,565543.7076700474
0.5,-0.010000000000000009,783428.5206905045
0.5,0.0,1093120.8681834931
0.5,0.009999999999999995,1516535.4615109419
0.5,0.01999999999999999,2071342.8771864397
0.5,0.03,2765014.6621138114
0.5,0.04000000000000001,3592856.5511835115
0.5,0.04999999999999999,4539977.291934178
0.5,0.06,5589043.495492211
0.5,0.07,6729575.27733404
0.5,0.07999999999999999,7963716.162483468
0.5,0.09,9311729.673783166
0.5,0.1,10808042.28977715
0.55,-0.1,483165.49249728996
0.55,-0.09000000000000001,396816.2764737641
0.55,-0.08,336041.3006729095
0.55,-0.07,303370.5207080802
0.55,-0.060000000000000005,302014.9204084611
0.55,-0.05,336066.34614898433
0.55,-0.04000000000000001,410313.13431840396
0.55,-0.03,531561.2072985177
0.55,-0.020000000000000004,711200.2887826061
0.55,-0.010000000000000009,966851.3728380473
0.55,0.0,1321364.7378157368
0.55,0.009999999999999995,1797852.4215933008
0.55,0.01999999999999999,2414722.662300052
0.55,0.03,3179495.2021137387
0.55,0.04000000000000001,4087006.5426502833
0.55,0.04999999999999999,5121683.822517486
0.55,0.06,6265760.447958
0.55,0.07,7508844.661380843
0.55,0.07999999999999999,8853544.026290063
0.55,0.09,10321043.710359346
0.55,0.1,11946969.812415563
0.6000000000000001,-0.1,472497.3974832062
0.6000000000000001,-0.09000000000000001,398157.1522848401
0.6000000000000001,-0.08,351585.37881668576
0.6000000000000001,-0.07,335568.1631232333
0.6000000000000001,-0.060000000000000005,353633.3639706482
0.6000000000000001,-0.05,410149.12743363745
0.6000000000000001,-0.04000000000000001,510119.3772783396
0.6000000000000001,-0.03,660737.1608569447
0.6000000000000001,-0.020000000000000004,874230.1144695351
0.6000000000000001,-0.010000000000000009,1169511.068283903
0.6000000000000001,0.0,1570928.954655235
0.6000000000000001,0.009999999999999995,2102784.191756657
0.6000000000000001,0.01999999999999999,2784198.4420769606
0.6000000000000001,0.03,3622717.6709180754
0.6000000000000001,0.04000000000000001,4612718.517578881
0.6000000000000001,0.04999999999999999,5737995.803297485
0.6000000000000001,0.06,6980426.530140394
0.6000000000000001,0.07,8329779.801560634
0.6000000000000001,0.07999999999999999,9789155.325894913
0.6000000000000001,0.09,11380630.198623331
0.6000000000000001,0.1,13140951.778678827
0.65,-0.1,469377.8590665822
0.65,-0.09000000000000001,407905.36669010145
0.65,-0.08,376476.54716444213
0.65,-0.07,378151.16847462713
0.65,-0.060000000000000005,416785.63445692917
0.65,-0.05,497026.8809473071
0.65,-0.04000000000000001,624094.1407011601
0.65,-0.03,805579.9677841368
0.65,-0.020000000000000004,1054582.849506905
0.65,-0.010000000000000009,1391344.378368554
0.65,0.0,1841733.8775267233
0.65,0.009999999999999995,2431230.005505761
0.65,0.01999999999999999,3179642.4207063243
0.65,0.03,4094520.915447191
0.65,0.04000000000000001,5169792.52041072
0.65,0.04999999999999999,6388671.196291455
0.65,0.06,7732756.89059447
0.65,0.07,9192054.178342704
0.65,0.07999999999999999,10770183.665843632
0.65,0.09,12490083.576499104
0.65,0.1,14389541.351427997
0.7000000000000001,-0.1,473813.2911576384
0.7000000000000001,-0.09000000000000001,426061.9919801532
0.7000000000000001,-0.08,410709.7056646673
0.7000000000000001,-0.07,431107.91542743635
0.7000000000000001,-0.060000000000000005,491453.58022880653
0.7000000000000001,-0.05,596674.830268938
0.7000000000000001,-0.04000000000000001,752205.4338269978
0.7000000000000001,-0.03,966049.1002721596
0.7000000000000001,-0.020000000000000004,1252207.4849265395
0.7000000000000001,-0.010000000000000009,1632287.1948331697
0.7000000000000001,0.0,2133698.8100288687
0.7000000000000001,0.009999999999999995,2783088.058051307
0.7000000000000001,0.01999999999999999,3600926.1236340036
0.7000000000000001,0.03,4594743.848571644
