k, P_prim, T, P_m
1.000000000000000048e-04,2.611879530990531471e-09,9.999006547009786638e-01,2.611360600862418250e-09
1.023292992280753577e-04,2.609769443519173910e-09,9.998960428486517449e-01,2.609226863329137440e-09
1.047128548050899619e-04,2.607661060747088680e-09,9.998912185712766076e-01,2.607093761412954084e-09
1.071519305237605887e-04,2.605554381297082514e-09,9.998861722010973230e-01,2.604961246016356955e-09
1.096478196143185150e-04,2.603449403793073876e-09,9.998808936384825374e-01,2.602829265954692706e-09
1.122018454301963009e-04,2.601346126860092544e-09,9.998753723331946786e-01,2.600697767867657128e-09
1.148153621496882939e-04,2.599244549124280857e-09,9.998695972648848906e-01,2.598566696127227469e-09
1.174897554939529059e-04,2.597144669212889575e-09,9.998635569227853903e-01,2.596435992741909244e-09
1.202264434617413111e-04,2.595046485754277881e-09,9.998572392845678225e-01,2.594305597257166853e-09
1.230268770812381065e-04,2.592949997377915446e-09,9.998506317943377519e-01,2.592175446651901513e-09
1.258925411794167436e-04,2.590855202714376642e-09,9.998437213397324275e-01,2.590045475230829268e-09
1.288249551693133660e-04,2.588762100395344263e-09,9.998364942280882905e-01,2.587915614512624254e-09
1.318256738556407401e-04,2.586670689053605388e-09,9.998289361616446991e-01,2.585785793113666317e-09
1.348962882591653344e-04,2.584580967323051385e-09,9.998210322117491167e-01,2.583655936627253623e-09
1.380384264602885192e-04,2.582492933838677904e-09,9.998127667920273520e-01,2.581525967498119771e-09
1.412537544622754072e-04,2.580406587236582817e-09,9.998041236304802126e-01,2.579395804892081708e-09
1.445439770745927987e-04,2.578321926153967039e-09,9.997950857404712677e-01,2.577265364560678240e-09
1.479108388168207295e-04,2.576238949229131222e-09,9.997856353905640869e-01,2.575134558700612193e-09
1.513561248436208798e-04,2.574157655101476582e-09,9.997757540731696535e-01,2.573003295807823762e-09
1.548816618912481058e-04,2.572078042411503659e-09,9.997654224719632055e-01,2.570871480526042834e-09
1.584893192461114190e-04,2.570000109800810246e-09,9.997546204280263193e-01,2.568739013489601515e-09
1.621810097358929842e-04,2.567923855912093461e-09,9.997433269046731574e-01,2.566605791160363745e-09
1.659586907437561511e-04,2.565849279389145609e-09,9.997315199509150263e-01,2.564471705658554449e-09
1.698243652461744297e-04,2.563776378876855421e-09,9.997191766635170618e-01,2.562336644587313296e-09
1.737800828749376319e-04,2.561705153021205163e-09,9.997062731476032971e-01,2.560200490850774513e-09
1.778279410038922698e-04,2.559635600469272700e-09,9.996927844757591552e-01,2.558063122465481709e-09
1.819700858609982642e-04,2.557567719869226950e-09,9.996786846455858466e-01,2.555924412364919710e-09
1.862087136662867555e-04,2.555501509870330361e-09,9.996639465356549348e-01,2.553784228196988493e-09
1.905460717963248141e-04,2.553436969122936850e-09,9.996485418598138883e-01,2.551642432114181787e-09
1.949844599758045584e-04,2.551374096278489727e-09,9.996324411197912152e-01,2.549498880556288381e-09
1.995262314968878758e-04,2.549312889989522113e-09,9.996156135560477773e-01,2.547353424025382874e-09
2.041737944669529570e-04,2.547253348909655702e-09,9.995980270968242154e-01,2.545205906852923036e-09
2.089296130854038740e-04,2.545195471693599513e-09,9.995796483053249748e-01,2.543056166958694913e-09
2.137962089502232373e-04,2.543139256997150722e-09,9.995604423249914161e-01,2.540904035601444334e-09
2.187761623949551837e-04,2.541084703477190941e-09,9.995403728228025031e-01,2.538749337120924779e-09
2.238721138568339957e-04,2.539031809791687454e-09,9.995194019305504440e-01,2.536591888671187459e-09
2.290867652767772324e-04,2.536980574599691979e-09,9.994974901840337767e-01,2.534431499944867137e-09
2.344228815319922591e-04,2.534930996561339430e-09,9.994745964601109423e-01,2.532267972888265550e-09
2.398832919019489897e-04,2.532883074337847082e-09,9.994506779115563955e-01,2.530101101407005807e-09
2.454708915685031270e-04,2.530836806591513753e-09,9.994256898996622951e-01,2.527930671062046825e-09
2.511886431509579545e-04,2.528792191985718556e-09,9.993995859245272673e-01,2.525756458755846865e-09
2.570395782768864759e-04,2.526749229184922145e-09,9.993723175529730662e-01,2.523578232408463181e-09
2.630267991895381412e-04,2.524707916854661334e-09,9.993438343440338434e-01,2.521395750623386356e-09
2.691534803926916666e-04,2.522668253661553648e-09,9.993140837719566294e-01,2.519208762342905423e-09
2.754228703338166195e-04,2.520630238273292364e-09,9.992830111466564080e-01,2.517017006492795332e-09
2.818382931264455009e-04,2.518593869358648158e-09,9.992505595315709366e-01,2.514820211616169585e-09
2.884031503126605490e-04,2.516559145587465387e-09,9.992166696588532515e-01,2.512618095496263955e-09
2.951209226666386826e-04,2.514526065630664572e-09,9.991812798418506780e-01,2.510410364768021428e-09
3.019951720402015813e-04,2.512494628160239500e-09,9.991443258848126119e-01,2.508196714518284371e-09
3.090295432513592063e-04,2.510464831849257223e-09,9.991057409897735608e-01,2.505976827874442584e-09
3.162277660168379394e-04,2.508436675371856821e-09,9.990654556605572667e-01,2.503750375581389558e-09
3.235936569296281036e-04,2.506410157403246918e-09,9.990233976038530583e-01,2.501517015566655427e-09
3.311311214825911017e-04,2.504385276619708164e-09,9.989794916273131431e-01,2.499276392493597503e-09
3.388441561392027332e-04,2.502362031698590755e-09,9.989336595346218761e-01,2.497028137302532586e-09
3.467368504525316893e-04,2.500340421318311534e-09,9.988858200174948188e-01,2.494771866739730394e-09
3.548133892335753221e-04,2.498320444158357302e-09,9.988358885445611790e-01,2.492507182874196160e-09
3.630780547701014001e-04,2.496302098899279858e-09,9.987837772470915532e-01,2.490233672602185720e-09
3.715352290971728048e-04,2.494285384222698475e-09,9.987293948015321110e-01,2.487950907139422495e-09
3.801893963205612366e-04,2.492270298811296595e-09,9.986726463088126948e-01,2.485658441501010993e-09
3.890451449942804976e-04,2.490256841348821414e-09,9.986134331703964140e-01,2.483355813969057572e-09
3.981071705534973523e-04,2.488245010520084709e-09,9.985516529610483083e-01,2.481042545548052662e-09
4.073802778041126058e-04,2.486234805010959943e-09,9.984871992982953248e-01,2.478718139408064471e-09
4.168693834703355054e-04,2.484226223508383509e-09,9.984199617085658396e-01,2.476382080315868683e-09
4.265795188015925705e-04,2.482219264700350173e-09,9.983498254899927371e-01,2.474033834054127043e-09
4.365158322401661091e-04,2.480213927275916390e-09,9.982766715718753847e-01,2.471672846828800550e-09
4.466835921509630485e-04,2.478210209925197821e-09,9.982003763707968380e-01,2.469298544664987483e-09
4.570881896148752048e-04,2.476208111339368088e-09,9.981208116434056032e-01,2.466910332791440645e-09
4.677351412871981343e-04,2.474207630210657951e-09,9.980378443358695062e-01,2.464507595014039675e-09
4.786300923226385375e-04,2.472208765232354068e-09,9.979513364300225398e-01,2.462089693078554677e-09
4.897788193684460972e-04,2.470211515098800231e-09,9.978611447862318906e-01,2.459655966023075468e-09
5.011872336272725275e-04,2.468215878505393648e-09,9.977671209830187848e-01,2.457205729520523352e-09
5.128613839913648362e-04,2.466221854148586595e-09,9.976691111534742307e-01,2.454738275211725162e-09
5.248074602497722861e-04,2.464229440725884350e-09,9.975669558185257246e-01,2.452252870029583132e-09
5.370317963702527170e-04,2.462238636935843537e-09,9.974604897171116535e-01,2.449748755514910915e-09
5.495408738576247707e-04,2.460249441478072127e-09,9.973495416333358898e-01,2.447225147124589642e-09
5.623413251903490971e-04,2.458261853053231090e-09,9.972339342206860691e-01,2.444681233532756646e-09
5.754399373371566406e-04,2.456275870363027369e-09,9.971134838234035902e-01,2.442116175925766335e-09
5.888436553555889425e-04,2.454291492110219664e-09,9.969880002951111431e-01,2.439529107291796320e-09
6.025595860743581137e-04,2.452308716998613061e-09,9.968572868148145583e-01,2.436919131705983033e-09
6.165950018614822694e-04,2.450327543733061511e-09,9.967211397004005491e-01,2.434285323612054248e-09
6.309573444801929842e-04,2.448347971019463691e-09,9.965793482197774500e-01,2.431626727101535890e-09
6.456542290346555619e-04,2.446369997564764251e-09,9.964316943998067222e-01,2.428942355191639484e-09
6.606934480075964729e-04,2.444393622076952569e-09,9.962779528331943135e-01,2.426231189103044152e-09
6.760829753919818602e-04,2.442418843265061512e-09,9.961178904835229497e-01,2.423492177538865189e-09
6.918309709189362274e-04,2.440445659839167847e-09,9.959512664886189803e-01,2.420724235966174497e-09
7.079457843841380172e-04,2.438474070510388938e-09,9.957778319624647212e-01,2.417926245901528708e-09
7.244359600749898306e-04,2.436504073990885633e-09,9.955973297958825574e-01,2.415097054202065884e-09
7.413102413009177395e-04,2.434535668993856066e-09,9.954094944562289493e-01,2.412235472363773879e-09
7.585775750291835285e-04,2.432568854233541035e-09,9.952140517863568014e-01,2.409340275828690590e-09
7.762471166286919301e-04,2.430603628425218204e-09,9.950107188031196426e-01,2.406410203302827783e-09
7.943282347242813140e-04,2.428639990285203353e-09,9.947992034957029439e-01,2.403443956086729276e-09
8.128305161640994808e-04,2.426677938530849957e-09,9.945792046240937712e-01,2.400440197420688823e-09
8.317637711026708769e-04,2.424717471880547537e-09,9.943504115180046288e-01,2.397397551846687395e-09
8.511380382023767902e-04,2.422758589053721242e-09,9.941125038765967759e-01,2.394314604589287369e-09
8.709635899560805045e-04,2.420801288770829372e-09,9.938651515693530669e-01,2.391189900957724871e-09
8.912509381337459322e-04,2.418845569753365855e-09,9.936080144384781265e-01,2.388021945771619791e-09
9.120108393559096371e-04,2.416891430723856527e-09,9.933407421032116602e-01,2.384809202812752308e-09
9.332543007969905120e-04,2.414938870405859133e-09,9.930629737664623535e-01,2.381550094305480154e-09
9.549925860214359069e-04,2.412987887523962499e-09,9.927743380241840221e-01,2.378243000428450993e-09
9.772372209558110971e-04,2.411038480803786529e-09,9.924744526779343268e-01,2.374886258860361984e-09
1.000000000000000021e-03,2.409090648971980970e-09,9.921629245510663608e-01,2.371478164362576024e-09
1.023292992280753523e-03,2.407144390756222926e-09,9.918393493090262858e-01,2.368016968401522894e-09
1.047128548050899619e-03,2.405199704885217685e-09,9.915033112842375207e-01,2.364500878813862752e-09
1.071519305237607052e-03,2.403256590088699549e-09,9.911543833060724173e-01,2.360928059517488256e-09
1.096478196143185150e-03,2.401315045097426044e-09,9.907921265364186825e-01,2.357296630271466406e-09
1.122018454301963036e-03,2.399375068643182466e-09,9.904160903113673475e-01,2.353604666488151087e-09
1.148153621496882885e-03,2.397436659458776920e-09,9.900258119895538611e-01,2.349850199100680313e-09
1.174897554939530360e-03,2.395499816278042801e-09,9.896208168076987555e-01,2.346031214489180970e-09
1.202264434617413003e-03,2.393564537835835900e-09,9.892006177439002235e-01,2.342145654469000922e-09
1.230268770812381228e-03,2.391630822868033577e-09,9.887647153892409335e-01,2.338191416344354574e-09
1.258925411794167490e-03,2.389698670111533931e-09,9.883125978282742974e-01,2.334166353030765042e-09
1.288249551693134961e-03,2.387768078304258284e-09,9.878437405289631768e-01,2.330068273249714224e-09
1.318256738556407509e-03,2.385839046185144149e-09,9.873576062426439037e-01,2.325894941798901320e-09
1.348962882591653182e-03,2.383911572494149368e-09,9.868536449145899336e-01,2.321644079901510330e-09
1.380384264602885300e-03,2.381985655972250455e-09,9.863312936057485603e-01,2.317313365637859372e-09
1.412537544622755482e-03,2.380061295361439700e-09,9.857899764262183506e-01,2.312900434462751279e-09
1.445439770745927987e-03,2.378138489404726828e-09,9.852291044810295162e-01,2.308402879811816843e-09
1.479108388168207241e-03,2.376217236846135686e-09,9.846480758287807777e-01,2.303818253800049404e-09
1.513561248436207226e-03,2.374297536430706725e-09,9.840462754536728474e-01,2.299144068015657526e-09
1.548816618912481112e-03,2.372379386904492868e-09,9.834230752514639962e-01,2.294377794412244636e-09
1.584893192461114082e-03,2.370462787014559504e-09,9.827778340298531923e-01,2.289516866302200415e-09
1.621810097358929734e-03,2.368547735508986561e-09,9.821098975237767537e-01,2.284558679454062172e-09
1.659586907437559777e-03,2.366634231136862712e-09,9.814185984260755946e-01,2.279500593296398471e-09
1.698243652461744243e-03,2.364722272648289515e-09,9.807032564339596137e-01,2.274339932230617969e-09
1.737800828749376265e-03,2.362811858794376859e-09,9.799631783116625749e-01,2.269073987054852063e-09
1.778279410038922752e-03,2.360902988327243381e-09,9.791976579696394234e-01,2.263700016500844894e-09
1.819700858609982642e-03,2.358995660000017292e-09,9.784059765606144543e-01,2.258215248885510423e-09
1.862087136662867555e-03,2.357089872566833066e-09,9.775874025927352440e-01,2.252616883878491674e-09
1.905460717963248195e-03,2.355185624782831446e-09,9.767411920600356234e-01,2.246902094386777192e-09
1.949844599758045584e-03,2.353282915404159851e-09,9.758665885903423654e-01,2.241068028557020757e-09
1.995262314968878920e-03,2.351381743187969898e-09,9.749628236106938628e-01,2.235111811895841040e-09
2.041737944669529733e-03,2.349482106892417401e-09,9.740291165302628063e-01,2.229030549507954378e-09
2.089296130854040746e-03,2.347584005276661545e-09,9.730646749406843821e-01,2.222821328451501259e-09
2.137962089502232644e-03,2.345687437100864058e-09,9.720686948336024757e-01,2.216481220209447340e-09
2.187761623949552054e-03,2.343792401126187554e-09,9.710403608351427795e-01,2.210007283275383125e-09
