k, T, P_m
1.000000000000000048e-04,9.998921774887536973e-01,2.197717082897483124e+03
1.023292992280753577e-04,9.998871752544011837e-01,2.247069156502728219e+03
1.047128548050899619e-04,9.998819428340305349e-01,2.297528425431720734e+03
1.071519305237605887e-04,9.998764697668777179e-01,2.349119656248695264e+03
1.096478196143185150e-04,9.998707451259368773e-01,2.401868164524428266e+03
1.122018454301963009e-04,9.998647574978126729e-01,2.455799826667938760e+03
1.148153621496882939e-04,9.998584949617432827e-01,2.510941091990479890e+03
1.174897554939529059e-04,9.998519450677658682e-01,2.567318995004729459e+03
1.202264434617413111e-04,9.998450948139919747e-01,2.624961167962248510e+03
1.230268770812381065e-04,9.998379306229597807e-01,2.683895853631960563e+03
1.258925411794167436e-04,9.998304383170284471e-01,2.744151918322523670e+03
1.288249551693133660e-04,9.998226030927810370e-01,2.805758865151170539e+03
1.318256738556407401e-04,9.998144094943991478e-01,2.868746847561675168e+03
1.348962882591653344e-04,9.998058413859729487e-01,2.933146683093754291e+03
1.380384264602885192e-04,9.997968819227084358e-01,2.998989867406301983e+03
1.412537544622754072e-04,9.997875135209914887e-01,3.066308588556473751e+03
1.445439770745927987e-04,9.997777178272718723e-01,3.135135741536643309e+03
1.479108388168207295e-04,9.997674756857229950e-01,3.205504943070944137e+03
1.513561248436208798e-04,9.997567671046359017e-01,3.277450546672966993e+03
1.548816618912481058e-04,9.997455712215070900e-01,3.351007657965911221e+03
1.584893192461114190e-04,9.997338662667707432e-01,3.426212150266283970e+03
1.621810097358929842e-04,9.997216295261356356e-01,3.503100680431904038e+03
1.659586907437561511e-04,9.997088373014758611e-01,3.581710704974788314e+03
1.698243652461744297e-04,9.996954648702313095e-01,3.662080496438987666e+03
1.737800828749376319e-04,9.996814864432675973e-01,3.744249160043380016e+03
1.778279410038922698e-04,9.996668751211474913e-01,3.828256650588721641e+03
1.819700858609982642e-04,9.996516028487614225e-01,3.914143789628165905e+03
1.862087136662867555e-04,9.996356403682699066e-01,4.001952282899830152e+03
1.905460717963248141e-04,9.996189571703005816e-01,4.091724738019562665e+03
1.949844599758045584e-04,9.996015214433519036e-01,4.183504682431697802e+03
1.995262314968878758e-04,9.995833000213458774e-01,4.277336581614843453e+03
2.041737944669529570e-04,9.995642583292779770e-01,4.373265857539385252e+03
2.089296130854038740e-04,9.995443603269072996e-01,4.471338907372530230e+03
2.137962089502232373e-04,9.995235684504324425e-01,4.571603122426468872e+03
2.187761623949551837e-04,9.995018435520953703e-01,4.674106907343981220e+03
2.238721138568339957e-04,9.994791448376570964e-01,4.778899699515641259e+03
2.290867652767772324e-04,9.994554298016874450e-01,4.886031988721520975e+03
2.344228815319922591e-04,9.994306541606111649e-01,4.995555336989800708e+03
2.398832919019489897e-04,9.994047717834535494e-01,5.107522398663528293e+03
2.454708915685031270e-04,9.993777346202240563e-01,5.221986940666014561e+03
2.511886431509579545e-04,9.993494926278843060e-01,5.339003862954232318e+03
2.570395782768864759e-04,9.993199936938390593e-01,5.458629219148595439e+03
2.630267991895381412e-04,9.992891835568930015e-01,5.580920237326165989e+03
2.691534803926916666e-04,9.992570057256172644e-01,5.705935340963566887e+03
2.754228703338166195e-04,9.992234013940667348e-01,5.833734170013935909e+03
2.818382931264455009e-04,9.991883093547930805e-01,5.964377602101650155e+03
2.884031503126605490e-04,9.991516659090978747e-01,6.097927773816523768e+03
2.951209226666386826e-04,9.991134047744709701e-01,6.234448102088045744e+03
3.019951720402015813e-04,9.990734569891618344e-01,6.374003305618445665e+03
3.090295432513592063e-04,9.990317508138314428e-01,6.516659426351862749e+03
3.162277660168379394e-04,9.989882116302339909e-01,6.662483850954870832e+03
3.235936569296281036e-04,9.989427618368827977e-01,6.811545332282194067e+03
3.311311214825911017e-04,9.988953207416517710e-01,6.963914010798952404e+03
3.388441561392027332e-04,9.988458044512693590e-01,7.119661435929177969e+03
3.467368504525316893e-04,9.987941257576664622e-01,7.278860587297975144e+03
3.548133892335753221e-04,9.987401940211366735e-01,7.441585895832517963e+03
3.630780547701014001e-04,9.986839150502773155e-01,7.607913264684557362e+03
3.715352290971728048e-04,9.986251909786784120e-01,7.777920089934897078e+03
3.801893963205612366e-04,9.985639201383332830e-01,7.951685281037432105e+03
3.890451449942804976e-04,9.984999969297476685e-01,8.129289280957864321e+03
3.981071705534973523e-04,9.984333116887289528e-01,8.310814085959116710e+03
4.073802778041126058e-04,9.983637505498426101e-01,8.496343264982704568e+03
4.168693834703355054e-04,9.982911953065272126e-01,8.685961978572267981e+03
4.265795188015925705e-04,9.982155232678662227e-01,8.879756997281894655e+03
4.365158322401661091e-04,9.981366071120214567e-01,9.077816719509110044e+03
4.466835921509630485e-04,9.980543147363364342e-01,9.280231188688192560e+03
4.570881896148752048e-04,9.979685091041299305e-01,9.487092109776587677e+03
4.677351412871981343e-04,9.978790480882017144e-01,9.698492864962752719e+03
4.786300923226385375e-04,9.977857843110871094e-01,9.914528528520469990e+03
4.897788193684460972e-04,9.976885649820974589e-01,1.013529588073006562e+04
5.011872336272725275e-04,9.975872317312000082e-01,1.036089342078330083e+04
5.128613839913648362e-04,9.974816204397934927e-01,1.059142137858384012e+04
5.248074602497722861e-04,9.973715610684519284e-01,1.082698172535134472e+04
5.370317963702527170e-04,9.972568774817119897e-01,1.106767818293202072e+04
5.495408738576247707e-04,9.971373872699973440e-01,1.131361623171410793e+04
5.623413251903490971e-04,9.970129015687796414e-01,1.156490311704182204e+04
5.754399373371566406e-04,9.968832248750876257e-01,1.182164785401620611e+04
5.888436553555889425e-04,9.967481548614934850e-01,1.208396123056611395e+04
6.025595860743581137e-04,9.966074821877088930e-01,1.235195580866745513e+04
6.165950018614822694e-04,9.964609903099459487e-01,1.262574592358334121e+04
6.309573444801929842e-04,9.963084552882038869e-01,1.290544768099232897e+04
6.456542290346555619e-04,9.961496455916620807e-01,1.319117895186609348e+04
6.606934480075964729e-04,9.959843219023705174e-01,1.348305936495255628e+04
6.760829753919818602e-04,9.958122369174453592e-01,1.378121029671427277e+04
6.918309709189362274e-04,9.956331351499927429e-01,1.408575485856638443e+04
7.079457843841380172e-04,9.954467527289977413e-01,1.439681788125198909e+04
7.244359600749898306e-04,9.952528171984326155e-01,1.471452589618722413e+04
7.413102413009177395e-04,9.950510473158549196e-01,1.503900711360217065e+04
7.585775750291835285e-04,9.948411528507807855e-01,1.537039139729713861e+04
7.762471166286919301e-04,9.946228343831369223e-01,1.570881023582872876e+04
7.943282347242813140e-04,9.943957831021097427e-01,1.605439670993265281e+04
8.128305161640994808e-04,9.941596806057292346e-01,1.640728545598567507e+04
8.317637711026708769e-04,9.939141987015406299e-01,1.676761262530148088e+04
8.511380382023767902e-04,9.936589992087332401e-01,1.713551583905066946e+04
8.709635899560805045e-04,9.933937337621139285e-01,1.751113413858800413e+04
8.912509381337459322e-04,9.931180436183296711e-01,1.789460793096511406e+04
9.120108393559096371e-04,9.928315594647579845e-01,1.828607892940051897e+04
9.332543007969905120e-04,9.925339012315028686e-01,1.868569008847392251e+04
9.549925860214359069e-04,9.922246779069490152e-01,1.909358553380594094e+04
9.772372209558110971e-04,9.919034873573405742e-01,1.950991048597941699e+04
1.000000000000000021e-03,9.915699161508684245e-01,1.993481117845404151e+04
1.023292992280753523e-03,9.912235393867636635e-01,2.036843476922084301e+04
1.047128548050899619e-03,9.908639205299062391e-01,2.081092924593922726e+04
1.071519305237607052e-03,9.904906112514730854e-01,2.126244332429508722e+04
1.096478196143185150e-03,9.901031512761628850e-01,2.172312633931557866e+04
1.122018454301963036e-03,9.897010682365381395e-01,2.219312812937217677e+04
1.148153621496882885e-03,9.892838775350477620e-01,2.267259891260179575e+04
1.174897554939530360e-03,9.888510822142858592e-01,2.316168915547298093e+04
1.202264434617413003e-03,9.884021728360636860e-01,2.366054943322327745e+04
1.230268770812381228e-03,9.879366273698674261e-01,2.416933028189223478e+04
1.258925411794167490e-03,9.874539110912814444e-01,2.468818204167422664e+04
1.288249551693134961e-03,9.869534764909587699e-01,2.521725469131582213e+04
1.318256738556407509e-03,9.864347631947184558e-01,2.575669767328280068e+04
1.348962882591653182e-03,9.858971978953483539e-01,2.630665970942406057e+04
1.380384264602885300e-03,9.853401942966850680e-01,2.686728860686152620e+04
1.412537544622755482e-03,9.847631530705388547e-01,2.743873105383850998e+04
