T_Gyr,deriveeP_initial
1e-06,-0.015045524271375798
1.0082653707596288e-06,-0.015160503618634014
1.0165990578730536e-06,-0.015276355837083096
1.0250016260002637e-06,-0.015393087458097483
1.0334736444683805e-06,-0.015510705104969325
1.0420156873102165e-06,-0.015629215454603163
1.0506283333031869e-06,-0.015748625238396412
1.0593121660085085e-06,-0.01586894124310367
1.0680677738107544e-06,-0.01599017027498328
1.0768957499577138e-06,-0.0161123191985384
1.0857966926005827e-06,-0.016235394937312547
1.0947712048345073e-06,-0.016359404474671907
1.10381989473943e-06,-0.016484354854574137
1.1129433754213081e-06,-0.016610253147101867
1.1221422650536379e-06,-0.016737106485584522
1.131417186919358e-06,-0.01686492203265919
1.140768769453063e-06,-0.016993707085479533
1.150197646283598e-06,-0.017123468869069056
1.1597044562769867e-06,-0.01725421477922805
1.1692898435797096e-06,-0.017385952211345805
1.1789544576623666e-06,-0.01751868859705709
1.188698953363663e-06,-0.017652431472163947
1.198523990934799e-06,-0.017787188443148267
1.208430236084185e-06,-0.017922967057998857
1.2184183600225666e-06,-0.018059775069500232
1.2284890395084943e-06,-0.01819762017516093
1.2386429568941723e-06,-0.018336510181253124
1.2488808001717082e-06,-0.018476452970599366
1.2592032630197092e-06,-0.01861745640966607
1.2696110448503041e-06,-0.018759528507258625
1.2801048508565115e-06,-0.018902677320535965
1.2906853920600425e-06,-0.019046910865603266
1.3013533853594555e-06,-0.019192237363908272
1.3121095535787494e-06,-0.019338664998635756
1.3229546255163315e-06,-0.019486202038555903
1.3338893359943898e-06,-0.01963485686775341
1.3449144259087011e-06,-0.019784637809876337
1.35603064227881e-06,-0.01993555339464612
1.3672387382986648e-06,-0.020087612066659214
1.3785394733876302e-06,-0.020240822505578942
1.3899336132419625e-06,-0.020395193310289116
1.4014219298866805e-06,-0.02055073317398232
1.4130052017278683e-06,-0.020707450939850287
1.4246842136054362e-06,-0.020865355406406865
1.4364597568462753e-06,-0.021024455497113438
1.448332629317899e-06,-0.021184760178217237
1.4603036354824793e-06,-0.021346278514836184
1.4723735864513788e-06,-0.021509019617854955
1.4845433000400836e-06,-0.02167299264625574
1.4968136008236377e-06,-0.021838206835590093
1.5091853201925033e-06,-0.022004671551088678
1.5216592964088833e-06,-0.02217239613209873
1.5342363746635418e-06,-0.02234139007631815
1.5469174071330446e-06,-0.022511662860328054
1.559703253037526e-06,-0.02268322409564757
1.5725947786988804e-06,-0.022856083452901126
1.5855928575994828e-06,-0.023030250688591363
1.5986983704413652e-06,-0.023205735597051757
1.6119122052058774e-06,-0.023382548062073336
1.6252352572138782e-06,-0.023560698033713846
1.6386684291863714e-06,-0.02374019555412287
1.6522126313056986e-06,-0.0239210507346999
1.665868781277182e-06,-0.024103273734405278
1.679637804391329e-06,-0.024286874832548298
1.6935206335865156e-06,-0.024471864336038044
1.7075182095121894e-06,-0.024658252674863556
1.7216314805926287e-06,-0.024846050310819514
1.7358614030911755e-06,-0.025035267853971168
1.750208941175057e-06,-0.025225915904713493
1.7646750669806863e-06,-0.025418005192363497
1.7792607606795578e-06,-0.025611546508786685
1.7939670105446336e-06,-0.025806550754547068
1.8087948130173278e-06,-0.02600302889616733
1.823745172775013e-06,-0.026200991947009502
1.8388191027990821e-06,-0.026400451077074463
1.8540176244436082e-06,-0.026601417442620717
1.8693417675045208e-06,-0.026803902338697744
1.8847925702894092e-06,-0.02700791717794015
1.9003710796878448e-06,-0.027213473387891086
1.9160783512423447e-06,-0.0274205825179864
1.931915449219861e-06,-0.027629256199362507
1.947883446683918e-06,-0.02783950612678564
