# z    H_over_H0
1.000000e-04  1.000047e+00
1.020961e-04  1.000048e+00
1.042361e-04  1.000049e+00
1.064209e-04  1.000050e+00
1.086516e-04  1.000051e+00
1.109290e-04  1.000052e+00
1.132541e-04  1.000053e+00
1.156280e-04  1.000054e+00
1.180517e-04  1.000056e+00
1.205261e-04  1.000057e+00
1.230524e-04  1.000058e+00
1.256317e-04  1.000059e+00
1.282650e-04  1.000060e+00
1.309535e-04  1.000062e+00
1.336984e-04  1.000063e+00
1.365008e-04  1.000064e+00
1.393619e-04  1.000066e+00
1.422830e-04  1.000067e+00
1.452654e-04  1.000068e+00
1.483103e-04  1.000070e+00
1.514189e-04  1.000071e+00
1.545928e-04  1.000073e+00
1.578331e-04  1.000074e+00
1.611414e-04  1.000076e+00
1.645191e-04  1.000077e+00
1.679675e-04  1.000079e+00
1.714882e-04  1.000081e+00
1.750827e-04  1.000082e+00
1.787526e-04  1.000084e+00
1.824993e-04  1.000086e+00
1.863246e-04  1.000088e+00
1.902301e-04  1.000089e+00
1.942175e-04  1.000091e+00
1.982884e-04  1.000093e+00
2.024447e-04  1.000095e+00
2.066880e-04  1.000097e+00
2.110203e-04  1.000099e+00
2.154435e-04  1.000101e+00
2.199593e-04  1.000103e+00
2.245698e-04  1.000106e+00
2.292769e-04  1.000108e+00
2.340827e-04  1.000110e+00
2.389893e-04  1.000112e+00
2.439986e-04  1.000115e+00
2.491130e-04  1.000117e+00
2.543346e-04  1.000120e+00
2.596656e-04  1.000122e+00
2.651084e-04  1.000125e+00
2.706652e-04  1.000127e+00
2.763385e-04  1.000130e+00
2.821308e-04  1.000133e+00
2.880444e-04  1.000135e+00
2.940820e-04  1.000138e+00
3.002462e-04  1.000141e+00
3.065395e-04  1.000144e+00
3.129648e-04  1.000147e+00
3.195248e-04  1.000150e+00
3.262222e-04  1.000153e+00
3.330600e-04  1.000157e+00
3.400412e-04  1.000160e+00
3.471687e-04  1.000163e+00
3.544456e-04  1.000167e+00
3.618750e-04  1.000170e+00
3.694601e-04  1.000174e+00
3.772042e-04  1.000177e+00
3.851107e-04  1.000181e+00
3.931829e-04  1.000185e+00
4.014242e-04  1.000189e+00
4.098384e-04  1.000193e+00
4.184289e-04  1.000197e+00
4.271994e-04  1.000201e+00
4.361538e-04  1.000205e+00
4.452959e-04  1.000209e+00
4.546295e-04  1.000214e+00
4.641589e-04  1.000218e+00
4.738880e-04  1.000223e+00
4.838210e-04  1.000228e+00
4.939622e-04  1.000232e+00
5.043159e-04  1.000237e+00
5.148867e-04  1.000242e+00
5.256791e-04  1.000247e+00
5.366977e-04  1.000252e+00
5.479472e-04  1.000258e+00
5.594326e-04  1.000263e+00
5.711586e-04  1.000269e+00
5.831305e-04  1.000274e+00
5.953533e-04  1.000280e+00
6.078323e-04  1.000286e+00
6.205729e-04  1.000292e+00
6.335805e-04  1.000298e+00
6.468608e-04  1.000304e+00
6.604194e-04  1.000311e+00
6.742622e-04  1.000317e+00
6.883952e-04  1.000324e+00
7.028244e-04  1.000331e+00
7.175561e-04  1.000338e+00
7.325965e-04  1.000345e+00
7.479523e-04  1.000352e+00
7.636298e-04  1.000359e+00
7.796360e-04  1.000367e+00
7.959777e-04  1.000374e+00
8.126619e-04  1.000382e+00
8.296959e-04  1.000390e+00
8.470868e-04  1.000399e+00
8.648423e-04  1.000407e+00
8.829700e-04  1.000415e+00
9.014776e-04  1.000424e+00
9.203732e-04  1.000433e+00
9.396648e-04  1.000442e+00
9.593608e-04  1.000451e+00
9.794697e-04  1.000461e+00
1.000000e-03  1.000471e+00
1.020961e-03  1.000480e+00
1.042361e-03  1.000491e+00
1.064209e-03  1.000501e+00
1.086516e-03  1.000511e+00
1.109290e-03  1.000522e+00
1.132541e-03  1.000533e+00
1.156280e-03  1.000544e+00
1.180517e-03  1.000556e+00
1.205261e-03  1.000567e+00
1.230524e-03  1.000579e+00
1.256317e-03  1.000591e+00
1.282650e-03  1.000604e+00
1.309535e-03  1.000616e+00
1.336984e-03  1.000629e+00
1.365008e-03  1.000642e+00
1.393619e-03  1.000656e+00
1.422830e-03  1.000670e+00
1.452654e-03  1.000684e+00
1.483103e-03  1.000698e+00
1.514189e-03  1.000713e+00
1.545928e-03  1.000728e+00
1.578331e-03  1.000743e+00
1.611414e-03  1.000759e+00
1.645191e-03  1.000775e+00
1.679675e-03  1.000791e+00
1.714882e-03  1.000807e+00
1.750827e-03  1.000824e+00
1.787526e-03  1.000842e+00
1.824993e-03  1.000859e+00
1.863246e-03  1.000877e+00
1.902301e-03  1.000896e+00
1.942175e-03  1.000915e+00
1.982884e-03  1.000934e+00
2.024447e-03  1.000953e+00
2.066880e-03  1.000973e+00
2.110203e-03  1.000994e+00
2.154435e-03  1.001015e+00
2.199593e-03  1.001036e+00
2.245698e-03  1.001058e+00
2.292769e-03  1.001080e+00
2.340827e-03  1.001103e+00
2.389893e-03  1.001126e+00
2.439986e-03  1.001149e+00
2.491130e-03  1.001174e+00
2.543346e-03  1.001198e+00
2.596656e-03  1.001223e+00
2.651084e-03  1.001249e+00
2.706652e-03  1.001275e+00
2.763385e-03  1.001302e+00
2.821308e-03  1.001329e+00
2.880444e-03  1.001357e+00
2.940820e-03  1.001386e+00
3.002462e-03  1.001415e+00
3.065395e-03  1.001445e+00
3.129648e-03  1.001475e+00
3.195248e-03  1.001506e+00
3.262222e-03  1.001538e+00
3.330600e-03  1.001570e+00
3.400412e-03  1.001603e+00
3.471687e-03  1.001637e+00
3.544456e-03  1.001671e+00
3.618750e-03  1.001706e+00
3.694601e-03  1.001742e+00
3.772042e-03  1.001779e+00
3.851107e-03  1.001816e+00
3.931829e-03  1.001854e+00
4.014242e-03  1.001893e+00
4.098384e-03  1.001933e+00
4.184289e-03  1.001974e+00
4.271994e-03  1.002015e+00
4.361538e-03  1.002058e+00
4.452959e-03  1.002101e+00
4.546295e-03  1.002145e+00
4.641589e-03  1.002190e+00
4.738880e-03  1.002236e+00
4.838210e-03  1.002283e+00
4.939622e-03  1.002331e+00
5.043159e-03  1.002380e+00
5.148867e-03  1.002431e+00
5.256791e-03  1.002482e+00
5.366977e-03  1.002534e+00
5.479472e-03  1.002587e+00
5.594326e-03  1.002642e+00
5.711586e-03  1.002697e+00
5.831305e-03  1.002754e+00
5.953533e-03  1.002812e+00
6.078323e-03  1.002871e+00
6.205729e-03  1.002932e+00
6.335805e-03  1.002994e+00
6.468608e-03  1.003057e+00
6.604194e-03  1.003121e+00
6.742622e-03  1.003187e+00
6.883952e-03  1.003254e+00
7.028244e-03  1.003322e+00
7.175561e-03  1.003392e+00
7.325965e-03  1.003464e+00
7.479523e-03  1.003537e+00
7.636298e-03  1.003612e+00
7.796360e-03  1.003688e+00
7.959777e-03  1.003765e+00
8.126619e-03  1.003845e+00
8.296959e-03  1.003926e+00
8.470868e-03  1.004009e+00
8.648423e-03  1.004093e+00
8.829700e-03  1.004180e+00
9.014776e-03  1.004268e+00
9.203732e-03  1.004358e+00
9.396648e-03  1.004450e+00
9.593608e-03  1.004544e+00
9.794697e-03  1.004640e+00
1.000000e-02  1.004738e+00
1.020961e-02  1.004838e+00
1.042361e-02  1.004940e+00
1.064209e-02  1.005045e+00
1.086516e-02  1.005151e+00
1.109290e-02  1.005260e+00
1.132541e-02  1.005371e+00
1.156280e-02  1.005485e+00
1.180517e-02  1.005601e+00
1.205261e-02  1.005719e+00
1.230524e-02  1.005840e+00
1.256317e-02  1.005964e+00
1.282650e-02  1.006090e+00
1.309535e-02  1.006219e+00
1.336984e-02  1.006351e+00
1.365008e-02  1.006485e+00
1.393619e-02  1.006623e+00
1.422830e-02  1.006763e+00
1.452654e-02  1.006906e+00
1.483103e-02  1.007053e+00
1.514189e-02  1.007202e+00
1.545928e-02  1.007355e+00
1.578331e-02  1.007511e+00
1.611414e-02  1.007670e+00
1.645191e-02  1.007833e+00
1.679675e-02  1.007999e+00
1.714882e-02  1.008169e+00
1.750827e-02  1.008343e+00
1.787526e-02  1.008520e+00
1.824993e-02  1.008701e+00
1.863246e-02  1.008886e+00
1.902301e-02  1.009075e+00
1.942175e-02  1.009268e+00
1.982884e-02  1.009465e+00
2.024447e-02  1.009666e+00
2.066880e-02  1.009872e+00
2.110203e-02  1.010082e+00
2.154435e-02  1.010297e+00
2.199593e-02  1.010516e+00
2.245698e-02  1.010740e+00
2.292769e-02  1.010969e+00
2.340827e-02  1.011203e+00
2.389893e-02  1.011442e+00
2.439986e-02  1.011687e+00
2.491130e-02  1.011936e+00
2.543346e-02  1.012191e+00
2.596656e-02  1.012452e+00
2.651084e-02  1.012718e+00
2.706652e-02  1.012990e+00
2.763385e-02  1.013268e+00
2.821308e-02  1.013552e+00
2.880444e-02  1.013842e+00
2.940820e-02  1.014138e+00
3.002462e-02  1.014441e+00
3.065395e-02  1.014751e+00
3.129648e-02  1.015067e+00
3.195248e-02  1.015391e+00
3.262222e-02  1.015721e+00
3.330600e-02  1.016059e+00
3.400412e-02  1.016404e+00
3.471687e-02  1.016757e+00
3.544456e-02  1.017117e+00
3.618750e-02  1.017486e+00
3.694601e-02  1.017862e+00
3.772042e-02  1.018247e+00
3.851107e-02  1.018640e+00
3.931829e-02  1.019043e+00
4.014242e-02  1.019454e+00
4.098384e-02  1.019874e+00
4.184289e-02  1.020303e+00
4.271994e-02  1.020742e+00
4.361538e-02  1.021191e+00
4.452959e-02  1.021650e+00
4.546295e-02  1.022119e+00
4.641589e-02  1.022598e+00
4.738880e-02  1.023088e+00
4.838210e-02  1.023589e+00
4.939622e-02  1.024102e+00
5.043159e-02  1.024626e+00
5.148867e-02  1.025161e+00
5.256791e-02  1.025709e+00
5.366977e-02  1.026269e+00
5.479472e-02  1.026842e+00
5.594326e-02  1.027427e+00
5.711586e-02  1.028026e+00
5.831305e-02  1.028639e+00
5.953533e-02  1.029265e+00
6.078323e-02  1.029905e+00
6.205729e-02  1.030561e+00
6.335805e-02  1.031231e+00
6.468608e-02  1.031916e+00
6.604194e-02  1.032617e+00
6.742622e-02  1.033334e+00
