series,N,coverage,err95_low,err95_high,width_mean,M,outer_B,inner_B,alpha
série,,,0.0,0.0,,,,,0.05
série,,,0.0,0.0,,,,,0.05
série,,,0.0,0.0,,,,,0.05
série,,,0.0,0.0,,,,,0.05
série,,,0.0,0.0,,,,,0.05
série,,,0.0,0.0,,,,,0.05
série,,,0.0,0.0,,,,,0.05
série,,,0.0,0.0,,,,,0.05
série,,,0.0,0.0,,,,,0.05
série,,,0.0,0.0,,,,,0.05
série,,,0.0,0.0,,,,,0.05
série,,,0.0,0.0,,,,,0.05
série,,,0.0,0.0,,,,,0.05
série,,,0.0,0.0,,,,,0.05
série,,,0.0,0.0,,,,,0.05
série,,,0.0,0.0,,,,,0.05
série,,,0.0,0.0,,,,,0.05
série,,,0.0,0.0,,,,,0.05
série,,,0.0,0.0,,,,,0.05
série,,,0.0,0.0,,,,,0.05
série,,,0.0,0.0,,,,,0.05
série,,,0.0,0.0,,,,,0.05
série,,,0.0,0.0,,,,,0.05
série,,,0.0,0.0,,,,,0.05
série,,,0.0,0.0,,,,,0.05
série,,,0.0,0.0,,,,,0.05
série,,,0.0,0.0,,,,,0.05
série,,,0.0,0.0,,,,,0.05
série,,,0.0,0.0,,,,,0.05
série,,,0.0,0.0,,,,,0.05
série,,,0.0,0.0,,,,,0.05
série,,,0.0,0.0,,,,,0.05
série,,,0.0,0.0,,,,,0.05
série,,,0.0,0.0,,,,,0.05
série,,,0.0,0.0,,,,,0.05
série,,,0.0,0.0,,,,,0.05
série,,,0.0,0.0,,,,,0.05
série,,,0.0,0.0,,,,,0.05
série,,,0.0,0.0,,,,,0.05
série,,,0.0,0.0,,,,,0.05
série,,,0.0,0.0,,,,,0.05
série,,,0.0,0.0,,,,,0.05
série,,,0.0,0.0,,,,,0.05
série,,,0.0,0.0,,,,,0.05
série,,,0.0,0.0,,,,,0.05
série,,,0.0,0.0,,,,,0.05
série,,,0.0,0.0,,,,,0.05
série,,,0.0,0.0,,,,,0.05
série,,,0.0,0.0,,,,,0.05
série,,,0.0,0.0,,,,,0.05
série,,,0.0,0.0,,,,,0.05
