z H(z)_km_s_Mpc chi_Mpc
0.0000000000e+00 7.4185000000e+01 0.0000000000e+00
1.0005002501e-02 7.4410449681e+01 4.0370431302e+01
2.0010005003e-02 7.4636899049e+01 8.0618463103e+01
3.0015007504e-02 7.4864537396e+01 1.2074424808e+02
4.0020010005e-02 7.5093546132e+01 1.6074784397e+02
5.0025012506e-02 7.5324099067e+01 2.0062922006e+02
6.0030015008e-02 7.5556362677e+01 2.4038826328e+02
7.0035017509e-02 7.5790496360e+01 2.8002478418e+02
8.0040020010e-02 7.6026652678e+01 3.1953852250e+02
9.0045022511e-02 7.6264977596e+01 3.5892915260e+02
1.0005002501e-01 7.6505610700e+01 3.9819628860e+02
1.1005502751e-01 7.6748685421e+01 4.3733948933e+02
1.2006003002e-01 7.6994329234e+01 4.7635826304e+02
1.3006503252e-01 7.7242663862e+01 5.1525207194e+02
1.4007003502e-01 7.7493805468e+01 5.5402033654e+02
1.5007503752e-01 7.7747864836e+01 5.9266243978e+02
1.6008004002e-01 7.8004947551e+01 6.3117773100e+02
1.7008504252e-01 7.8265154167e+01 6.6956552976e+02
1.8009004502e-01 7.8528580377e+01 7.0782512945e+02
1.9009504752e-01 7.8795317167e+01 7.4595580077e+02
2.0010005003e-01 7.9065450973e+01 7.8395679507e+02
2.1010505253e-01 7.9339063826e+01 8.2182734750e+02
2.2011005503e-01 7.9616233499e+01 8.5956668004e+02
2.3011505753e-01 7.9897033646e+01 8.9717400437e+02
2.4012006003e-01 8.0181533930e+01 9.3464852469e+02
2.5012506253e-01 8.0469800163e+01 9.7198944024e+02
2.6013006503e-01 8.0761894425e+01 1.0091959479e+03
2.7013506753e-01 8.1057875187e+01 1.0462672443e+03
2.8014007004e-01 8.1357797434e+01 1.0832025286e+03
2.9014507254e-01 8.1661712775e+01 1.1200010040e+03
3.0015007504e-01 8.1969669558e+01 1.1566618801e+03
3.1015507754e-01 8.2281712978e+01 1.1931843747e+03
3.2016008004e-01 8.2597885182e+01 1.2295677157e+03
3.3016508254e-01 8.2918225375e+01 1.2658111426e+03
3.4017008504e-01 8.3242769912e+01 1.3019139082e+03
3.5017508754e-01 8.3571552406e+01 1.3378752802e+03
3.6018009005e-01 8.3904603812e+01 1.3736945421e+03
3.7018509255e-01 8.4241952528e+01 1.4093709952e+03
3.8019009505e-01 8.4583624477e+01 1.4449039592e+03
3.9019509755e-01 8.4929643202e+01 1.4802927737e+03
4.0020010005e-01 8.5280029944e+01 1.5155367989e+03
4.1020510255e-01 8.5634803727e+01 1.5506354167e+03
4.2021010505e-01 8.5993981443e+01 1.5855880318e+03
4.3021510755e-01 8.6357577922e+01 1.6203940718e+03
4.4022011006e-01 8.6725606018e+01 1.6550529888e+03
4.5022511256e-01 8.7098076675e+01 1.6895642593e+03
4.6023011506e-01 8.7474999006e+01 1.7239273850e+03
4.7023511756e-01 8.7856380359e+01 1.7581418935e+03
4.8024012006e-01 8.8242226388e+01 1.7922073384e+03
4.9024512256e-01 8.8632541123e+01 1.8261232999e+03
5.0025012506e-01 8.9027327028e+01 1.8598893849e+03
5.1025512756e-01 8.9426585069e+01 1.8935052274e+03
5.2026013007e-01 8.9830314779e+01 1.9269704888e+03
5.3026513257e-01 9.0238514309e+01 1.9602848578e+03
5.4027013507e-01 9.0651180496e+01 1.9934480505e+03
5.5027513757e-01 9.1068308915e+01 2.0264598106e+03
5.6028014007e-01 9.1489893933e+01 2.0593199094e+03
5.7028514257e-01 9.1915928767e+01 2.0920281455e+03
5.8029014507e-01 9.2346405532e+01 2.1245843450e+03
5.9029514757e-01 9.2781315295e+01 2.1569883614e+03
6.0030015008e-01 9.3220648123e+01 2.1892400750e+03
6.1030515258e-01 9.3664393130e+01 2.2213393932e+03
6.2031015508e-01 9.4112538524e+01 2.2532862500e+03
6.3031515758e-01 9.4565071652e+01 2.2850806059e+03
6.4032016008e-01 9.5021979044e+01 2.3167224475e+03
6.5032516258e-01 9.5483246454e+01 2.3482117872e+03
6.6033016508e-01 9.5948858904e+01 2.3795486628e+03
6.7033516758e-01 9.6418800719e+01 2.4107331374e+03
6.8034017009e-01 9.6893055570e+01 2.4417652986e+03
6.9034517259e-01 9.7371606507e+01 2.4726452585e+03
7.0035017509e-01 9.7854435998e+01 2.5033731532e+03
7.1035517759e-01 9.8341525965e+01 2.5339491422e+03
7.2036018009e-01 9.8832857811e+01 2.5643734078e+03
7.3036518259e-01 9.9328412461e+01 2.5946461553e+03
7.4037018509e-01 9.9828170385e+01 2.6247676119e+03
7.5037518759e-01 1.0033211164e+02 2.6547380264e+03
7.6038019010e-01 1.0084021587e+02 2.6845576687e+03
7.7038519260e-01 1.0135246239e+02 2.7142268295e+03
7.8039019510e-01 1.0186883016e+02 2.7437458196e+03
7.9039519760e-01 1.0238929781e+02 2.7731149692e+03
8.0040020010e-01 1.0291384373e+02 2.8023346280e+03
8.1040520260e-01 1.0344244600e+02 2.8314051640e+03
8.2041020510e-01 1.0397508250e+02 2.8603269634e+03
8.3041520760e-01 1.0451173088e+02 2.8891004298e+03
8.4042021011e-01 1.0505236859e+02 2.9177259841e+03
8.5042521261e-01 1.0559697291e+02 2.9462040636e+03
8.6043021511e-01 1.0614552098e+02 2.9745351214e+03
8.7043521761e-01 1.0669798978e+02 3.0027196265e+03
8.8044022011e-01 1.0725435620e+02 3.0307580624e+03
8.9044522261e-01 1.0781459701e+02 3.0586509275e+03
9.0045022511e-01 1.0837868891e+02 3.0863987338e+03
9.1045522761e-01 1.0894660852e+02 3.1140020070e+03
9.2046023012e-01 1.0951833243e+02 3.1414612855e+03
9.3046523262e-01 1.1009383716e+02 3.1687771205e+03
9.4047023512e-01 1.1067309925e+02 3.1959500748e+03
9.5047523762e-01 1.1125609518e+02 3.2229807230e+03
9.6048024012e-01 1.1184280148e+02 3.2498696506e+03
9.7048524262e-01 1.1243319466e+02 3.2766174536e+03
9.8049024512e-01 1.1302725127e+02 3.3032247381e+03
9.9049524762e-01 1.1362494791e+02 3.3296921199e+03
1.0005002501e+00 1.1422626119e+02 3.3560202241e+03
1.0105052526e+00 1.1483116781e+02 3.3822096843e+03
1.0205102551e+00 1.1543964453e+02 3.4082611426e+03
1.0305152576e+00 1.1605166817e+02 3.4341752490e+03
1.0405202601e+00 1.1666721566e+02 3.4599526611e+03
1.0505252626e+00 1.1728626398e+02 3.4855940433e+03
1.0605302651e+00 1.1790879026e+02 3.5111000669e+03
1.0705352676e+00 1.1853477168e+02 3.5364714096e+03
1.0805402701e+00 1.1916418558e+02 3.5617087548e+03
1.0905452726e+00 1.1979700939e+02 3.5868127917e+03
