H0_fixed,Omega_m_best,w0_best,wa_best,nll_profile,delta_chi2
7.000000000000000000e+01,3.151082639913106997e-01,-1.439999999999999947e+00,5.000000000000000000e-01,5.228330032826546585e+02,2.108731655676249375e+02
7.040000000000000568e+01,3.078404490716105113e-01,-1.439999999999999947e+00,5.000000000000000000e-01,4.974274796472794833e+02,1.600621182968745870e+02
7.080000000000001137e+01,3.008757644572618295e-01,-1.439999999999999947e+00,5.000000000000000000e-01,4.761752337689534329e+02,1.175576265402224863e+02
7.120000000000001705e+01,2.942007522833238187e-01,-1.439999999999999947e+00,5.000000000000000000e-01,4.590411924212714325e+02,8.328954384485848550e+01
7.160000000000002274e+01,2.878026937478730396e-01,-1.439999999999999947e+00,5.000000000000000000e-01,4.459888189336679716e+02,5.718479686965156361e+01
7.200000000000002842e+01,2.825765029601142730e-01,-1.460524448710110557e+00,5.000000000000000000e-01,4.364073784016319451e+02,3.802191580557951056e+01
7.240000000000003411e+01,2.778928600135511240e-01,-1.488253970281072869e+00,5.000000000000000000e-01,4.287994285570006241e+02,2.280601611631686865e+01
7.280000000000003979e+01,2.734178096634020116e-01,-1.515938905931789149e+00,5.000000000000000000e-01,4.230535533830596933e+02,1.131426576843500698e+01
7.320000000000004547e+01,2.690599585866627064e-01,-1.520000000000000018e+00,4.795917390706616601e-01,4.194644924087748450e+02,4.136143819865310434e+00
7.360000000000005116e+01,2.655908301552685202e-01,-1.520000000000000018e+00,4.456281006946255507e-01,4.176822700060391185e+02,5.716990143938573965e-01
7.400000000000005684e+01,2.622653661017375626e-01,-1.520000000000000018e+00,4.116770176670697112e-01,4.175276180319351624e+02,2.623950661859453248e-01
7.440000000000006253e+01,2.571652069583050815e-01,-1.520000000000000018e+00,4.000000000000000222e-01,4.193719531308852311e+02,3.951065264086082607e+00
7.480000000000006821e+01,2.512812122730301301e-01,-1.520000000000000018e+00,4.000000000000000222e-01,4.245556526973394398e+02,1.431846439699450002e+01
7.520000000000007390e+01,2.456281871688956175e-01,-1.520000000000000018e+00,4.000000000000000222e-01,4.331671180188349126e+02,3.154139503998544569e+01
7.560000000000007958e+01,2.401967887297064008e-01,-1.520000000000000018e+00,4.000000000000000222e-01,4.451818513568439926e+02,5.557086171600360558e+01
7.600000000000008527e+01,2.349781801244488766e-01,-1.520000000000000018e+00,4.000000000000000222e-01,4.605743696808858090e+02,8.635589836408723841e+01
7.640000000000009095e+01,2.299636938013656373e-01,-1.520000000000000018e+00,4.000000000000000222e-01,4.793196061475377405e+02,1.238463712973911015e+02
7.680000000000009663e+01,2.251448311216691922e-01,-1.520000000000000018e+00,4.000000000000000222e-01,5.013916689477508157e+02,1.679904968978172519e+02
7.720000000000010232e+01,2.205133762429093980e-01,-1.520000000000000018e+00,4.000000000000000222e-01,5.267641517560231250e+02,2.187354625143618705e+02
7.760000000000010800e+01,2.160613897376044423e-01,-1.520000000000000018e+00,4.000000000000000222e-01,5.554101455034265200e+02,2.760274500091686605e+02
7.800000000000011369e+01,2.117811017969924714e-01,-1.520000000000000018e+00,4.000000000000000222e-01,5.873022504292478061e+02,3.398116598608112326e+02
