a w(a)
1.0000000000e-06 -1.0310004460e+00
1.0069351484e-06 -1.0310004491e+00
1.0139183931e-06 -1.0310004522e+00
1.0209500677e-06 -1.0310004553e+00
1.0280305079e-06 -1.0310004585e+00
1.0351600520e-06 -1.0310004617e+00
1.0423390406e-06 -1.0310004649e+00
1.0495678166e-06 -1.0310004681e+00
1.0568467252e-06 -1.0310004714e+00
1.0641761141e-06 -1.0310004746e+00
1.0715563334e-06 -1.0310004779e+00
1.0789877356e-06 -1.0310004812e+00
1.0864706757e-06 -1.0310004846e+00
1.0940055110e-06 -1.0310004879e+00
1.1015926016e-06 -1.0310004913e+00
1.1092323098e-06 -1.0310004947e+00
1.1169250005e-06 -1.0310004981e+00
1.1246710412e-06 -1.0310005016e+00
1.1324708017e-06 -1.0310005051e+00
1.1403246548e-06 -1.0310005086e+00
1.1482329756e-06 -1.0310005121e+00
1.1561961417e-06 -1.0310005157e+00
1.1642145335e-06 -1.0310005192e+00
1.1722885341e-06 -1.0310005228e+00
1.1804185290e-06 -1.0310005265e+00
1.1886049067e-06 -1.0310005301e+00
1.1968480582e-06 -1.0310005338e+00
1.2051483771e-06 -1.0310005375e+00
1.2135062600e-06 -1.0310005412e+00
1.2219221060e-06 -1.0310005450e+00
1.2303963171e-06 -1.0310005488e+00
1.2389292982e-06 -1.0310005526e+00
1.2475214568e-06 -1.0310005564e+00
1.2561732032e-06 -1.0310005603e+00
1.2648849508e-06 -1.0310005641e+00
1.2736571157e-06 -1.0310005681e+00
1.2824901168e-06 -1.0310005720e+00
1.2913843761e-06 -1.0310005760e+00
1.3003403184e-06 -1.0310005800e+00
1.3093583715e-06 -1.0310005840e+00
1.3184389662e-06 -1.0310005880e+00
1.3275825361e-06 -1.0310005921e+00
1.3367895180e-06 -1.0310005962e+00
1.3460603517e-06 -1.0310006003e+00
1.3553954800e-06 -1.0310006045e+00
1.3647953488e-06 -1.0310006087e+00
1.3742604071e-06 -1.0310006129e+00
1.3837911070e-06 -1.0310006172e+00
1.3933879037e-06 -1.0310006215e+00
1.4030512556e-06 -1.0310006258e+00
1.4127816243e-06 -1.0310006301e+00
1.4225794746e-06 -1.0310006345e+00
1.4324452744e-06 -1.0310006389e+00
1.4423794949e-06 -1.0310006433e+00
1.4523826108e-06 -1.0310006478e+00
1.4624550998e-06 -1.0310006523e+00
1.4725974429e-06 -1.0310006568e+00
1.4828101248e-06 -1.0310006613e+00
1.4930936331e-06 -1.0310006659e+00
1.5034484590e-06 -1.0310006705e+00
1.5138750972e-06 -1.0310006752e+00
1.5243740457e-06 -1.0310006799e+00
1.5349458059e-06 -1.0310006846e+00
1.5455908829e-06 -1.0310006893e+00
1.5563097851e-06 -1.0310006941e+00
1.5671030244e-06 -1.0310006989e+00
1.5779711165e-06 -1.0310007038e+00
1.5889145804e-06 -1.0310007087e+00
1.5999339388e-06 -1.0310007136e+00
1.6110297181e-06 -1.0310007185e+00
1.6222024483e-06 -1.0310007235e+00
1.6334526631e-06 -1.0310007285e+00
1.6447808997e-06 -1.0310007336e+00
1.6561876994e-06 -1.0310007387e+00
1.6676736069e-06 -1.0310007438e+00
1.6792391708e-06 -1.0310007489e+00
1.6908849437e-06 -1.0310007541e+00
1.7026114817e-06 -1.0310007594e+00
1.7144193451e-06 -1.0310007646e+00
1.7263090977e-06 -1.0310007699e+00
1.7382813075e-06 -1.0310007753e+00
1.7503365463e-06 -1.0310007807e+00
1.7624753901e-06 -1.0310007861e+00
1.7746984185e-06 -1.0310007915e+00
1.7870062154e-06 -1.0310007970e+00
1.7993993687e-06 -1.0310008025e+00
1.8118784704e-06 -1.0310008081e+00
1.8244441165e-06 -1.0310008137e+00
1.8370969072e-06 -1.0310008193e+00
1.8498374469e-06 -1.0310008250e+00
1.8626663442e-06 -1.0310008307e+00
1.8755842117e-06 -1.0310008365e+00
1.8885916666e-06 -1.0310008423e+00
1.9016893301e-06 -1.0310008482e+00
1.9148778279e-06 -1.0310008540e+00
1.9281577898e-06 -1.0310008600e+00
1.9415298502e-06 -1.0310008659e+00
1.9549946479e-06 -1.0310008719e+00
1.9685528259e-06 -1.0310008780e+00
1.9822050320e-06 -1.0310008841e+00
1.9959519180e-06 -1.0310008902e+00
2.0097941408e-06 -1.0310008964e+00
2.0237323615e-06 -1.0310009026e+00
2.0377672458e-06 -1.0310009088e+00
2.0518994640e-06 -1.0310009151e+00
2.0661296914e-06 -1.0310009215e+00
2.0804586074e-06 -1.0310009279e+00
2.0948868966e-06 -1.0310009343e+00
2.1094152482e-06 -1.0310009408e+00
2.1240443560e-06 -1.0310009473e+00
2.1387749189e-06 -1.0310009539e+00
2.1536076403e-06 -1.0310009605e+00
2.1685432290e-06 -1.0310009672e+00
2.1835823981e-06 -1.0310009739e+00
2.1987258661e-06 -1.0310009806e+00
2.2139743563e-06 -1.0310009874e+00
2.2293285971e-06 -1.0310009943e+00
2.2447893218e-06 -1.0310010012e+00
2.2603572689e-06 -1.0310010081e+00
2.2760331820e-06 -1.0310010151e+00
2.2918178099e-06 -1.0310010222e+00
2.3077119066e-06 -1.0310010292e+00
2.3237162312e-06 -1.0310010364e+00
2.3398315481e-06 -1.0310010436e+00
2.3560586271e-06 -1.0310010508e+00
2.3723982434e-06 -1.0310010581e+00
2.3888511773e-06 -1.0310010654e+00
2.4054182148e-06 -1.0310010728e+00
2.4221001471e-06 -1.0310010803e+00
2.4388977711e-06 -1.0310010877e+00
2.4558118891e-06 -1.0310010953e+00
2.4728433091e-06 -1.0310011029e+00
2.4899928444e-06 -1.0310011105e+00
2.5072613143e-06 -1.0310011182e+00
2.5246495437e-06 -1.0310011260e+00
2.5421583630e-06 -1.0310011338e+00
2.5597886085e-06 -1.0310011417e+00
2.5775411224e-06 -1.0310011496e+00
2.5954167527e-06 -1.0310011576e+00
2.6134163530e-06 -1.0310011656e+00
2.6315407833e-06 -1.0310011737e+00
2.6497909092e-06 -1.0310011818e+00
2.6681676024e-06 -1.0310011900e+00
2.6866717408e-06 -1.0310011983e+00
2.7053042080e-06 -1.0310012066e+00
2.7240658942e-06 -1.0310012149e+00
2.7429576955e-06 -1.0310012234e+00
2.7619805142e-06 -1.0310012318e+00
2.7811352590e-06 -1.0310012404e+00
2.8004228448e-06 -1.0310012490e+00
2.8198441929e-06 -1.0310012577e+00
2.8394002308e-06 -1.0310012664e+00
2.8590918929e-06 -1.0310012752e+00
2.8789201195e-06 -1.0310012840e+00
2.8988858578e-06 -1.0310012929e+00
2.9189900614e-06 -1.0310013019e+00
2.9392336907e-06 -1.0310013109e+00
2.9596177126e-06 -1.0310013200e+00
2.9801431007e-06 -1.0310013291e+00
3.0008108354e-06 -1.0310013384e+00
3.0216219039e-06 -1.0310013476e+00
3.0425773003e-06 -1.0310013570e+00
3.0636780254e-06 -1.0310013664e+00
3.0849250872e-06 -1.0310013759e+00
3.1063195006e-06 -1.0310013854e+00
3.1278622873e-06 -1.0310013950e+00
3.1495544765e-06 -1.0310014047e+00
3.1713971043e-06 -1.0310014144e+00
3.1933912139e-06 -1.0310014243e+00
3.2155378559e-06 -1.0310014341e+00
3.2378380882e-06 -1.0310014441e+00
3.2602929759e-06 -1.0310014541e+00
3.2829035915e-06 -1.0310014642e+00
3.3056710152e-06 -1.0310014743e+00
3.3285963343e-06 -1.0310014846e+00
3.3516806439e-06 -1.0310014948e+00
3.3749250466e-06 -1.0310015052e+00
3.3983306527e-06 -1.0310015157e+00
3.4218985801e-06 -1.0310015262e+00
3.4456299546e-06 -1.0310015368e+00
3.4695259098e-06 -1.0310015474e+00
3.4935875869e-06 -1.0310015581e+00
3.5178161353e-06 -1.0310015689e+00
3.5422127123e-06 -1.0310015798e+00
3.5667784832e-06 -1.0310015908e+00
3.5915146213e-06 -1.0310016018e+00
3.6164223083e-06 -1.0310016129e+00
3.6415027337e-06 -1.0310016241e+00
3.6667570956e-06 -1.0310016354e+00
3.6921866003e-06 -1.0310016467e+00
3.7177924624e-06 -1.0310016581e+00
3.7435759049e-06 -1.0310016696e+00
3.7695381594e-06 -1.0310016812e+00
3.7956804660e-06 -1.0310016929e+00
3.8220040733e-06 -1.0310017046e+00
3.8485102388e-06 -1.0310017164e+00
3.8752002285e-06 -1.0310017283e+00
3.9020753173e-06 -1.0310017403e+00
3.9291367887e-06 -1.0310017524e+00
3.9563859355e-06 -1.0310017645e+00
3.9838240591e-06 -1.0310017768e+00
4.0114524703e-06 -1.0310017891e+00
4.0392724885e-06 -1.0310018015e+00
4.0672854427e-06 -1.0310018140e+00
4.0954926709e-06 -1.0310018266e+00
4.1238955204e-06 -1.0310018393e+00
4.1524953479e-06 -1.0310018520e+00
4.1812935194e-06 -1.0310018649e+00
4.2102914106e-06 -1.0310018778e+00
4.2394904064e-06 -1.0310018908e+00
4.2688919016e-06 -1.0310019039e+00
4.2984973005e-06 -1.0310019171e+00
4.3283080172e-06 -1.0310019304e+00
4.3583254757e-06 -1.0310019438e+00
4.3885511097e-06 -1.0310019573e+00
4.4189863630e-06 -1.0310019709e+00
4.4496326893e-06 -1.0310019845e+00
4.4804915524e-06 -1.0310019983e+00
4.5115644263e-06 -1.0310020122e+00
4.5428527952e-06 -1.0310020261e+00
4.5743581535e-06 -1.0310020402e+00
4.6060820062e-06 -1.0310020543e+00
4.6380258686e-06 -1.0310020686e+00
4.6701912663e-06 -1.0310020829e+00
4.7025797359e-06 -1.0310020974e+00
4.7351928243e-06 -1.0310021119e+00
4.7680320893e-06 -1.0310021265e+00
4.8010990995e-06 -1.0310021413e+00
4.8343954343e-06 -1.0310021561e+00
4.8679226842e-06 -1.0310021711e+00
4.9016824504e-06 -1.0310021862e+00
4.9356763457e-06 -1.0310022013e+00
4.9699059937e-06 -1.0310022166e+00
5.0043730294e-06 -1.0310022320e+00
5.0390790991e-06 -1.0310022474e+00
5.0740258605e-06 -1.0310022630e+00
5.1092149829e-06 -1.0310022787e+00
5.1446481471e-06 -1.0310022945e+00
5.1803270456e-06 -1.0310023104e+00
5.2162533825e-06 -1.0310023264e+00
5.2524288739e-06 -1.0310023426e+00
5.2888552477e-06 -1.0310023588e+00
5.3255342438e-06 -1.0310023752e+00
5.3624676141e-06 -1.0310023917e+00
5.3996571229e-06 -1.0310024082e+00
5.4371045465e-06 -1.0310024249e+00
5.4748116735e-06 -1.0310024418e+00
5.5127803050e-06 -1.0310024587e+00
5.5510122546e-06 -1.0310024758e+00
5.5895093484e-06 -1.0310024929e+00
5.6282734253e-06 -1.0310025102e+00
5.6673063368e-06 -1.0310025276e+00
5.7066099474e-06 -1.0310025451e+00
5.7461861344e-06 -1.0310025628e+00
5.7860367880e-06 -1.0310025806e+00
5.8261638119e-06 -1.0310025985e+00
5.8665691226e-06 -1.0310026165e+00
5.9072546502e-06 -1.0310026346e+00
5.9482223379e-06 -1.0310026529e+00
5.9894741426e-06 -1.0310026713e+00
6.0310120348e-06 -1.0310026898e+00
6.0728379983e-06 -1.0310027085e+00
6.1149540311e-06 -1.0310027273e+00
6.1573621449e-06 -1.0310027462e+00
6.2000643652e-06 -1.0310027652e+00
6.2430627318e-06 -1.0310027844e+00
6.2863592984e-06 -1.0310028037e+00
6.3299561332e-06 -1.0310028232e+00
6.3738553184e-06 -1.0310028427e+00
6.4180589510e-06 -1.0310028625e+00
6.4625691424e-06 -1.0310028823e+00
6.5073880186e-06 -1.0310029023e+00
6.5525177203e-06 -1.0310029224e+00
6.5979604032e-06 -1.0310029427e+00
6.6437182378e-06 -1.0310029631e+00
6.6897934098e-06 -1.0310029836e+00
6.7361881200e-06 -1.0310030043e+00
6.7829045844e-06 -1.0310030252e+00
6.8299450343e-06 -1.0310030462e+00
6.8773117168e-06 -1.0310030673e+00
6.9250068943e-06 -1.0310030886e+00
6.9730328449e-06 -1.0310031100e+00
7.0213918626e-06 -1.0310031315e+00
7.0700862572e-06 -1.0310031533e+00
7.1191183547e-06 -1.0310031751e+00
7.1684904971e-06 -1.0310031971e+00
7.2182050427e-06 -1.0310032193e+00
7.2682643659e-06 -1.0310032416e+00
7.3186708580e-06 -1.0310032641e+00
7.3694269266e-06 -1.0310032868e+00
7.4205349961e-06 -1.0310033096e+00
7.4719975076e-06 -1.0310033325e+00
7.5238169193e-06 -1.0310033556e+00
7.5759957063e-06 -1.0310033789e+00
7.6285363609e-06 -1.0310034023e+00
7.6814413928e-06 -1.0310034259e+00
7.7347133289e-06 -1.0310034497e+00
7.7883547138e-06 -1.0310034736e+00
7.8423681097e-06 -1.0310034977e+00
7.8967560965e-06 -1.0310035220e+00
7.9515212720e-06 -1.0310035464e+00
8.0066662521e-06 -1.0310035710e+00
8.0621936709e-06 -1.0310035957e+00
8.1181061806e-06 -1.0310036207e+00
8.1744064518e-06 -1.0310036458e+00
8.2310971738e-06 -1.0310036711e+00
8.2881810543e-06 -1.0310036965e+00
8.3456608200e-06 -1.0310037222e+00
8.4035392164e-06 -1.0310037480e+00
8.4618190081e-06 -1.0310037740e+00
8.5205029788e-06 -1.0310038001e+00
8.5795939316e-06 -1.0310038265e+00
8.6390946888e-06 -1.0310038530e+00
8.6990080927e-06 -1.0310038798e+00
8.7593370049e-06 -1.0310039067e+00
8.8200843070e-06 -1.0310039338e+00
8.8812529007e-06 -1.0310039610e+00
8.9428457077e-06 -1.0310039885e+00
9.0048656700e-06 -1.0310040162e+00
9.0673157499e-06 -1.0310040440e+00
9.1301989303e-06 -1.0310040721e+00
9.1935182150e-06 -1.0310041003e+00
9.2572766283e-06 -1.0310041287e+00
9.3214772156e-06 -1.0310041574e+00
9.3861230436e-06 -1.0310041862e+00
9.4512171999e-06 -1.0310042152e+00
9.5167627939e-06 -1.0310042445e+00
9.5827629564e-06 -1.0310042739e+00
9.6492208397e-06 -1.0310043036e+00
9.7161396183e-06 -1.0310043334e+00
9.7835224886e-06 -1.0310043635e+00
9.8513726691e-06 -1.0310043937e+00
9.9196934007e-06 -1.0310044242e+00
9.9884879467e-06 -1.0310044549e+00
1.0057759593e-05 -1.0310044858e+00
1.0127511649e-05 -1.0310045169e+00
1.0197747445e-05 -1.0310045482e+00
1.0268470337e-05 -1.0310045797e+00
