chapter	kind	path	ext	basename	prefix	in_payload	cleanup_class	delete_reason
1	scripts	scripts/chapter01/generate_data_chapter01.py.bak	.bak	generate_data_chapter01.py.bak	scripts	False	BACKUP_OR_RESCUE	Copie de secours / variante (suffixe .bak/.pass/.broken/.rescue/.tmp...).
1	scripts	scripts/chapter01/generate_data_chapter01.py.bak.20251104T204319Z	.20251104T204319Z	generate_data_chapter01.py.bak.20251104T204319Z	scripts	False	BACKUP_OR_RESCUE	Copie de secours / variante (suffixe .bak/.pass/.broken/.rescue/.tmp...).
1	scripts	scripts/chapter01/generate_data_chapter01.py.bak.20251104T204632Z	.20251104T204632Z	generate_data_chapter01.py.bak.20251104T204632Z	scripts	False	BACKUP_OR_RESCUE	Copie de secours / variante (suffixe .bak/.pass/.broken/.rescue/.tmp...).
1	scripts	scripts/chapter01/generate_data_chapter01.py.bak.20251104T204932Z	.20251104T204932Z	generate_data_chapter01.py.bak.20251104T204932Z	scripts	False	BACKUP_OR_RESCUE	Copie de secours / variante (suffixe .bak/.pass/.broken/.rescue/.tmp...).
1	scripts	scripts/chapter01/generate_data_chapter01.py.bak_20251031T173332Z	.bak_20251031T173332Z	generate_data_chapter01.py.bak_20251031T173332Z	scripts	False	BACKUP_OR_RESCUE	Copie de secours / variante (suffixe .bak/.pass/.broken/.rescue/.tmp...).
1	scripts	scripts/chapter01/generate_data_chapter01.py.bak_20251031T204500Z	.bak_20251031T204500Z	generate_data_chapter01.py.bak_20251031T204500Z	scripts	False	BACKUP_OR_RESCUE	Copie de secours / variante (suffixe .bak/.pass/.broken/.rescue/.tmp...).
1	scripts	scripts/chapter01/generate_data_chapter01.py.bak_20251031T204856Z	.bak_20251031T204856Z	generate_data_chapter01.py.bak_20251031T204856Z	scripts	False	BACKUP_OR_RESCUE	Copie de secours / variante (suffixe .bak/.pass/.broken/.rescue/.tmp...).
1	scripts	scripts/chapter01/generate_data_chapter01.py.rescue.20251105T160822Z.bak	.bak	generate_data_chapter01.py.rescue.20251105T160822Z.bak	scripts	False	BACKUP_OR_RESCUE	Copie de secours / variante (suffixe .bak/.pass/.broken/.rescue/.tmp...).
1	scripts	scripts/chapter01/generate_data_chapter01.py.rescue2.20251105T161809Z.bak	.bak	generate_data_chapter01.py.rescue2.20251105T161809Z.bak	scripts	False	BACKUP_OR_RESCUE	Copie de secours / variante (suffixe .bak/.pass/.broken/.rescue/.tmp...).
1	scripts	scripts/chapter01/plot_fig01_early_plateau.py.bak.20251104T200532Z	.20251104T200532Z	plot_fig01_early_plateau.py.bak.20251104T200532Z	scripts	False	BACKUP_OR_RESCUE	Copie de secours / variante (suffixe .bak/.pass/.broken/.rescue/.tmp...).
1	scripts	scripts/chapter01/plot_fig01_early_plateau.py.bak.20251104T202139Z	.20251104T202139Z	plot_fig01_early_plateau.py.bak.20251104T202139Z	scripts	False	BACKUP_OR_RESCUE	Copie de secours / variante (suffixe .bak/.pass/.broken/.rescue/.tmp...).
1	scripts	scripts/chapter01/plot_fig01_early_plateau.py.bak.20251104T202456Z	.20251104T202456Z	plot_fig01_early_plateau.py.bak.20251104T202456Z	scripts	False	BACKUP_OR_RESCUE	Copie de secours / variante (suffixe .bak/.pass/.broken/.rescue/.tmp...).
1	scripts	scripts/chapter01/plot_fig01_early_plateau.py.bak.20251104T203914Z	.20251104T203914Z	plot_fig01_early_plateau.py.bak.20251104T203914Z	scripts	False	BACKUP_OR_RESCUE	Copie de secours / variante (suffixe .bak/.pass/.broken/.rescue/.tmp...).
1	scripts	scripts/chapter01/plot_fig01_early_plateau.py.bak_20251031T173332Z	.bak_20251031T173332Z	plot_fig01_early_plateau.py.bak_20251031T173332Z	scripts	False	BACKUP_OR_RESCUE	Copie de secours / variante (suffixe .bak/.pass/.broken/.rescue/.tmp...).
1	scripts	scripts/chapter01/plot_fig01_early_plateau.py.bak_20251031T204500Z	.bak_20251031T204500Z	plot_fig01_early_plateau.py.bak_20251031T204500Z	scripts	False	BACKUP_OR_RESCUE	Copie de secours / variante (suffixe .bak/.pass/.broken/.rescue/.tmp...).
1	scripts	scripts/chapter01/plot_fig01_early_plateau.py.bak_20251031T204856Z	.bak_20251031T204856Z	plot_fig01_early_plateau.py.bak_20251031T204856Z	scripts	False	BACKUP_OR_RESCUE	Copie de secours / variante (suffixe .bak/.pass/.broken/.rescue/.tmp...).
1	scripts	scripts/chapter01/plot_fig01_early_plateau.py.rescue.20251105T160822Z.bak	.bak	plot_fig01_early_plateau.py.rescue.20251105T160822Z.bak	scripts	False	BACKUP_OR_RESCUE	Copie de secours / variante (suffixe .bak/.pass/.broken/.rescue/.tmp...).
