# z   H_over_H0
0.000000e+00 1.000000e+00
1.000000e-04 9.999004e-01
1.023293e-04 9.998980e-01
1.047129e-04 9.998957e-01
1.071519e-04 9.998932e-01
1.096478e-04 9.998908e-01
1.122018e-04 9.998882e-01
1.148154e-04 9.998856e-01
1.174898e-04 9.998829e-01
1.202264e-04 9.998802e-01
1.230269e-04 9.998774e-01
1.258925e-04 9.998746e-01
1.288250e-04 9.998716e-01
1.318257e-04 9.998687e-01
1.348963e-04 9.998656e-01
1.380384e-04 9.998625e-01
1.412538e-04 9.998593e-01
1.445440e-04 9.998560e-01
1.479108e-04 9.998526e-01
1.513561e-04 9.998492e-01
1.548817e-04 9.998457e-01
1.584893e-04 9.998421e-01
1.621810e-04 9.998384e-01
1.659587e-04 9.998347e-01
1.698244e-04 9.998308e-01
1.737801e-04 9.998269e-01
1.778279e-04 9.998228e-01
1.819701e-04 9.998187e-01
1.862087e-04 9.998145e-01
1.905461e-04 9.998102e-01
1.949845e-04 9.998057e-01
1.995262e-04 9.998012e-01
2.041738e-04 9.997966e-01
2.089296e-04 9.997919e-01
2.137962e-04 9.997870e-01
2.187762e-04 9.997820e-01
2.238721e-04 9.997770e-01
2.290868e-04 9.997718e-01
2.344229e-04 9.997665e-01
2.398833e-04 9.997610e-01
2.454709e-04 9.997555e-01
2.511886e-04 9.997498e-01
2.570396e-04 9.997439e-01
2.630268e-04 9.997380e-01
2.691535e-04 9.997319e-01
2.754229e-04 9.997256e-01
2.818383e-04 9.997192e-01
2.884032e-04 9.997127e-01
2.951209e-04 9.997060e-01
3.019952e-04 9.996992e-01
3.090295e-04 9.996922e-01
3.162278e-04 9.996850e-01
3.235937e-04 9.996777e-01
3.311311e-04 9.996702e-01
3.388442e-04 9.996625e-01
3.467369e-04 9.996546e-01
3.548134e-04 9.996466e-01
3.630781e-04 9.996383e-01
3.715352e-04 9.996299e-01
3.801894e-04 9.996213e-01
3.890451e-04 9.996125e-01
3.981072e-04 9.996035e-01
4.073803e-04 9.995942e-01
4.168694e-04 9.995848e-01
4.265795e-04 9.995751e-01
4.365158e-04 9.995652e-01
4.466836e-04 9.995551e-01
4.570882e-04 9.995447e-01
4.677351e-04 9.995341e-01
4.786301e-04 9.995233e-01
4.897788e-04 9.995122e-01
5.011872e-04 9.995008e-01
5.128614e-04 9.994892e-01
5.248075e-04 9.994773e-01
5.370318e-04 9.994652e-01
5.495409e-04 9.994527e-01
5.623413e-04 9.994400e-01
5.754399e-04 9.994269e-01
5.888437e-04 9.994136e-01
6.025596e-04 9.993999e-01
6.165950e-04 9.993860e-01
6.309573e-04 9.993717e-01
6.456542e-04 9.993571e-01
6.606934e-04 9.993421e-01
6.760830e-04 9.993268e-01
6.918310e-04 9.993111e-01
7.079458e-04 9.992951e-01
7.244360e-04 9.992787e-01
7.413102e-04 9.992619e-01
7.585776e-04 9.992447e-01
7.762471e-04 9.992271e-01
7.943282e-04 9.992091e-01
8.128305e-04 9.991907e-01
8.317638e-04 9.991719e-01
8.511380e-04 9.991526e-01
8.709636e-04 9.991329e-01
8.912509e-04 9.991127e-01
9.120108e-04 9.990920e-01
9.332543e-04 9.990709e-01
9.549926e-04 9.990493e-01
9.772372e-04 9.990272e-01
1.000000e-03 9.990045e-01
1.023293e-03 9.989814e-01
1.047129e-03 9.989577e-01
1.071519e-03 9.989334e-01
1.096478e-03 9.989086e-01
1.122018e-03 9.988832e-01
1.148154e-03 9.988572e-01
1.174898e-03 9.988306e-01
1.202264e-03 9.988034e-01
1.230269e-03 9.987756e-01
1.258925e-03 9.987471e-01
1.288250e-03 9.987180e-01
1.318257e-03 9.986881e-01
1.348963e-03 9.986576e-01
1.380384e-03 9.986264e-01
1.412538e-03 9.985944e-01
1.445440e-03 9.985618e-01
1.479108e-03 9.985283e-01
1.513561e-03 9.984941e-01
1.548817e-03 9.984590e-01
1.584893e-03 9.984232e-01
1.621810e-03 9.983865e-01
1.659587e-03 9.983490e-01
1.698244e-03 9.983106e-01
1.737801e-03 9.982713e-01
1.778279e-03 9.982311e-01
1.819701e-03 9.981900e-01
1.862087e-03 9.981479e-01
1.905461e-03 9.981049e-01
1.949845e-03 9.980608e-01
1.995262e-03 9.980157e-01
2.041738e-03 9.979696e-01
2.089296e-03 9.979224e-01
2.137962e-03 9.978741e-01
2.187762e-03 9.978247e-01
2.238721e-03 9.977742e-01
2.290868e-03 9.977224e-01
2.344229e-03 9.976695e-01
2.398833e-03 9.976153e-01
2.454709e-03 9.975599e-01
2.511886e-03 9.975032e-01
2.570396e-03 9.974452e-01
2.630268e-03 9.973859e-01
2.691535e-03 9.973251e-01
2.754229e-03 9.972630e-01
2.818383e-03 9.971994e-01
2.884032e-03 9.971344e-01
2.951209e-03 9.970678e-01
3.019952e-03 9.969997e-01
3.090295e-03 9.969301e-01
3.162278e-03 9.968588e-01
3.235937e-03 9.967858e-01
3.311311e-03 9.967112e-01
3.388442e-03 9.966349e-01
3.467369e-03 9.965568e-01
3.548134e-03 9.964768e-01
3.630781e-03 9.963951e-01
3.715352e-03 9.963114e-01
3.801894e-03 9.962258e-01
3.890451e-03 9.961382e-01
3.981072e-03 9.960486e-01
4.073803e-03 9.959570e-01
4.168694e-03 9.958632e-01
4.265795e-03 9.957672e-01
4.365158e-03 9.956690e-01
4.466836e-03 9.955686e-01
4.570882e-03 9.954658e-01
4.677351e-03 9.953607e-01
4.786301e-03 9.952532e-01
4.897788e-03 9.951431e-01
5.011872e-03 9.950306e-01
5.128614e-03 9.949154e-01
5.248075e-03 9.947976e-01
5.370318e-03 9.946770e-01
5.495409e-03 9.945537e-01
5.623413e-03 9.944275e-01
5.754399e-03 9.942985e-01
5.888437e-03 9.941664e-01
6.025596e-03 9.940314e-01
6.165950e-03 9.938932e-01
6.309573e-03 9.937518e-01
6.456542e-03 9.936072e-01
6.606934e-03 9.934593e-01
6.760830e-03 9.933079e-01
6.918310e-03 9.931531e-01
7.079458e-03 9.929947e-01
7.244360e-03 9.928327e-01
7.413102e-03 9.926670e-01
7.585776e-03 9.924974e-01
7.762471e-03 9.923240e-01
7.943282e-03 9.921466e-01
8.128305e-03 9.919651e-01
8.317638e-03 9.917795e-01
8.511380e-03 9.915896e-01
8.709636e-03 9.913954e-01
8.912509e-03 9.911967e-01
9.120108e-03 9.909935e-01
9.332543e-03 9.907856e-01
9.549926e-03 9.905730e-01
9.772372e-03 9.903555e-01
1.000000e-02 9.901331e-01
1.023293e-02 9.899056e-01
1.047129e-02 9.896729e-01
1.071519e-02 9.894348e-01
1.096478e-02 9.891914e-01
1.122018e-02 9.889424e-01
1.148154e-02 9.886877e-01
1.174898e-02 9.884273e-01
1.202264e-02 9.881609e-01
1.230269e-02 9.878884e-01
1.258925e-02 9.876098e-01
1.288250e-02 9.873248e-01
1.318257e-02 9.870334e-01
1.348963e-02 9.867353e-01
1.380384e-02 9.864305e-01
1.412538e-02 9.861188e-01
1.445440e-02 9.858001e-01
1.479108e-02 9.854741e-01
1.513561e-02 9.851407e-01
1.548817e-02 9.847999e-01
1.584893e-02 9.844513e-01
1.621810e-02 9.840948e-01
1.659587e-02 9.837304e-01
1.698244e-02 9.833577e-01
1.737801e-02 9.829766e-01
1.778279e-02 9.825869e-01
1.819701e-02 9.821885e-01
1.862087e-02 9.817811e-01
1.905461e-02 9.813646e-01
1.949845e-02 9.809388e-01
1.995262e-02 9.805034e-01
2.041738e-02 9.800583e-01
2.089296e-02 9.796032e-01
2.137962e-02 9.791380e-01
2.187762e-02 9.786623e-01
2.238721e-02 9.781761e-01
2.290868e-02 9.776790e-01
2.344229e-02 9.771709e-01
2.398833e-02 9.766515e-01
2.454709e-02 9.761206e-01
2.511886e-02 9.755779e-01
2.570396e-02 9.750231e-01
2.630268e-02 9.744561e-01
2.691535e-02 9.738766e-01
2.754229e-02 9.732842e-01
2.818383e-02 9.726789e-01
2.884032e-02 9.720601e-01
2.951209e-02 9.714278e-01
3.019952e-02 9.707816e-01
3.090295e-02 9.701212e-01
3.162278e-02 9.694464e-01
3.235937e-02 9.687568e-01
3.311311e-02 9.680522e-01
3.388442e-02 9.673322e-01
3.467369e-02 9.665965e-01
3.548134e-02 9.658448e-01
3.630781e-02 9.650768e-01
3.715352e-02 9.642922e-01
3.801894e-02 9.634906e-01
3.890451e-02 9.626717e-01
3.981072e-02 9.618352e-01
4.073803e-02 9.609807e-01
4.168694e-02 9.601078e-01
4.265795e-02 9.592162e-01
4.365158e-02 9.583055e-01
4.466836e-02 9.573754e-01
4.570882e-02 9.564256e-01
4.677351e-02 9.554555e-01
4.786301e-02 9.544648e-01
4.897788e-02 9.534532e-01
5.011872e-02 9.524203e-01
5.128614e-02 9.513655e-01
5.248075e-02 9.502886e-01
5.370318e-02 9.491892e-01
5.495409e-02 9.480667e-01
5.623413e-02 9.469208e-01
5.754399e-02 9.457511e-01
5.888437e-02 9.445571e-01
6.025596e-02 9.433383e-01
6.165950e-02 9.420944e-01
6.309573e-02 9.408249e-01
6.456542e-02 9.395294e-01
6.606934e-02 9.382073e-01
6.760830e-02 9.368582e-01
6.918310e-02 9.354817e-01
7.079458e-02 9.340772e-01
7.244360e-02 9.326444e-01
7.413102e-02 9.311826e-01
7.585776e-02 9.296915e-01
7.762471e-02 9.281706e-01
7.943282e-02 9.266193e-01
8.128305e-02 9.250372e-01
8.317638e-02 9.234239e-01
8.511380e-02 9.217787e-01
8.709636e-02 9.201013e-01
8.912509e-02 9.183910e-01
9.120108e-02 9.166475e-01
9.332543e-02 9.148701e-01
9.549926e-02 9.130584e-01
9.772372e-02 9.112118e-01
1.000000e-01 9.093298e-01
1.023293e-01 9.074120e-01
1.047129e-01 9.054577e-01
1.071519e-01 9.034665e-01
1.096478e-01 9.014379e-01
1.122018e-01 8.993713e-01
1.148154e-01 8.972662e-01
1.174898e-01 8.951222e-01
1.202264e-01 8.929388e-01
1.230269e-01 8.907154e-01
1.258925e-01 8.884516e-01
1.288250e-01 8.861469e-01
1.318257e-01 8.838007e-01
1.348963e-01 8.814126e-01
1.380384e-01 8.789821e-01
1.412538e-01 8.765087e-01
1.445440e-01 8.739919e-01
1.479108e-01 8.714312e-01
1.513561e-01 8.688263e-01
1.548817e-01 8.661765e-01
1.584893e-01 8.634816e-01
1.621810e-01 8.607411e-01
1.659587e-01 8.579547e-01
1.698244e-01 8.551218e-01
1.737801e-01 8.522423e-01
1.778279e-01 8.493157e-01
1.819701e-01 8.463418e-01
1.862087e-01 8.433201e-01
1.905461e-01 8.402503e-01
1.949845e-01 8.371321e-01
1.995262e-01 8.339651e-01
