T,dP_dT
1e-06,260864.90959040532
1.0233132151630174e-06,255493.13486277603
1.047169936327272e-06,250189.74138516712
1.0715828343651132e-06,244954.79328321392
1.0965648755476629e-06,239788.35468255178
1.122129328431513e-06,234690.48970881608
1.1482897709059693e-06,229661.26248764215
1.1750600974045922e-06,224700.73714466539
1.2024545262848616e-06,219808.97780552108
1.230487607379885e-06,214986.04859584465
1.2591742297261588e-06,210232.01364126877
1.2885296294714914e-06,205547.06521057995
1.3185693979672835e-06,200931.40837472488
1.3493094900494653e-06,196385.04572539343
1.3807662325124898e-06,191907.94361278444
1.4129563327808825e-06,187500.03309216513
1.4458968877829511e-06,183161.21087567852
1.4796053930313724e-06,178891.34028826558
1.5140997519154737e-06,174690.2522265956
1.5493982852101505e-06,170557.74611992718
1.585519740806465e-06,166493.59089185315
1.6224833036690978e-06,162497.5259219106
1.660308606025939e-06,158569.26200606945
1.6990157377952313e-06,154708.48231514287
1.7386252572558044e-06,150914.84335019492
1.7791582019660656e-06,147187.97589405096
1.8206360999375477e-06,143527.48595805047
1.8630809810689488e-06,139932.9557232111
1.906515388846735e-06,136403.94447500716
1.9509623923185225e-06,132939.98953099674
1.9964455983455993e-06,129540.60716056403
2.0429891641410897e-06,126205.29349607587
2.090617810100424e-06,122933.52543478295
2.139356832930932e-06,119724.76153082884
2.189232119087522e-06,116578.4428767613
2.240270158521598e-06,113493.99397397158
2.292498058750499e-06,110470.8235915197
2.3459435592549497e-06,107508.32561283332
2.4006350462121553e-06,104605.87986979989
2.4566015675723793e-06,101762.85296380069
2.5138728484870003e-06,98978.59907326654
2.5724793070962453e-06,96252.46074736322
2.6324520706849902e-06,93583.76968544468
2.6938229922152e-06,90971.84750193966
2.756624667243797e-06,88416.0064763662
2.820890451234933e-06,85915.55028819514
2.8866544772758746e-06,83469.77473631123
2.9539516742058945e-06,81077.96844284644
3.022817785167812e-06,78739.41354118548
3.093289386592025e-06,76453.38634796963
3.1654039076231233e-06,74219.15801894771
3.2391996499993974e-06,72035.99518854864
3.314715808395804e-06,69903.16059307163
3.391992491241191e-06,67819.91367741366
3.4710707420208367e-06,65785.51118527462
3.5519925610756227e-06,63799.20773280242
3.6348009279094165e-06,61860.25636566025
3.719539824016504e-06,59967.909099518074
3.8062542562412133e-06,58121.417443989034
3.894990280682115e-06,56320.03291005043
3.985795027153519e-06,54563.00750100565
4.078716724217234e-06,52849.59418706089
4.173804724797909e-06,51179.04736360631
4.2711095323955414e-06,49550.62329330697
4.3706828279090925e-06,47963.58053212328
4.472577497085443e-06,46417.180339395156
4.576847658608266e-06,44910.68707213712
4.6835486928417536e-06,43443.36856370432
4.792737271244443e-06,42014.49648700161
4.904471386468777e-06,40623.34670241896
5.018810383162387e-06,39269.199590687225
5.135814989487437e-06,37951.34037085837
5.255547349374808e-06,36669.05940362354
5.378071055530209e-06,35421.65248019119
5.503451183209782e-06,34208.421096955695
5.631754324783115e-06,33028.67271619423
5.763048625102037e-06,31881.72101303687
5.897403817693973e-06,30766.886108961004
6.034891261799073e-06,29683.494792067268
6.175583980270809e-06,28630.88072439919
6.3195566983601456e-06,27608.384636573533
6.466885883403904e-06,26615.354509992663
6.617649785438379e-06,25651.145746913815
6.771928478759801e-06,24715.121328653342
6.929803904453694e-06,23806.65196220689
7.091359913915741e-06,22925.116215568523
7.256682313387256e-06,22069.900642033776
7.4258589095289164e-06,21240.39989377297
7.598979556056974e-06,20436.016824962022
7.7761362014667e-06,19656.162584758666
7.957422937868423e-06,18900.256700412112
8.14293605096208e-06,18167.72715079398
8.332774071176851e-06,17458.01043063785
8.52703782600301e-06,16770.551605773828
8.725830493543807e-06,16104.804359643489
8.929257657315812e-06,15460.23103137871
9.137427362326838e-06,14836.30264572656
9.350450172461225e-06,14232.498935099879
9.568439229202887e-06,13648.308354031144
9.79151031172755e-06,13083.228086304509
1.001978189839574e-05,12536.764045037997
1.0253375229679547e-05,12008.430865984916
1.0492414372556218e-05,11497.751894320183
1.073702628640316e-05,11004.259165173798
1.098734089042905e-05,10527.49337817015
1.1243491132677044e-05,10067.003866227857
1.1505613060636621e-05,9622.348558871054
1.177384589350169e-05,9193.093940298771
1.2048332096113105e-05,8778.815002454867
1.232921745462528e-05,8379.095193336645
1.261665115393659e-05,7993.526360775659
1.2910785856925044e-05,7621.708691919801
1.321177778553118e-05,7263.250648640948
1.3519786803731245e-05,6917.768899087803
1.3834976502444755e-05,6584.888245598656
1.415751428642154e-05,6264.24154918398
1.4487571463154379e-05,5955.469650783809
1.482532333386449e-05,5658.221289499854
1.5170949286608177e-05,5372.153017997412
1.5524632891554098e-05,5096.929115266955
1.5886561998481755e-05,4832.221496930337
1.6256928836552978e-05,4577.709623271493
1.6635930116409398e-05,4333.08040516642
1.7023767134650176e-05,4098.028108082202
1.7420645880745377e-05,3872.2542543098134
1.782677714644193e-05,3655.4675235903933
1.8242376637720092e-05,3447.383652289709
1.8667665089360067e-05,3247.7253312705657
1.9102868382179465e-05,3056.222102607966
1.9548217663004018e-05,2872.610255286977
2.000394946743513e-05,2696.632720018373
2.0470305845479573e-05,2528.038963302374
2.0947534490108014e-05,2366.5848808660285
2.1435888868810628e-05,2212.0326905951283
2.1935628358219744e-05,2064.1508250769084
2.244701838187091e-05,1922.713823865248
2.2970330551175673e-05,1787.502225575585
2.3505842809680867e-05,1658.3024599123523
2.405383958069102e-05,1534.9067397274
2.4614611918332376e-05,1417.1129532035964
2.5188457662138635e-05,1304.7245562536161
2.5775681595240626e-05,1197.550465219826
2.63765956062439e-05,1095.4049499571288
2.6991518854880165e-05,998.1075273767143
2.762077794152063e-05,905.4828555247808
2.8264707080641226e-05,817.3606282665411
2.892364827833188e-05,733.5754706421278
2.959795151394407e-05,653.9668349574247
3.0287974925973207e-05,578.3788976693388
3.0994085002274494e-05,506.6604571216135
3.1716656774713376e-05,438.6648321839462
3.245607401835384e-05,374.2497618439427
3.3212729455290544e-05,313.2773057982821
3.398702496323283e-05,255.61374608641097
3.4779371788951514e-05,201.12948980711153
3.559019076670192e-05,149.69897295540449
3.641991254173888e-05,101.20056541445776
3.726897779904272e-05,55.51647713445985
3.8137837497377524e-05,12.532665527804324
3.902695310880608e-05,-27.8612558926044
3.993679686378867e-05,-65.77210760755915
4.086785200199589e-05,-101.30323289626685
4.182061302896878e-05,-134.55458533184915
4.279558597876242e-05,-165.622814950094
4.379328868271272e-05,-194.60135307604054
4.481425104446894e-05,-221.58049579500965
4.5859015321438124e-05,-246.64748605664846
4.692813641279093e-05,-269.8865944024297
4.8022182154181755e-05,-291.37919830884664
4.9141733619339806e-05,-311.2038601402681
5.028738542869117e-05,-329.43640370706567
5.1459746065175835e-05,-346.14998942620446
5.265943819742752e-05,-361.41518808299327
5.388709901048777e-05,-375.30005319412777
5.51433805442301e-05,-387.8701919735289
5.642895003967388e-05,-399.1888349037821
5.7744490293371964e-05,-409.3169039172194
5.909070002006012e-05,-418.3130791918641
6.04682942237611e-05,-426.23386456856747
6.187800457754028e-05,-433.13365159672384
6.332057981211466e-05,-439.064782216944
6.479678611352151e-05,-444.0776100900045
6.630740753005805e-05,-448.22056058227565
6.785324638870819e-05,-451.54018941865945
6.943512372127738e-05,-454.0812400148469
7.105387970046225e-05,-455.8866995014322
7.271037408608629e-05,-456.99785345309937
7.440548668173871e-05,-457.4543393367288
7.614011780205911e-05,-457.2941986928581
7.791518875091601e-05,-456.5539280654702
7.973164231073323e-05,-455.2685286955869
