T,I1
1e-06,491787.0657517055
1.0233132151630174e-06,486464.5938006491
1.047169936327272e-06,481141.82669823436
1.0715828343651132e-06,475820.30402240425
1.0965648755476629e-06,470501.5392128195
1.122129328431513e-06,465187.01914714614
1.1482897709059693e-06,459878.20374603
1.1750600974045922e-06,454576.5256064888
1.2024545262848616e-06,449283.38966344605
1.230487607379885e-06,444000.17287908815
1.2591742297261588e-06,438728.2239597208
1.2885296294714914e-06,433468.86309976544
1.3185693979672835e-06,428223.3817525216
1.3493094900494653e-06,422993.0424273011
1.3807662325124898e-06,417779.0785125198
1.4129563327808825e-06,412582.6941243126
1.4458968877829511e-06,407405.06398022844
1.4796053930313724e-06,402247.33329753275
1.5140997519154737e-06,397110.61771564523
1.5493982852101505e-06,391996.00324221357
1.585519740806465e-06,386904.5462223195
1.6224833036690978e-06,381837.27333029784
1.660308606025939e-06,376795.1815836386
1.6990157377952313e-06,371779.2383784327
1.7386252572558044e-06,366790.3815458123
1.7791582019660656e-06,361829.5194288291
1.8206360999375477e-06,356897.5309792054
1.8630809810689488e-06,351995.2658733884
1.906515388846735e-06,347123.5446473304
1.9509623923185225e-06,342283.1588494141
1.9964455983455993e-06,337474.8712109384
2.0429891641410897e-06,332699.4158335771
2.090617810100424e-06,327957.4983932209
2.139356832930932e-06,323249.7963596085
2.189232119087522e-06,318576.95923115883
2.240270158521598e-06,313939.608784409
2.292498058750499e-06,309338.33933746844
2.3459435592549497e-06,304773.7180268982
2.4006350462121553e-06,300246.2850974292
2.4566015675723793e-06,295756.5542039324
2.5138728484870003e-06,291305.01272506145
2.5724793070962453e-06,286892.122087989
2.6324520706849902e-06,282518.3181036644
2.6938229922152e-06,278184.0113120241
2.756624667243797e-06,273889.5873365934
2.820890451234933e-06,269635.4072479238
2.8866544772758746e-06,265421.8079353146
2.9539516742058945e-06,261249.10248627933
3.022817785167812e-06,257117.5805732199
3.093289386592025e-06,253027.50884678235
3.1654039076231233e-06,248979.1313353763
3.2391996499993974e-06,244972.66985034692
3.314715808395804e-06,241008.32439629995
3.391992491241191e-06,237086.27358608658
3.4710707420208367e-06,233206.675059968
3.5519925610756227e-06,229369.6659084863
3.6348009279094165e-06,225575.3630985796
3.719539824016504e-06,221823.8639024913
3.8062542562412133e-06,218115.24632903055
3.894990280682115e-06,214449.56955675466
3.985795027153519e-06,210826.87436865404
4.078716724217234e-06,207247.18358793075
4.173804724797909e-06,203710.5025144741
4.2711095323955414e-06,200216.8193616466
4.3706828279090925e-06,196766.1056930065
4.472577497085443e-06,193358.3168586029
4.576847658608266e-06,189993.39243049274
4.6835486928417536e-06,186671.25663713866
4.792737271244443e-06,183391.81879635958
4.904471386468777e-06,180154.97374651677
5.018810383162387e-06,176960.60227562962
5.135814989487437e-06,173808.57154812783
5.255547349374808e-06,170698.73552895643
5.378071055530209e-06,167630.93540476295
5.503451183209782e-06,164605.00000190697
5.631754324783115e-06,161620.74620104328
5.763048625102037e-06,158677.97934804097
5.897403817693973e-06,155776.4936610125
6.034891261799073e-06,152916.07263323705
6.175583980270809e-06,150096.48943177378
6.3195566983601456e-06,147317.50729157057
6.466885883403904e-06,144578.8799048856
6.617649785438379e-06,141880.35180584822
6.771928478759801e-06,139221.65874999642
6.929803904453694e-06,136602.52808863908
7.091359913915741e-06,134022.67913789867
7.256682313387256e-06,131481.82354230311
7.4258589095289164e-06,128979.66563280218
7.598979556056974e-06,126515.90277909442
7.7761362014667e-06,124090.2257361604
7.957422937868423e-06,121702.31898490505
8.14293605096208e-06,119351.8610668231
8.332774071176851e-06,117038.5249126075
8.52703782600301e-06,114761.97816463187
8.725830493543807e-06,112521.88349324344
8.929257657315812e-06,110317.89890681268
9.137427362326838e-06,108149.67805549307
9.350450172461225e-06,106016.87052865114
9.568439229202887e-06,103919.12214593608
9.79151031172755e-06,101856.07524196123
1.001978189839574e-05,99827.36894458302
1.0253375229679547e-05,97832.63944676211
1.0492414372556218e-05,95871.52027200494
1.073702628640316e-05,93943.64253338303
1.098734089042905e-05,92048.6351861397
1.1243491132677044e-05,90186.12527389501
1.1505613060636621e-05,88355.73816846794
1.177384589350169e-05,86557.0978033379
1.2048332096113105e-05,84789.82690077566
1.232921745462528e-05,83053.54719267378
1.261665115393659e-05,81347.87963511798
1.2910785856925044e-05,79672.44461673843
1.321177778553118e-05,78026.86216088921
1.3519786803731245e-05,76410.75212170517
1.3834976502444755e-05,74823.73437409113
1.415751428642154e-05,73265.42899770045
1.4487571463154379e-05,71735.45645496457
1.482532333386449e-05,70233.43776323787
1.5170949286608177e-05,68758.99466112487
1.5524632891554098e-05,67311.74976906047
1.5886561998481755e-05,65891.32674421577
1.6256928836552978e-05,64497.35042980523
1.6635930116409398e-05,63129.44699887256
1.7023767134650176e-05,61787.2440926354
1.7420645880745377e-05,60470.3709534707
1.782677714644193e-05,59178.4585526243
1.8242376637720092e-05,57911.13971273037
1.8667665089360067e-05,56668.049225227354
1.9102868382179465e-05,55448.8239627588
1.9548217663004018e-05,54253.10298664858
2.000394946743513e-05,53080.52764954112
2.0470305845479573e-05,51930.74169329814
2.0947534490108014e-05,50803.391342244264
2.1435888868810628e-05,49698.125391854745
2.1935628358219744e-05,48614.59529297869
2.244701838187091e-05,47552.455231692344
2.2970330551175673e-05,46511.36220487635
2.3505842809680867e-05,45490.97609161226
2.405383958069102e-05,44490.95972049272
2.4614611918332376e-05,43510.978932940445
2.5188457662138635e-05,42550.70264263078
2.5775681595240626e-05,41609.80289111243
2.63765956062439e-05,40687.95489972078
2.6991518854880165e-05,39784.83711787808
2.762077794152063e-05,38900.13126787381
2.8264707080641226e-05,38033.52238621881
2.892364827833188e-05,37184.69886166546
2.959795151394407e-05,36353.35246998619
3.0287974925973207e-05,35539.17840560127
3.0994085002274494e-05,34741.87531014677
3.1716656774713376e-05,33961.145298072086
3.245607401835384e-05,33196.69397935607
3.3212729455290544e-05,32448.23047942944
3.398702496323283e-05,31715.46745639064
3.4779371788951514e-05,30998.12111560083
3.559019076670192e-05,30295.911221742805
3.641991254173888e-05,29608.561108427755
3.726897779904272e-05,28935.797685432197
3.8137837497377524e-05,28277.351443646523
3.902695310880608e-05,27632.956457815384
3.993679686378867e-05,27002.350387148694
4.086785200199589e-05,26385.27447388102
4.182061302896878e-05,25781.473539855633
4.279558597876242e-05,25190.69598120825
4.379328868271272e-05,24612.693761224204
4.481425104446894e-05,24047.222401441384
4.5859015321438124e-05,23494.040971069844
4.692813641279093e-05,22952.91207479785
4.8022182154181755e-05,22423.601839052393
4.9141733619339806e-05,21905.8798967811
5.028738542869117e-05,21399.519370820944
5.1459746065175835e-05,20904.29685591772
5.265943819742752e-05,20419.992399458904
5.388709901048777e-05,19946.389480981066
5.51433805442301e-05,19483.274990511618
5.642895003967388e-05,19030.439205803254
5.7744490293371964e-05,18587.675768517995
5.909070002006012e-05,18154.78165941644
6.04682942237611e-05,17731.55717260631
6.187800457754028e-05,17317.80588890313
6.332057981211466e-05,16913.334648354303
6.479678611352151e-05,16517.95352197671
6.630740753005805e-05,16131.475782756403
6.785324638870819e-05,15753.717875957664
6.943512372127738e-05,15384.499388787488
7.105387970046225e-05,15023.64301945999
7.271037408608629e-05,14670.974545704157
7.440548668173871e-05,14326.322792756924
