alpha,k,P_R
-1.000000e-01,1.000000e-04,2.516876e-09
-1.000000e-01,1.149757e-04,2.505976e-09
-1.000000e-01,1.321941e-04,2.495124e-09
-1.000000e-01,1.519911e-04,2.484318e-09
-1.000000e-01,1.747528e-04,2.473560e-09
-1.000000e-01,2.009233e-04,2.462848e-09
-1.000000e-01,2.310130e-04,2.452182e-09
-1.000000e-01,2.656088e-04,2.441563e-09
-1.000000e-01,3.053856e-04,2.430989e-09
-1.000000e-01,3.511192e-04,2.420461e-09
-1.000000e-01,4.037017e-04,2.409979e-09
-1.000000e-01,4.641589e-04,2.399543e-09
-1.000000e-01,5.336699e-04,2.389151e-09
-1.000000e-01,6.135907e-04,2.378805e-09
-1.000000e-01,7.054802e-04,2.368503e-09
-1.000000e-01,8.111308e-04,2.358246e-09
-1.000000e-01,9.326033e-04,2.348033e-09
-1.000000e-01,1.072267e-03,2.337865e-09
-1.000000e-01,1.232847e-03,2.327740e-09
-1.000000e-01,1.417474e-03,2.317660e-09
-1.000000e-01,1.629751e-03,2.307623e-09
-1.000000e-01,1.873817e-03,2.297629e-09
-1.000000e-01,2.154435e-03,2.287679e-09
-1.000000e-01,2.477076e-03,2.277772e-09
-1.000000e-01,2.848036e-03,2.267908e-09
-1.000000e-01,3.274549e-03,2.258087e-09
-1.000000e-01,3.764936e-03,2.248308e-09
-1.000000e-01,4.328761e-03,2.238571e-09
-1.000000e-01,4.977024e-03,2.228877e-09
-1.000000e-01,5.722368e-03,2.219224e-09
-1.000000e-01,6.579332e-03,2.209614e-09
-1.000000e-01,7.564633e-03,2.200045e-09
-1.000000e-01,8.697490e-03,2.190517e-09
-1.000000e-01,1.000000e-02,2.181031e-09
-1.000000e-01,1.149757e-02,2.171586e-09
-1.000000e-01,1.321941e-02,2.162181e-09
-1.000000e-01,1.519911e-02,2.152818e-09
-1.000000e-01,1.747528e-02,2.143495e-09
-1.000000e-01,2.009233e-02,2.134212e-09
-1.000000e-01,2.310130e-02,2.124970e-09
-1.000000e-01,2.656088e-02,2.115767e-09
-1.000000e-01,3.053856e-02,2.106605e-09
-1.000000e-01,3.511192e-02,2.097482e-09
-1.000000e-01,4.037017e-02,2.088398e-09
-1.000000e-01,4.641589e-02,2.079354e-09
-1.000000e-01,5.336699e-02,2.070349e-09
-1.000000e-01,6.135907e-02,2.061383e-09
-1.000000e-01,7.054802e-02,2.052456e-09
-1.000000e-01,8.111308e-02,2.043568e-09
-1.000000e-01,9.326033e-02,2.034718e-09
-1.000000e-01,1.072267e-01,2.025906e-09
-1.000000e-01,1.232847e-01,2.017133e-09
-1.000000e-01,1.417474e-01,2.008398e-09
-1.000000e-01,1.629751e-01,1.999700e-09
-1.000000e-01,1.873817e-01,1.991040e-09
-1.000000e-01,2.154435e-01,1.982418e-09
-1.000000e-01,2.477076e-01,1.973832e-09
-1.000000e-01,2.848036e-01,1.965285e-09
-1.000000e-01,3.274549e-01,1.956774e-09
-1.000000e-01,3.764936e-01,1.948300e-09
-1.000000e-01,4.328761e-01,1.939862e-09
-1.000000e-01,4.977024e-01,1.931461e-09
-1.000000e-01,5.722368e-01,1.923097e-09
-1.000000e-01,6.579332e-01,1.914769e-09
-1.000000e-01,7.564633e-01,1.906477e-09
-1.000000e-01,8.697490e-01,1.898220e-09
-1.000000e-01,1.000000e+00,1.890000e-09
-1.000000e-01,1.149757e+00,1.881815e-09
-1.000000e-01,1.321941e+00,1.873666e-09
-1.000000e-01,1.519911e+00,1.865552e-09
-1.000000e-01,1.747528e+00,1.857473e-09
-1.000000e-01,2.009233e+00,1.849429e-09
-1.000000e-01,2.310130e+00,1.841419e-09
-1.000000e-01,2.656088e+00,1.833445e-09
-1.000000e-01,3.053856e+00,1.825505e-09
-1.000000e-01,3.511192e+00,1.817599e-09
-1.000000e-01,4.037017e+00,1.809728e-09
-1.000000e-01,4.641589e+00,1.801891e-09
-1.000000e-01,5.336699e+00,1.794088e-09
