R_over_R0,f_R,f_RR,z
1.1,1.0000001,1e-06,0.09736034899857107
1.2,1.0000002,1e-06,0.1799633739875471
1.3,1.0000003,1e-06,0.2523835120662886
1.4,1.0000004,1e-06,0.31727629854091255
1.5,1.0000005,1e-06,0.37633674027758923
1.6,1.0000006,1.01e-06,0.43072215249504214
1.7,1.0000007,1.01e-06,0.4812599555112876
1.8,1.0000008,1.01e-06,0.528566520898007
1.9,1.0000009,1.01e-06,0.5731135863337362
2.0,1.000001,1.01e-06,0.615270288668741
2.1,1.00000111,1.01e-06,0.6553353182912214
2.2,1.00000121,1.01e-06,0.6935490035143544
2.3,1.00000131,1.01e-06,0.7301116095792917
2.4,1.00000141,1.01e-06,0.7651911141452297
2.5,1.00000151,1.02e-06,0.7989293244542179
2.6,1.00000161,1.02e-06,0.8314474080033537
2.7,1.00000171,1.02e-06,0.8628499404640901
2.8,1.00000182,1.02e-06,0.8932279305626392
2.9,1.00000192,1.02e-06,0.9226611277579113
3.0,1.00000202,1.02e-06,0.9512198187148152
3.1,1.00000212,1.02e-06,0.9789662530593777
3.2,1.00000222,1.02e-06,1.0059557954499871
3.3,1.00000233,1.02e-06,1.0322378718753977
3.4,1.00000243,1.02e-06,1.0578568112709101
3.5,1.00000253,1.02e-06,1.0828535426889163
3.6,1.00000263,1.03e-06,1.1072645612575847
3.7,1.00000274,1.03e-06,1.1311224659857948
3.8,1.00000284,1.03e-06,1.1544576197544913
3.9,1.00000294,1.03e-06,1.1772984534365316
4.0,1.00000304,1.03e-06,1.1996694600689195
4.1,1.00000315,1.03e-06,1.2215945432019182
4.2,1.00000325,1.03e-06,1.24309548137971
4.3,1.00000335,1.03e-06,1.2641914166008386
4.4,1.00000346,1.03e-06,1.2849019764135179
4.5,1.00000356,1.04e-06,1.3052432227261053
4.6,1.00000366,1.04e-06,1.3252321438081003
4.7,1.00000377,1.04e-06,1.3448828115204021
4.8,1.00000387,1.04e-06,1.3642098406444745
4.9,1.00000398,1.04e-06,1.3832256612184712
5.0,1.00000408,1.04e-06,1.4019430579512062
5.1,1.00000418,1.04e-06,1.420372884927502
5.2,1.00000429,1.04e-06,1.4385266061416526
5.3,1.00000439,1.04e-06,1.4564135754086218
5.4,1.0000045,1.04e-06,1.4740442259499433
5.5,1.0000046,1.04e-06,1.4914266654850832
5.6,1.00000471,1.05e-06,1.508570274854325
5.7,1.00000481,1.05e-06,1.5254824276086196
5.8,1.00000492,1.05e-06,1.5421711156609408
5.9,1.00000502,1.05e-06,1.5586436999805051
6.0,1.00000512,1.05e-06,1.574906554944285
6.1,1.00000523,1.05e-06,1.5909669020351251
6.2,1.00000534,1.05e-06,1.6068302992581587
6.3,1.00000544,1.05e-06,1.6225029569081686
6.4,1.00000555,1.05e-06,1.6379907430570813
6.5,1.00000565,1.06e-06,1.6532984573089202
6.6,1.00000576,1.06e-06,1.6684317270688391
6.7,1.00000586,1.06e-06,1.6833953299854219
6.8,1.00000597,1.06e-06,1.6981936505161457
6.9,1.00000607,1.06e-06,1.7128316231395435
7.0,1.00000618,1.06e-06,1.7273132806733633
7.1,1.00000629,1.06e-06,1.741642582329828
7.2,1.00000639,1.06e-06,1.7558238383269034
7.3,1.0000065,1.06e-06,1.769860619781406
7.4,1.0000066,1.06e-06,1.7837563824277025
7.5,1.00000671,1.06e-06,1.7975149136993922
7.6,1.00000682,1.07e-06,1.8111395173701115
7.7,1.00000692,1.07e-06,1.8246331236267679
7.8,1.00000703,1.07e-06,1.8379990706541294
7.9,1.00000714,1.07e-06,1.8512404647327168
8.0,1.00000725,1.07e-06,1.8643598326417479
8.1,1.00000735,1.07e-06,1.877360067122438
8.2,1.00000746,1.07e-06,1.890244027970441
8.3,1.00000757,1.07e-06,1.9030141189801972
8.4,1.00000767,1.07e-06,1.9156727135186487
8.5,1.00000778,1.07e-06,1.9282223705781878
8.6,1.00000789,1.08e-06,1.940665511164926
8.7,1.000008,1.08e-06,1.9530041224842603
8.8,1.0000081,1.08e-06,1.965240412509637
8.9,1.00000821,1.08e-06,1.9773766003459483
9.0,1.00000832,1.08e-06,1.9894147499055337
9.1,1.00000843,1.08e-06,2.0013566084865864
9.2,1.00000854,1.08e-06,2.013204145323516
9.3,1.00000864,1.08e-06,2.024959298680341
9.4,1.00000875,1.08e-06,2.0366238771832887
9.5,1.00000886,1.08e-06,2.0481994298813975
9.6,1.00000897,1.09e-06,2.059687687916207
9.7,1.00000908,1.09e-06,2.0710903552292854
9.8,1.00000919,1.09e-06,2.0824090563742397
9.9,1.0000093,1.09e-06,2.0936451732223293
10.0,1.0000094,1.09e-06,2.1048002102054704
