alpha,A_s,n_s
-0.1,1.8900000000000003e-09,0.9689
-0.09000000000000001,1.911e-09,0.9685
-0.08000000000000002,1.932e-09,0.9681
-0.07000000000000002,1.953e-09,0.9677
-0.060000000000000026,1.974e-09,0.9672999999999999
-0.05000000000000003,1.9950000000000002e-09,0.9669
-0.040000000000000036,2.016e-09,0.9665
-0.03000000000000004,2.0370000000000003e-09,0.9661
-0.020000000000000046,2.058e-09,0.9657
-0.01000000000000005,2.0790000000000004e-09,0.9652999999999999
-5.551115123125783e-17,2.1e-09,0.9649
0.00999999999999994,2.121e-09,0.9645
0.019999999999999934,2.1420000000000003e-09,0.9641
0.029999999999999943,2.163e-09,0.9637
0.039999999999999925,2.1840000000000003e-09,0.9632999999999999
0.049999999999999906,2.2049999999999997e-09,0.9629
0.059999999999999915,2.226e-09,0.9625
0.06999999999999992,2.2469999999999998e-09,0.9621
0.0799999999999999,2.268e-09,0.9617
0.08999999999999989,2.289e-09,0.9612999999999999
0.0999999999999999,2.31e-09,0.9609
