alpha,q0star,chi2
-0.1,-0.1,1119568.0688302778
-0.1,-0.09000000000000001,958993.7614581808
-0.1,-0.08,805129.1665387726
-0.1,-0.07,658663.4038474269
-0.1,-0.060000000000000005,519969.8878343499
-0.1,-0.05,390272.412806733
-0.1,-0.04000000000000001,272070.4069933007
-0.1,-0.03,168836.6581458668
-0.1,-0.020000000000000004,84934.31690286497
-0.1,-0.010000000000000009,26229.013478226472
-0.1,0.0,620.2111311892021
-0.1,0.009999999999999995,17690.546143076113
-0.1,0.01999999999999999,86583.71914368804
-0.1,0.03,213149.1218729904
-0.1,0.04000000000000001,397705.81411009666
-0.1,0.04999999999999999,634423.9417426868
-0.1,0.06,913971.9943926209
-0.1,0.07,1228564.6318109336
-0.1,0.07999999999999999,1577081.2513869721
-0.1,0.09,1969088.9442346394
-0.1,0.1,2423194.8330921475
-0.09000000000000001,-0.1,1117237.333852558
-0.09000000000000001,-0.09000000000000001,956698.9151949921
-0.09000000000000001,-0.08,802899.4012572832
-0.09000000000000001,-0.07,656530.1109854212
-0.09000000000000001,-0.060000000000000005,517968.58889690903
-0.09000000000000001,-0.05,388443.3932071244
-0.09000000000000001,-0.04000000000000001,270457.8966343603
-0.09000000000000001,-0.03,167489.64014054326
-0.09000000000000001,-0.020000000000000004,83911.67204490333
-0.09000000000000001,-0.010000000000000009,25608.227690099113
-0.09000000000000001,0.0,505.36678793352826
-0.09000000000000001,0.009999999999999995,18213.185486495735
-0.09000000000000001,0.01999999999999999,87896.38984334268
-0.09000000000000001,0.03,215410.21443014956
-0.09000000000000001,0.04000000000000001,401062.1143683425
-0.09000000000000001,0.04999999999999999,638997.5522220437
-0.09000000000000001,0.06,919859.2736935228
-0.09000000000000001,0.07,1235847.8116661164
-0.09000000000000001,0.07999999999999999,1585846.7921782532
-0.09000000000000001,0.09,1979451.0305492051
-0.09000000000000001,0.1,2435312.0402465924
-0.08,-0.1,1114909.5819784761
-0.08,-0.09000000000000001,954407.5676421172
-0.08,-0.08,800673.7112828704
-0.08,-0.07,654401.5373889353
-0.08,-0.060000000000000005,515972.7271094869
-0.08,-0.05,386620.6066929738
-0.08,-0.04000000000000001,268852.49528490094
-0.08,-0.03,166150.69367879475
-0.08,-0.020000000000000004,82898.16689368016
-0.08,-0.010000000000000009,24997.786394607356
-0.08,0.0,402.2446082026524
-0.08,0.009999999999999995,18749.1237208676
-0.08,0.01999999999999999,89224.14986594407
-0.08,0.03,217688.3951761552
-0.08,0.04000000000000001,404437.6921463003
-0.08,0.04999999999999999,643592.7978528184
-0.08,0.06,925770.7014362594
-0.08,0.07,1243157.8121055863
-0.08,0.07999999999999999,1594641.9979464791
-0.08,0.09,1989845.8229568335
-0.08,0.1,2447465.220863769
-0.07,-0.1,1112584.8161364552
-0.07,-0.09000000000000001,952119.7221413213
-0.07,-0.08,798452.1004182092
-0.07,-0.07,652277.6873831258
-0.07,-0.060000000000000005,513982.3073844507
-0.07,-0.05,384804.05882147746
-0.07,-0.04000000000000001,267254.20919763256
-0.07,-0.03,164819.82576445682
-0.07,-0.020000000000000004,81893.80927930721
-0.07,-0.010000000000000009,24397.698343936507
-0.07,0.0,310.8543674607039
-0.07,0.009999999999999995,19298.371726861616
-0.07,0.01999999999999999,90567.01125313206
-0.07,0.03,219983.6773508495
-0.07,0.04000000000000001,407832.5619292785
-0.07,0.04999999999999999,648209.6944526059
-0.07,0.06,931706.2949144742
-0.07,0.07,1250494.6520904712
-0.07,0.07999999999999999,1603466.8895254703
-0.07,0.09,2000273.3443418373
-0.07,0.1,2459654.399998587
-0.060000000000000005,-0.1,1110263.0392576759
-0.060000000000000005,-0.09000000000000001,949835.3820368937
-0.060000000000000005,-0.08,796234.5724690576
-0.060000000000000005,-0.07,650158.5652964538
-0.060000000000000005,-0.060000000000000005,511997.33463763207
-0.060000000000000005,-0.05,382993.75515377795
-0.060000000000000005,-0.04000000000000001,265663.0446300121
-0.060000000000000005,-0.03,163497.04340608633
-0.060000000000000005,-0.020000000000000004,80898.60703723751
-0.060000000000000005,-0.010000000000000009,23807.972296014508
-0.060000000000000005,0.0,231.20584738932934
-0.060000000000000005,0.009999999999999995,19860.940391945405
-0.060000000000000005,0.01999999999999999,91924.98605392477
-0.060000000000000005,0.03,222296.0742020694
-0.060000000000000005,0.04000000000000001,411246.73821100616
-0.060000000000000005,0.04999999999999999,652848.2578481344
-0.060000000000000005,0.06,937666.0714317712
-0.060000000000000005,0.07,1257858.350592879
-0.060000000000000005,0.07999999999999999,1612321.4877606991
-0.060000000000000005,0.09,2010733.617601568
-0.060000000000000005,0.1,2471879.6027202383
-0.05,-0.1,1107944.2542754503
-0.05,-0.09000000000000001,947554.5506765756
-0.05,-0.08,794021.1312445692
-0.05,-0.07,648044.1754607087
-0.05,-0.060000000000000005,510017.813788562
-0.05,-0.05,381189.70125531
-0.05,-0.04000000000000001,264079.0078437795
-0.05,-0.03,162182.35361713218
-0.05,-0.020000000000000004,79912.56800825815
-0.05,-0.010000000000000009,23228.61701451371
-0.05,0.0,163.30883589688148
-0.05,0.009999999999999995,20436.840610303134
-0.05,0.01999999999999999,93298.08632474195
-0.05,0.03,224625.59898581606
-0.05,0.04000000000000001,414680.23549425707
-0.05,0.04999999999999999,657508.5038759795
-0.05,0.06,943650.0483022539
-0.05,0.07,1265248.9265956914
-0.05,0.07999999999999999,1621205.8135091788
-0.05,0.09,2021226.6656454285
-0.05,0.1,2484140.8541106996
-0.04000000000000001,-0.1,1105628.4641257753
-0.04000000000000001,-0.09000000000000001,945277.2314101402
-0.04000000000000001,-0.08,791811.7805566099
-0.04000000000000001,-0.07,645934.5222111477
-0.04000000000000001,-0.060000000000000005,508043.74976063694
-0.04000000000000001,-0.05,379391.902695445
-0.04000000000000001,-0.04000000000000001,262502.1051053521
-0.04000000000000001,-0.03,160875.7634161517
-0.04000000000000001,-0.020000000000000004,78935.7000384398
-0.04000000000000001,-0.010000000000000009,22659.641268900028
-0.04000000000000001,0.0,107.17312711354154
-0.04000000000000001,0.009999999999999995,21026.08328288808
-0.04000000000000001,0.01999999999999999,94686.32412933896
-0.04000000000000001,0.03,226972.2649660272
-0.04000000000000001,0.04000000000000001,418133.0682904017
-0.04000000000000001,0.04999999999999999,662190.4483821377
-0.04000000000000001,0.06,949658.2428499085
-0.04000000000000001,0.07,1272666.399092654
-0.04000000000000001,0.07999999999999999,1630119.887639531
-0.04000000000000001,0.09,2031752.5113956528
-0.04000000000000001,0.1,2496438.179266038
-0.03,-0.1,1103315.6717472496
-0.03,-0.09000000000000001,943003.4275902605
-0.03,-0.08,789606.524220288
-0.03,-0.07,643829.6098861559
-0.03,-0.060000000000000005,506075.1474809219
