alpha,q0star,chi2
-0.1,-0.1,1304967.6164761295
-0.1,-0.09000000000000001,1143173.1138926896
-0.1,-0.08,986142.5375347737
-0.1,-0.07,834415.8095459577
-0.1,-0.060000000000000005,688027.0678991526
-0.1,-0.05,547800.7026459862
-0.1,-0.04000000000000001,415918.8761475279
-0.1,-0.03,295509.76954705565
-0.1,-0.020000000000000004,190231.8768147653
-0.1,-0.010000000000000009,104601.57876281638
-0.1,0.0,44584.04459607146
-0.1,0.009999999999999995,17752.237083102442
-0.1,0.01999999999999999,31726.335357956053
-0.1,0.03,91903.82518446716
-0.1,0.04000000000000001,199400.1159419818
-0.1,0.04999999999999999,350094.9493838076
-0.1,0.06,536423.2520091695
-0.1,0.07,751538.8674015428
-0.1,0.07999999999999999,994006.3512460846
-0.1,0.09,1271489.9014472975
-0.1,0.1,1599546.9632390095
-0.09000000000000001,-0.1,1282774.9098547322
-0.09000000000000001,-0.09000000000000001,1120972.3146287445
-0.09000000000000001,-0.08,964141.5837941668
-0.09000000000000001,-0.07,812838.1300064621
-0.09000000000000001,-0.060000000000000005,667132.3410510333
-0.09000000000000001,-0.05,527891.9405250195
-0.09000000000000001,-0.04000000000000001,397333.7685934533
-0.09000000000000001,-0.03,278622.5419352269
-0.09000000000000001,-0.020000000000000004,175491.2067507367
-0.09000000000000001,-0.010000000000000009,92601.3618838489
-0.09000000000000001,0.0,36129.93608747043
-0.09000000000000001,0.009999999999999995,13873.882965413304
-0.09000000000000001,0.01999999999999999,33625.43792615314
-0.09000000000000001,0.03,100835.39358836378
-0.09000000000000001,0.04000000000000001,216530.9066405153
-0.09000000000000001,0.04999999999999999,376397.4391579163
-0.09000000000000001,0.06,572665.0580611473
-0.09000000000000001,0.07,798374.1458179419
-0.09000000000000001,0.07999999999999999,1052120.9458319892
-0.09000000000000001,0.09,1341786.0462590484
-0.09000000000000001,0.1,1683277.0209430996
-0.08,-0.1,1260878.70555119
-0.08,-0.09000000000000001,1099105.563298903
-0.08,-0.08,942515.8022181345
-0.08,-0.07,791680.6857023009
-0.08,-0.060000000000000005,646707.2671007527
-0.08,-0.05,508506.9288587647
-0.08,-0.04000000000000001,379331.42335683224
-0.08,-0.03,262382.58443566994
-0.08,-0.020000000000000004,161469.12628738172
-0.08,-0.010000000000000009,81399.76152554399
-0.08,0.0,28565.120110425218
-0.08,0.009999999999999995,10987.26421126183
-0.08,0.01999999999999999,36630.881965601875
-0.08,0.03,110999.58036175065
-0.08,0.04000000000000001,235031.50477312377
-0.08,0.04999999999999999,404217.3561240778
-0.08,0.06,610582.6897635676
-0.08,0.07,847055.5190528767
-0.08,0.07999999999999999,1112264.6848154506
-0.08,0.09,1414307.6754976707
-0.08,0.1,1769442.2824766545
-0.07,-0.1,1239279.1042154215
-0.07,-0.09000000000000001,1077572.9092932679
-0.07,-0.08,921265.1896417772
-0.07,-0.07,770943.4251028693
-0.07,-0.060000000000000005,626751.7468484867
-0.07,-0.05,489645.5139329174
-0.07,-0.04000000000000001,361911.622990118
-0.07,-0.03,246789.61295766264
-0.07,-0.020000000000000004,148165.28951831328
-0.07,-0.010000000000000009,70996.36826174005
-0.07,0.0,21889.095043624482
-0.07,0.009999999999999995,9091.71805572107
-0.07,0.01999999999999999,40741.738916978866
-0.07,0.03,122395.07798233673
-0.07,0.04000000000000001,254900.1416319666
-0.07,0.04999999999999999,433552.4514012773
-0.07,0.06,650173.4677715985
-0.07,0.07,897579.9711050652
-0.07,0.07999999999999999,1174434.3097016516
-0.07,0.09,1489051.3331680594
-0.07,0.1,1858039.0554461395
-0.060000000000000005,-0.1,1217976.2059961392
-0.060000000000000005,-0.09000000000000001,1056374.401710327
-0.060000000000000005,-0.08,900389.7426327658
-0.060000000000000005,-0.07,750626.2962554095
-0.060000000000000005,-0.060000000000000005,607265.6805525946
-0.060000000000000005,-0.05,471307.5416018121
-0.060000000000000005,-0.04000000000000001,345074.14988738345
-0.060000000000000005,-0.03,231843.34335047044
-0.060000000000000005,-0.020000000000000004,135579.35006764895
-0.060000000000000005,-0.010000000000000009,61390.77128558686
-0.060000000000000005,0.0,16101.356927569821
-0.060000000000000005,0.009999999999999995,8186.579111084631
-0.060000000000000005,0.01999999999999999,45957.07856158853
-0.060000000000000005,0.03,135020.57955127186
-0.060000000000000005,0.04000000000000001,276135.05219527375
-0.060000000000000005,0.04999999999999999,464400.48266130994
-0.060000000000000005,0.06,691434.7209386525
-0.060000000000000005,0.07,949944.4939754845
-0.060000000000000005,0.07999999999999999,1238626.5681023013
-0.060000000000000005,0.09,1566013.5667243523
-0.060000000000000005,0.1,1949063.6488339768
-0.05,-0.1,1196970.110533353
-0.05,-0.09000000000000001,1035510.089343767
-0.05,-0.08,879889.4574806809
-0.05,-0.07,730729.2467780111
-0.05,-0.060000000000000005,588248.967924495
-0.05,-0.05,453492.85727890837
-0.05,-0.04000000000000001,328818.786267542
-0.05,-0.03,217543.49138140207
-0.05,-0.020000000000000004,123710.96107099978
-0.05,-0.010000000000000009,52582.55840190203
-0.05,0.0,11201.399470579549
-0.05,0.009999999999999995,8271.179378920497
-0.05,0.01999999999999999,52275.9690250611
-0.05,0.03,148874.7787752279
-0.05,0.04000000000000001,298734.4750810043
-0.05,0.04999999999999999,496759.21405712556
-0.05,0.06,734363.7862325016
-0.05,0.07,1004146.0875933577
-0.05,0.07999999999999999,1304838.2136886027
-0.05,0.09,1645190.9270582257
-0.05,0.1,2042512.3730097618
