ell,cl_lcdm,cl_mcgt,delta_cls,delta_cls_rel
0,0.0,0.0,0.0,
1,0.0,0.0,0.0,
2,1.3758892667818088e-10,1.3758892667818088e-10,0.0,0.0
3,1.303067697058768e-10,1.303067697058768e-10,0.0,0.0
4,1.2331275474605623e-10,1.2331275474605623e-10,0.0,0.0
5,1.1809916772012468e-10,1.1809916772012468e-10,0.0,0.0
6,1.1454588292439794e-10,1.1454588292439794e-10,0.0,0.0
7,1.1229315328900824e-10,1.1229315328900824e-10,0.0,0.0
8,1.1094539285349131e-10,1.1094539285349131e-10,0.0,0.0
9,1.1031883249489589e-10,1.1031883249489589e-10,0.0,0.0
10,1.1021841765572253e-10,1.1021841765572253e-10,0.0,0.0
11,1.1045734149640009e-10,1.1045734149640009e-10,0.0,0.0
12,1.1113352112993242e-10,1.1113352112993242e-10,0.0,0.0
13,1.119905051170768e-10,1.119905051170768e-10,0.0,0.0
14,1.1300564242651037e-10,1.1300564242651037e-10,0.0,0.0
15,1.1403756167997653e-10,1.1403756167997653e-10,0.0,0.0
16,1.1532617853297966e-10,1.1532617853297966e-10,0.0,0.0
17,1.168509478233998e-10,1.168509478233998e-10,0.0,0.0
18,1.1845749266872605e-10,1.1845749266872605e-10,0.0,0.0
19,1.2024775055564346e-10,1.2024775055564346e-10,0.0,0.0
20,1.2200469317251274e-10,1.2200469317251274e-10,0.0,0.0
21,1.2382211471966022e-10,1.2382211471966022e-10,0.0,0.0
22,1.2570381863511138e-10,1.2570381863511138e-10,0.0,0.0
23,1.2759782278536746e-10,1.2759782278536746e-10,0.0,0.0
24,1.2954718080319634e-10,1.2954718080319634e-10,0.0,0.0
25,1.315698748678174e-10,1.315698748678174e-10,0.0,0.0
26,1.3359987956853178e-10,1.3359987956853178e-10,0.0,0.0
27,1.3569221042628527e-10,1.3569221042628527e-10,0.0,0.0
28,1.3782391712551652e-10,1.3782391712551652e-10,0.0,0.0
29,1.3998414484874082e-10,1.3998414484874082e-10,0.0,0.0
30,1.421989279388922e-10,1.421989279388922e-10,0.0,0.0
31,1.4438676160831993e-10,1.4438676160831993e-10,0.0,0.0
32,1.4665620358728655e-10,1.4665620358728655e-10,0.0,0.0
33,1.489366004978531e-10,1.489366004978531e-10,0.0,0.0
34,1.5122544507261765e-10,1.5122544507261765e-10,0.0,0.0
35,1.536000252626111e-10,1.536000252626111e-10,0.0,0.0
36,1.5593817699691954e-10,1.5593817699691954e-10,0.0,0.0
37,1.5831113256038023e-10,1.5831113256038023e-10,0.0,0.0
38,1.6073390085220135e-10,1.6073390085220135e-10,0.0,0.0
39,1.6319320054456696e-10,1.6319320054456696e-10,0.0,0.0
40,1.6567792786474324e-10,1.6567792786474324e-10,0.0,0.0
41,1.6817628564430137e-10,1.6817628564430137e-10,0.0,0.0
42,1.7068870269341258e-10,1.7068870269341258e-10,0.0,0.0
43,1.732169144044247e-10,1.732169144044247e-10,0.0,0.0
44,1.7576765627706613e-10,1.7576765627706613e-10,0.0,0.0
45,1.7834966390387326e-10,1.7834966390387326e-10,0.0,0.0
46,1.8095845431750556e-10,1.8095845431750556e-10,0.0,0.0
47,1.8359167006314997e-10,1.8359167006314997e-10,0.0,0.0
48,1.8624573509173038e-10,1.8624573509173038e-10,0.0,0.0
49,1.8891907337852564e-10,1.8891907337852564e-10,0.0,0.0
50,1.9161910890430816e-10,1.9161910890430816e-10,0.0,0.0
51,1.943537584171606e-10,1.943537584171606e-10,0.0,0.0
52,1.9711590975618352e-10,1.9711590975618352e-10,0.0,0.0
53,1.9989594348896385e-10,1.9989594348896385e-10,0.0,0.0
54,2.0269124011128724e-10,2.0269124011128724e-10,0.0,0.0
55,2.0550118002822922e-10,2.0550118002822922e-10,0.0,0.0
56,2.0834078919075655e-10,2.0834078919075655e-10,0.0,0.0
57,2.1122367604300377e-10,2.1122367604300377e-10,0.0,0.0
58,2.1414409454038882e-10,2.1414409454038882e-10,0.0,0.0
59,2.170902984787131e-10,2.170902984787131e-10,0.0,0.0
60,2.2005954147938834e-10,2.2005954147938834e-10,0.0,0.0
61,2.2305278657208252e-10,2.2305278657208252e-10,0.0,0.0
62,2.2607083497106698e-10,2.2607083497106698e-10,0.0,0.0
63,2.2911619727607944e-10,2.2911619727607944e-10,0.0,0.0
64,2.3218938386708775e-10,2.3218938386708775e-10,0.0,0.0
65,2.3529390489687187e-10,2.3529390489687187e-10,0.0,0.0
66,2.38434843116875e-10,2.38434843116875e-10,0.0,0.0
67,2.416095723679204e-10,2.416095723679204e-10,0.0,0.0
68,2.448130390834404e-10,2.448130390834404e-10,0.0,0.0
69,2.4803918945762006e-10,2.4803918945762006e-10,0.0,0.0
70,2.5128396944690836e-10,2.5128396944690836e-10,0.0,0.0
71,2.545443888141433e-10,2.545443888141433e-10,0.0,0.0
72,2.578357132560724e-10,2.578357132560724e-10,0.0,0.0
73,2.611732722877249e-10,2.611732722877249e-10,0.0,0.0
74,2.645583952100701e-10,2.645583952100701e-10,0.0,0.0
75,2.679914111200703e-10,2.679914111200703e-10,0.0,0.0
76,2.7146639146295597e-10,2.7146639146295597e-10,0.0,0.0
77,2.749663776673444e-10,2.749663776673444e-10,0.0,0.0
78,2.784891535372716e-10,2.784891535372716e-10,0.0,0.0
79,2.820405027268262e-10,2.820405027268262e-10,0.0,0.0
80,2.8562320875652495e-10,2.8562320875652495e-10,0.0,0.0
81,2.892404210857151e-10,2.892404210857151e-10,0.0,0.0
82,2.9289375329601247e-10,2.9289375329601247e-10,0.0,0.0
83,2.965801849443524e-10,2.965801849443524e-10,0.0,0.0
84,3.0029969552675986e-10,3.0029969552675986e-10,0.0,0.0
85,3.0405126449751683e-10,3.0405126449751683e-10,0.0,0.0
86,3.0783443098729646e-10,3.0783443098729646e-10,0.0,0.0
