# k, delta_Tm
7.065510e-06, 2.878596e-04
7.801707e-06, 2.867667e-04
8.614613e-06, 2.855599e-04
9.512220e-06, 2.842273e-04
1.050336e-05, 2.827559e-04
1.159776e-05, 2.811312e-04
1.280620e-05, 2.793372e-04
1.414056e-05, 2.773563e-04
1.561394e-05, 2.751690e-04
1.724085e-05, 2.727537e-04
1.903728e-05, 2.700868e-04
2.102089e-05, 2.671420e-04
2.321118e-05, 2.638904e-04
2.562969e-05, 2.603000e-04
2.830019e-05, 2.563355e-04
3.124896e-05, 2.519578e-04
3.450497e-05, 2.471241e-04
3.810025e-05, 2.417867e-04
4.207014e-05, 2.358931e-04
4.645368e-05, 2.293855e-04
5.129396e-05, 2.221998e-04
5.663858e-05, 2.142654e-04
6.254009e-05, 2.055042e-04
6.905651e-05, 1.958302e-04
7.625192e-05, 1.851482e-04
8.419706e-05, 1.733532e-04
9.297005e-05, 1.603291e-04
1.026572e-04, 1.459481e-04
1.133536e-04, 1.300685e-04
1.251646e-04, 1.125344e-04
1.382062e-04, 9.317329e-05
1.526068e-04, 7.179484e-05
1.685078e-04, 4.818884e-05
1.860656e-04, 2.212319e-05
2.054528e-04, -6.658403e-06
2.268602e-04, -1.719155e-05
2.504981e-04, -1.562801e-05
2.765990e-04, -1.390154e-05
3.054195e-04, -1.257952e-05
3.372429e-04, -1.135134e-05
3.723823e-04, -1.022132e-05
4.111830e-04, -9.236298e-06
4.540266e-04, -8.353350e-06
5.013343e-04, -7.520053e-06
5.535713e-04, -6.818141e-06
6.112511e-04, -6.172371e-06
6.749410e-04, -5.583428e-06
7.452671e-04, -5.051393e-06
8.229209e-04, -4.588803e-06
9.086659e-04, -4.141333e-06
1.003345e-03, -3.741500e-06
1.107890e-03, -3.397095e-06
1.223327e-03, -3.069545e-06
1.350793e-03, -2.776453e-06
1.491540e-03, -2.514091e-06
1.646952e-03, -2.277800e-06
1.818558e-03, -2.065621e-06
2.008044e-03, -1.868255e-06
2.217275e-03, -1.691575e-06
2.448305e-03, -1.532714e-06
2.703409e-03, -1.386591e-06
2.985093e-03, -1.255450e-06
3.296128e-03, -1.137960e-06
3.639571e-03, -1.030113e-06
4.018799e-03, -9.332389e-07
4.437542e-03, -8.452498e-07
4.899915e-03, -7.659433e-07
5.410466e-03, -6.927467e-07
5.974215e-03, -6.278333e-07
6.596704e-03, -5.684904e-07
7.284053e-03, -5.145822e-07
8.043022e-03, -4.662833e-07
8.881072e-03, -4.223343e-07
9.806443e-03, -3.824447e-07
1.082823e-02, -3.461113e-07
1.195649e-02, -3.135425e-07
1.320231e-02, -2.837638e-07
1.457794e-02, -2.573844e-07
1.609690e-02, -2.316035e-07
1.777413e-02, -2.115457e-07
1.962612e-02, -1.908827e-07
2.167108e-02, -1.726540e-07
2.392912e-02, -1.560574e-07
2.642244e-02, -1.440638e-07
2.917555e-02, -1.291929e-07
3.209310e-02, -1.148979e-07
3.501066e-02, -1.070369e-07
3.792821e-02, -9.922648e-08
4.084577e-02, -9.141609e-08
4.376332e-02, -8.733099e-08
4.668088e-02, -7.579531e-08
4.959843e-02, -7.916079e-08
5.251599e-02, -6.764544e-08
5.543355e-02, -7.099059e-08
5.835110e-02, -5.949769e-08
6.126866e-02, -6.286804e-08
6.489527e-02, -6.423003e-08
6.852189e-02, -5.078973e-08
7.214851e-02, -5.220115e-08
7.577513e-02, -4.616199e-08
7.940175e-02, -4.757341e-08
8.302837e-02, -4.898484e-08
8.665499e-02, -5.031075e-08
9.028161e-02, -4.444863e-08
9.390823e-02, -3.822040e-08
9.753485e-02, -3.238234e-08
1.011615e-01, -4.103122e-08
1.047881e-01, -3.521722e-08
1.084147e-01, -4.384204e-08
1.120413e-01, -2.315093e-08
1.156679e-01, -3.175170e-08
1.192946e-01, -2.598581e-08
1.229212e-01, -3.456252e-08
1.265478e-01, -2.882068e-08
1.301744e-01, -3.737333e-08
1.338010e-01, -1.675439e-08
1.374277e-01, -2.528299e-08
1.410543e-01, -1.958927e-08
1.446809e-01, -2.809381e-08
1.483075e-01, -2.242414e-08
1.519341e-01, -3.129216e-08
1.555608e-01, -2.485946e-08
1.591874e-01, -1.922587e-08
1.628140e-01, -2.767027e-08
1.664406e-01, -2.206075e-08
1.700672e-01, -3.092876e-08
1.736939e-01, -3.887739e-08
1.773205e-01, -1.886248e-08
1.809471e-01, -2.773049e-08
1.845737e-01, -6.796189e-09
1.882003e-01, -1.566421e-08
1.918269e-01, -2.349255e-08
1.954536e-01, -3.597919e-09
1.990802e-01, -1.246594e-08
2.027068e-01, -2.133395e-08
2.063334e-01, -2.906608e-08
2.099600e-01, -9.267667e-09
2.135867e-01, -1.813568e-08
2.172133e-01, -2.700370e-08
2.208399e-01, -3.587172e-08
2.244665e-01, -4.348356e-08
2.280931e-01, 5.996889e-09
2.317198e-01, -2.871128e-09
