ell,delta_Cl
0,0.0
1,0.0
2,-1.2285500954100702e-15
3,-8.101845876953571e-16
4,-4.942761152028167e-16
5,-3.1011436628676607e-16
6,-2.1374552017943193e-16
7,-1.2832206431880294e-16
8,-4.674005663909325e-17
9,-1.4061309135819283e-17
10,-2.725452727054262e-17
11,-5.0340399184417884e-17
12,-4.5785217953463255e-17
13,-1.5585496909153777e-17
14,-5.685153335910132e-18
15,-2.5521134715246714e-17
16,-4.343643229686676e-17
17,-4.711108772737209e-17
18,-3.5474302132880875e-17
19,-2.3426653963580618e-17
20,-2.515418699113705e-17
21,-3.6013440775157345e-17
22,-4.7197877223301166e-17
23,-5.207816128252551e-17
24,-4.737663296992662e-17
25,-4.1045138022461625e-17
26,-4.104986820309572e-17
27,-4.4184900379807896e-17
28,-4.58725137485507e-17
29,-4.7219917528270824e-17
30,-4.976753173567668e-17
31,-5.1103694415215545e-17
32,-4.921773794728537e-17
33,-4.7655057647263145e-17
34,-5.0109932603690197e-17
35,-5.531611675112309e-17
36,-6.090261975169832e-17
37,-6.50400009603687e-17
38,-6.661795013561925e-17
39,-6.686113012047036e-17
40,-6.757794677058231e-17
41,-7.013355839279488e-17
42,-7.412013475302706e-17
43,-7.868659793913039e-17
44,-8.298186954781791e-17
45,-8.615487034862203e-17
46,-8.761754996680876e-17
47,-8.783397616476473e-17
48,-8.753124514701985e-17
49,-8.743645156714037e-17
50,-8.827668850187951e-17
51,-9.051439791597933e-17
52,-9.355342350414251e-17
53,-9.653295756471723e-17
54,-9.859218931997379e-17
55,-9.887030522629729e-17
56,-9.684184846723683e-17
57,-9.332279996589359e-17
58,-8.946449693309306e-17
59,-8.641827246960701e-17
60,-8.53354550750151e-17
61,-8.698493776981408e-17
62,-9.06058849706071e-17
63,-9.505502502037837e-17
64,-9.918908093713689e-17
65,-1.0186477010372374e-16
66,-1.0227069596123949e-16
67,-1.0092302321857332e-16
68,-9.866980241022933e-17
69,-9.635907802195339e-17
70,-9.483888843903437e-17
71,-9.476438397106898e-17
72,-9.601918066776255e-17
73,-9.829400660652582e-17
74,-1.0127958397110767e-16
75,-1.0466662889649877e-16
76,-1.0816858771713968e-16
77,-1.11589843850389e-16
78,-1.1475751153344065e-16
79,-1.174986993166219e-16
80,-1.1964051140756177e-16
81,-1.2105067573265116e-16
82,-1.2175943132674802e-16
83,-1.2183764156385763e-16
84,-1.2135616650926285e-16
85,-1.2038586291952404e-16
86,-1.1900981415953454e-16
87,-1.1736001912650615e-16
88,-1.1558070394636904e-16
89,-1.1381609340088493e-16
90,-1.122104109793458e-16
91,-1.1088069658627209e-16
92,-1.0983525811354356e-16
93,-1.090552208505454e-16
94,-1.085217105519519e-16
95,-1.0821585421320825e-16
96,-1.0811878043242208e-16
97,-1.0821161946206228e-16
98,-1.0847550434633226e-16
99,-1.0889157081777245e-16
100,-1.0944095781424815e-16
101,-1.1010480815103377e-16
102,-1.1086426836571648e-16
103,-1.117004897004732e-16
104,-1.1259462810207055e-16
105,-1.1352784463545523e-16
106,-1.1448130569054912e-16
107,-1.154361837577311e-16
108,-1.163736572727407e-16
109,-1.1727491066837693e-16
110,-1.1812113556357034e-16
111,-1.1889778888238134e-16
112,-1.1960736995103073e-16
113,-1.2025664448654377e-16
114,-1.2085238544377602e-16
115,-1.2140137332560615e-16
116,-1.2191039716521292e-16
117,-1.22386253337003e-16
118,-1.2283574679738192e-16
119,-1.2326569087795891e-16
120,-1.236829073889445e-16
121,-1.240942264640541e-16
122,-1.245064875944838e-16
123,-1.2492653864663346e-16
124,-1.2536123705117868e-16
125,-1.2581744918268548e-16
126,-1.2630205066980299e-16
127,-1.2682192655035978e-16
128,-1.273839722019421e-16
129,-1.2799509210112294e-16
130,-1.2866220096083535e-16
131,-1.293935526994241e-16
132,-1.3020272838177642e-16
133,-1.3110464848498637e-16
134,-1.321142446530863e-16
135,-1.332464589732638e-16
136,-1.3451624542342775e-16
137,-1.3593856925182288e-16
138,-1.375284072872225e-16
139,-1.3930074886950669e-16
140,-1.4127059512587924e-16
141,-1.4345296103881923e-16
142,-1.4586287317133428e-16
143,-1.4851537256209276e-16
144,-1.5142551338125525e-16
145,-1.5460836427464305e-16
146,-1.5807900795014787e-16
147,-1.6185254221170762e-16
148,-1.6594408016610151e-16
149,-1.7036875032634769e-16
150,-1.7514169692189592e-16
151,-1.8027260210181614e-16
152,-1.8574924954583429e-16
153,-1.9155396074989887e-16
154,-1.9766907499434158e-16
155,-2.040769492404797e-16
156,-2.1075995875100156e-16
157,-2.1770049708996655e-16
158,-2.24880976639793e-16
159,-2.322838290148484e-16
160,-2.398915049580521e-16
161,-2.4768647506465793e-16
162,-2.5565122988565214e-16
163,-2.637682791005726e-16
164,-2.7202015368885796e-16
165,-2.803894041720888e-16
166,-2.888586018547587e-16
167,-2.974103384106837e-16
168,-3.0602722598640003e-16
169,-3.1469189720116415e-16
170,-3.233870051469526e-16
171,-3.32095223181667e-16
172,-3.4079924534272424e-16
173,-3.4948178520968316e-16
174,-3.5812557662802764e-16
175,-3.667133727785884e-16
176,-3.7523234553763075e-16
177,-3.8368728024839596e-16
178,-3.9208738001898168e-16
179,-4.0044186584526635e-16
180,-4.0875997754148734e-16
181,-4.170509714654943e-16
182,-4.253241223799054e-16
183,-4.3358872035018033e-16
184,-4.418540726057763e-16
185,-4.501295012654017e-16
186,-4.584243439574013e-16
187,-4.6674795237219025e-16
188,-4.751096923656519e-16
189,-4.835189430285591e-16
190,-4.919850962729845e-16
191,-5.005175555915291e-16
192,-5.091257361607201e-16
193,-5.178190643240231e-16
194,-5.266069763510709e-16
195,-5.354989181274709e-16
196,-5.445043449480102e-16
197,-5.536327196554987e-16
198,-5.628935137781429e-16
199,-5.722962059785821e-16
200,-5.818502814335028e-16
201,-5.9156230930113715e-16
202,-6.014271750203602e-16
203,-6.114368472878095e-16
204,-6.215832991428209e-16
205,-6.318585083810186e-16
206,-6.422544562101471e-16
207,-6.527631276636608e-16
208,-6.633765105667492e-16
209,-6.740865958465287e-16
210,-6.848853764980674e-16
211,-6.957648482047703e-16
212,-7.067170080976086e-16
213,-7.17733854858517e-16
214,-7.288073890305868e-16
215,-7.39929611880692e-16
216,-7.510925257096826e-16
217,-7.622881336455893e-16
218,-7.735084397470207e-16
219,-7.847454478657905e-16
220,-7.959911627842904e-16
221,-8.07237588871322e-16
222,-8.184767311160722e-16
223,-8.297005935771497e-16
224,-8.409011805199584e-16
225,-8.520704956929145e-16
226,-8.632005416036629e-16
227,-8.742833205530537e-16
228,-8.853108333943707e-16
229,-8.962750794299341e-16
230,-9.071680570314861e-16
231,-9.179817620892268e-16
232,-9.287081881152121e-16
233,-9.393393265535465e-16
234,-9.49867165746407e-16
235,-9.602836903136582e-16
236,-9.705808814630442e-16
237,-9.807507154392258e-16
