q0star,delta_rs_rel
-0.1,0.0
-0.095,-2.131175078925014e-06
-0.09000000000000001,-4.233269456844395e-06
-0.085,-6.458243746246258e-06
-0.08,-8.476639404048796e-06
-0.07500000000000001,-1.0470269990223276e-05
-0.07,-1.2061887446007973e-05
-0.065,-1.3518995618821794e-05
-0.060000000000000005,-1.7062885301703044e-05
-0.05500000000000001,-1.9079043731711857e-05
-0.05,-2.129974785063959e-05
-0.045000000000000005,-2.3316906995355765e-05
-0.04000000000000001,-2.5493267778586507e-05
-0.035,-2.763899694170762e-05
-0.03,-2.9654428231352367e-05
-0.02500000000000001,-3.177133698911262e-05
-0.020000000000000004,-3.3913364355227344e-05
-0.015,-3.61063497714728e-05
-0.010000000000000009,-3.823027354844507e-05
-0.0050000000000000044,-3.888101884289555e-05
0.0,-4.110450325320413e-05
0.0049999999999999906,-4.344261893283127e-05
0.009999999999999995,-4.5898188401501844e-05
0.015,-4.86903602183956e-05
0.01999999999999999,-5.093529394020254e-05
0.024999999999999994,-5.166207198392183e-05
0.03,-5.4549737759747095e-05
0.035,-5.728244815837828e-05
0.04000000000000001,-5.836548544965644e-05
0.044999999999999984,-6.151577556551948e-05
0.04999999999999999,-6.354486621756657e-05
0.05499999999999999,-6.575077725678404e-05
0.06,-6.775392388163035e-05
0.065,-6.998227850158422e-05
0.07,-7.197640852420684e-05
0.07500000000000001,-7.409752560367974e-05
0.07999999999999999,-7.624729963063082e-05
0.08499999999999999,-7.845187878097237e-05
0.09,-8.055275843957149e-05
0.095,-8.260348530086142e-05
0.1,-8.470438851988148e-05
