q0star,r_s,delta_rs_rel
-0.1,147.10746420925759,0.0
-0.095,147.10715069749594,-2.131175078925014e-06
-0.09000000000000001,147.10684146372247,-4.233269456844395e-06
-0.085,147.10651415339683,-6.458243746246258e-06
-0.08,147.10621723232984,-8.476639404048796e-06
-0.07500000000000001,147.10592395438974,-1.0470269990223276e-05
-0.07,147.10568981558183,-1.2061887446007973e-05
-0.065,147.10547546409344,-1.3518995618821794e-05
-0.060000000000000005,147.10495413146876,-1.7062885301703044e-05
-0.05500000000000001,147.10465753951468,-1.9079043731711857e-05
-0.05,147.10433085736298,-2.129974785063959e-05
-0.045000000000000005,147.1040341181963,-2.3316906995355765e-05
-0.04000000000000001,147.10371395928027,-2.5493267778586507e-05
-0.035,147.1033983065042,-2.763899694170762e-05
-0.03,147.1031018215179,-2.9654428231352367e-05
-0.02500000000000001,147.10279040843858,-3.177133698911262e-05
-0.020000000000000004,147.10247530022448,-3.3913364355227344e-05
-0.015,147.10215269570085,-3.61063497714728e-05
-0.010000000000000009,147.10184025065985,-3.823027354844507e-05
-0.0050000000000000044,147.10174452116973,-3.888101884289555e-05
0.0,147.10141743001643,-4.110450325320413e-05
0.0049999999999999906,147.10107347574777,-4.344261893283127e-05
0.009999999999999995,147.10071224315004,-4.5898188401501844e-05
0.015,147.10030149383442,-4.86903602183956e-05
0.01999999999999999,147.0999712473273,-5.093529394020254e-05
0.024999999999999994,147.09986433285223,-5.166207198392183e-05
0.03,147.09943953566247,-5.4549737759747095e-05
0.035,147.0990375335653,-5.728244815837828e-05
0.04000000000000001,147.09887821069574,-5.836548544965644e-05
0.044999999999999984,147.09841477950528,-6.151577556551948e-05
0.04999999999999999,147.0981162851248,-6.354486621756657e-05
0.05499999999999999,147.09779177914555,-6.575077725678404e-05
0.06,147.09749710132513,-6.775392388163035e-05
0.065,147.09716929372763,-6.998227850158422e-05
0.07,147.0968759423167,-7.197640852420684e-05
0.07500000000000001,147.09656391016185,-7.409752560367974e-05
0.07999999999999999,147.09624766235612,-7.624729963063082e-05
0.08499999999999999,147.09592335230766,-7.845187878097237e-05
0.09,147.09561429722848,-8.055275843957149e-05
0.095,147.09531262000013,-8.260348530086142e-05
0.1,147.09500356145503,-8.470438851988148e-05
