q0star,r_s,delta_rs_rel
-0.1,147.10746420925813,4.11061929119252e-05
-0.095,147.10715069749713,3.897493023295014e-05
-0.09000000000000001,147.10684146372463,3.687274945250295e-05
-0.085,147.106514153397,3.464768368935391e-05
-0.08,147.10621723232268,3.262920501314149e-05
-0.07500000000000001,147.1059239543898,3.063549252547931e-05
-0.07,147.1056898155851,2.9043809666193357e-05
-0.065,147.10547546409504,2.758664158581041e-05
-0.060000000000000005,147.10495413147012,2.4042606225570514e-05
-0.05500000000000001,147.1046575395145,2.2026364908530915e-05
-0.05,147.10433085736585,1.980556952558492e-05
-0.045000000000000005,147.10403411820317,1.7788327490378664e-05
-0.04000000000000001,147.10371395927686,1.5611877175299105e-05
-0.035,147.10339830650423,1.3466059832799696e-05
-0.03,147.1031018215159,1.1450545682729536e-05
-0.02500000000000001,147.10279040843875,9.333549921593602e-06
-0.020000000000000004,147.1024753002164,7.191434448857373e-06
-0.015,147.1021526957,4.998358936406109e-06
-0.010000000000000009,147.1018402506623,2.8743478754258952e-06
-0.0050000000000000044,147.10174452116942,2.223575812572274e-06
0.0,147.10141743001563,0.0
0.0049999999999999906,147.10107347574822,-2.338211782159995e-06
0.009999999999999995,147.1007122431508,-4.793882187817521e-06
0.015,147.10030149383138,-7.586168806154979e-06
0.01999999999999999,147.0999712473219,-9.831194824677122e-06
0.024999999999999994,147.09986433285107,-1.0558002714686338e-05
0.03,147.09943953566048,-1.3445787197061177e-05
0.035,147.09903753356625,-1.6178609907112367e-05
0.04000000000000001,147.0988782106954,-1.726169172662488e-05
0.044999999999999984,147.09841477950508,-2.0412111337955078e-05
0.04999999999999999,147.0981162851251,-2.244128539490935e-05
0.05499999999999999,147.09779177914663,-2.46472871053216e-05
0.06,147.09749710132718,-2.6650516065330305e-05
0.065,147.09716929372817,-2.8878962294699258e-05
0.07,147.09687594230772,-3.0873174353141185e-05
0.07500000000000001,147.0965639101635,-3.2994378551400766e-05
0.07999999999999999,147.0962476623626,-3.514424091453173e-05
0.08499999999999999,147.09592335230997,-3.734891071513123e-05
0.09,147.0956142972277,-3.9449876753761736e-05
0.095,147.09531261999922,-4.150068791359169e-05
0.1,147.09500356145543,-4.3601677483857004e-05
