k,d_delta_phi_dk
0.0001,-8.408224828463607e-06
0.00010193734859388727,-8.510083971498112e-06
0.0001039122303835169,-8.651584205527386e-06
0.00010592537251772886,-8.819334756353235e-06
0.00010797751623277094,-8.998022508844802e-06
0.00011006941712522093,-9.172335112265075e-06
0.0001122018454301963,-9.350024098731515e-06
0.00011437558630495377,-9.531154882288671e-06
0.00011659144011798323,-9.715794163592125e-06
0.00011885022274370189,-9.904009779066187e-06
0.00012115276586285888,-1.0095870947056192e-05
0.0001234999172687585,-1.0291448360368256e-05
0.00012589254117941674,-1.0490813931425476e-05
0.00012833151855576512,-1.0694040980350318e-05
0.0001308177474260194,-1.090120426750999e-05
0.0001333521432163324,-1.1112379959554198e-05
0.00013593563908785255,-1.1327645737540296e-05
0.00013856918628031274,-1.1547080830091945e-05
0.0001412537544622754,-1.1770765936317918e-05
0.00014399033208816327,-1.1998783253028417e-05
0.0001467799267622069,-1.2231216659920285e-05
0.00014962356560944327,-1.246815166040739e-05
0.00015252229565390182,-1.2709675366225553e-05
0.00015547718420411727,-1.2955876597775539e-05
0.00015848931924611142,-1.3206845853142562e-05
0.00016155980984398745,-1.3462675372827576e-05
0.00016468978654828688,-1.3723459240344052e-05
0.00016788040181225607,-1.3989293338718371e-05
0.0001711328304161781,-1.4260275377156339e-05
0.00017444826989992541,-1.4536504961082396e-05
0.00017782794100389227,-1.4818083614661277e-05
0.00018127308811846987,-1.5105114786211676e-05
0.00018478497974222906,-1.5397703963204205e-05
0.00018836490894898002,-1.5695958693260464e-05
0.00019201419386388012,-1.5999988559114874e-05
0.00019573417814876596,-1.6309905278132956e-05
0.00019952623149688788,-1.6625822687740964e-05
0.0002033917501372293,-1.694785679588289e-05
0.0002073321573485954,-1.727612589590211e-05
0.00021134890398366476,-1.7610750571986764e-05
0.00021544346900318845,-1.7951853729198635e-05
0.00021961736002054367,-1.8299560604702283e-05
0.000223872113856834,-1.8653998843989764e-05
0.00022820929710674507,-1.9015298577443738e-05
0.00023263050671536262,-1.9383592400691805e-05
0.00023713737056616554,-1.9759015508943493e-05
0.00024173154808041037,-2.0141705681320246e-05
0.00024641473082812813,-2.053180330404323e-05
0.00025118864315095795,-2.092945153294883e-05
0.0002560550427970475,-2.1334796258617096e-05
0.0002610157215682536,-2.174798610964951e-05
0.00026607250597988083,-2.2169172624690144e-05
0.000271227257933203,-2.259851023768611e-05
0.0002764818754010106,-2.3036156325669444e-05
0.0002818382931264455,-2.348227131750611e-05
0.0002872984833353666,-2.3937018713245585e-05
0.00029286445646252375,-2.440056513449327e-05
0.000298538261891796,-2.487308038905719e-05
0.00030432198871077225,-2.5354737548526157e-05
0.00031021776647995015,-2.5845712983151903e-05
0.00031622776601683794,-2.634618643927922e-05
0.00032235420019524624,-2.68563411279629e-05
0.0003285993247600654,-2.7376363733193965e-05
0.00033496543915782756,-2.790644449317855e-05
0.0003414548873833601,-2.844677730032144e-05
0.00034807005884284094,-2.8997559734733634e-05
0.0003548133892335753,-2.9558993135624978e-05
0.0003616873614408161,-3.0131282700399524e-05
0.00036869450645195733,-3.071463752501475e-05
