k,a,delta_phi_matrix
0.0001,0.05,0.0041779311039201
0.0001,0.0827586206896551,0.0039017373332639
0.0001,0.1155172413793103,0.0037243068110569
0.0001,0.1482758620689655,0.0036061275009978
0.0001,0.1810344827586206,0.0035255066524511
0.0001,0.2137931034482758,0.0034696061091255
0.0001,0.246551724137931,0.0034304076068595
0.0001,0.2793103448275861,0.0034027036116873
0.0001,0.3120689655172413,0.0033830143589467
0.0001,0.3448275862068965,0.00336896585909
0.0001,0.3775862068965517,0.0033589138562767
0.0001,0.4103448275862068,0.0033517069486894
0.0001,0.443103448275862,0.0033465324147436
0.0001,0.4758620689655172,0.0033428132748096
0.0001,0.5086206896551724,0.0033401382040854
0.0001,0.5413793103448276,0.0033382130802268
0.0001,0.5741379310344827,0.0033368271316949
0.0001,0.6068965517241379,0.0033358290801469
0.0001,0.6396551724137931,0.0033351102247596
0.0001,0.6724137931034483,0.0033345923949293
0.0001,0.7051724137931035,0.0033342193412983
0.0001,0.7379310344827585,0.0033339505737177
0.0001,0.7706896551724137,0.0033337569340281
0.0001,0.8034482758620689,0.003333617421256
0.0001,0.8362068965517241,0.0033335169072393
0.0001,0.8689655172413793,0.0033334444931353
0.0001,0.9017241379310345,0.0033333923264567
0.0001,0.9344827586206896,0.0033333547493011
0.0001,0.9672413793103448,0.0033333276848998
0.0001,1.0,0.0033333081957291
0.0001019373485938,0.05,0.0041779270176643
0.0001019373485938,0.0827586206896551,0.0039017335171415
0.0001019373485938,0.1155172413793103,0.0037243031684716
0.0001019373485938,0.1482758620689655,0.0036061239739987
0.0001019373485938,0.1810344827586206,0.0035255032043038
0.0001019373485938,0.2137931034482758,0.0034696027156521
0.0001019373485938,0.246551724137931,0.0034304042517245
0.0001019373485938,0.2793103448275861,0.0034027002836483
0.0001019373485938,0.3120689655172413,0.003383011050165
0.0001019373485938,0.3448275862068965,0.0033689625640485
0.0001019373485938,0.3775862068965517,0.0033589105710666
0.0001019373485938,0.4103448275862068,0.0033517036705281
0.0001019373485938,0.443103448275862,0.0033465291416432
0.0001019373485938,0.4758620689655172,0.0033428100053467
0.0001019373485938,0.5086206896551724,0.0033401349372389
0.0001019373485938,0.5413793103448276,0.0033382098152631
0.0001019373485938,0.5741379310344827,0.0033368238680868
0.0001019373485938,0.6068965517241379,0.003335825817515
0.0001019373485938,0.6396551724137931,0.0033351069628307
0.0001019373485938,0.6724137931034483,0.0033345891335069
0.0001019373485938,0.7051724137931035,0.0033342160802407
0.0001019373485938,0.7379310344827585,0.003333947312923
0.0001019373485938,0.7706896551724137,0.0033337536734228
0.0001019373485938,0.8034482758620689,0.0033336141607871
0.0001019373485938,0.8362068965517241,0.0033335136468686
0.0001019373485938,0.8689655172413793,0.0033334412328354
0.0001019373485938,0.9017241379310345,0.0033333890662079
0.0001019373485938,0.9344827586206896,0.003333351489089
0.0001019373485938,0.9672413793103448,0.0033333244247142
0.0001019373485938,1.0,0.0033333049355625
0.0001039122303835,0.05,0.0041779227715491
0.0001039122303835,0.0827586206896551,0.0039017295517275
0.0001039122303835,0.1155172413793103,0.0037242993833839
0.0001039122303835,0.1482758620689655,0.0036061203090189
0.0001039122303835,0.1810344827586206,0.0035254996212606
0.0001039122303835,0.2137931034482758,0.0034695991894217
0.0001039122303835,0.246551724137931,0.0034304007653323
0.0001039122303835,0.2793103448275861,0.0034026968254123
0.0001039122303835,0.3120689655172413,0.0033830076119395
0.0001039122303835,0.3448275862068965,0.0033689591401008
0.0001039122303835,0.3775862068965517,0.0033589071573349
0.0001039122303835,0.4103448275862068,0.0033517002641209
0.0001039122303835,0.443103448275862,0.003346525740495
0.0001039122303835,0.4758620689655172,0.0033428066079783
0.0001039122303835,0.5086206896551724,0.0033401315425892
