k,a,cs2_brut,delta_phi_brut
0.0001,0.05,1.0,0.004177617770837448
0.0001,0.05372549019607843,1.0,0.0041392588678981004
0.0001,0.05745098039215687,1.0,0.004102963146086416
0.0001,0.0611764705882353,1.0,0.004068591739331318
0.0001,0.06490196078431373,1.0,0.004036017589803429
0.0001,0.06862745098039216,1.0,0.00400512421832211
0.0001,0.07235294117647059,1.0,0.003975804645577328
0.0001,0.07607843137254902,1.0,0.003947960443011272
0.0001,0.07980392156862745,1.0,0.00392150089552912
0.0001,0.08352941176470588,1.0,0.0038963422609563643
0.0001,0.08725490196078431,1.0,0.003872407113440721
0.0001,0.09098039215686274,1.0,0.0038496237598964964
0.0001,0.09470588235294118,1.0,0.0038279257201777966
0.0001,0.09843137254901961,1.0,0.0038072512630468462
0.0001,0.10215686274509804,1.0,0.003787542991112943
0.0001,0.10588235294117648,1.0,0.0037687474683085276
0.0001,0.10960784313725491,1.0,0.003750814885751659
0.0001,0.11333333333333334,1.0,0.003733698760776322
0.0001,0.11705882352941177,1.0,0.003717355665632628
0.0001,0.1207843137254902,1.0,0.0037017449824379633
0.0001,0.12450980392156863,1.0,0.0036868286814571607
0.0001,0.12823529411764706,1.0,0.003672571120155603
0.0001,0.1319607843137255,1.0,0.003658938860784318
0.0001,0.13568627450980392,1.0,0.0036459005045282014
0.0001,0.13941176470588235,1.0,0.0036334265404840086
0.0001,0.14313725490196078,1.0,0.0036214892079390383
0.0001,0.1468627450980392,1.0,0.0036100623716361106
0.0001,0.15058823529411763,1.0,0.0035991214034897046
0.0001,0.15431372549019606,1.0,0.0035886430806011593
0.0001,0.15803921568627452,1.0,0.00357860548770575
0.0001,0.16176470588235295,1.0,0.003568987928352351
0.0001,0.16549019607843138,1.0,0.0035597708433881053
0.0001,0.1692156862745098,1.0,0.003550935735932812
0.0001,0.17294117647058824,1.0,0.003542465102244715
0.0001,0.1766666666666667,1.0,0.0035343423679416795
0.0001,0.18039215686274512,1.0,0.0035265518290968335
0.0001,0.18411764705882355,1.0,0.003519078597776565
0.0001,0.18784313725490198,1.0,0.0035119085516320614
0.0001,0.1915686274509804,1.0,0.0035050282871940766
0.0001,0.19529411764705884,1.0,0.0034984250765548604
0.0001,0.19901960784313727,1.0,0.003492086827151723
0.0001,0.2027450980392157,1.0,0.003486002044393962
0.0001,0.20647058823529413,1.0,0.003480159796899258
0.0001,0.21019607843137256,1.0,0.0034745496841274296
0.0001,0.213921568627451,1.0,0.003469161806219019
0.0001,0.21764705882352942,1.0,0.0034639867358637077
0.0001,0.22137254901960784,1.0,0.0034590154920393326
0.0001,0.22509803921568627,1.0,0.003454239515476461
0.0001,0.2288235294117647,1.0,0.003449650645716276
0.0001,0.23254901960784313,1.0,0.003445241099641022
0.0001,0.23627450980392156,1.0,0.003441003451366711
0.0001,0.24,1.0,0.0034369306133971577
0.0001,0.24372549019607842,1.0,0.003433015818946956
0.0001,0.24745098039215685,1.0,0.003429252605348717
0.0001,0.2511764705882353,1.0,0.0034256347984668754
0.0001,0.2549019607843137,1.0,0.003422156498046742
0.0001,0.25862745098039214,1.0,0.0034188120639332374
0.0001,0.26235294117647057,1.0,0.0034155961034075372
0.0001,0.26607843137254905,1.0,0.0034125034606629534
0.0001,0.2698039215686275,1.0,0.0034095291980062456
0.0001,0.2735294117647059,1.0,0.0034066685933198384
0.0001,0.27725490196078434,1.0,0.0034039171267723333
0.0001,0.28098039215686277,1.0,0.003401270471142281
0.0001,0.2847058823529412,1.0,0.003398724482676425
0.0001,0.2884313725490196,1.0,0.0033962751924480027
0.0001,0.29215686274509806,1.0,0.003393918798183209
0.0001,0.2958823529411765,1.0,0.003391651656526285
0.0001,0.2996078431372549,1.0,0.003389470275715834
0.0001,0.30333333333333334,1.0,0.003387371308646917
0.0001,0.3070588235294118,1.0,0.003385351546295314
0.0001,0.3107843137254902,1.0,0.0033834079114819964
0.0001,0.31450980392156863,1.0,0.0033815374529573713
0.0001,0.31823529411764706,1.0,0.003379737339786306
0.0001,0.3219607843137255,1.0,0.0033780048560161963
0.0001,0.3256862745098039,1.0,0.0033763373956116017
0.0001,0.32941176470588235,1.0,0.0033747324576400214
0.0001,0.3331372549019608,1.0,0.003373187641694459
0.0001,0.3368627450980392,1.0,0.003371700643539343
0.0001,0.34058823529411764,1.0,0.0033702692509672647
0.0001,0.34431372549019607,1.0,0.003368891339854792
0.0001,0.3480392156862745,1.0,0.003367564870406386
0.0001,0.3517647058823529,1.0,0.003366287883576141
0.0001,0.35549019607843135,1.0,0.0033650584976577117
0.0001,0.3592156862745098,1.0,0.0033638749050333952
0.0001,0.3629411764705882,1.0,0.003362735369073904
0.0001,0.36666666666666664,1.0,0.0033616382211808654
0.0001,0.37039215686274507,1.0,0.0033605818579645914
0.0001,0.3741176470588235,1.0,0.0033595647385500915
0.0001,0.37784313725490193,1.0,0.003358585382004735
0.0001,0.38156862745098036,1.0,0.003357642364881347
0.0001,0.38529411764705884,1.0,0.003356734318870904
0.0001,0.38901960784313727,1.0,0.0033558599285593116
0.0001,0.3927450980392157,1.0,0.0033550179292830867
0.0001,0.39647058823529413,1.0,0.0033542071050790562
0.0001,0.40019607843137256,1.0,0.0033534262867234432
0.0001,0.403921568627451,1.0,0.003352674349856005
0.0001,0.4076470588235294,1.0,0.003351950213185097
0.0001,0.41137254901960785,1.0,0.0033512528367697883
0.0001,0.4150980392156863,1.0,0.0033505812203753448
0.0001,0.4188235294117647,1.0,0.0033499344018986243
0.0001,0.42254901960784313,1.0,0.0033493114558600804
0.0001,0.42627450980392156,1.0,0.0033487114919592766
0.0001,0.43,1.0,0.0033481336536909647
0.0001,0.4337254901960784,1.0,0.0033475771170189293
0.0001,0.43745098039215685,1.0,0.003347041089104965
0.0001,0.4411764705882353,1.0,0.0033465248070904696
0.0001,0.4449019607843137,1.0,0.0033460275369282776
0.0001,0.44862745098039214,1.0,0.003345548572262477
