q0star,chi2_total,chi2_err
-0.7649999999999999,843614.721284539,84361.4721284539
-0.7599999999999999,540959.5306057063,54095.95306057063
-0.7549999999999999,439371.18818629824,43937.118818629824
-0.7499999999999999,379453.9154800809,37945.39154800809
-0.7449999999999999,337748.9254051078,33774.89254051078
-0.7399999999999999,306173.78307091177,30617.378307091178
-0.7349999999999999,281003.0915314758,28100.30915314758
-0.7299999999999999,260222.83605846684,26022.283605846686
-0.7249999999999999,242626.25590320106,24262.62559032011
-0.7199999999999999,227435.92666004424,22743.592666004424
-0.7149999999999999,214123.18189879035,21412.318189879035
-0.71,202313.0913250108,20231.309132501083
-0.705,191730.65787542117,19173.065787542117
-0.7,182168.54215590179,18216.854215590178
-0.695,173466.77305163804,17346.677305163805
-0.69,165499.489229461,16549.9489229461
-0.6849999999999999,158165.98757198395,15816.598757198395
-0.6799999999999999,151384.50844079882,15138.450844079882
-0.6749999999999999,145087.8155913559,14508.78155913559
-0.6699999999999999,139219.9854516794,13921.998545167939
-0.6649999999999999,133734.03106601437,13373.403106601438
-0.6599999999999999,128590.11439443385,12859.011439443386
-0.6549999999999999,123754.18121971094,12375.418121971095
-0.6499999999999999,119196.90476881768,11919.69047688177
-0.6449999999999999,114892.85830631426,11489.285830631427
-0.6399999999999999,110819.85991278222,11081.985991278223
-0.6349999999999999,106958.44838182838,10695.844838182838
-0.6299999999999999,103291.46011787727,10329.146011787729
-0.6249999999999999,99803.68466081255,9980.368466081256
-0.6199999999999999,96481.58201859759,9648.15820185976
-0.615,93313.04902616671,9331.304902616672
-0.6099999999999999,90287.22491832881,9028.722491832881
-0.605,87394.32851305559,8739.432851305559
-0.5999999999999999,84625.52106131171,8462.552106131172
-0.595,81972.7900790362,8197.27900790362
-0.59,79428.85044118154,7942.885044118154
-0.585,76987.05976230955,7698.7059762309555
-0.58,74641.34566773336,7464.134566773337
-0.575,72386.14301358104,7238.614301358104
-0.57,70216.33947294205,7021.633947294205
-0.565,68127.22819044116,6812.7228190441165
-0.5599999999999999,66114.46643569057,6611.446643569057
-0.5549999999999999,64174.039369602186,6417.403936960219
-0.5499999999999999,62302.22818604493,6230.222818604493
-0.5449999999999999,60495.58201213366,6049.558201213366
-0.5399999999999999,58750.89304920295,5875.089304920295
-0.5349999999999999,57065.17451766292,5706.517451766293
-0.5299999999999999,55435.641035905675,5543.564103590568
-0.5249999999999999,53859.69111895078,5385.969111895079
-0.5199999999999999,52334.89152873613,5233.489152873613
-0.5149999999999999,50858.963246591506,5085.896324659151
-0.51,49429.768870845845,4942.976887084585
-0.5049999999999999,48045.301269815405,4804.530126981541
-0.49999999999999994,46703.6733434902,4670.36733434902
-0.49499999999999994,45403.10876679821,4540.3108766798205
-0.48999999999999994,44141.93360397142,4414.193360397142
-0.48499999999999993,42918.56869774202,4291.856869774202
-0.4799999999999999,41731.52274925628,4173.152274925628
-0.4749999999999999,40579.38601503306,4057.938601503306
-0.47,39460.824556281405,3946.0824556281405
-0.46499999999999997,38374.57498364951,3837.457498364951
-0.45999999999999996,37319.43964719257,3731.9439647192576
-0.45499999999999996,36294.28222717344,3629.4282227173444
-0.44999999999999996,35298.02368637777,3529.802368637777
-0.44499999999999995,34329.63854904356,3432.9638549043557
-0.43999999999999995,33388.151475366125,3338.8151475366126
-0.43499999999999994,32472.634103920616,3247.263410392062
-0.42999999999999994,31582.202137311466,3158.220213731147
-0.42499999999999993,30716.012648968175,3071.6012648968176
-0.41999999999999993,29873.26159130591,2987.326159130591
-0.415,29053.1814875002,2905.31814875002
-0.41,28255.03929092085,2825.503929092085
-0.40499999999999997,27478.134397861642,2747.8134397861645
-0.39999999999999997,26721.796800615448,2672.179680061545
-0.39499999999999996,25985.38536920092,2598.538536920092
-0.38999999999999996,25268.286251166173,2526.8286251166173
-0.38499999999999995,24569.911379893376,2456.991137989338
-0.37999999999999995,23889.69708272105,2388.969708272105
-0.37499999999999994,23227.10278099906,2322.710278099906
-0.36999999999999994,22581.609774907833,2258.1609774907834
-0.365,21952.720106515604,2195.2720106515603
-0.36,21339.955495125567,2133.995549512557
-0.355,20742.856339484882,2074.2856339484883
-0.35,20160.980781896225,2016.0980781896226
-0.345,19593.903829695828,1959.3903829695828
-0.33999999999999997,19041.216529944402,1904.1216529944404
-0.33499999999999996,18502.52519352345,1850.252519352345
-0.32999999999999996,17977.450665142984,1797.7450665142985
-0.32499999999999996,17465.627636051096,1746.5627636051097
-0.31999999999999995,16966.70399649411,1696.6703996494111
-0.31499999999999995,16480.34022521086,1648.0340225210862
-0.31,16006.208813458514,1600.6208813458516
-0.305,15543.993721261888,1554.3993721261888
-0.3,15093.389863756012,1509.3389863756013
-0.295,14654.102625653853,1465.4102625653854
-0.29,14225.84740201943,1422.584740201943
-0.285,13808.349163661882,1380.8349163661883
-0.27999999999999997,13401.342045590909,1340.134204559091
-0.27499999999999997,13004.568957087104,1300.4568957087104
-0.26999999999999996,12617.781212045871,1261.7781212045873
-0.26499999999999996,12240.738178348889,1224.073817834889
-0.26,11873.206945106194,1187.3206945106194
-0.255,11514.962006691845,1151.4962006691846
-0.25,11165.784962572237,1116.5784962572238
-0.245,10825.464231993737,1082.5464231993737
-0.24,10493.794782660781,1049.3794782660782
-0.235,10170.577872593443,1017.0577872593444
-0.22999999999999998,9855.620804408167,985.5620804408168
-0.22499999999999998,9548.736691315054,954.8736691315055
-0.21999999999999997,9249.744234171741,924.9744234171742
-0.21499999999999997,8958.467508976311,895.8467508976312
-0.20999999999999996,8674.735764221969,867.4735764221969
-0.20499999999999996,8398.38322757256,839.838322757256
-0.19999999999999996,8129.2489213525305,812.9248921352531
-0.19499999999999995,7867.176486376448,786.7176486376449
-0.18999999999999995,7612.0140136728105,761.201401367281
-0.18499999999999994,7363.613883684206,736.3613883684206
-0.17999999999999994,7121.8326125515005,712.1832612551501
-0.17500000000000004,6886.530705113326,688.6530705113327
-0.17000000000000004,6657.572514274383,665.7572514274384
-0.16500000000000004,6434.826106416618,643.4826106416618
-0.16000000000000003,6218.1631325466615,621.8163132546662
-0.15500000000000003,6007.458704890672,600.7458704890672
-0.15000000000000002,5802.591278664704,580.2591278664704
-0.14500000000000002,5603.442538764245,560.3442538764245
-0.14,5409.897291131197,540.9897291131197
-0.135,5221.843358570413,522.1843358570413
-0.13,5039.171480800465,503.91714808004656
-0.125,4861.77521853555,486.17752185355505
