event,f_Hz,phi_ref_at_fpeak,phi_mcgt_at_fpeak,phi_mcgt_at_fpeak_raw,phi_mcgt_at_fpeak_cal,obs_phase,sigma_phase,epsilon_rel,classe,variant
GW191103_012549-v1,223.293664,1.5704753034235046,2.147010415639837,6.516732081166858,2.147010415639837,1.6521898543775828,0.08260949271887914,0.29949376577467485,ordre2,calibrated
GW191105_143521-v1,239.472808,1.5739044243399638,2.223786302195944,6.846653509981835,2.223786302195944,1.6309804400010108,0.08154902200005056,0.3634659543768444,ordre2,calibrated
GW191109_010717-v1,39.18074,1.2280867490539376,1.1989696602296522,2.687984782638807,1.1989696602296522,1.6214444147246045,0.016214444147246047,-0.26055457137993093,primaire,calibrated
GW191113_071753-v1,123.502111,1.5149428188769922,1.5766506244650262,4.3849926028442106,1.5766506244650262,2.9302722680303597,0.146513613401518,-0.4619439832719698,ordre2,calibrated
GW191126_115259-v1,216.548098,1.5686294887951975,2.1137719988878603,6.377949764013661,2.1137719988878603,1.636815931003401,0.08184079655017004,0.291392611014041,ordre2,calibrated
GW191127_050227-v1,53.316677,1.3541573306881665,1.1641654169708504,2.8743572244507494,1.1641654169708504,2.0517169841800675,0.10258584920900339,-0.432589667119177,ordre2,calibrated
GW191129_134029-v1,250.644595,1.5753863807626474,2.2745054531992253,7.072171035863021,2.2745054531992253,1.6836307451904795,0.08418153725952401,0.3509526715977715,ordre2,calibrated
GW191204_110529-v1,95.007095,1.4787827340762376,1.3867981225394406,3.7492953592564464,1.3867981225394406,1.624826267214823,0.08124131336074115,-0.14649452035471816,ordre2,calibrated
GW191204_171526-v1,216.993239,1.56875891921308,2.1159893342298486,6.387131958548859,2.1159893342298486,1.6461385126881265,0.08230692563440632,0.28542605492806344,ordre2,calibrated
GW191215_223052-v1,102.464802,1.4900314069193186,1.4366979111097238,3.915881499250685,1.4366979111097238,1.6136239076825027,0.08068119538412515,-0.10964512593698565,ordre2,calibrated
GW191216_213338-v1,219.508621,1.5694715644062907,2.1284601611483964,6.438959486933084,2.1284601611483964,1.696273347804877,0.08481366739024387,0.25478606611535,ordre2,calibrated
GW191219_163120-v1,144.918076,1.5334559029788195,1.7135456782645755,4.856970654416819,1.7135456782645755,10.553626463042946,0.5276813231521473,-0.8376344203326572,ordre2,calibrated
GW191222_033537-v1,54.873553,1.36296364491697,1.167315175829101,2.901866505620552,1.167315175829101,1.6051900696861015,0.08025950348430509,-0.272786944129693,ordre2,calibrated
GW191230_180458-v1,51.348992,1.3421120275191096,1.1614419232785547,2.840846521848041,1.1614419232785547,1.6107239261037472,0.08053619630518735,-0.27893172476302686,ordre2,calibrated
GW200112_155838-v1,69.47849,1.4224019330105258,1.227605942692011,3.190672124475733,1.227605942692011,1.6077499956906645,0.08038749978453322,-0.23644475448146368,ordre2,calibrated
GW200115_042309-v2,549.568226,1.5755806299855755,3.127839478251215,12.602587152741716,3.127839478251215,2.8729884631503446,0.2872988463150345,0.08870589574920051,ordre2,calibrated
GW200128_022011-v1,59.490471,1.3855846380817534,1.1813919759904614,2.988181503963148,1.1813919759904614,1.6037958497796263,0.0801897924889813,-0.26337758253159604,ordre2,calibrated
GW200129_065458-v1,69.250532,1.4217133449170631,1.2263658086134488,3.185865265759437,1.2263658086134488,1.62066844103828,0.081033422051914,-0.24329629826827595,ordre2,calibrated
GW200202_154313-v1,251.360656,1.5754603583204743,2.2777082422064483,7.086577609825458,2.2777082422064483,1.6220214281811252,0.08110107140905629,0.40424053753752576,ordre2,calibrated
GW200208_130117-v1,67.659127,1.4166597842536883,1.2179969433266313,3.152596623223683,1.2179969433266313,1.6210854991316817,0.0810542749565841,-0.24865348312655977,ordre2,calibrated
GW200208_222617-v1,48.654178,1.3234025962281104,1.1607559708474282,2.7979964010705056,1.1607559708474282,3.6993597828553617,0.036993597828553625,-0.6862278775297991,primaire,calibrated
GW200209_085452-v1,70.82217,1.4264566049892842,1.2349205653818613,3.2190105171637,1.2349205653818613,1.6053869988761313,0.08026934994380656,-0.2307645656490423,ordre2,calibrated
GW200210_092254-v1,160.497016,1.543991135282328,1.80827199161496,5.195451471350236,1.80827199161496,4.3378967919551235,0.2168948395977562,-0.5831454554270393,ordre2,calibrated
GW200216_220804-v1,54.29842,1.3597589286419385,1.1660850453484086,2.8916376076428913,1.1660850453484086,1.705885559416509,0.08529427797082546,-0.31643418932084577,ordre2,calibrated
