w0,wa,omega_m,chi2_total,chi2_sn,chi2_bao,chi2_cmb,accepted
-5.781151041618890485e-01,-1.053590008599623706e+00,3.211810156325278776e-01,1.311265380791919824e+03,1.120506787685514610e+03,1.850046840094246932e+02,5.753909096980676097e+00,1.000000000000000000e+00
-5.781151041618890485e-01,-1.053590008599623706e+00,3.211810156325278776e-01,1.311265380791919824e+03,1.120506787685514610e+03,1.850046840094246932e+02,5.753909096980676097e+00,0.000000000000000000e+00
-5.781151041618890485e-01,-1.053590008599623706e+00,3.211810156325278776e-01,1.311265380791919824e+03,1.120506787685514610e+03,1.850046840094246932e+02,5.753909096980676097e+00,0.000000000000000000e+00
-5.781151041618890485e-01,-1.053590008599623706e+00,3.211810156325278776e-01,1.311265380791919824e+03,1.120506787685514610e+03,1.850046840094246932e+02,5.753909096980676097e+00,0.000000000000000000e+00
-5.781151041618890485e-01,-1.053590008599623706e+00,3.211810156325278776e-01,1.311265380791919824e+03,1.120506787685514610e+03,1.850046840094246932e+02,5.753909096980676097e+00,0.000000000000000000e+00
-5.625110794748234833e-01,-1.153806587975067632e+00,3.238644710364492196e-01,1.300570512986574613e+03,1.108739896081689039e+03,1.889860018375617017e+02,2.844615067323939872e+00,1.000000000000000000e+00
-5.267729186712237777e-01,-1.269547668704762433e+00,3.308272649890046657e-01,1.286145578005077823e+03,1.072597905121022450e+03,2.126699334879212699e+02,8.777393961340546058e-01,1.000000000000000000e+00
-5.277453711615615051e-01,-1.268229510792888481e+00,3.240347652920535504e-01,1.287843538995295376e+03,1.081539450067982216e+03,2.031032822888560645e+02,3.200806638457106779e+00,1.000000000000000000e+00
-5.277453711615615051e-01,-1.268229510792888481e+00,3.240347652920535504e-01,1.287843538995295376e+03,1.081539450067982216e+03,2.031032822888560645e+02,3.200806638457106779e+00,0.000000000000000000e+00
-5.277453711615615051e-01,-1.268229510792888481e+00,3.240347652920535504e-01,1.287843538995295376e+03,1.081539450067982216e+03,2.031032822888560645e+02,3.200806638457106779e+00,0.000000000000000000e+00
-5.277453711615615051e-01,-1.268229510792888481e+00,3.240347652920535504e-01,1.287843538995295376e+03,1.081539450067982216e+03,2.031032822888560645e+02,3.200806638457106779e+00,0.000000000000000000e+00
-5.277453711615615051e-01,-1.268229510792888481e+00,3.240347652920535504e-01,1.287843538995295376e+03,1.081539450067982216e+03,2.031032822888560645e+02,3.200806638457106779e+00,0.000000000000000000e+00
-5.423651264622285639e-01,-1.439339729501820653e+00,3.291656674375491032e-01,1.284976761205039338e+03,1.105362356612306939e+03,1.792902061211730711e+02,3.241984715593275168e-01,1.000000000000000000e+00
-5.423651264622285639e-01,-1.439339729501820653e+00,3.291656674375491032e-01,1.284976761205039338e+03,1.105362356612306939e+03,1.792902061211730711e+02,3.241984715593275168e-01,0.000000000000000000e+00
-4.924026313466717819e-01,-1.349761086076080252e+00,3.171396555542128626e-01,1.283133962857788674e+03,1.060287116516380820e+03,2.131597648247241921e+02,9.687081516683697657e+00,1.000000000000000000e+00
-4.924026313466717819e-01,-1.349761086076080252e+00,3.171396555542128626e-01,1.283133962857788674e+03,1.060287116516380820e+03,2.131597648247241921e+02,9.687081516683697657e+00,0.000000000000000000e+00
-4.863278315709269051e-01,-1.366141663865207079e+00,3.255102526504479177e-01,1.278218233745191355e+03,1.046741903234217261e+03,2.272148255093889304e+02,4.261505001585214281e+00,1.000000000000000000e+00
-5.215523276412225018e-01,-1.318614868859243616e+00,3.428842007180058493e-01,1.285574547278084765e+03,1.057718650786694980e+03,2.272328604365955300e+02,6.230360547942540572e-01,1.000000000000000000e+00
-5.215523276412225018e-01,-1.318614868859243616e+00,3.428842007180058493e-01,1.285574547278084765e+03,1.057718650786694980e+03,2.272328604365955300e+02,6.230360547942540572e-01,0.000000000000000000e+00
-5.215523276412225018e-01,-1.318614868859243616e+00,3.428842007180058493e-01,1.285574547278084765e+03,1.057718650786694980e+03,2.272328604365955300e+02,6.230360547942540572e-01,0.000000000000000000e+00
-5.215523276412225018e-01,-1.318614868859243616e+00,3.428842007180058493e-01,1.285574547278084765e+03,1.057718650786694980e+03,2.272328604365955300e+02,6.230360547942540572e-01,0.000000000000000000e+00
-4.913832338265307631e-01,-1.305513080107411961e+00,3.351537296569498392e-01,1.282189181926029505e+03,1.037309084879620514e+03,2.435186032293340759e+02,1.361493817074815871e+00,1.000000000000000000e+00
-4.913832338265307631e-01,-1.305513080107411961e+00,3.351537296569498392e-01,1.282189181926029505e+03,1.037309084879620514e+03,2.435186032293340759e+02,1.361493817074815871e+00,0.000000000000000000e+00
-4.913832338265307631e-01,-1.305513080107411961e+00,3.351537296569498392e-01,1.282189181926029505e+03,1.037309084879620514e+03,2.435186032293340759e+02,1.361493817074815871e+00,0.000000000000000000e+00
-5.307803842300640174e-01,-1.437695681847695806e+00,3.425861834548137863e-01,1.285258357963658000e+03,1.075958934183971678e+03,2.058237719485345281e+02,3.475651831151600035e+00,1.000000000000000000e+00
-5.307803842300640174e-01,-1.437695681847695806e+00,3.425861834548137863e-01,1.285258357963658000e+03,1.075958934183971678e+03,2.058237719485345281e+02,3.475651831151600035e+00,0.000000000000000000e+00
-4.631626204711442041e-01,-1.421534262317012631e+00,3.509239715918213709e-01,1.282623785892336855e+03,1.007089689023460323e+03,2.747812807477832280e+02,7.528161210931726410e-01,1.000000000000000000e+00
-4.631626204711442041e-01,-1.421534262317012631e+00,3.509239715918213709e-01,1.282623785892336855e+03,1.007089689023460323e+03,2.747812807477832280e+02,7.528161210931726410e-01,0.000000000000000000e+00
-4.631626204711442041e-01,-1.421534262317012631e+00,3.509239715918213709e-01,1.282623785892336855e+03,1.007089689023460323e+03,2.747812807477832280e+02,7.528161210931726410e-01,0.000000000000000000e+00
-4.615162063222541522e-01,-1.591398954324574122e+00,3.511386013897903613e-01,1.274904960412155560e+03,1.015801183374585435e+03,2.547900183005366728e+02,4.313758737033318802e+00,1.000000000000000000e+00
-4.615162063222541522e-01,-1.591398954324574122e+00,3.511386013897903613e-01,1.274904960412155560e+03,1.015801183374585435e+03,2.547900183005366728e+02,4.313758737033318802e+00,0.000000000000000000e+00
-4.458873566019067591e-01,-1.701890572832545301e+00,3.555172242184230780e-01,1.275078237628188162e+03,1.006247844418141199e+03,2.603345135928768741e+02,8.495879617169872944e+00,1.000000000000000000e+00
-4.458873566019067591e-01,-1.701890572832545301e+00,3.555172242184230780e-01,1.275078237628188162e+03,1.006247844418141199e+03,2.603345135928768741e+02,8.495879617169872944e+00,0.000000000000000000e+00
-4.473745297232798457e-01,-1.669320787843918019e+00,3.500339905187320744e-01,1.270064631787501412e+03,1.010185092980017998e+03,2.554647588627841230e+02,4.414779944699395386e+00,1.000000000000000000e+00
-4.473745297232798457e-01,-1.669320787843918019e+00,3.500339905187320744e-01,1.270064631787501412e+03,1.010185092980017998e+03,2.554647588627841230e+02,4.414779944699395386e+00,0.000000000000000000e+00
-4.473745297232798457e-01,-1.669320787843918019e+00,3.500339905187320744e-01,1.270064631787501412e+03,1.010185092980017998e+03,2.554647588627841230e+02,4.414779944699395386e+00,0.000000000000000000e+00
-4.394733337956213126e-01,-1.573226977446250618e+00,3.519358053907568062e-01,1.276165294537969203e+03,9.968403438277997566e+02,2.772449287396972295e+02,2.080021970472127446e+00,1.000000000000000000e+00
-4.394733337956213126e-01,-1.573226977446250618e+00,3.519358053907568062e-01,1.276165294537969203e+03,9.968403438277997566e+02,2.772449287396972295e+02,2.080021970472127446e+00,0.000000000000000000e+00
-4.394733337956213126e-01,-1.573226977446250618e+00,3.519358053907568062e-01,1.276165294537969203e+03,9.968403438277997566e+02,2.772449287396972295e+02,2.080021970472127446e+00,0.000000000000000000e+00
-4.394733337956213126e-01,-1.573226977446250618e+00,3.519358053907568062e-01,1.276165294537969203e+03,9.968403438277997566e+02,2.772449287396972295e+02,2.080021970472127446e+00,0.000000000000000000e+00
-4.394733337956213126e-01,-1.573226977446250618e+00,3.519358053907568062e-01,1.276165294537969203e+03,9.968403438277997566e+02,2.772449287396972295e+02,2.080021970472127446e+00,0.000000000000000000e+00
-4.394733337956213126e-01,-1.573226977446250618e+00,3.519358053907568062e-01,1.276165294537969203e+03,9.968403438277997566e+02,2.772449287396972295e+02,2.080021970472127446e+00,0.000000000000000000e+00
-4.344711167324476486e-01,-1.683494208962420746e+00,3.438159756132493361e-01,1.263365435052484372e+03,1.006035991978808170e+03,2.560864963171453041e+02,1.242946756530897590e+00,1.000000000000000000e+00
-4.591477296295271571e-01,-1.670896514861693438e+00,3.354188903356975504e-01,1.259955162727654624e+03,1.034034357205195647e+03,2.254538336090545556e+02,4.669719134044124087e-01,1.000000000000000000e+00
-4.591477296295271571e-01,-1.670896514861693438e+00,3.354188903356975504e-01,1.259955162727654624e+03,1.034034357205195647e+03,2.254538336090545556e+02,4.669719134044124087e-01,0.000000000000000000e+00
-4.832111332296509243e-01,-1.887272831859551303e+00,3.135330244808114397e-01,1.257972957773076587e+03,1.103203250680046040e+03,1.547669442443871333e+02,2.762848643537051813e-03,1.000000000000000000e+00
-4.194490955139131838e-01,-1.925564874583126418e+00,3.144572091353121657e-01,1.239041783740354504e+03,1.037805102717991076e+03,1.996679198462510954e+02,1.568761176112366984e+00,1.000000000000000000e+00
-3.908946421275957261e-01,-1.942883758351411361e+00,3.132160442498652664e-01,1.237445889798716053e+03,1.013361851612484543e+03,2.197793387882275624e+02,4.304699398004013133e+00,1.000000000000000000e+00
-3.908946421275957261e-01,-1.942883758351411361e+00,3.132160442498652664e-01,1.237445889798716053e+03,1.013361851612484543e+03,2.197793387882275624e+02,4.304699398004013133e+00,0.000000000000000000e+00
-3.908946421275957261e-01,-1.942883758351411361e+00,3.132160442498652664e-01,1.237445889798716053e+03,1.013361851612484543e+03,2.197793387882275624e+02,4.304699398004013133e+00,0.000000000000000000e+00
-3.908946421275957261e-01,-1.942883758351411361e+00,3.132160442498652664e-01,1.237445889798716053e+03,1.013361851612484543e+03,2.197793387882275624e+02,4.304699398004013133e+00,0.000000000000000000e+00
-3.908946421275957261e-01,-1.942883758351411361e+00,3.132160442498652664e-01,1.237445889798716053e+03,1.013361851612484543e+03,2.197793387882275624e+02,4.304699398004013133e+00,0.000000000000000000e+00
-3.861106446738448716e-01,-1.904117329598459252e+00,3.253627544651832570e-01,1.241702265257178396e+03,9.959394083350009623e+02,2.448903212903844064e+02,8.725356317930844652e-01,1.000000000000000000e+00
-3.861106446738448716e-01,-1.904117329598459252e+00,3.253627544651832570e-01,1.241702265257178396e+03,9.959394083350009623e+02,2.448903212903844064e+02,8.725356317930844652e-01,0.000000000000000000e+00
-4.266682588076404214e-01,-1.981191406422432078e+00,3.204564804606267470e-01,1.238071057448297552e+03,1.042951911089060559e+03,1.951162780143203577e+02,2.868344916690690471e-03,1.000000000000000000e+00
-3.914317340480597540e-01,-2.014643277014537048e+00,3.204639905059986082e-01,1.232613118707566173e+03,1.012434225681526755e+03,2.197555919923541410e+02,4.233010336851549815e-01,1.000000000000000000e+00
-4.344718759882317816e-01,-2.124751512099405382e+00,3.073509174740833849e-01,1.236891053671169175e+03,1.079575473026911823e+03,1.570856354175684544e+02,2.299452266889704388e-01,1.000000000000000000e+00
-4.105049707176208207e-01,-2.139365059210710296e+00,3.024984187193029972e-01,1.230556340429105148e+03,1.060739136079359014e+03,1.672119178967223547e+02,2.605286453023893944e+00,1.000000000000000000e+00
-4.105049707176208207e-01,-2.139365059210710296e+00,3.024984187193029972e-01,1.230556340429105148e+03,1.060739136079359014e+03,1.672119178967223547e+02,2.605286453023893944e+00,0.000000000000000000e+00
-4.105049707176208207e-01,-2.139365059210710296e+00,3.024984187193029972e-01,1.230556340429105148e+03,1.060739136079359014e+03,1.672119178967223547e+02,2.605286453023893944e+00,0.000000000000000000e+00
-4.197635221602229461e-01,-2.167911118687968930e+00,3.038986723695001335e-01,1.231833127234472386e+03,1.071825065824781859e+03,1.589675496080358528e+02,1.040511801654642854e+00,1.000000000000000000e+00
-4.197635221602229461e-01,-2.167911118687968930e+00,3.038986723695001335e-01,1.231833127234472386e+03,1.071825065824781859e+03,1.589675496080358528e+02,1.040511801654642854e+00,0.000000000000000000e+00
-4.197635221602229461e-01,-2.167911118687968930e+00,3.038986723695001335e-01,1.231833127234472386e+03,1.071825065824781859e+03,1.589675496080358528e+02,1.040511801654642854e+00,0.000000000000000000e+00
-3.883538995740585809e-01,-2.105827777273344470e+00,3.081937770314498448e-01,1.226889578549868247e+03,1.028613074726822106e+03,1.954481921481975917e+02,2.828311674848576374e+00,1.000000000000000000e+00
-3.901082390249772658e-01,-2.174757973897508911e+00,3.035619930973825209e-01,1.224550437617398984e+03,1.041171341995337571e+03,1.802022503066768593e+02,3.176845315384614121e+00,1.000000000000000000e+00
-3.901082390249772658e-01,-2.174757973897508911e+00,3.035619930973825209e-01,1.224550437617398984e+03,1.041171341995337571e+03,1.802022503066768593e+02,3.176845315384614121e+00,0.000000000000000000e+00
-3.901082390249772658e-01,-2.174757973897508911e+00,3.035619930973825209e-01,1.224550437617398984e+03,1.041171341995337571e+03,1.802022503066768593e+02,3.176845315384614121e+00,0.000000000000000000e+00
-3.901082390249772658e-01,-2.174757973897508911e+00,3.035619930973825209e-01,1.224550437617398984e+03,1.041171341995337571e+03,1.802022503066768593e+02,3.176845315384614121e+00,0.000000000000000000e+00
