id,m1,m2,q0star,alpha,phi0,tc,dist,incl,k,mean_20_300,p95_20_300,max_20_300,n_20_300,status,error_code,wall_time_s,model,score,p95_20_300_circ,p95_20_300_recalc,n_jalons_total,n_jalons_used,penalty_mean
1,42.720970,9.532824,-0.170444,-0.833884,0.000000,0.000000,1000.000000,0.000000,265,1.643039,2.976066,3.101883,117,ok,,0.004178,default,2.976066,2.976066,2.976066,0,0,0.000000
2,72.132593,22.320177,0.298653,0.248949,0.000000,0.000000,1000.000000,0.000000,-8,1.553157,2.900503,3.097360,117,ok,,0.003218,default,2.900503,2.900503,2.900503,0,0,0.000000
3,74.233302,55.757719,-0.028338,-0.142594,0.000000,0.000000,1000.000000,0.000000,3,1.612899,2.958513,3.129411,117,ok,,0.003475,default,2.958513,2.958513,2.958513,0,0,0.000000
4,30.652453,25.834291,0.140064,0.805715,0.000000,0.000000,1000.000000,0.000000,-1,1.750062,3.003873,3.139859,117,ok,,0.005518,default,3.003873,3.003873,3.003873,0,0,0.000000
5,62.092183,35.100335,0.224729,0.572072,0.000000,0.000000,1000.000000,0.000000,-2,1.602008,3.002104,3.125562,117,ok,,0.003590,default,3.002104,3.002104,3.002104,0,0,0.000000
6,46.276119,40.449679,-0.244258,-0.471451,0.000000,0.000000,1000.000000,0.000000,95,1.610287,3.010655,3.137534,117,ok,,0.002200,default,3.010655,3.010655,3.010655,0,0,0.000000
7,62.575226,56.065846,0.063979,0.388843,0.000000,0.000000,1000.000000,0.000000,-1,1.739326,2.977503,3.140529,117,ok,,0.002470,default,2.977503,2.977503,2.977503,0,0,0.000000
8,18.727820,11.318907,-0.104533,-0.536278,0.000000,0.000000,1000.000000,0.000000,52,1.534689,2.901183,3.073280,117,ok,,0.003569,default,2.901183,2.901183,2.901183,0,0,0.000000
9,75.396967,19.855278,0.002440,-0.339998,0.000000,0.000000,1000.000000,0.000000,-1,1.530257,2.975400,3.092125,117,ok,,0.002795,default,2.975400,2.975400,2.975400,0,0,0.000000
10,68.548113,27.144609,-0.128608,0.741340,0.000000,0.000000,1000.000000,0.000000,1,1.658416,2.983429,3.138837,117,ok,,0.002315,default,2.983429,2.983429,2.983429,0,0,0.000000
11,50.950477,47.348503,0.163227,-0.652136,0.000000,0.000000,1000.000000,0.000000,-127,1.614178,2.953574,3.123136,117,ok,,0.004037,default,2.953574,2.953574,2.953574,0,0,0.000000
12,40.981525,16.434563,-0.268224,0.297608,0.000000,0.000000,1000.000000,0.000000,6,1.608541,2.942136,3.101124,117,ok,,0.003563,default,2.942136,2.942136,2.942136,0,0,0.000000
13,57.248224,31.791156,-0.052312,0.062500,0.000000,0.000000,1000.000000,0.000000,3,1.604054,2.997460,3.129324,117,ok,,0.003737,default,2.997460,2.997460,2.997460,0,0,0.000000
