id,m1,m2,q0star,alpha,phi0,tc,dist,incl,k,mean_20_300,p95_20_300,max_20_300,n_20_300,status,error_code,wall_time_s,model,score,p95_20_300_circ,p95_20_300_recalc,phi_ref_fpeak,phi_mcgt_fpeak
1,42.72097,9.532824,-0.170444,-0.833884,0.0,0.0,1000.0,0.0,265,1.643039,2.976066,3.101883,117,ok,,0.004178,default,2.976066,2.976065989059731,2.976065989059731,-2.8997821429989,-1.9465505236754943
2,72.132593,22.320177,0.298653,0.248949,0.0,0.0,1000.0,0.0,-8,1.553157,2.900503,3.09736,117,ok,,0.003218,default,2.900503,2.9005029297218243,2.9005029297218243,1.4305744638802764,-1.0459691226473105
3,74.233302,55.757719,-0.028338,-0.142594,0.0,0.0,1000.0,0.0,3,1.612899,2.958513,3.129411,117,ok,,0.003475,default,2.958513,2.9585130541339333,2.9585130541339333,2.817275604734016,-0.712575486844937
4,30.652453,25.834291,0.140064,0.805715,0.0,0.0,1000.0,0.0,-1,1.750062,3.003873,3.139859,117,ok,,0.005518,default,3.003873,3.0038729904264856,3.0038729904264856,2.948350507669044,-1.048933587908266
5,62.092183,35.100335,0.224729,0.572072,0.0,0.0,1000.0,0.0,-2,1.602008,3.002104,3.125562,117,ok,,0.00359,default,3.002104,3.0021039123337534,3.0021039123337534,-2.7186142587156805,1.2929325696823746
6,46.276119,40.449679,-0.244258,-0.471451,0.0,0.0,1000.0,0.0,95,1.610287,3.010655,3.137534,117,ok,,0.0022,default,3.010655,3.0106553322680765,3.0106553322680765,-0.3032297826412709,-2.613957318869428
7,62.575226,56.065846,0.063979,0.388843,0.0,0.0,1000.0,0.0,-1,1.739326,2.977503,3.140529,117,ok,,0.00247,default,2.977503,2.977502812705126,2.977502812705126,-1.3012521223059874,2.9774901369128255
8,18.72782,11.318907,-0.104533,-0.536278,0.0,0.0,1000.0,0.0,52,1.534689,2.901183,3.07328,117,ok,,0.003569,default,2.901183,2.9011829490713508,2.9011829490713508,-1.771879707793211,-1.2924682689158082
9,75.396967,19.855278,0.00244,-0.339998,0.0,0.0,1000.0,0.0,-1,1.530257,2.9754,3.092125,117,ok,,0.002795,default,2.9754,2.975400321559776,2.975400321559776,0.9878504754660344,2.045361228856147
10,68.548113,27.144609,-0.128608,0.74134,0.0,0.0,1000.0,0.0,1,1.658416,2.983429,3.138837,117,ok,,0.002315,default,2.983429,2.983429384774196,2.983429384774196,2.1460624181988557,0.4766223322165217
11,50.950477,47.348503,0.163227,-0.652136,0.0,0.0,1000.0,0.0,-127,1.614178,2.953574,3.123136,117,ok,,0.004037,default,2.953574,2.9535739668950893,2.9535739668950893,-2.7507549721772158,-0.493802735517729
12,40.981525,16.434563,-0.268224,0.297608,0.0,0.0,1000.0,0.0,6,1.608541,2.942136,3.101124,117,ok,,0.003563,default,2.942136,2.94213616999686,2.94213616999686,-1.6194054807944216,-3.0395367854163133
13,57.248224,31.791156,-0.052312,0.0625,0.0,0.0,1000.0,0.0,3,1.604054,2.99746,3.129324,117,ok,,0.003737,default,2.99746,2.9974600709851096,2.9974600709851096,0.7201595850956757,-1.1574684322051034
