sample_id,q,m1,m2,fpeak_hz,phi_at_fpeak_rad,p95_rad
0,6.755,10.75,11.876,114.642,1.485039,2.191749
1,9.03,12.608,15.548,75.959,-1.766954,1.763388
2,1.239,15.965,21.247,178.988,-1.755633,1.973164
3,8.285,10.195,25.145,209.628,-1.003227,0.888699
4,9.615,20.098,7.319,89.343,2.182265,2.009315
5,8.264,31.892,18.406,264.623,-0.762804,1.880102
6,8.465,28.556,26.543,185.47,1.284711,0.614561
7,3.051,18.682,6.995,116.558,-2.505711,1.194934
8,6.721,20.945,14.255,111.901,-1.463379,2.841636
9,6.832,28.274,9.278,215.825,-2.113832,1.448639
10,9.906,29.2,18.924,206.923,2.15311,2.44
11,3.061,10.963,12.886,123.548,-1.815028,2.857274
12,8.887,19.44,21.386,149.126,2.603359,1.64713
13,3.384,17.399,19.034,122.548,0.5312,2.744557
14,4.595,16.58,29.938,171.905,-2.569089,0.617791
15,1.987,28.823,24.802,154.432,-2.741046,1.454048
16,9.965,25.873,29.277,242.156,-3.067899,2.301805
17,7.135,26.109,11.671,198.192,-2.439452,1.586913
18,5.084,38.614,26.896,122.678,0.003681,0.94663
19,9.214,36.116,12.461,197.79,0.684333,0.882098
20,7.863,26.181,24.466,176.071,-3.136408,1.31039
21,1.175,37.873,26.968,236.333,-1.208811,0.644813
22,8.902,38.408,7.141,167.198,-2.705345,2.401505
23,7.893,13.852,16.882,179.961,-1.475444,2.681083
24,4.808,16.354,18.482,215.986,-1.876771,1.279291
25,9.956,29.496,15.953,173.515,-2.380094,1.061743
26,4.043,27.649,10.753,114.043,-2.694163,2.077757
27,3.06,37.163,26.491,84.171,-1.645331,2.172444
28,2.928,13.969,28.388,184.209,-0.171626,2.461549
29,8.267,15.712,7.423,156.21,-0.479926,1.667562
30,7.562,30.201,29.604,89.684,-0.611538,1.348257
31,8.755,17.46,9.755,159.723,-0.490583,1.196363
32,3.248,37.698,16.078,242.27,0.316043,0.626471
33,9.994,35.081,29.225,255.273,2.189809,0.915778
34,5.371,16.412,15.026,81.727,-0.760049,2.963272
35,3.387,33.522,16.375,154.601,2.871955,2.988557
36,6.002,31.552,8.87,129.342,2.943495,1.947951
37,5.88,32.439,6.429,186.836,0.0179,2.6318
38,2.417,38.823,7.003,107.165,0.59682,2.188031
39,3.117,13.597,27.257,119.243,0.59358,2.048454
40,4.773,27.51,18.07,256.941,-1.857252,2.29048
41,3.148,21.874,21.792,129.999,-1.154407,2.379661
42,1.653,23.749,29.961,269.219,-2.679923,1.032886
43,3.387,37.998,27.022,245.854,-0.81937,0.894367
44,8.504,31.106,20.292,267.447,0.966971,0.519558
45,8.354,18.981,21.585,257.786,-2.296652,0.788572
46,1.963,26.597,11.809,190.966,1.366605,1.008993
47,6.708,17.92,17.213,251.067,2.173531,0.730746
48,4.812,18.3,5.089,224.224,0.861072,1.154888
49,7.671,26.55,15.692,71.934,-2.667469,2.707766
