id,m1,m2,q0star,alpha,phi0,tc,dist,incl,seed,created_at,model
1,42.720970,9.532824,-0.170444,-0.833884,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
2,72.132593,22.320177,0.298653,0.248949,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
3,74.233302,55.757719,-0.028338,-0.142594,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
4,30.652453,25.834291,0.140064,0.805715,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
5,62.092183,35.100335,0.224729,0.572072,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
6,46.276119,40.449679,-0.244258,-0.471451,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
7,62.575226,56.065846,0.063979,0.388843,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
8,18.727820,11.318907,-0.104533,-0.536278,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
9,75.396967,19.855278,0.002440,-0.339998,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
10,68.548113,27.144609,-0.128608,0.741340,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
11,50.950477,47.348503,0.163227,-0.652136,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
12,40.981525,16.434563,-0.268224,0.297608,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
13,57.248224,31.791156,-0.052312,0.062500,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
14,56.910352,7.793209,0.078552,-0.979527,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
15,78.034382,70.266642,-0.194528,0.882698,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
16,34.618827,10.593763,0.237106,-0.043857,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
17,66.986566,14.056192,-0.142629,0.468439,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
18,76.691400,35.554866,0.025919,-0.613921,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
19,60.963170,60.317848,-0.282318,0.523741,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
20,30.356622,6.422298,0.186633,-0.425073,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
21,47.638751,39.917849,0.101967,-0.190941,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
22,51.126716,17.402824,-0.066398,0.852109,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
23,79.152718,67.429507,0.260594,-0.754303,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
24,25.732320,23.541937,-0.208540,0.171321,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
25,52.786418,15.296254,0.275184,0.959364,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
26,64.024676,12.255442,-0.156414,-0.122477,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
27,65.806490,42.826246,0.116667,0.017099,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
28,39.078263,36.421607,-0.014235,-0.932172,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
29,70.920936,26.940346,-0.230146,-0.697552,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
30,52.092764,31.620210,0.201342,0.344979,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
31,73.220335,46.477370,-0.090494,-0.263347,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
32,20.908384,5.739699,0.040518,0.662735,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
33,73.291537,7.040195,0.157118,0.133469,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
34,74.336545,29.249465,-0.273894,-0.784809,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
35,53.283397,44.124932,0.017937,0.827445,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
36,28.019935,23.260680,-0.113552,-0.222919,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
37,55.103313,37.575011,-0.197626,-0.395038,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
38,44.090692,9.938691,0.233276,0.562063,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
39,65.068215,63.471424,-0.039810,-0.581441,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
40,41.413472,16.524081,0.091788,0.492601,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
41,49.992262,22.352484,-0.025149,0.626347,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
42,66.348738,15.049456,0.143986,-0.291413,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
43,76.781044,49.827401,-0.183002,0.318851,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
44,38.800458,28.104137,0.285364,-0.731971,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
45,69.320559,29.311902,0.070034,-0.903601,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
46,59.091202,33.220730,-0.098918,0.052981,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
47,75.536816,58.647349,0.209325,-0.088533,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
48,12.792926,8.737976,-0.259225,0.985967,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
49,59.583349,11.856171,0.129882,-0.502835,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
50,79.188108,5.457941,-0.001753,0.415948,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
51,67.949680,58.136140,0.271334,-0.442409,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
52,36.935645,32.835018,-0.159533,0.607482,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
53,77.749338,42.099202,-0.075457,0.780089,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
54,48.648104,24.792381,0.055994,-0.177516,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
55,69.629168,48.579934,-0.235837,0.212091,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
56,21.045017,18.805249,0.195212,-0.861478,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
57,64.407929,17.500852,-0.297300,-0.010903,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
58,61.532545,38.134076,0.171212,0.906384,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
59,53.731938,45.012531,-0.137030,-0.949996,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
60,33.947789,13.652959,0.031959,0.101329,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
61,45.092729,24.754417,0.247288,0.272471,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
62,54.566799,19.948275,-0.221114,-0.683638,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
63,71.879715,71.016097,0.105874,0.703992,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
64,33.005897,8.232043,-0.063225,-0.371011,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
65,62.801984,7.783351,0.084121,0.933585,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
66,71.757591,42.083054,-0.047331,-0.016558,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
67,55.308459,54.765528,0.242088,0.121202,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
68,24.305891,10.276046,-0.188961,-0.960043,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
69,44.645598,33.206129,-0.123627,-0.663899,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
70,45.461057,22.739870,0.008008,0.262558,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
71,74.071063,61.981236,-0.262657,-0.343951,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
72,28.470368,16.759358,0.168210,0.698479,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
73,58.252783,20.321689,-0.249240,0.424013,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
74,70.059405,9.132971,0.219162,-0.524634,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
75,68.671568,49.078462,-0.110101,0.615057,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
76,41.375995,33.869578,0.058997,-0.467622,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
77,77.612775,32.404660,0.293086,-0.170013,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
78,58.859347,27.271978,-0.175426,0.754948,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
