k, T, P_m
1.000000000000000048e-04,9.999006547009786638e-01,1.880426853636118040e+03
1.023292992280753577e-04,9.998960428486517449e-01,1.922655339274390826e+03
1.047128548050899619e-04,9.998912185712766076e-01,1.965831308812843872e+03
1.071519305237605887e-04,9.998861722010973230e-01,2.009975963367650820e+03
1.096478196143185150e-04,9.998808936384825374e-01,2.055110974506946604e+03
1.122018454301963009e-04,9.998753723331946786e-01,2.101258494422067542e+03
1.148153621496882939e-04,9.998695972648848906e-01,2.148441166300643545e+03
1.174897554939529059e-04,9.998635569227853903e-01,2.196682134904302984e+03
1.202264434617413111e-04,9.998572392845678225e-01,2.246005057353768279e+03
1.230268770812381065e-04,9.998506317943377519e-01,2.296434114123967447e+03
1.258925411794167436e-04,9.998437213397324275e-01,2.347994020251829170e+03
1.288249551693133660e-04,9.998364942280882905e-01,2.400710036759240211e+03
1.318256738556407401e-04,9.998289361616446991e-01,2.454607982293683563e+03
1.348962882591653344e-04,9.998210322117491167e-01,2.509714244988841074e+03
1.380384264602885192e-04,9.998127667920273520e-01,2.566055794547507503e+03
1.412537544622754072e-04,9.998041236304802126e-01,2.623660194548830987e+03
1.445439770745927987e-04,9.997950857404712677e-01,2.682555614982019051e+03
1.479108388168207295e-04,9.997856353905640869e-01,2.742770845008243668e+03
1.513561248436208798e-04,9.997757540731696535e-01,2.804335305952549788e+03
1.548816618912481058e-04,9.997654224719632055e-01,2.867279064527216178e+03
1.584893192461114190e-04,9.997546204280263193e-01,2.931632846287978282e+03
1.621810097358929842e-04,9.997433269046731574e-01,2.997428049324172662e+03
1.659586907437561511e-04,9.997315199509150263e-01,3.064696758183798920e+03
1.698243652461744297e-04,9.997191766635170618e-01,3.133471758034029335e+03
1.737800828749376319e-04,9.997062731476032971e-01,3.203786549057739194e+03
1.778279410038922698e-04,9.996927844757591552e-01,3.275675361085978693e+03
1.819700858609982642e-04,9.996786846455858466e-01,3.349173168466338666e+03
1.862087136662867555e-04,9.996639465356549348e-01,3.424315705166589396e+03
1.905460717963248141e-04,9.996485418598138883e-01,3.501139480112691672e+03
1.949844599758045584e-04,9.996324411197912152e-01,3.579681792759958171e+03
