k, T, P_m
1.000000000000000048e-04,9.999006547009786638e-01,2.036232350570116296e+03
1.023292992280753577e-04,9.998960428486517449e-01,2.081959738692640713e+03
1.047128548050899619e-04,9.998912185712766076e-01,2.128713115869438752e+03
1.071519305237605887e-04,9.998861722010973230e-01,2.176515439865942426e+03
1.096478196143185150e-04,9.998808936384825374e-01,2.225390177879528437e+03
1.122018454301963009e-04,9.998753723331946786e-01,2.275361317553504705e+03
1.148153621496882939e-04,9.998695972648848906e-01,2.326453378209687799e+03
1.174897554939529059e-04,9.998635569227853903e-01,2.378691422302531009e+03
1.202264434617413111e-04,9.998572392845678225e-01,2.432101067097838040e+03
1.230268770812381065e-04,9.998506317943377519e-01,2.486708496578893573e+03
1.258925411794167436e-04,9.998437213397324275e-01,2.542540473582889263e+03
1.288249551693133660e-04,9.998364942280882905e-01,2.599624352170357724e+03
1.318256738556407401e-04,9.998289361616446991e-01,2.657988090230299804e+03
1.348962882591653344e-04,9.998210322117491167e-01,2.717660262323524876e+03
1.380384264602885192e-04,9.998127667920273520e-01,2.778670072766704834e+03
1.412537544622754072e-04,9.998041236304802126e-01,2.841047368959355936e+03
1.445439770745927987e-04,9.997950857404712677e-01,2.904822654956039969e+03
1.479108388168207295e-04,9.997856353905640869e-01,2.970027105285670586e+03
1.513561248436208798e-04,9.997757540731696535e-01,3.036692579019892946e+03
1.548816618912481058e-04,9.997654224719632055e-01,3.104851634092083714e+03
1.584893192461114190e-04,9.997546204280263193e-01,3.174537541868504832e+03
1.621810097358929842e-04,9.997433269046731574e-01,3.245784301972770663e+03
1.659586907437561511e-04,9.997315199509150263e-01,3.318626657364678977e+03
1.698243652461744297e-04,9.997191766635170618e-01,3.393100109674031501e+03
1.737800828749376319e-04,9.997062731476032971e-01,3.469240934789987932e+03
1.778279410038922698e-04,9.996927844757591552e-01,3.547086198705944298e+03
1.819700858609982642e-04,9.996786846455858466e-01,3.626673773619835629e+03
1.862087136662867555e-04,9.996639465356549348e-01,3.708042354289213563e+03
1.905460717963248141e-04,9.996485418598138883e-01,3.791231474640097531e+03
1.949844599758045584e-04,9.996324411197912152e-01,3.876281524628326679e+03
1.995262314968878758e-04,9.996156135560477773e-01,3.963233767351424831e+03
2.041737944669529570e-04,9.995980270968242154e-01,4.052130356408795251e+03
2.089296130854038740e-04,9.995796483053249748e-01,4.143014353507192027e+03
2.137962089502232373e-04,9.995604423249914161e-01,4.235929746308365793e+03
2.187761623949551837e-04,9.995403728228025031e-01,4.330921466514534586e+03
2.238721138568339957e-04,9.995194019305504440e-01,4.428035408187343819e+03
2.290867652767772324e-04,9.994974901840337767e-01,4.527318446294792921e+03
2.344228815319922591e-04,9.994745964601109423e-01,4.628818455480236480e+03
2.398832919019489897e-04,9.994506779115563955e-01,4.732584329046505445e+03
2.454708915685031270e-04,9.994256898996622951e-01,4.838665998147679602e+03
2.511886431509579545e-04,9.993995859245272673e-01,4.947114451179826574e+03
2.570395782768864759e-04,9.993723175529730662e-01,5.057981753361471419e+03
2.630267991895381412e-04,9.993438343440338434e-01,5.171321066493153012e+03
2.691534803926916666e-04,9.993140837719566294e-01,5.287186668884860410e+03
2.754228703338166195e-04,9.992830111466564080e-01,5.405633975438499874e+03
2.818382931264455009e-04,9.992505595315709366e-01,5.526719557871913821e+03
2.884031503126605490e-04,9.992166696588532515e-01,5.650501165069233139e+03
2.951209226666386826e-04,9.991812798418506780e-01,5.777037743541462987e+03
3.019951720402015813e-04,9.991443258848126119e-01,5.906389457979415056e+03
3.090295432513592063e-04,9.991057409897735608e-01,6.038617711880065144e+03
3.162277660168379394e-04,9.990654556605572667e-01,6.173785168225353118e+03
3.235936569296281036e-04,9.990233976038530583e-01,6.311955770191388183e+03
3.311311214825911017e-04,9.989794916273131431e-01,6.453194761863843269e+03
3.388441561392027332e-04,9.989336595346218761e-01,6.597568708933647031e+03
3.467368504525316893e-04,9.988858200174948188e-01,6.745145519345407592e+03
3.548133892335753221e-04,9.988358885445611790e-01,6.895994463868683852e+03
3.630780547701014001e-04,9.987837772470915532e-01,7.050186196560275675e+03
3.715352290971728048e-04,9.987293948015321110e-01,7.207792775083536981e+03
3.801893963205612366e-04,9.986726463088126948e-01,7.368887680848310083e+03
3.890451449942804976e-04,9.986134331703964140e-01,7.533545838932844163e+03
3.981071705534973523e-04,9.985516529610483083e-01,7.701843637746237619e+03
4.073802778041126058e-04,9.984871992982953248e-01,7.873858948387570308e+03
4.168693834703355054e-04,9.984199617085658396e-01,8.049671143655122250e+03
4.265795188015925705e-04,9.983498254899927371e-01,8.229361116655873047e+03
4.365158322401661091e-04,9.982766715718753847e-01,8.413011298963032459e+03
4.466835921509630485e-04,9.982003763707968380e-01,8.600705678265501774e+03
4.570881896148752048e-04,9.981208116434056032e-01,8.792529815450752722e+03
4.677351412871981343e-04,9.980378443358695062e-01,8.988570861058293303e+03
4.786300923226385375e-04,9.979513364300225398e-01,9.188917571038258757e+03
4.897788193684460972e-04,9.978611447862318906e-01,9.393660321745284818e+03
5.011872336272725275e-04,9.977671209830187848e-01,9.602891124094554471e+03
5.128613839913648362e-04,9.976691111534742307e-01,9.816703636802531037e+03
5.248074602497722861e-04,9.975669558185257246e-01,1.003519317863136894e+04
5.370317963702527170e-04,9.974604897171116535e-01,1.025845673955117309e+04
5.495408738576247707e-04,9.973495416333358898e-01,1.048659299073038892e+04
5.623413251903490971e-04,9.972339342206860691e-01,1.071970229326005028e+04
5.754399373371566406e-04,9.971134838234035902e-01,1.095788670551290124e+04
5.888436553555889425e-04,9.969880002951111431e-01,1.120124998903364030e+04
6.025595860743581137e-04,9.968572868148145583e-01,1.144989761285190980e+04
6.165950018614822694e-04,9.967211397004005491e-01,1.170393675610434184e+04
6.309573444801929842e-04,9.965793482197774500e-01,1.196347630884732280e+04
6.456542290346555619e-04,9.964316943998067222e-01,1.222862687093615023e+04
6.606934480075964729e-04,9.962779528331943135e-01,1.249950074884186324e+04
6.760829753919818602e-04,9.961178904835229497e-01,1.277621195027081376e+04
6.918309709189362274e-04,9.959512664886189803e-01,1.305887617644693091e+04
7.079457843841380172e-04,9.957778319624647212e-01,1.334761081191085395e+04
7.244359600749898306e-04,9.955973297958825574e-01,1.364253491168439723e+04
7.413102413009177395e-04,9.954094944562289493e-01,1.394376918564320840e+04
7.585775750291835285e-04,9.952140517863568014e-01,1.425143597993428739e+04
7.762471166286919301e-04,9.950107188031196426e-01,1.456565925526981300e+04
7.943282347242813140e-04,9.947992034957029439e-01,1.488656456192188853e+04
8.128305161640994808e-04,9.945792046240937712e-01,1.521427901123800984e+04
