file,B,K,M,abs,align,alpha,anchor_policy,angular,annotate_top_k,apply_calibration,atol,auto_tighten,backup,bands,bases,basis,batch,best,best_json,bins,boot_ci,boot_iters,calib_weight,calib_window,calibrate,change_eps,clip_pi,cmap,config,copy_jalons,csv,degree,degrees,diff,display_variant,dist,dlog,dlogf,dpi,dry_run,dst,exclude,export_2d,export_anomalies,export_derivative,export_diff,export_heatmap,export_raw,figsize,fit_window,fmax,fmin,fmt,force,force_fit,format,from_column,gap_thresh_log10,grid,gridsize,group_col,hexbin_alpha,hexbin_gridsize,hires2000,hist_scale,hist_x,hist_y,ids,ini,inner,jalons,jalons_out,k,k_range,label_a,label_b,legend_loc,levels,line_width,lmbda,log_file,log_level,m1,m1_col,m2,m2_col,make_sensitivity,manifest,manifest_a,manifest_b,marker_size,meta,metric,metrics_window,milestones,minN,mincnt,mode,n,n_a,n_col,n_k,n_param2,n_points,n_test,n_workers,no_backup,no_clip,no_lines,npoints,npts,orig_col,out,out_best,out_csv,out_diagnostics,out_dir,out_poly_json,out_results,outcsv,outdir,outer,output,overwrite,p95_col,p95_ref,param2_max,param2_min,pdf,phi0,phi_mcgt_col,phi_ref_col,pi_ticks,plot,point_size,poly,q0star,q0star_max,q0star_min,recalc_col,ref_grid,ref_p95,refine,refine_n,refine_shrink,refresh_ref,repo_root,resid_dir,results,results_agg_csv,results_csv,rtol,samples,samples_csv,save_pdf,scale_exp,scramble,search,seed,sens_B_list,sens_N,sens_mode,shade,show,show_autres,show_residual,sigma_col,sigma_fail,sigma_warn,sign,skip_aggregate,skip_jalons,skip_metrics,skip_samples,sobol_offset,spectre,src,step,style,summary,svg,tc,thresh,threshold,tighten_threshold_p95,tighten_window,title,title_left,title_right,tmax,tmin,tol,transparent,trim,vclip,verbose,window,with_errorbar,with_hexbin,with_zoom,x_col,xlim,xscale,y_col,ylim,ymax_coverage,ymin_coverage,zmax,zmin,zoom_center_n,zoom_center_x,zoom_center_y,zoom_dx,zoom_dy,zoom_h,zoom_w,zoom_x,zoom_y
zz-scripts/_common/cli.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEF_ONLY,,,,,,,,,,,,,,DEF_ONLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEF_ONLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEF_ONLY,,,,,,,,,,,,,,DEF_ONLY,,,DEF_ONLY,,,,,,,,,,,,,,,,,,,,,,
zz-scripts/_common/postparse.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING,,,,,,,,,,,,,,MISSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING,,,,,,,,,,,,,,,,,,,,,,,,,
zz-scripts/_common/style.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zz-scripts/chapter01/generate_data_chapter01.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,,,,,,,,,,,,OK,OK,,,,,,OK,,,,,,,,,,,,,,,,,,,,,
zz-scripts/chapter01/plot_fig01_early_plateau.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,DEF_ONLY,,,,,,,,,,,,,,DEF_ONLY,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEF_ONLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,,,DEF_ONLY,,,,,,,,,,,,,,,,,,,,,,
zz-scripts/chapter01/plot_fig02_logistic_calibration.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,DEF_ONLY,,,,,,,,,,,,,,DEF_ONLY,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEF_ONLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,,,DEF_ONLY,,,,,,,,,,,,,,,,,,,,,,
zz-scripts/chapter01/plot_fig03_relative_error_timeline.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,DEF_ONLY,,,,,,,,,,,,,,DEF_ONLY,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEF_ONLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,,,DEF_ONLY,,,,,,,,,,,,,,,,,,,,,,
zz-scripts/chapter01/plot_fig04_P_vs_T_evolution.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,DEF_ONLY,,,,,,,,,,,,,,DEF_ONLY,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEF_ONLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,,,DEF_ONLY,,,,,,,,,,,,,,,,,,,,,,
zz-scripts/chapter01/plot_fig05_I1_vs_T.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,DEF_ONLY,,,,,,,,,,,,,,DEF_ONLY,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEF_ONLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,,,DEF_ONLY,,,,,,,,,,,,,,,,,,,,,,
zz-scripts/chapter01/plot_fig06_P_derivative_comparison.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,DEF_ONLY,,,,,,,,,,,,,,DEF_ONLY,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEF_ONLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,,,DEF_ONLY,,,,,,,,,,,,,,,,,,,,,,
zz-scripts/chapter02/generate_data_chapter02.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zz-scripts/chapter02/plot_fig00_spectrum.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,DEF_ONLY,,,,,,,,,,,,,,DEF_ONLY,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEF_ONLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,,,DEF_ONLY,,,,,,,,,,,,,,,,,,,,,,
