chapter,figure_stem,has_script,script_example,has_data,data_example
chapter07,fig_01_cs2_heatmap_k_a,0,,0,
chapter07,fig_07_invariant_i2,0,,0,
chapter07,fig_04_dcs2_dk_vs_k,0,,0,
chapter07,fig_03_invariant_i1,0,,0,
chapter07,fig_00_loglog_sampling_test,0,,0,
chapter07,fig_02_delta_phi_heatmap_k_a,0,,0,
chapter07,fig_06_comparison,0,,0,
chapter07,fig_05_ddelta_phi_dk_vs_k,0,,0,
chapter10,fig_04_scatter_p95_recalc_vs_orig,0,,0,
chapter10,fig_07_summary_comparison,0,,0,
chapter10,fig_02_scatter_phi_at_fpeak,0,,0,
chapter10,fig_03_b_coverage_bootstrap_vs_n_hires,0,,0,
chapter10,fig_01_iso_p95_maps,0,,0,
chapter10,fig_03_convergence_p95_vs_n,0,,0,
chapter10,fig_05_hist_cdf_metrics,0,,0,
chapter10,fig_06_heatmap_absdp95_m1m2,0,,0,
chapter06,fig_05_delta_chi2_heatmap,0,,0,
chapter06,fig_04_delta_rs_vs_params,0,,0,
chapter06,fig_02_cls_lcdm_vs_mcgt,0,,0,
chapter06,fig_03_delta_cls_rel,0,,0,
chapter06,fig_03_delta_cls_relative,0,,0,
chapter06,fig_01_cmb_dataflow_diagram,0,,0,
chapter99,fig_00_tmp,0,,0,
chapter09,fig_00_p95_check_control,0,,0,
chapter09,fig_03_rebranch_k_bins30,0,,0,
chapter09,fig_04_absdphi_milestones_vs_f,0,,0,
chapter09,fig_02_residual_phase,0,,0,
chapter09,fig_03_rebranch_k_bins80,0,,0,
chapter09,fig_03_raw_bins50,0,,0,
chapter09,fig_03_raw_bins80,0,,0,
chapter09,fig_03_hist_absdphi_20_300,0,,0,
chapter09,fig_01_phase_overlay,0,,0,
chapter09,fig_05_scatter_phi_at_fpeak,0,,0,
chapter09,fig_03_raw_bins30,0,,0,
chapter09,fig_03_unwrap_bins80,0,,0,
chapter09,fig_03_rebranch_k_bins50,0,,0,
chapter09,fig_03_unwrap_bins30,0,,0,
chapter09,fig_03_unwrap_bins50,0,,0,
chapter03,fig_06_grid_quality,0,,0,
chapter03,fig_07_ricci_fr_vs_z,0,,0,
chapter03,fig_04_fr_frr_vs_r,0,,0,
chapter03,fig_03_ms2_r0_vs_r,0,,0,
chapter03,fig_01_fr_stability_domain,0,,0,
chapter03,fig_08_ricci_fr_vs_t,0,,0,
chapter03,fig_05_interpolated_milestones,0,,0,
chapter03,fig_02_fr_frr_vs_r,0,,0,
chapter05,fig_02_dh_model_vs_obs,0,,0,
chapter05,fig_01_bbn_reaction_network,0,,0,
chapter05,fig_03_yp_model_vs_obs,0,,0,
chapter05,fig_04_chi2_vs_t,0,,0,
chapter02,fig_04_schema_pipeline,0,,0,
chapter02,fig_02_calibration,0,,0,
chapter02,fig_04_pipeline_diagram,0,,0,
chapter02,fig_01_p_vs_t_evolution,0,,0,
chapter02,fig_05_fg_series,0,,0,
chapter02,fig_00_spectrum,0,,0,
chapter02,fig_03_relative_errors,0,,0,
chapter02,fig_06_fit_alpha,0,,0,
chapter01,fig_01_early_plateau,0,,0,
chapter01,fig_05_i1_vs_t,0,,0,
chapter01,fig_06_p_derivative_comparison,0,,0,
chapter01,fig_04_p_vs_t_evolution,0,,0,
chapter01,fig_03_relative_error_timeline,0,,0,
chapter01,fig_02_logistic_calibration,0,,0,
chapter04,fig_01_invariants_schematic,0,,0,
chapter04,fig_04_relative_deviations,0,,0,
chapter04,fig_03_invariants_vs_t,0,,0,
chapter04,fig_02_invariants_histogram,0,,0,
chapter08,fig_04_chi2_heatmap,0,,0,
chapter08,fig_07_chi2_profile,0,,0,
chapter08,fig_02_dv_vs_z,0,,0,
chapter08,fig_01_chi2_total_vs_q0,0,,0,
chapter08,fig_03_mu_vs_z,0,,0,
chapter08,fig_05_residuals,0,,0,
chapter08,fig_06_pulls,0,,0,
