series,N,coverage,err95_low,err95_high,width_mean,outer_B,inner_B,alpha
serie-A,30,0.94,0.04193169295766275,0.025347805745668195,0.1049476033963511,200,400,0.05
serie-A,264,0.915,0.04689587071565571,0.03125424982252434,0.0352525517087916,200,400,0.05
serie-A,498,0.95,0.039578148138776026,0.022617354399236067,0.025805837193947384,200,400,0.05
serie-A,732,0.945,0.040786998772308514,0.024014658296541147,0.021262183518064314,200,400,0.05
serie-A,966,0.945,0.040786998772308514,0.024014658296541147,0.018424778180011075,200,400,0.05
serie-A,1200,0.98,0.030287086905826488,0.012195573583650532,0.016665055389364934,200,400,0.05
serie-B,30,0.935,0.043019079299068896,0.026623645350846936,0.10166194693343104,200,400,0.05
serie-B,264,0.9,0.049405812432717466,0.034329551330904096,0.035316504069146014,200,400,0.05
serie-B,498,0.94,0.04193169295766275,0.025347805745668195,0.025878820195978758,200,400,0.05
serie-B,732,0.965,0.03547061152229081,0.01794445799143285,0.021468093970748437,200,400,0.05
serie-B,966,0.91,0.0477657187671654,0.032312551137806844,0.018636887101195522,200,400,0.05
serie-B,1200,0.935,0.043019079299068896,0.026623645350846936,0.016588386350664584,200,400,0.05
