file,has_argparse,has_parse_args,has_main_guard,has_savefig,has_show,help_status,help_detail
zz-scripts/chapter01/plot_fig01_early_plateau.py,yes,yes,yes,yes,no,OK,exit0
zz-scripts/chapter01/plot_fig03_relative_error_timeline.py,yes,yes,yes,yes,no,OK,exit0
zz-scripts/chapter01/plot_fig05_I1_vs_T.py,yes,yes,yes,yes,no,OK,exit0
zz-scripts/chapter02/plot_fig02_calibration.py,yes,yes,yes,yes,no,OK,exit0
zz-scripts/chapter01/plot_fig04_P_vs_T_evolution.py,yes,yes,yes,yes,no,OK,exit0
zz-scripts/chapter01/generate_data_chapter01.py,yes,yes,yes,no,no,OK,exit0
zz-scripts/chapter01/plot_fig06_P_derivative_comparison.py,yes,yes,yes,yes,no,OK,exit0
zz-scripts/chapter01/plot_fig02_logistic_calibration.py,yes,yes,yes,yes,no,OK,exit0
zz-scripts/chapter02/plot_fig04_pipeline_diagram.py,yes,yes,yes,yes,no,OK,exit0
zz-scripts/chapter02/plot_fig03_relative_errors.py,yes,yes,yes,yes,no,OK,exit0
zz-scripts/chapter02/plot_fig01_P_vs_T_evolution.py,yes,yes,yes,yes,no,OK,exit0
zz-scripts/chapter02/generate_data_chapter02.py,yes,yes,yes,no,no,OK,exit0
zz-scripts/chapter02/plot_fig00_spectrum.py,yes,yes,yes,yes,no,OK,exit0
zz-scripts/chapter02/plot_fig05_FG_series.py,yes,no,yes,yes,yes,OK,help-shown
zz-scripts/chapter02/plot_fig06_alpha_fit.py,yes,no,yes,yes,yes,OK,help-shown
zz-scripts/chapter03/plot_fig04_fR_fRR_vs_f.py,yes,no,yes,yes,yes,OK,help-shown
zz-scripts/chapter03/plot_fig01_fR_stability_domain.py,yes,no,yes,yes,yes,OK,help-shown
zz-scripts/chapter03/plot_fig06_grid_quality.py,yes,no,yes,yes,yes,OK,help-shown
zz-scripts/chapter03/plot_fig03_ms2_R0_vs_f.py,yes,no,yes,yes,yes,OK,help-shown
zz-scripts/chapter03/plot_fig05_interpolated_milestones.py,yes,no,yes,yes,yes,OK,help-shown
zz-scripts/chapter03/plot_fig07_ricci_fR_vs_z.py,yes,no,yes,yes,yes,OK,help-shown
zz-scripts/chapter03/plot_fig02_fR_fRR_vs_f.py,yes,no,yes,yes,yes,OK,help-shown
zz-scripts/chapter04/generate_data_chapter04.py,yes,no,yes,yes,yes,OK,help-shown
zz-scripts/chapter04/plot_fig01_invariants_schematic.py,yes,no,yes,yes,yes,OK,help-shown
