# CLI inventory (pass4-safe v5) 2025-10-07T16:53:41Z
zz-scripts/chapter01/plot_fig01_early_plateau.py | argparse:yes | parse_args:yes | main_guard:yes | savefig:yes | show:no | help:OK
zz-scripts/chapter01/plot_fig02_logistic_calibration.py | argparse:yes | parse_args:yes | main_guard:yes | savefig:yes | show:no | help:OK
zz-scripts/chapter01/plot_fig03_relative_error_timeline.py | argparse:yes | parse_args:yes | main_guard:yes | savefig:yes | show:no | help:OK
zz-scripts/chapter01/plot_fig04_P_vs_T_evolution.py | argparse:yes | parse_args:yes | main_guard:yes | savefig:yes | show:no | help:OK
zz-scripts/chapter02/plot_fig02_calibration.py | argparse:yes | parse_args:yes | main_guard:yes | savefig:yes | show:no | help:OK
zz-scripts/chapter01/plot_fig05_I1_vs_T.py | argparse:yes | parse_args:yes | main_guard:yes | savefig:yes | show:no | help:OK
zz-scripts/chapter01/generate_data_chapter01.py | argparse:yes | parse_args:yes | main_guard:yes | savefig:no | show:no | help:OK
zz-scripts/chapter01/plot_fig06_P_derivative_comparison.py | argparse:yes | parse_args:yes | main_guard:yes | savefig:yes | show:no | help:OK
zz-scripts/chapter02/plot_fig04_pipeline_diagram.py | argparse:yes | parse_args:yes | main_guard:yes | savefig:yes | show:no | help:OK
zz-scripts/chapter02/plot_fig01_P_vs_T_evolution.py | argparse:yes | parse_args:yes | main_guard:yes | savefig:yes | show:no | help:OK
zz-scripts/chapter02/plot_fig03_relative_errors.py | argparse:yes | parse_args:yes | main_guard:yes | savefig:yes | show:no | help:OK
zz-scripts/chapter02/generate_data_chapter02.py | argparse:yes | parse_args:yes | main_guard:yes | savefig:no | show:no | help:OK
zz-scripts/chapter02/plot_fig00_spectrum.py | argparse:yes | parse_args:yes | main_guard:yes | savefig:yes | show:no | help:OK
zz-scripts/chapter02/plot_fig05_FG_series.py | argparse:yes | parse_args:no | main_guard:yes | savefig:yes | show:yes | help:OK
zz-scripts/chapter02/plot_fig06_alpha_fit.py | argparse:yes | parse_args:no | main_guard:yes | savefig:yes | show:yes | help:OK
zz-scripts/chapter03/plot_fig01_fR_stability_domain.py | argparse:yes | parse_args:no | main_guard:yes | savefig:yes | show:yes | help:OK
zz-scripts/chapter03/plot_fig06_grid_quality.py | argparse:yes | parse_args:no | main_guard:yes | savefig:yes | show:yes | help:OK
zz-scripts/chapter03/plot_fig05_interpolated_milestones.py | argparse:yes | parse_args:no | main_guard:yes | savefig:yes | show:yes | help:OK
zz-scripts/chapter03/plot_fig04_fR_fRR_vs_f.py | argparse:yes | parse_args:no | main_guard:yes | savefig:yes | show:yes | help:OK
zz-scripts/chapter03/plot_fig03_ms2_R0_vs_f.py | argparse:yes | parse_args:no | main_guard:yes | savefig:yes | show:yes | help:OK
zz-scripts/chapter03/plot_fig07_ricci_fR_vs_z.py | argparse:yes | parse_args:no | main_guard:yes | savefig:yes | show:yes | help:OK
zz-scripts/chapter03/plot_fig02_fR_fRR_vs_f.py | argparse:yes | parse_args:no | main_guard:yes | savefig:yes | show:yes | help:OK
zz-scripts/chapter04/generate_data_chapter04.py | argparse:yes | parse_args:no | main_guard:yes | savefig:yes | show:yes | help:OK
zz-scripts/chapter04/plot_fig01_invariants_schematic.py | argparse:yes | parse_args:no | main_guard:yes | savefig:yes | show:yes | help:OK
zz-scripts/chapter02/primordial_spectrum.py | argparse:yes | parse_args:no | main_guard:yes | savefig:yes | show:yes | help:OK
zz-scripts/chapter04/plot_fig02_invariants_histogram.py | argparse:yes | parse_args:no | main_guard:yes | savefig:yes | show:yes | help:OK
zz-scripts/chapter05/plot_fig02_dh_model_vs_obs.py | argparse:yes | parse_args:yes | main_guard:yes | savefig:yes | show:no | help:OK
zz-scripts/chapter03/plot_fig08_ricci_fR_vs_T.py | argparse:yes | parse_args:no | main_guard:yes | savefig:yes | show:yes | help:OK
zz-scripts/chapter05/plot_fig04_chi2_vs_T.py | argparse:yes | parse_args:yes | main_guard:yes | savefig:yes | show:no | help:OK
zz-scripts/chapter05/plot_fig01_bbn_reaction_network.py | argparse:yes | parse_args:no | main_guard:yes | savefig:yes | show:yes | help:OK
zz-scripts/chapter04/plot_fig04_relative_deviations.py | argparse:no | parse_args:no | main_guard:yes | savefig:yes | show:no | help:OK
zz-scripts/chapter05/generate_data_chapter05.py | argparse:yes | parse_args:yes | main_guard:yes | savefig:no | show:no | help:OK
zz-scripts/chapter04/plot_fig03_invariants_vs_T.py | argparse:yes | parse_args:no | main_guard:yes | savefig:yes | show:yes | help:OK
zz-scripts/chapter05/plot_fig03_yp_model_vs_obs.py | argparse:yes | parse_args:no | main_guard:yes | savefig:yes | show:yes | help:OK
zz-scripts/chapter06/generate_data_chapter06.py | argparse:yes | parse_args:yes | main_guard:yes | savefig:no | show:no | help:OK
zz-scripts/chapter06/plot_fig01_cmb_dataflow_diagram.py | argparse:yes | parse_args:yes | main_guard:yes | savefig:yes | show:no | help:OK
zz-scripts/chapter06/plot_fig04_delta_rs_vs_params.py | argparse:yes | parse_args:yes | main_guard:yes | savefig:yes | show:no | help:OK
zz-scripts/chapter07/generate_data_chapter07.py | argparse:yes | parse_args:yes | main_guard:yes | savefig:yes | show:yes | help:OK
zz-scripts/chapter06/generate_pdot_plateau_vs_z.py | argparse:yes | parse_args:yes | main_guard:yes | savefig:no | show:no | help:OK
zz-scripts/chapter06/plot_fig05_delta_chi2_heatmap.py | argparse:yes | parse_args:yes | main_guard:yes | savefig:yes | show:no | help:OK
zz-scripts/chapter06/plot_fig03_delta_cls_relative.py | argparse:yes | parse_args:yes | main_guard:yes | savefig:yes | show:no | help:OK
zz-scripts/chapter07/plot_fig01_cs2_heatmap.py | argparse:yes | parse_args:yes | main_guard:yes | savefig:yes | show:no | help:OK
zz-scripts/chapter07/plot_fig05_ddelta_phi_vs_k.py | argparse:yes | parse_args:yes | main_guard:yes | savefig:yes | show:no | help:OK
zz-scripts/chapter07/plot_fig02_delta_phi_heatmap.py | argparse:yes | parse_args:yes | main_guard:yes | savefig:yes | show:no | help:OK
zz-scripts/chapter07/launch_scalar_perturbations_solver.py | argparse:yes | parse_args:yes | main_guard:yes | savefig:yes | show:yes | help:OK
zz-scripts/chapter07/plot_fig04_dcs2_vs_k.py | argparse:yes | parse_args:yes | main_guard:yes | savefig:yes | show:no | help:OK
zz-scripts/chapter07/plot_fig03_invariant_I1.py | argparse:yes | parse_args:yes | main_guard:yes | savefig:yes | show:no | help:OK
zz-scripts/chapter07/plot_fig07_invariant_I2.py | argparse:yes | parse_args:no | main_guard:yes | savefig:yes | show:yes | help:OK
zz-scripts/chapter07/tests/test_chapter07.py | argparse:yes | parse_args:no | main_guard:yes | savefig:yes | show:yes | help:OK
zz-scripts/chapter07/utils/toy_model.py | argparse:yes | parse_args:no | main_guard:yes | savefig:yes | show:yes | help:OK
zz-scripts/chapter07/utils/test_kgrid.py | argparse:yes | parse_args:no | main_guard:yes | savefig:yes | show:yes | help:OK
zz-scripts/chapter08/generate_coupling_milestones.py | argparse:yes | parse_args:yes | main_guard:yes | savefig:no | show:no | help:OK
zz-scripts/chapter08/plot_fig01_chi2_total_vs_q0.py | argparse:no | parse_args:no | main_guard:yes | savefig:yes | show:no | help:OK
zz-scripts/chapter08/plot_fig03_mu_vs_z.py | argparse:yes | parse_args:yes | main_guard:yes | savefig:yes | show:no | help:OK
zz-scripts/chapter08/plot_fig07_chi2_profile.py | argparse:yes | parse_args:no | main_guard:yes | savefig:yes | show:yes | help:OK
zz-scripts/chapter08/utils/extract_bao_data.py | argparse:yes | parse_args:no | main_guard:yes | savefig:yes | show:yes | help:OK
zz-scripts/chapter08/utils/cosmo.py | argparse:yes | parse_args:no | main_guard:yes | savefig:yes | show:yes | help:OK
zz-scripts/chapter08/utils/generate_coupling_milestones.py | argparse:yes | parse_args:no | main_guard:yes | savefig:yes | show:yes | help:OK
zz-scripts/chapter08/plot_fig04_chi2_heatmap.py | argparse:yes | parse_args:yes | main_guard:yes | savefig:yes | show:no | help:OK
zz-scripts/chapter08/utils/extract_pantheon_plus_data.py | argparse:yes | parse_args:no | main_guard:yes | savefig:yes | show:yes | help:OK
zz-scripts/chapter08/utils/verify_z_grid.py | argparse:yes | parse_args:no | main_guard:yes | savefig:yes | show:yes | help:OK
zz-scripts/chapter08/utils/coupling_example_model.py | argparse:yes | parse_args:no | main_guard:no | savefig:yes | show:yes | help:OK
zz-scripts/chapter09/extract_phenom_phase.py | argparse:yes | parse_args:yes | main_guard:yes | savefig:yes | show:yes | help:OK
zz-scripts/chapter03/utils/convert_milestones.py | argparse:yes | parse_args:yes | main_guard:yes | savefig:no | show:no | help:OK
zz-scripts/chapter09/plot_fig01_phase_overlay.py | argparse:yes | parse_args:yes | main_guard:yes | savefig:yes | show:no | help:OK
zz-scripts/chapter09/fetch_gwtc3_confident.py | argparse:yes | parse_args:no | main_guard:yes | savefig:yes | show:yes | help:OK
zz-scripts/chapter09/generate_mcgt_raw_phase.py | argparse:yes | parse_args:yes | main_guard:yes | savefig:no | show:no | help:OK
zz-scripts/chapter03/generate_data_chapter03.py | argparse:yes | parse_args:yes | main_guard:yes | savefig:no | show:no | help:OK
zz-scripts/chapter09/plot_fig02_residual_phase.py | argparse:yes | parse_args:yes | main_guard:yes | savefig:yes | show:no | help:OK
zz-scripts/chapter09/plot_fig03_hist_absdphi_20_300.py | argparse:yes | parse_args:yes | main_guard:yes | savefig:yes | show:no | help:OK
zz-scripts/chapter09/plot_fig05_scatter_phi_at_fpeak.py | argparse:yes | parse_args:yes | main_guard:yes | savefig:yes | show:no | help:OK
zz-scripts/chapter09/plot_fig04_absdphi_milestones_vs_f.py | argparse:yes | parse_args:yes | main_guard:yes | savefig:yes | show:no | help:OK
zz-scripts/chapter10/add_phi_at_fpeak.py | argparse:yes | parse_args:yes | main_guard:yes | savefig:yes | show:yes | help:OK
zz-scripts/chapter10/diag_phi_fpeak.py | argparse:yes | parse_args:yes | main_guard:yes | savefig:yes | show:yes | help:OK
zz-scripts/chapter10/generate_data_chapter10.py | argparse:yes | parse_args:no | main_guard:yes | savefig:no | show:no | help:OK
zz-scripts/chapter10/inspect_topk_residuals.py | argparse:yes | parse_args:yes | main_guard:yes | savefig:yes | show:no | help:OK
zz-scripts/chapter07/plot_fig06_comparison.py | argparse:yes | parse_args:yes | main_guard:yes | savefig:yes | show:yes | help:OK
zz-scripts/chapter09/apply_poly_unwrap_rebranch.py | argparse:yes | parse_args:yes | main_guard:yes | savefig:no | show:no | help:OK
zz-scripts/chapter09/flag_jalons.py | argparse:yes | parse_args:yes | main_guard:yes | savefig:no | show:no | help:OK
zz-scripts/chapter09/generate_data_chapter09.py | argparse:yes | parse_args:yes | main_guard:yes | savefig:no | show:no | help:OK
zz-scripts/chapter09/opt_poly_rebranch.py | argparse:yes | parse_args:yes | main_guard:yes | savefig:no | show:no | help:OK
zz-scripts/chapter06/plot_fig02_cls_lcdm_vs_mcgt.py | argparse:yes | parse_args:yes | main_guard:yes | savefig:yes | show:no | help:OK
zz-scripts/chapter08/generate_data_chapter08.py | argparse:yes | parse_args:yes | main_guard:yes | savefig:no | show:no | help:OK
zz-scripts/chapter10/check_metrics_consistency.py | argparse:yes | parse_args:no | main_guard:yes | savefig:no | show:no | help:OK
zz-scripts/chapter10/bootstrap_topk_p95.py | argparse:yes | parse_args:no | main_guard:yes | savefig:no | show:no | help:OK
zz-scripts/chapter10/qc_wrapped_vs_unwrapped.py | argparse:yes | parse_args:no | main_guard:yes | savefig:yes | show:no | help:OK
zz-scripts/chapter10/recompute_p95_circular.py | argparse:yes | parse_args:no | main_guard:yes | savefig:no | show:no | help:OK
zz-scripts/chapter10/update_manifest_with_hashes.py | argparse:yes | parse_args:no | main_guard:no | savefig:yes | show:yes | help:OK
zz-scripts/chapter10/eval_primary_metrics_20_300.py | argparse:yes | parse_args:no | main_guard:yes | savefig:no | show:no | help:OK
zz-scripts/chapter09/check_p95_methods.py | argparse:yes | parse_args:yes | main_guard:yes | savefig:yes | show:no | help:OK
zz-scripts/chapter08/plot_fig02_dv_vs_z.py | argparse:yes | parse_args:no | main_guard:yes | savefig:yes | show:yes | help:OK
zz-scripts/chapter08/plot_fig06_normalized_residuals_distribution.py | argparse:yes | parse_args:no | main_guard:yes | savefig:yes | show:yes | help:OK
